date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.131751,0,11272371.0
2020-12-13,0,0,0,0.132909,0,11371493.0
2020-12-12,0,0,0,0.137181,0,11736944.0
2020-12-11,0,0,0,0.132488,0,11335424.0
2020-12-10,0,0,0,0.127541,0,10912214.0
2020-12-09,0,0,0,0.13015,0,11135407.0
2020-12-08,0,0,0,0.130137,0,11134297.0
2020-12-07,0,0,0,0.135124,0,11560958.0
2020-12-06,0,0,0,0.120987,0,10351493.0
2020-12-05,0,0,0,0.116326,0,9952703.0
2020-12-04,0,0,0,0.129984,0,11121224.0
2020-12-03,0,0,0,0.134376,0,11496978.0
2020-12-02,0,0,0,0.134229,0,11484395.0
2020-12-01,0,0,0,0.129374,0,11069059.0
2020-11-30,0,0,0,0.139229,0,11912200.0
2020-11-29,0,0,0,0.12599,0,10779501.0
2020-11-28,0,0,0,0.129341,0,11066182.0
2020-11-27,0,0,0,0.112004,0,9582898.0
2020-11-26,0,0,0,0.139606,0,11944497.0
2020-11-25,0,0,0,0.14987,0,12822594.0
2020-11-24,0,0,0,0.126339,0,10809387.0
2020-11-23,0,0,0,0.115985,0,9923493.0
2020-11-22,0,0,0,0.123652,0,10579454.0
2020-11-21,0,0,0,0.126674,0,10838053.0
2020-11-20,0,0,0,0.107623,0,9208051.0
2020-11-19,0,0,0,0.124886,0,10685077.0
2020-11-18,0,0,0,0.127385,0,10898820.0
2020-11-17,0,0,0,0.121024,0,10354595.0
2020-11-16,0,0,0,0.121012,0,10353607.0
2020-11-15,0,0,0,0.10562,0,9036649.0
2020-11-14,0,0,0,0.121286,0,10377054.0
2020-11-13,0,0,0,0.139005,0,11893049.0
2020-11-12,0,0,0,0.11841,0,10130987.0
2020-11-11,0,0,0,0.123996,0,10608873.0
2020-11-10,0,0,0,0.111342,0,9526224.0
2020-11-09,0,0,0,0.109631,0,9379859.0
2020-11-08,0,0,0,0.133324,0,11406981.0
2020-11-07,0,0,0,0.10717,0,9169317.0
2020-11-06,0,0,0,0.111919,0,9575588.0
2020-11-05,0,0,0,0.126634,0,10834582.0
2020-11-04,0,0,0,0.106433,0,9106239.0
2020-11-03,0,0,0,0.098023,0,8386685.0
2020-11-02,0,0,0,0.104437,0,8935476.0
2020-11-01,0,0,0,0.094203,0,8059827.0
2020-10-31,0,0,0,0.103756,0,8877208.0
2020-10-30,0,0,0,0.109751,0,9390134.0
2020-10-29,0,0,0,0.115928,0,9918634.0
2020-10-28,0,0,0,0.120266,0,10289721.0
2020-10-27,0,0,0,0.135302,0,11576185.0
2020-10-26,0,0,0,0.123897,0,10600398.0
2020-10-25,0,0,0,0.13048,0,11163682.0
2020-10-24,0,0,0,0.138941,0,11887588.0
2020-10-23,0,0,0,0.152929,0,13084337.0
2020-10-22,0,0,0,0.14176,0,12128755.0
2020-10-21,0,0,0,0.153244,0,13111301.0
2020-10-20,0,0,0,0.136085,0,11643171.0
