date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.004923,0,5227176.0
2020-12-13,0,0,0,0.004737,0,5029152.0
2020-12-12,0,0,0,0.004875,0,5176118.0
2020-12-11,0,0,0,0.004782,0,5077435.0
2020-12-10,0,0,0,0.004719,0,5010780.0
2020-12-09,0,0,0,0.005057,0,5368802.0
2020-12-08,0,0,0,0.005491,0,5829518.0
2020-12-07,0,0,0,0.006036,0,6408550.0
2020-12-06,0,0,0,0.004708,0,4712539.0
2020-12-05,0,0,0,0.004714,0,4718574.0
2020-12-04,0,0,0,0.004603,0,4607668.0
2020-12-03,0,0,0,0.004688,0,4693146.0
2020-12-02,0,0,0,0.004736,0,4741110.0
2020-12-01,0,0,0,0.005132,0,5137532.0
2020-11-30,0,0,0,0.00511,0,5115421.0
2020-11-29,0,0,0,0.004648,0,4652763.0
2020-11-28,0,0,0,0.004798,0,4802374.0
2020-11-27,0,0,0,0.004946,0,4950655.0
2020-11-26,0,0,0,0.005021,0,5026385.0
2020-11-25,0,0,0,0.005288,0,5293458.0
2020-11-24,0,0,0,0.007123,0,7129950.0
2020-11-23,0,0,0,0.007756,0,7763433.0
2020-11-22,0,0,0,0.008877,0,8886169.0
2020-11-21,0,0,0,0.008688,0,8696904.0
2020-11-20,0,0,0,0.008482,0,8489970.0
2020-11-19,0,0,0,0.008549,0,8557457.0
2020-11-18,0,0,0,0.009122,0,9131334.0
2020-11-17,0,0,0,0.009776,0,9785639.0
2020-11-16,0,0,0,0.00939,0,9399511.0
2020-11-15,0,0,0,0.009243,0,9252456.0
2020-11-14,0,0,0,0.009007,0,9015575.0
2020-11-13,0,0,0,0.009105,0,9114132.0
2020-11-12,0,0,0,0.008835,0,8843791.0
2020-11-11,0,0,0,0.009613,0,9622447.0
2020-11-10,0,0,0,0.007778,0,7404628.0
2020-11-09,0,0,0,0.007702,0,7332844.0
2020-11-08,0,0,0,0.007296,0,6945796.0
2020-11-07,0,0,0,0.007209,0,6863658.0
2020-11-06,0,0,0,0.007695,0,7325781.0
2020-11-05,0,0,0,0.006647,0,6328619.0
2020-11-04,0,0,0,0.006667,0,6347615.0
2020-11-03,0,0,0,0.006692,0,6370928.0
2020-11-02,0,0,0,0.007025,0,6688543.0
2020-11-01,0,0,0,0.007407,0,7052242.0
2020-10-31,0,0,0,0.007201,0,6856102.0
2020-10-30,0,0,0,0.007833,0,7457465.0
2020-10-29,0,0,0,0.010174,0,9686561.0
2020-10-28,0,0,0,0.011179,0,10643141.0
2020-10-27,0,0,0,0.011574,0,11018691.0
2020-10-26,0,0,0,0.010099,0,9614787.0
2020-10-25,0,0,0,0.010348,0,9851457.0
2020-10-24,0,0,0,0.009979,0,9500261.0
2020-10-23,0,0,0,0.009981,0,9502777.0
2020-10-22,0,0,0,0.010276,0,9425835.0
2020-10-21,0,0,0,0.010216,0,9371374.0
2020-10-20,0,0,0,0.01038,0,9521051.0
2020-10-19,0,0,0,0.011384,0,10441941.0
2020-10-18,0,0,0,0.010457,0,9592049.0
2020-10-17,0,0,0,0.010092,0,9257185.0
2020-10-16,0,0,0,0.010259,0,9410437.0
2020-10-15,0,0,0,0.011912,0,10926335.0
2020-10-14,0,0,0,0.011972,0,10981921.0
2020-10-13,0,0,0,0.013455,0,12342053.0
2020-10-12,0,0,0,0.014569,0,13363905.0
2020-10-11,0,0,0,0.013845,0,12700141.0
2020-10-10,0,0,0,0.013733,0,12597427.0
2020-10-09,0,0,0,0.013992,0,12834740.0
2020-10-08,0,0,0,0.013841,0,12696045.0
2020-10-07,0,0,0,0.014059,0,12895798.0
2020-10-06,0,0,0,0.015503,0,14220566.0
2020-10-05,0,0,0,0.015808,0,14500098.0
2020-10-04,0,0,0,0.015629,0,14336576.0
2020-10-03,0,0,0,0.01585,0,14538645.0
2020-10-02,0,0,0,0.016156,0,14819447.0
2020-10-01,0,0,0,0.017964,0,16477613.0
2020-09-30,0,0,0,0.017792,0,16320569.0
2020-09-29,0,0,0,0.018163,0,16660522.0
2020-09-28,0,0,0,0.017882,0,16402782.0
2020-09-27,0,0,0,0.017049,0,15639082.0
2020-09-26,0,0,0,0.017153,0,15733836.0
2020-09-25,0,0,0,0.016965,0,15561503.0
2020-09-24,0,0,0,0.015592,0,14302189.0
2020-09-23,0,0,0,0.014977,0,13738175.0
2020-09-22,0,0,0,0.014464,0,13267660.0
2020-09-21,0,0,0,0.015639,0,14345160.0
2020-09-20,0,0,0,0.023403,0,21467159.0
2020-09-19,0,0,0,0.024987,0,22920215.0
2020-09-18,0,0,0,0.025896,0,23753600.0
2020-09-17,0,0,0,0.026152,0,23989109.0
2020-09-16,0,0,0,0.027314,0,14195651.0
2020-09-15,0,0,0,0.02805,0,202149.0
2020-09-14,0,0,0,0.03599,0,259368.0
2020-09-13,0,0,0,0.033481,0,241287.0
2020-09-12,0,0,0,0.028903,0,208296.0
2020-09-11,0,0,0,0.030519,0,219940.0
2020-09-10,0,0,0,0.024287,0,175033.0
2020-09-09,0,0,0,0.029308,0,175033.0
