date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.355497,0,10615786.0
2020-12-13,0,0,0,0.360804,0,10774258.0
2020-12-12,0,0,0,0.355424,0,10613603.0
2020-12-11,0,0,0,0.340021,0,10153638.0
2020-12-10,0,0,0,0.312858,0,9342508.0
2020-12-09,0,0,0,0.302422,0,9030878.0
2020-12-08,0,0,0,0.311021,0,9287650.0
2020-12-07,0,0,0,0.386246,0,11534011.0
2020-12-06,0,0,0,0.402024,0,12005170.0
2020-12-05,0,0,0,0.333133,0,9947941.0
2020-12-04,0,0,0,0.418699,0,12503101.0
2020-12-03,0,0,0,0.320805,0,9579829.0
2020-12-02,0,0,0,0.416404,0,12434584.0
2020-12-01,0,0,0,0.411109,0,12276470.0
2020-11-30,0,0,0,0.433232,0,12937078.0
2020-11-29,0,0,0,0.398374,0,11896175.0
2020-11-28,0,0,0,0.395995,0,11825135.0
2020-11-27,0,0,0,0.209238,0,6248240.0
2020-11-26,0,0,0,0.428067,0,12782865.0
2020-11-25,0,0,0,0.468342,0,13985550.0
2020-11-24,0,0,0,0.477734,0,14265994.0
2020-11-23,0,0,0,0.458802,0,13700648.0
2020-11-22,0,0,0,0.459847,0,13731873.0
2020-11-21,0,0,0,0.46598,0,13915005.0
2020-11-20,0,0,0,0.465623,0,13904341.0
2020-11-19,0,0,0,0.444939,0,13286679.0
2020-11-18,0,0,0,0.445059,0,13290265.0
2020-11-17,0,0,0,0.441117,0,13172557.0
2020-11-16,0,0,0,0.32177,0,9608627.0
2020-11-15,0,0,0,0.365225,0,10906265.0
2020-11-14,0,0,0,0.36987,0,11045001.0
2020-11-13,0,0,0,0.443683,0,13249164.0
2020-11-12,0,0,0,0.441574,0,13186194.0
2020-11-11,0,0,0,0.267269,0,7981151.0
2020-11-10,0,0,0,0.259198,0,7740129.0
2020-11-09,0,0,0,0.29797,0,8897916.0
2020-11-08,0,0,0,0.366566,0,10946330.0
2020-11-07,0,0,0,0.472651,0,14114217.0
2020-11-06,0,0,0,0.495978,0,14810815.0
2020-11-05,0,0,0,0.489214,0,14608820.0
2020-11-04,0,0,0,0.517069,0,15440604.0
2020-11-03,0,0,0,0.498288,0,14879779.0
2020-11-02,0,0,0,0.469675,0,14025359.0
2020-11-01,0,0,0,0.545333,0,16284642.0
2020-10-31,0,0,0,0.58678,0,17522324.0
2020-10-30,0,0,0,0.46315,0,13830486.0
2020-10-29,0,0,0,0.572748,0,17103289.0
2020-10-28,0,0,0,0.565276,0,16880177.0
2020-10-27,0,0,0,0.466303,0,13924664.0
2020-10-26,0,0,0,0.450993,0,13467462.0
2020-10-25,0,0,0,0.383455,0,11450675.0
2020-10-24,0,0,0,0.479485,0,14318299.0
2020-10-23,0,0,0,0.48082,0,14358143.0
2020-10-22,0,0,0,0.488795,0,14596291.0
2020-10-21,0,0,0,0.459624,0,13725199.0
2020-10-20,0,0,0,0.464633,0,13874786.0
2020-10-19,0,0,0,0.457439,0,13659971.0
2020-10-18,0,0,0,0.443344,0,13239056.0
2020-10-17,0,0,0,0.447277,0,13356503.0
2020-10-16,0,0,0,0.442674,0,13219055.0
2020-10-15,0,0,0,0.447352,0,13358728.0
2020-10-14,0,0,0,0.451048,0,13469120.0
2020-10-13,0,0,0,0.460297,0,13745316.0
2020-10-12,0,0,0,0.457341,0,13657030.0
2020-10-11,0,0,0,0.448235,0,13385106.0
2020-10-10,0,0,0,0.482984,0,14422765.0
2020-10-09,0,0,0,0.492957,0,14720582.0
2020-10-08,0,0,0,0.501069,0,14962841.0
2020-10-07,0,0,0,0.464078,0,13858217.0
2020-10-06,0,0,0,0.477201,0,14250086.0
2020-10-05,0,0,0,0.486196,0,14518690.0
2020-10-04,0,0,0,0.441047,0,13170455.0
2020-10-03,0,0,0,0.433253,0,12937714.0
2020-10-02,0,0,0,0.438833,0,13104348.0
2020-10-01,0,0,0,0.438357,0,13090121.0
2020-09-30,0,0,0,0.475047,0,14185749.0
2020-09-29,0,0,0,0.477611,0,14262322.0
2020-09-28,0,0,0,0.475172,0,14189501.0
2020-09-27,0,0,0,0.473187,0,14130216.0
2020-09-26,0,0,0,0.471755,0,14087446.0
2020-09-25,0,0,0,0.471525,0,14080584.0
2020-09-24,0,0,0,0.430307,0,12849734.0
2020-09-23,0,0,0,0.431985,0,12899854.0
2020-09-22,0,0,0,0.48286,0,14419072.0
2020-09-21,0,0,0,0.501891,0,14987372.0
2020-09-20,0,0,0,0.486765,0,14535685.0
2020-09-19,0,0,0,0.618753,0,18477091.0
2020-09-18,0,0,0,0.468203,0,13981383.0
2020-09-17,0,0,0,0.438278,0,13087779.0
2020-09-16,0,0,0,0.435576,0,13007077.0
2020-09-15,0,0,0,0.36652,0,10944944.0
2020-09-14,0,0,0,0.347298,0,10370950.0
2020-09-13,0,0,0,0.337626,0,10082123.0
2020-09-12,0,0,0,0.339671,0,10143179.0
2020-09-11,0,0,0,0.324921,0,9702744.0
2020-09-10,0,0,0,0.397325,0,11864837.0
2020-09-09,0,0,0,0.394331,0,11775423.0
2020-09-08,0,0,0,0.389551,0,11632704.0
2020-09-07,0,0,0,0.351348,0,10491894.0
2020-09-06,0,0,0,0.516882,0,15435033.0
2020-09-05,0,0,0,0.476489,0,14228824.0
2020-09-04,0,0,0,0.558056,0,16664553.0
2020-09-03,0,0,0,0.504944,0,15078536.0
2020-09-02,0,0,0,0.588437,0,17571789.0
2020-09-01,0,0,0,0.647618,0,19339033.0
2020-08-31,0,0,0,0.615157,0,18369697.0
2020-08-30,0,0,0,0.618098,0,18457536.0
2020-08-29,0,0,0,0.64893,0,19378223.0
2020-08-28,0,0,0,0.755198,0,22551571.0
2020-08-27,0,0,0,0.470049,0,14036525.0
2020-08-26,0,0,0,0.838345,0,25034503.0
2020-08-25,0,0,0,0.971232,0,29002731.0
2020-08-24,0,0,0,1.11,0,33177857.0
2020-08-23,0,0,0,1.23,0,33177857.0
2020-08-22,0,0,0,1.25,0,33177857.0
2020-08-21,0,0,0,0.598671,0,33177857.0
2020-08-20,0,0,0,0.575592,0,33177857.0
2020-08-19,0,0,0,0.591062,0,33177857.0
2020-08-18,0,0,0,0.57233,0,33177857.0
2020-08-17,0,0,0,0.674699,0,33177857.0
2020-08-16,0,0,0,0.457952,0,33177857.0
2020-08-15,0,0,0,0.350874,0,33177857.0
2020-08-14,0,0,0,0.222444,0,33177857.0
2020-08-13,0,0,0,0.203691,0,33177857.0
2020-08-12,0,0,0,0.190771,0,33177857.0
2020-08-11,0,0,0,0.18492,0,33177857.0
2020-08-10,0,0,0,0.205686,0,33177857.0
2020-08-09,0,0,0,0.206858,0,33177857.0
2020-08-08,0,0,0,0.208662,0,33177857.0
2020-08-07,0,0,0,0.204202,0,33177857.0
2020-08-06,0,0,0,0.208876,0,33177857.0
2020-08-05,0,0,0,0.208254,0,33177857.0
2020-08-04,0,0,0,0.199054,0,33177857.0
2020-08-03,0,0,0,0.204141,0,33177857.0
2020-08-02,0,0,0,0.20257,0,33177857.0
2020-08-01,0,0,0,0.213766,0,33177857.0
2020-07-31,0,0,0,0.205744,0,33177857.0
2020-07-30,0,0,0,0.203359,0,33177857.0
2020-07-29,0,0,0,0.202272,0,33177857.0
2020-07-28,0,0,0,0.191357,0,33177857.0
2020-07-27,0,0,0,0.200045,0,33177857.0
2020-07-26,0,0,0,0.160835,0,33177857.0
2020-07-25,0,0,0,0.157435,0,33177857.0
2020-07-24,0,0,0,0.154876,0,33177857.0
2020-07-23,0,0,0,0.155432,0,33177857.0
2020-07-22,0,0,0,0.155029,0,33177857.0
2020-07-21,0,0,0,0.146691,0,33177857.0
2020-07-20,0,0,0,0.144042,0,33177857.0
2020-07-19,0,0,0,0.162533,0,33177857.0
2020-07-18,0,0,0,0.16268,0,33177857.0
2020-07-17,0,0,0,0.167791,0,33177857.0
2020-07-16,0,0,0,0.169781,0,33177857.0
2020-07-15,0,0,0,0.171459,0,33177857.0
2020-07-14,0,0,0,0.17383,0,33177857.0
2020-07-13,0,0,0,0.175933,0,33177857.0
2020-07-12,0,0,0,0.17711,0,33177857.0
2020-07-11,0,0,0,0.171384,0,33177857.0
2020-07-10,0,0,0,0.171367,0,33177857.0
2020-07-09,0,0,0,0.172948,0,33177857.0
2020-07-08,0,0,0,0.175069,0,33177857.0
2020-07-07,0,0,0,0.158636,0,33177857.0
2020-07-06,0,0,0,0.160541,0,33177857.0
2020-07-05,0,0,0,0.155692,0,33177857.0
2020-07-04,0,0,0,0.156912,0,33177857.0
2020-07-03,0,0,0,0.165102,0,33177857.0
2020-07-02,0,0,0,0.1719,0,33177857.0
2020-07-01,0,0,0,0.174332,0,33177857.0
2020-06-30,0,0,0,0.181628,0,33177857.0
2020-06-29,0,0,0,0.181126,0,33177857.0
2020-06-28,0,0,0,0.180257,0,33177857.0
2020-06-27,0,0,0,0.178204,0,33177857.0
2020-06-26,0,0,0,0.180545,0,33177857.0
2020-06-25,0,0,0,0.183932,0,33177857.0
2020-06-24,0,0,0,0.183981,0,33177857.0
2020-06-23,0,0,0,0.191303,0,33177857.0
2020-06-22,0,0,0,0.19131,0,33177857.0
2020-06-21,0,0,0,0.1841,0,33177857.0
2020-06-20,0,0,0,0.186035,0,33177857.0
2020-06-19,0,0,0,0.1853,0,33177857.0
2020-06-18,0,0,0,0.200731,0,33177857.0
2020-06-17,0,0,0,0.164929,0,33177857.0
2020-06-16,0,0,0,0.200429,0,33177857.0
2020-06-15,0,0,0,0.194198,0,33177857.0
