date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.128392,0,8647863.0
2020-12-13,0,0,0,0.132757,0,8941868.0
2020-12-12,0,0,0,0.134408,0,9037952.0
2020-12-11,0,0,0,0.127056,0,8543578.0
2020-12-10,0,0,0,0.136939,0,9208126.0
2020-12-09,0,0,0,0.138082,0,9229708.0
2020-12-08,0,0,0,0.13347,0,8921472.0
2020-12-07,0,0,0,0.137238,0,9173332.0
2020-12-06,0,0,0,0.134844,0,9013334.0
2020-12-05,0,0,0,0.134009,0,8940376.0
2020-12-04,0,0,0,0.137994,0,9206212.0
2020-12-03,0,0,0,0.147247,0,9823558.0
2020-12-02,0,0,0,0.138054,0,9210244.0
2020-12-01,0,0,0,0.131394,0,8765934.0
2020-11-30,0,0,0,0.132219,0,8820923.0
2020-11-29,0,0,0,0.134675,0,8984804.0
2020-11-28,0,0,0,0.133175,0,8884728.0
2020-11-27,0,0,0,0.130972,0,8720387.0
2020-11-26,0,0,0,0.13671,0,9102455.0
2020-11-25,0,0,0,0.158329,0,10541862.0
2020-11-24,0,0,0,0.136395,0,9081466.0
2020-11-23,0,0,0,0.13744,0,8738703.0
2020-11-22,0,0,0,0.114119,0,7255940.0
2020-11-21,0,0,0,0.115444,0,7334927.0
2020-11-20,0,0,0,0.112702,0,7160719.0
2020-11-19,0,0,0,0.099105,0,6290524.0
2020-11-18,0,0,0,0.106818,0,6780077.0
2020-11-17,0,0,0,0.106473,0,6758182.0
2020-11-16,0,0,0,0.102251,0,6490236.0
2020-11-15,0,0,0,0.105253,0,6406786.0
2020-11-14,0,0,0,0.110466,0,6724145.0
2020-11-13,0,0,0,0.111029,0,6758421.0
2020-11-12,0,0,0,0.113904,0,6933389.0
2020-11-11,0,0,0,0.119018,0,7244698.0
2020-11-10,0,0,0,0.117554,0,7155607.0
2020-11-09,0,0,0,0.11302,0,6834312.0
2020-11-08,0,0,0,0.102766,0,6214241.0
2020-11-07,0,0,0,0.094664,0,5724310.0
2020-11-06,0,0,0,0.090545,0,5475252.0
2020-11-05,0,0,0,0.084708,0,5122246.0
2020-11-04,0,0,0,0.083814,0,5055649.0
2020-11-03,0,0,0,0.084477,0,5092921.0
2020-11-02,0,0,0,0.084437,0,5090511.0
2020-11-01,0,0,0,0.091842,0,5533167.0
2020-10-31,0,0,0,0.095069,0,5727555.0
2020-10-30,0,0,0,0.104582,0,6288445.0
2020-10-29,0,0,0,0.095444,0,5738941.0
2020-10-28,0,0,0,0.096425,0,5797925.0
2020-10-27,0,0,0,0.104742,0,6298059.0
2020-10-26,0,0,0,0.095652,0,5751467.0
2020-10-25,0,0,0,0.103497,0,6223158.0
2020-10-24,0,0,0,0.10614,0,6382094.0
2020-10-23,0,0,0,0.097822,0,5881950.0
2020-10-22,0,0,0,0.105668,0,6345014.0
2020-10-21,0,0,0,0.102282,0,5829569.0
2020-10-20,0,0,0,0.1151,0,6560176.0
2020-10-19,0,0,0,0.116763,0,6654962.0
2020-10-18,0,0,0,0.122749,0,6996137.0
