date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,2.97,0,117688029.0
2020-12-13,0,0,0,3.01,0,119405548.0
2020-12-12,0,0,0,2.96,0,117249770.0
2020-12-11,0,0,0,2.91,0,115093723.0
2020-12-10,0,0,0,3.03,0,120199394.0
2020-12-09,0,0,0,3.06,0,121324308.0
2020-12-08,0,0,0,3.08,0,122166020.0
2020-12-07,0,0,0,3.4,0,134591091.0
2020-12-06,0,0,0,3.46,0,136965639.0
2020-12-05,0,0,0,3.28,0,129975975.0
2020-12-04,0,0,0,3.2,0,126675420.0
2020-12-03,0,0,0,3.37,0,133604205.0
2020-12-02,0,0,0,3.42,0,135644757.0
2020-12-01,0,0,0,3.33,0,131713092.0
2020-11-30,0,0,0,3.43,0,135668951.0
2020-11-29,0,0,0,3.27,0,129624204.0
2020-11-28,0,0,0,3.27,0,129666800.0
2020-11-27,0,0,0,3.14,0,124365250.0
2020-11-26,0,0,0,3.26,0,129086912.0
2020-11-25,0,0,0,3.7,0,146522075.0
2020-11-24,0,0,0,4.03,0,159655941.0
2020-11-23,0,0,0,4.15,0,164283762.0
2020-11-22,0,0,0,3.91,0,154800587.0
2020-11-21,0,0,0,3.49,0,138380958.0
2020-11-20,0,0,0,3.12,0,123642958.0
2020-11-19,0,0,0,3.07,0,121696259.0
2020-11-18,0,0,0,3.18,0,126127007.0
2020-11-17,0,0,0,3.32,0,131695276.0
2020-11-16,0,0,0,3.28,0,129903813.0
2020-11-15,0,0,0,3.23,0,127846528.0
2020-11-14,0,0,0,3.31,0,131122909.0
2020-11-13,0,0,0,3.5,0,138641777.0
2020-11-12,0,0,0,3.21,0,126992069.0
2020-11-11,0,0,0,3.56,0,140813873.0
2020-11-10,0,0,0,3.23,0,128110927.0
2020-11-09,0,0,0,3.09,0,122254471.0
2020-11-08,0,0,0,3.11,0,123127095.0
2020-11-07,0,0,0,2.91,0,115176125.0
2020-11-06,0,0,0,3.04,0,120556181.0
2020-11-05,0,0,0,2.87,0,113508850.0
2020-11-04,0,0,0,2.78,0,109947104.0
2020-11-03,0,0,0,2.86,0,113463695.0
2020-11-02,0,0,0,3.01,0,119246126.0
2020-11-01,0,0,0,3.06,0,121030019.0
2020-10-31,0,0,0,3.09,0,122551100.0
2020-10-30,0,0,0,3.09,0,122468287.0
2020-10-29,0,0,0,3.02,0,119687076.0
2020-10-28,0,0,0,3.1,0,122980483.0
2020-10-27,0,0,0,3.32,0,131655855.0
2020-10-26,0,0,0,3.02,0,100201344.0
2020-10-25,0,0,0,3.15,0,104427816.0
2020-10-24,0,0,0,3.31,0,109865183.0
2020-10-23,0,0,0,3.35,0,111102059.0
2020-10-22,0,0,0,3.14,0,104128147.0
2020-10-21,0,0,0,3.0,0,99461903.0
2020-10-20,0,0,0,2.89,0,95765005.0
2020-10-19,0,0,0,3.22,0,106736415.0
2020-10-18,0,0,0,3.31,0,109858291.0
2020-10-17,0,0,0,3.24,0,107230377.0
2020-10-16,0,0,0,3.2,0,106189030.0
2020-10-15,0,0,0,3.3,0,109480178.0
2020-10-14,0,0,0,3.45,0,114187079.0
2020-10-13,0,0,0,3.61,0,119697777.0
2020-10-12,0,0,0,3.75,0,124212120.0
2020-10-11,0,0,0,3.85,0,127668553.0
2020-10-10,0,0,0,3.67,0,121544812.0
2020-10-09,0,0,0,3.67,0,121629850.0
2020-10-08,0,0,0,3.41,0,113065998.0
2020-10-07,0,0,0,3.3,0,109269422.0
2020-10-06,0,0,0,3.34,0,110725952.0
2020-10-05,0,0,0,3.54,0,117303481.0
2020-10-04,0,0,0,3.53,0,117007165.0
2020-10-03,0,0,0,3.53,0,116876931.0
2020-10-02,0,0,0,3.52,0,116516697.0
2020-10-01,0,0,0,3.78,0,125234079.0
2020-09-30,0,0,0,3.66,0,121236278.0
2020-09-29,0,0,0,3.68,0,122023862.0
2020-09-28,0,0,0,3.39,0,112388022.0
2020-09-27,0,0,0,3.36,0,111215312.0
2020-09-26,0,0,0,3.62,0,120101064.0
2020-09-25,0,0,0,3.78,0,125312859.0
2020-09-24,0,0,0,3.34,0,110837693.0
2020-09-23,0,0,0,3.12,0,103550693.0
2020-09-22,0,0,0,3.29,0,109093788.0
2020-09-21,0,0,0,3.23,0,107035403.0
2020-09-20,0,0,0,3.77,0,125042498.0
2020-09-19,0,0,0,4.24,0,140457114.0
2020-09-18,0,0,0,4.31,0,142975467.0
2020-09-17,0,0,0,4.31,0,142861857.0
2020-09-16,0,0,0,4.41,0,146102098.0
2020-09-15,0,0,0,4.35,0,144217696.0
2020-09-14,0,0,0,5.55,0,183942250.0
2020-09-13,0,0,0,4.95,0,164074251.0
2020-09-12,0,0,0,4.79,0,158620061.0
2020-09-11,0,0,0,4.44,0,147308477.0
2020-09-10,0,0,0,4.61,0,152819876.0
2020-09-09,0,0,0,4.6,0,152580837.0
2020-09-08,0,0,0,4.04,0,133844908.0
2020-09-07,0,0,0,4.54,0,150623877.0
2020-09-06,0,0,0,4.76,0,157611338.0
2020-09-05,0,0,0,4.32,0,143126063.0
2020-09-04,0,0,0,5.53,0,183418749.0
2020-09-03,0,0,0,4.91,0,162757048.0
2020-09-02,0,0,0,6.35,0,210402014.0
2020-09-01,0,0,0,7.45,0,246904040.0
2020-08-31,0,0,0,8.21,0,272039018.0
2020-08-30,0,0,0,8.95,0,296582866.0
2020-08-29,0,0,0,7.39,0,244995208.0
2020-08-28,0,0,0,7.87,0,260823120.0
2020-08-27,0,0,0,8.28,0,274558102.0
2020-08-26,0,0,0,9.58,0,317541999.0
2020-08-25,0,0,0,7.36,0,243904274.0
