date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,2.58,0,3819128.0
2020-12-13,0,0,0,2.64,0,3918252.0
2020-12-12,0,0,0,2.6,0,3850694.0
2020-12-11,0,0,0,2.54,0,3762216.0
2020-12-10,0,0,0,2.89,0,4289124.0
2020-12-09,0,0,0,3.13,0,4637087.0
2020-12-08,0,0,0,3.05,0,4527186.0
2020-12-07,0,0,0,2.48,0,3679956.0
2020-12-06,0,0,0,2.6,0,3851324.0
2020-12-05,0,0,0,2.68,0,3967225.0
2020-12-04,0,0,0,2.53,0,3755293.0
2020-12-03,0,0,0,2.84,0,4207828.0
2020-12-02,0,0,0,2.33,0,4207828.0
2020-12-01,0,0,0,2.01,0,4207828.0
2020-11-30,0,0,0,1.76,0,4207828.0
2020-11-29,0,0,0,1.78,0,4207828.0
2020-11-28,0,0,0,1.81,0,4207828.0
2020-11-27,0,0,0,1.8,0,4207828.0
2020-11-26,0,0,0,1.83,0,4207828.0
2020-11-25,0,0,0,2.11,0,4207828.0
2020-11-24,0,0,0,2.09,0,4207828.0
2020-11-23,0,0,0,2.06,0,4207828.0
2020-11-22,0,0,0,2.12,0,4207828.0
2020-11-21,0,0,0,2.24,0,4207828.0
2020-11-20,0,0,0,2.3,0,4207828.0
2020-11-19,0,0,0,2.22,0,4207828.0
2020-11-18,0,0,0,2.62,0,4207828.0
2020-11-17,0,0,0,3.94,0,4207828.0
2020-11-16,0,0,0,1.41,0,4207828.0
2020-11-15,0,0,0,1.2,0,4207828.0
2020-11-14,0,0,0,1.11,0,4207828.0
2020-11-13,0,0,0,1.02,0,4207828.0
2020-11-12,0,0,0,1.08,0,4207828.0
2020-11-11,0,0,0,0.936307,0,4207828.0
2020-11-10,0,0,0,0.972118,0,4207828.0
2020-11-09,0,0,0,1.05,0,4207828.0
2020-11-08,0,0,0,0.941448,0,4207828.0
2020-11-07,0,0,0,1.11,0,4207828.0
2020-11-06,0,0,0,1.16,0,4207828.0
2020-11-05,0,0,0,1.31,0,4207828.0
2020-11-04,0,0,0,1.25,0,4207828.0
2020-11-03,0,0,0,1.21,0,4207828.0
2020-11-02,0,0,0,1.16,0,4207828.0
2020-11-01,0,0,0,1.03,0,4207828.0
2020-10-31,0,0,0,1.11,0,4207828.0
2020-10-30,0,0,0,1.11,0,4207828.0
2020-10-29,0,0,0,0.965868,0,4207828.0
2020-10-28,0,0,0,0.950442,0,4207828.0
2020-10-27,0,0,0,0.947466,0,4207828.0
2020-10-26,0,0,0,0.97118,0,4207828.0
2020-10-25,0,0,0,0.879526,0,4207828.0
2020-10-24,0,0,0,0.907443,0,4207828.0
2020-10-23,0,0,0,0.910102,0,4207828.0
2020-10-22,0,0,0,0.84789,0,4207828.0
