date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,2.27,0,75640071.0
2020-12-13,0,0,0,2.3,0,76755068.0
2020-12-12,0,0,0,2.24,0,74688748.0
2020-12-11,0,0,0,2.27,0,75696219.0
2020-12-10,0,0,0,2.25,0,75242047.0
2020-12-09,0,0,0,2.17,0,72612630.0
2020-12-08,0,0,0,2.06,0,68739909.0
2020-12-07,0,0,0,2.23,0,74607963.0
2020-12-06,0,0,0,2.25,0,75155681.0
2020-12-05,0,0,0,2.32,0,77332581.0
2020-12-04,0,0,0,2.08,0,69332558.0
2020-12-03,0,0,0,2.25,0,75279228.0
2020-12-02,0,0,0,2.23,0,74609560.0
2020-12-01,0,0,0,2.2,0,73383962.0
2020-11-30,0,0,0,2.36,0,78740966.0
2020-11-29,0,0,0,2.29,0,76329935.0
2020-11-28,0,0,0,2.28,0,76229721.0
2020-11-27,0,0,0,2.27,0,75716808.0
2020-11-26,0,0,0,2.32,0,77537650.0
2020-11-25,0,0,0,2.57,0,85931525.0
2020-11-24,0,0,0,2.48,0,82834243.0
2020-11-23,0,0,0,2.65,0,88646433.0
2020-11-22,0,0,0,2.59,0,86649850.0
2020-11-21,0,0,0,2.63,0,87859250.0
2020-11-20,0,0,0,2.6,0,86681901.0
2020-11-19,0,0,0,2.38,0,79617551.0
2020-11-18,0,0,0,2.53,0,84327312.0
2020-11-17,0,0,0,2.62,0,87358706.0
2020-11-16,0,0,0,2.6,0,86986340.0
2020-11-15,0,0,0,2.28,0,76259171.0
2020-11-14,0,0,0,2.29,0,76497168.0
2020-11-13,0,0,0,2.27,0,75949848.0
2020-11-12,0,0,0,2.18,0,72869409.0
2020-11-11,0,0,0,2.21,0,73957411.0
2020-11-10,0,0,0,2.35,0,78519647.0
2020-11-09,0,0,0,2.18,0,72673389.0
2020-11-08,0,0,0,2.24,0,74654382.0
2020-11-07,0,0,0,2.2,0,73336455.0
2020-11-06,0,0,0,2.26,0,75478720.0
2020-11-05,0,0,0,1.84,0,61471366.0
2020-11-04,0,0,0,1.7,0,56748612.0
2020-11-03,0,0,0,1.83,0,61090690.0
2020-11-02,0,0,0,2.01,0,66984894.0
2020-11-01,0,0,0,2.32,0,77525015.0
2020-10-31,0,0,0,2.18,0,72716559.0
2020-10-30,0,0,0,2.27,0,75914344.0
2020-10-29,0,0,0,2.38,0,79576725.0
2020-10-28,0,0,0,2.39,0,79793943.0
2020-10-27,0,0,0,2.55,0,85209795.0
2020-10-26,0,0,0,2.76,0,92130092.0
2020-10-25,0,0,0,2.92,0,97380029.0
