date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.023531,0,22094467.0
2020-12-13,0,0,0,0.020925,0,19646823.0
2020-12-12,0,0,0,0.020599,0,19340791.0
2020-12-11,0,0,0,0.019435,0,18248003.0
2020-12-10,0,0,0,0.021068,0,19781355.0
2020-12-09,0,0,0,0.021687,0,20362776.0
2020-12-08,0,0,0,0.0206,0,19784777.0
2020-12-07,0,0,0,0.023097,0,22183100.0
2020-12-06,0,0,0,0.022839,0,21935841.0
2020-12-05,0,0,0,0.02338,0,22454594.0
2020-12-04,0,0,0,0.022363,0,21478527.0
2020-12-03,0,0,0,0.024634,0,23659715.0
2020-12-02,0,0,0,0.024135,0,23180265.0
2020-12-01,0,0,0,0.022719,0,21819963.0
2020-11-30,0,0,0,0.023412,0,22486128.0
2020-11-29,0,0,0,0.024901,0,23915735.0
2020-11-28,0,0,0,0.021294,0,20451204.0
2020-11-27,0,0,0,0.021383,0,20536652.0
2020-11-26,0,0,0,0.021015,0,20183124.0
2020-11-25,0,0,0,0.023933,0,22985795.0
2020-11-24,0,0,0,0.02485,0,23867109.0
2020-11-23,0,0,0,0.025647,0,24632772.0
2020-11-22,0,0,0,0.022416,0,21529358.0
2020-11-21,0,0,0,0.021835,0,20971161.0
2020-11-20,0,0,0,0.020074,0,19279876.0
2020-11-19,0,0,0,0.019128,0,18351678.0
2020-11-18,0,0,0,0.019276,0,18493852.0
2020-11-17,0,0,0,0.021373,0,20505926.0
2020-11-16,0,0,0,0.019303,0,18520144.0
2020-11-15,0,0,0,0.017782,0,17060377.0
2020-11-14,0,0,0,0.016966,0,16277343.0
2020-11-13,0,0,0,0.017453,0,16745104.0
2020-11-12,0,0,0,0.016497,0,15828157.0
2020-11-11,0,0,0,0.017635,0,16919979.0
2020-11-10,0,0,0,0.019757,0,18955165.0
2020-11-09,0,0,0,0.01724,0,16540226.0
2020-11-08,0,0,0,0.018259,0,17518300.0
2020-11-07,0,0,0,0.01663,0,15955898.0
2020-11-06,0,0,0,0.015774,0,15133871.0
2020-11-05,0,0,0,0.014048,0,13477966.0
2020-11-04,0,0,0,0.013464,0,12904823.0
2020-11-03,0,0,0,0.013646,0,13072130.0
2020-11-02,0,0,0,0.014491,0,13881021.0
2020-11-01,0,0,0,0.014699,0,14080418.0
2020-10-31,0,0,0,0.015775,0,13638960.0
2020-10-30,0,0,0,0.013214,0,11424980.0
2020-10-29,0,0,0,0.013304,0,11488707.0
2020-10-28,0,0,0,0.014504,0,12525066.0
2020-10-27,0,0,0,0.015247,0,13166652.0
2020-10-26,0,0,0,0.016115,0,13952737.0
2020-10-25,0,0,0,0.017179,0,14873948.0
2020-10-24,0,0,0,0.017267,0,14950481.0
2020-10-23,0,0,0,0.01742,0,15082539.0
2020-10-22,0,0,0,0.017821,0,15429625.0
2020-10-21,0,0,0,0.017199,0,14891353.0
2020-10-20,0,0,0,0.017168,0,14864528.0
2020-10-19,0,0,0,0.018473,0,15809532.0
2020-10-18,0,0,0,0.018658,0,15967675.0
2020-10-17,0,0,0,0.018768,0,16062340.0
2020-10-16,0,0,0,0.018315,0,15674183.0
2020-10-15,0,0,0,0.020751,0,17758947.0
2020-10-14,0,0,0,0.021902,0,18743999.0
2020-10-13,0,0,0,0.02006,0,17167607.0
2020-10-12,0,0,0,0.020213,0,17298682.0
2020-10-11,0,0,0,0.020072,0,17178423.0
2020-10-10,0,0,0,0.019912,0,17041508.0
2020-10-09,0,0,0,0.020178,0,17269354.0
2020-10-08,0,0,0,0.01909,0,16337452.0
2020-10-07,0,0,0,0.018523,0,15852215.0
2020-10-06,0,0,0,0.017924,0,15339694.0
2020-10-05,0,0,0,0.021709,0,18578931.0
2020-10-04,0,0,0,0.021863,0,18711279.0
2020-10-03,0,0,0,0.021707,0,18577808.0
2020-10-02,0,0,0,0.021501,0,18401585.0
2020-10-01,0,0,0,0.021975,0,18806992.0
2020-09-30,0,0,0,0.023343,0,19977479.0
2020-09-29,0,0,0,0.024505,0,20972149.0
2020-09-28,0,0,0,0.024449,0,20924364.0
2020-09-27,0,0,0,0.023285,0,19927875.0
2020-09-26,0,0,0,0.02327,0,19915005.0
2020-09-25,0,0,0,0.022895,0,19594386.0
2020-09-24,0,0,0,0.023667,0,20254763.0
2020-09-23,0,0,0,0.021069,0,18031576.0
2020-09-22,0,0,0,0.02503,0,21421449.0
2020-09-21,0,0,0,0.025274,0,21629917.0
2020-09-20,0,0,0,0.029475,0,25225641.0
2020-09-19,0,0,0,0.032782,0,27727844.0
2020-09-18,0,0,0,0.032003,0,27068705.0
2020-09-17,0,0,0,0.03113,0,26330962.0
2020-09-16,0,0,0,0.029576,0,25016206.0
2020-09-15,0,0,0,0.0339,0,28673932.0
2020-09-14,0,0,0,0.037458,0,31683019.0
2020-09-13,0,0,0,0.039048,0,33027634.0
2020-09-12,0,0,0,0.039313,0,33252485.0
2020-09-11,0,0,0,0.040376,0,34151619.0
2020-09-10,0,0,0,0.042566,0,36003228.0
2020-09-09,0,0,0,0.041513,0,35112669.0
2020-09-08,0,0,0,0.040914,0,34605976.0
2020-09-07,0,0,0,0.040355,0,34133144.0
2020-09-06,0,0,0,0.041609,0,35193908.0
2020-09-05,0,0,0,0.032155,0,27197676.0
2020-09-04,0,0,0,0.041046,0,34717783.0
2020-09-03,0,0,0,0.039865,0,33718758.0
2020-09-02,0,0,0,0.03996,0,33799519.0
2020-09-01,0,0,0,0.040485,0,34243172.0
2020-08-31,0,0,0,0.044152,0,37345338.0
2020-08-30,0,0,0,0.04214,0,35642880.0
2020-08-29,0,0,0,0.040947,0,34633820.0
2020-08-28,0,0,0,0.042609,0,36039639.0
2020-08-27,0,0,0,0.037526,0,31740264.0
2020-08-26,0,0,0,0.037755,0,31934077.0
2020-08-25,0,0,0,0.038233,0,32338991.0
2020-08-24,0,0,0,0.038722,0,32752226.0
2020-08-23,0,0,0,0.036476,0,30852206.0
2020-08-22,0,0,0,0.038956,0,32949963.0
2020-08-21,0,0,0,0.035435,0,29972017.0
2020-08-20,0,0,0,0.041517,0,35116323.0
2020-08-19,0,0,0,0.039573,0,33472321.0
2020-08-18,0,0,0,0.042364,0,35832627.0
2020-08-17,0,0,0,0.045365,0,38371126.0
2020-08-16,0,0,0,0.050412,0,42640131.0
2020-08-15,0,0,0,0.045334,0,37891838.0
2020-08-14,0,0,0,0.049774,0,41602853.0
2020-08-13,0,0,0,0.038588,0,32252803.0
2020-08-12,0,0,0,0.033963,0,28285238.0
2020-08-11,0,0,0,0.034885,0,29052996.0
2020-08-10,0,0,0,0.038528,0,32087496.0
2020-08-09,0,0,0,0.029104,0,21504289.0
2020-08-08,0,0,0,0.029339,0,21611558.0
2020-08-07,0,0,0,0.026397,0,19444857.0
2020-08-06,0,0,0,0.026938,0,19842801.0
2020-08-05,0,0,0,0.023147,0,17027770.0
2020-08-04,0,0,0,0.022624,0,16643085.0
2020-08-03,0,0,0,0.022806,0,16776866.0
2020-08-02,0,0,0,0.021406,0,15746993.0
2020-08-01,0,0,0,0.022237,0,16358362.0
2020-07-31,0,0,0,0.023049,0,16955732.0
2020-07-30,0,0,0,0.022919,0,16859912.0
2020-07-29,0,0,0,0.021679,0,15947351.0
2020-07-28,0,0,0,0.023346,0,17173832.0
2020-07-27,0,0,0,0.020893,0,15578360.0
2020-07-26,0,0,0,0.023978,0,17794372.0
2020-07-25,0,0,0,0.025959,0,19264585.0
2020-07-24,0,0,0,0.022691,0,16839695.0
2020-07-23,0,0,0,0.02241,0,16630693.0
2020-07-22,0,0,0,0.022614,0,16782644.0
2020-07-21,0,0,0,0.021787,0,16168469.0
2020-07-20,0,0,0,0.022229,0,16496803.0
2020-07-19,0,0,0,0.022146,0,16435398.0
2020-07-18,0,0,0,0.02275,0,16655530.0
2020-07-17,0,0,0,0.023623,0,17295108.0
2020-07-16,0,0,0,0.020332,0,14885199.0
2020-07-15,0,0,0,0.022794,0,16688243.0
2020-07-14,0,0,0,0.022994,0,16834266.0
2020-07-13,0,0,0,0.023721,0,17367045.0
2020-07-12,0,0,0,0.024041,0,17600977.0
2020-07-11,0,0,0,0.028009,0,20506026.0
2020-07-10,0,0,0,0.03657,0,26773596.0
2020-07-09,0,0,0,0.026825,0,19638963.0
2020-07-08,0,0,0,0.01505,0,11018352.0
2020-07-07,0,0,0,0.013448,0,9845715.0
2020-07-06,0,0,0,0.013599,0,9956255.0
2020-07-05,0,0,0,0.013357,0,9778770.0
2020-07-04,0,0,0,0.013535,0,9909404.0
2020-07-03,0,0,0,0.01352,0,9898566.0
2020-07-02,0,0,0,0.013171,0,9642524.0
2020-07-01,0,0,0,0.01361,0,10100473.0
2020-06-30,0,0,0,0.013787,0,10231967.0
2020-06-29,0,0,0,0.012528,0,9297566.0
2020-06-28,0,0,0,0.012087,0,8969809.0
2020-06-27,0,0,0,0.011833,0,8781571.0
2020-06-26,0,0,0,0.012943,0,9605517.0
2020-06-25,0,0,0,0.013322,0,9886696.0
2020-06-24,0,0,0,0.012695,0,9421305.0
2020-06-23,0,0,0,0.013432,0,9968498.0
2020-06-22,0,0,0,0.013622,0,10109413.0
2020-06-21,0,0,0,0.013794,0,10098629.0
2020-06-20,0,0,0,0.014077,0,10306447.0
2020-06-19,0,0,0,0.014243,0,10427870.0
2020-06-18,0,0,0,0.014297,0,10466866.0
2020-06-17,0,0,0,0.013748,0,10065026.0
2020-06-16,0,0,0,0.013426,0,9829719.0
2020-06-15,0,0,0,0.012392,0,9072830.0
2020-06-14,0,0,0,0.012372,0,9057626.0
2020-06-13,0,0,0,0.013029,0,9538640.0
2020-06-12,0,0,0,0.012723,0,9315135.0
2020-06-11,0,0,0,0.012139,0,8887366.0
2020-06-10,0,0,0,0.013433,0,9834427.0
2020-06-09,0,0,0,0.013379,0,9795333.0
2020-06-08,0,0,0,0.012654,0,9264216.0
2020-06-07,0,0,0,0.012222,0,8948146.0
2020-06-06,0,0,0,0.011367,0,8321750.0
2020-06-05,0,0,0,0.011246,0,8233784.0
2020-06-04,0,0,0,0.011198,0,8198377.0
2020-06-03,0,0,0,0.011334,0,8298097.0
2020-06-02,0,0,0,0.010761,0,7878457.0
2020-06-01,0,0,0,0.011037,0,8080796.0
2020-05-31,0,0,0,0.010803,0,7909060.0
2020-05-30,0,0,0,0.011455,0,8386644.0
2020-05-29,0,0,0,0.01112,0,8141183.0
2020-05-28,0,0,0,0.010945,0,8012787.0
2020-05-27,0,0,0,0.010976,0,8035775.0
2020-05-26,0,0,0,0.011001,0,8054141.0
2020-05-25,0,0,0,0.011175,0,8113481.0
2020-05-24,0,0,0,0.010512,0,7631611.0
2020-05-23,0,0,0,0.010652,0,7733579.0
2020-05-22,0,0,0,0.010705,0,7772238.0
2020-05-21,0,0,0,0.010133,0,7356905.0
2020-05-20,0,0,0,0.010784,0,7829457.0
2020-05-19,0,0,0,0.010758,0,7810303.0
2020-05-18,0,0,0,0.010864,0,7887751.0
2020-05-17,0,0,0,0.010819,0,7854712.0
2020-05-16,0,0,0,0.010841,0,7870873.0
2020-05-15,0,0,0,0.01086,0,7884537.0
2020-05-14,0,0,0,0.013556,0,9841877.0
2020-05-13,0,0,0,0.010651,0,7733169.0
2020-05-12,0,0,0,0.011351,0,8241134.0
2020-05-11,0,0,0,0.012201,0,8858255.0
2020-05-10,0,0,0,0.011985,0,8701111.0
2020-05-09,0,0,0,0.01213,0,8806572.0
2020-05-08,0,0,0,0.011629,0,8442610.0
2020-05-07,0,0,0,0.010126,0,7351770.0
2020-05-06,0,0,0,0.010265,0,7452375.0
2020-05-05,0,0,0,0.009976,0,7243001.0
2020-05-04,0,0,0,0.009855,0,7155184.0
2020-05-03,0,0,0,0.010574,0,7666141.0
2020-05-02,0,0,0,0.01126,0,8163735.0
2020-05-01,0,0,0,0.010653,0,7723556.0
2020-04-30,0,0,0,0.010266,0,7442905.0
2020-04-29,0,0,0,0.010282,0,7454972.0
2020-04-28,0,0,0,0.010072,0,7302277.0
2020-04-27,0,0,0,0.009811,0,6687594.0
2020-04-26,0,0,0,0.009877,0,6816897.0
