date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,5.01,0,6126093.0
2020-12-13,0,0,0,4.27,0,6126093.0
2020-12-12,0,0,0,4.22,0,6126093.0
2020-12-11,0,0,0,4.23,0,6126093.0
2020-12-10,0,0,0,4.1,0,6126093.0
2020-12-09,0,0,0,4.15,0,6126093.0
2020-12-08,0,0,0,4.18,0,6126093.0
2020-12-07,0,0,0,4.35,0,6126093.0
2020-12-06,0,0,0,4.31,0,6126093.0
2020-12-05,0,0,0,4.31,0,6126093.0
2020-12-04,0,0,0,4.19,0,6126093.0
2020-12-03,0,0,0,4.48,0,6126093.0
2020-12-02,0,0,0,4.52,0,6126093.0
2020-12-01,0,0,0,4.11,0,6126093.0
2020-11-30,0,0,0,4.01,0,6126093.0
2020-11-29,0,0,0,4.0,0,6126093.0
2020-11-28,0,0,0,4.17,0,6126093.0
2020-11-27,0,0,0,4.35,0,6126093.0
2020-11-26,0,0,0,4.52,0,6126093.0
2020-11-25,0,0,0,5.18,0,6126093.0
2020-11-24,0,0,0,5.11,0,6126093.0
2020-11-23,0,0,0,4.91,0,6126093.0
2020-11-22,0,0,0,4.56,0,6126093.0
2020-11-21,0,0,0,4.71,0,6126093.0
2020-11-20,0,0,0,4.43,0,6126093.0
2020-11-19,0,0,0,4.27,0,6126093.0
2020-11-18,0,0,0,4.3,0,6126093.0
2020-11-17,0,0,0,4.46,0,6126093.0
2020-11-16,0,0,0,4.49,0,6126093.0
2020-11-15,0,0,0,4.41,0,6126093.0
2020-11-14,0,0,0,4.46,0,6126093.0
2020-11-13,0,0,0,4.47,0,6126093.0
2020-11-12,0,0,0,4.47,0,6126093.0
2020-11-11,0,0,0,4.56,0,6126093.0
2020-11-10,0,0,0,4.63,0,6126093.0
2020-11-09,0,0,0,4.65,0,6126093.0
2020-11-08,0,0,0,4.28,0,6126093.0
2020-11-07,0,0,0,4.12,0,6126093.0
2020-11-06,0,0,0,4.41,0,6126093.0
2020-11-05,0,0,0,3.96,0,6126093.0
2020-11-04,0,0,0,3.95,0,6126093.0
2020-11-03,0,0,0,3.88,0,6126093.0
2020-11-02,0,0,0,3.91,0,6126093.0
2020-11-01,0,0,0,4.02,0,6126093.0
2020-10-31,0,0,0,3.94,0,6126093.0
2020-10-30,0,0,0,3.92,0,6126093.0
2020-10-29,0,0,0,3.84,0,6126093.0
2020-10-28,0,0,0,4.06,0,6126093.0
2020-10-27,0,0,0,4.22,0,6126093.0
2020-10-26,0,0,0,4.26,0,6126093.0
2020-10-25,0,0,0,4.36,0,6126093.0
2020-10-24,0,0,0,4.49,0,6126093.0
2020-10-23,0,0,0,4.4,0,6126093.0
2020-10-22,0,0,0,4.45,0,6126093.0
2020-10-21,0,0,0,4.35,0,6126093.0
2020-10-20,0,0,0,4.32,0,6126093.0
2020-10-19,0,0,0,4.47,0,6126093.0
2020-10-18,0,0,0,4.35,0,6126093.0
2020-10-17,0,0,0,4.21,0,6126093.0
2020-10-16,0,0,0,4.46,0,6126093.0
2020-10-15,0,0,0,4.29,0,6126093.0
2020-10-14,0,0,0,4.23,0,6126093.0
2020-10-13,0,0,0,4.36,0,6126093.0
2020-10-12,0,0,0,4.37,0,6126093.0
2020-10-11,0,0,0,4.34,0,6126093.0
2020-10-10,0,0,0,4.37,0,6126093.0
2020-10-09,0,0,0,4.43,0,6126093.0
2020-10-08,0,0,0,4.2,0,6126093.0
2020-10-07,0,0,0,3.88,0,6126093.0
2020-10-06,0,0,0,3.89,0,6126093.0
2020-10-05,0,0,0,4.11,0,6126093.0
2020-10-04,0,0,0,4.41,0,6126093.0
2020-10-03,0,0,0,4.4,0,6126093.0
2020-10-02,0,0,0,4.34,0,6126093.0
2020-10-01,0,0,0,4.54,0,6126093.0
2020-09-30,0,0,0,4.84,0,6126093.0
2020-09-29,0,0,0,4.58,0,6126093.0
2020-09-28,0,0,0,4.49,0,6126093.0
2020-09-27,0,0,0,4.68,0,6126093.0
2020-09-26,0,0,0,4.76,0,6126093.0
2020-09-25,0,0,0,4.75,0,6126093.0
2020-09-24,0,0,0,4.84,0,6126093.0
2020-09-23,0,0,0,4.43,0,6126093.0
2020-09-22,0,0,0,4.74,0,6126093.0
2020-09-21,0,0,0,4.24,0,6126093.0
2020-09-20,0,0,0,4.42,0,6126093.0
2020-09-19,0,0,0,4.75,0,6126093.0
2020-09-18,0,0,0,4.85,0,6126093.0
2020-09-17,0,0,0,4.88,0,6126093.0
2020-09-16,0,0,0,4.84,0,6126093.0
2020-09-15,0,0,0,4.78,0,6126093.0
2020-09-14,0,0,0,4.91,0,6126093.0
2020-09-13,0,0,0,4.44,0,6126093.0
2020-09-12,0,0,0,4.69,0,6126093.0
2020-09-11,0,0,0,4.46,0,6126093.0
2020-09-10,0,0,0,4.49,0,6126093.0
2020-09-09,0,0,0,4.4,0,6126093.0
2020-09-08,0,0,0,3.97,0,6126093.0
2020-09-07,0,0,0,4.02,0,6126093.0
2020-09-06,0,0,0,3.96,0,6126093.0
2020-09-05,0,0,0,3.78,0,6126093.0
2020-09-04,0,0,0,4.35,0,6126093.0
2020-09-03,0,0,0,4.12,0,6126093.0
2020-09-02,0,0,0,5.23,0,6126093.0
2020-09-01,0,0,0,5.47,0,6126093.0
2020-08-31,0,0,0,5.5,0,6126093.0
2020-08-30,0,0,0,5.59,0,6126093.0
2020-08-29,0,0,0,5.66,0,6126093.0
2020-08-28,0,0,0,5.42,0,6126093.0
2020-08-27,0,0,0,5.35,0,6126093.0
2020-08-26,0,0,0,5.41,0,6126093.0
2020-08-25,0,0,0,5.65,0,6126093.0
2020-08-24,0,0,0,6.02,0,6126093.0
2020-08-23,0,0,0,5.97,0,6126093.0
2020-08-22,0,0,0,6.1,0,6126093.0
2020-08-21,0,0,0,5.92,0,6126093.0
2020-08-20,0,0,0,6.41,0,6126093.0
2020-08-19,0,0,0,5.91,0,6126093.0
2020-08-18,0,0,0,6.4,0,6126093.0
2020-08-17,0,0,0,6.83,0,6126093.0
2020-08-16,0,0,0,7.06,0,6126093.0
2020-08-15,0,0,0,6.58,0,6126093.0
2020-08-14,0,0,0,6.44,0,6126093.0
2020-08-13,0,0,0,6.05,0,6126093.0
2020-08-12,0,0,0,5.57,0,6126093.0
2020-08-11,0,0,0,4.83,0,6126093.0
2020-08-10,0,0,0,4.84,0,6126093.0
2020-08-09,0,0,0,4.74,0,6126093.0
2020-08-08,0,0,0,4.51,0,6126093.0
2020-08-07,0,0,0,4.45,0,6126093.0
2020-08-06,0,0,0,4.53,0,6126093.0
2020-08-05,0,0,0,4.6,0,6126093.0
2020-08-04,0,0,0,4.58,0,6126093.0
2020-08-03,0,0,0,4.54,0,6126093.0
2020-08-02,0,0,0,4.41,0,6126093.0
2020-08-01,0,0,0,4.61,0,6126093.0
2020-07-31,0,0,0,4.91,0,6126093.0
2020-07-30,0,0,0,4.58,0,6126093.0
2020-07-29,0,0,0,4.31,0,6126093.0
2020-07-28,0,0,0,4.21,0,6126093.0
2020-07-27,0,0,0,4.11,0,6126093.0
2020-07-26,0,0,0,4.17,0,6126093.0
2020-07-25,0,0,0,4.22,0,6126093.0
2020-07-24,0,0,0,4.23,0,6126093.0
2020-07-23,0,0,0,4.08,0,6126093.0
2020-07-22,0,0,0,4.16,0,6126093.0
2020-07-21,0,0,0,4.12,0,6126093.0
2020-07-20,0,0,0,3.62,0,6126093.0
2020-07-19,0,0,0,3.21,0,6126093.0
2020-07-18,0,0,0,3.23,0,6126093.0
2020-07-17,0,0,0,3.28,0,6126093.0
2020-07-16,0,0,0,3.22,0,6126093.0
2020-07-15,0,0,0,3.32,0,6126093.0
2020-07-14,0,0,0,3.41,0,6126093.0
2020-07-13,0,0,0,3.41,0,6126093.0
2020-07-12,0,0,0,3.46,0,6126093.0
2020-07-11,0,0,0,3.28,0,6126093.0
2020-07-10,0,0,0,3.36,0,6126093.0
2020-07-09,0,0,0,3.29,0,6126093.0
2020-07-08,0,0,0,3.3,0,6126093.0
2020-07-07,0,0,0,3.28,0,6126093.0
2020-07-06,0,0,0,3.35,0,6126093.0
2020-07-05,0,0,0,3.3,0,6126093.0
2020-07-04,0,0,0,3.36,0,6126093.0
2020-07-03,0,0,0,3.17,0,6126093.0
2020-07-02,0,0,0,3.17,0,6126093.0
2020-07-01,0,0,0,3.6,0,6126093.0
2020-06-30,0,0,0,3.75,0,6126093.0
2020-06-29,0,0,0,3.79,0,6126093.0
2020-06-28,0,0,0,3.88,0,6126093.0
2020-06-27,0,0,0,3.51,0,6126093.0
2020-06-26,0,0,0,4.08,0,6126093.0
2020-06-25,0,0,0,4.25,0,6126093.0
2020-06-24,0,0,0,4.39,0,6126093.0
2020-06-23,0,0,0,4.82,0,6126093.0
2020-06-22,0,0,0,4.86,0,6126093.0
2020-06-21,0,0,0,4.31,0,6126093.0
