date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.169233,0,20307985.0
2020-12-13,0,0,0,0.174037,0,20884386.0
2020-12-12,0,0,0,0.165564,0,19867734.0
2020-12-11,0,0,0,0.16228,0,19473650.0
2020-12-10,0,0,0,0.165043,0,19805186.0
2020-12-09,0,0,0,0.185122,0,22214642.0
2020-12-08,0,0,0,0.191668,0,23000209.0
2020-12-07,0,0,0,0.164548,0,19745772.0
2020-12-06,0,0,0,0.157092,0,18851051.0
2020-12-05,0,0,0,0.153393,0,18407195.0
2020-12-04,0,0,0,0.133935,0,16072236.0
2020-12-03,0,0,0,0.139668,0,16760194.0
2020-12-02,0,0,0,0.137169,0,16460301.0
2020-12-01,0,0,0,0.12449,0,14938823.0
2020-11-30,0,0,0,0.125238,0,15028567.0
2020-11-29,0,0,0,0.130159,0,15619092.0
2020-11-28,0,0,0,0.132088,0,15850512.0
2020-11-27,0,0,0,0.12753,0,15303625.0
2020-11-26,0,0,0,0.100241,0,12028977.0
2020-11-25,0,0,0,0.120217,0,14426064.0
2020-11-24,0,0,0,0.123923,0,14870731.0
2020-11-23,0,0,0,0.135278,0,16233328.0
2020-11-22,0,0,0,0.127305,0,15276585.0
2020-11-21,0,0,0,0.13499,0,16198826.0
2020-11-20,0,0,0,0.137717,0,16526005.0
2020-11-19,0,0,0,0.139376,0,16725060.0
2020-11-18,0,0,0,0.151761,0,18211350.0
2020-11-17,0,0,0,0.182758,0,21931013.0
2020-11-16,0,0,0,0.143016,0,17161904.0
2020-11-15,0,0,0,0.140326,0,16839147.0
2020-11-14,0,0,0,0.129612,0,15553481.0
2020-11-13,0,0,0,0.150484,0,18058137.0
2020-11-12,0,0,0,0.151472,0,18176676.0
2020-11-11,0,0,0,0.130476,0,15657063.0
2020-11-10,0,0,0,0.139723,0,16766746.0
2020-11-09,0,0,0,0.125453,0,15054388.0
2020-11-08,0,0,0,0.126005,0,15120545.0
2020-11-07,0,0,0,0.09961,0,11953167.0
2020-11-06,0,0,0,0.099365,0,11923837.0
2020-11-05,0,0,0,0.092995,0,11159381.0
2020-11-04,0,0,0,0.099444,0,11933274.0
2020-11-03,0,0,0,0.082326,0,9879124.0
2020-11-02,0,0,0,0.093387,0,11206410.0
2020-11-01,0,0,0,0.100829,0,12099424.0
2020-10-31,0,0,0,0.111651,0,13398104.0
2020-10-30,0,0,0,0.121453,0,14574345.0
2020-10-29,0,0,0,0.099577,0,11949220.0
2020-10-28,0,0,0,0.114557,0,13746807.0
2020-10-27,0,0,0,0.160101,0,19212069.0
2020-10-26,0,0,0,0.165881,0,19905765.0
2020-10-25,0,0,0,0.184467,0,22136051.0
2020-10-24,0,0,0,0.234492,0,28139004.0
2020-10-23,0,0,0,0.191735,0,23008228.0
