date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.770469,0,32248252.0
2020-12-13,0,0,0,0.767382,0,32099101.0
2020-12-12,0,0,0,0.746107,0,31220355.0
2020-12-11,0,0,0,0.719907,0,30124062.0
2020-12-10,0,0,0,0.743757,0,31125396.0
2020-12-09,0,0,0,0.783857,0,32807062.0
2020-12-08,0,0,0,0.722689,0,30262840.0
2020-12-07,0,0,0,0.764567,0,31886673.0
2020-12-06,0,0,0,0.774366,0,32323615.0
2020-12-05,0,0,0,0.776403,0,32459097.0
2020-12-04,0,0,0,0.774939,0,32421926.0
2020-12-03,0,0,0,0.805046,0,33622601.0
2020-12-02,0,0,0,0.81187,0,33927901.0
2020-12-01,0,0,0,0.805742,0,33718971.0
2020-11-30,0,0,0,0.875936,0,36660380.0
2020-11-29,0,0,0,0.871792,0,36502660.0
2020-11-28,0,0,0,0.889126,0,37195099.0
2020-11-27,0,0,0,0.803498,0,33682488.0
2020-11-26,0,0,0,0.782974,0,32850688.0
2020-11-25,0,0,0,0.879301,0,36936606.0
2020-11-24,0,0,0,0.913411,0,38416939.0
2020-11-23,0,0,0,0.832413,0,34933678.0
2020-11-22,0,0,0,0.76465,0,32091050.0
2020-11-21,0,0,0,0.771622,0,32403304.0
2020-11-20,0,0,0,0.732993,0,35123481.0
2020-11-19,0,0,0,0.722921,0,29956465.0
2020-11-18,0,0,0,0.725468,0,35980317.0
2020-11-17,0,0,0,0.766559,0,32566047.0
2020-11-16,0,0,0,0.724388,0,30078455.0
2020-11-15,0,0,0,0.735758,0,30570419.0
2020-11-14,0,0,0,0.736793,0,30626326.0
2020-11-13,0,0,0,0.708943,0,29481427.0
2020-11-12,0,0,0,0.649792,0,28243024.0
2020-11-11,0,0,0,0.702678,0,29259206.0
2020-11-10,0,0,0,0.771061,0,32089296.0
2020-11-09,0,0,0,0.809868,0,41163806.0
2020-11-08,0,0,0,0.743401,0,30968998.0
2020-11-07,0,0,0,0.711066,0,29633345.0
2020-11-06,0,0,0,0.710875,0,29638903.0
2020-11-05,0,0,0,0.712406,0,29715556.0
2020-11-04,0,0,0,0.669323,0,27889838.0
2020-11-03,0,0,0,0.779243,0,32487212.0
2020-11-02,0,0,0,0.747169,0,38709796.0
2020-11-01,0,0,0,0.611304,0,25495761.0
2020-10-31,0,0,0,0.624246,0,26718088.0
2020-10-30,0,0,0,0.528979,0,22171446.0
2020-10-29,0,0,0,0.425261,0,17875931.0
2020-10-28,0,0,0,0.411488,0,17342641.0
2020-10-27,0,0,0,0.428257,0,18078539.0
2020-10-26,0,0,0,0.431834,0,18229538.0
2020-10-25,0,0,0,0.442206,0,18904514.0
2020-10-24,0,0,0,0.478542,0,20165874.0
2020-10-23,0,0,0,0.46948,0,19799718.0
2020-10-22,0,0,0,0.503333,0,25787239.0
2020-10-21,0,0,0,0.48274,0,24732187.0
2020-10-20,0,0,0,0.512814,0,21644212.0
2020-10-19,0,0,0,0.565305,0,23883981.0
2020-10-18,0,0,0,0.577405,0,24396068.0
2020-10-17,0,0,0,0.530887,0,22425315.0
2020-10-16,0,0,0,0.542019,0,22901529.0
2020-10-15,0,0,0,0.584264,0,24694916.0
2020-10-14,0,0,0,0.566439,0,23970360.0
2020-10-13,0,0,0,0.568581,0,24061025.0
2020-10-12,0,0,0,0.583771,0,24735041.0
2020-10-11,0,0,0,0.566119,0,23994783.0
2020-10-10,0,0,0,0.577648,0,24484874.0
2020-10-09,0,0,0,0.565266,0,23901366.0
2020-10-08,0,0,0,0.518255,0,21913583.0
2020-10-07,0,0,0,0.514887,0,22383835.0
2020-10-06,0,0,0,0.499689,0,21113280.0
2020-10-05,0,0,0,0.552021,0,23345182.0
2020-10-04,0,0,0,0.572972,0,24254679.0
2020-10-03,0,0,0,0.583604,0,25057918.0
2020-10-02,0,0,0,0.558944,0,23646836.0
2020-10-01,0,0,0,0.557428,0,23594380.0
2020-09-30,0,0,0,0.567979,0,24051213.0
2020-09-29,0,0,0,0.581437,0,24601228.0
2020-09-28,0,0,0,0.586874,0,24836559.0
2020-09-27,0,0,0,0.635703,0,26878225.0
2020-09-26,0,0,0,0.649955,0,27480812.0
2020-09-25,0,0,0,0.665418,0,28101712.0
2020-09-24,0,0,0,0.642269,0,27141131.0
2020-09-23,0,0,0,0.590984,0,24957078.0
2020-09-22,0,0,0,0.636603,0,26901033.0
2020-09-21,0,0,0,0.678656,0,28721863.0
2020-09-20,0,0,0,0.771624,0,32656432.0
2020-09-19,0,0,0,0.830656,0,35154767.0
2020-09-18,0,0,0,0.780656,0,32999621.0
2020-09-17,0,0,0,0.805771,0,34061304.0
2020-09-16,0,0,0,0.832705,0,35199884.0
2020-09-15,0,0,0,0.915844,0,38556754.0
2020-09-14,0,0,0,1.04,0,43800929.0
2020-09-13,0,0,0,0.988535,0,41632354.0
2020-09-12,0,0,0,0.916323,0,38590235.0
2020-09-11,0,0,0,0.857761,0,36119202.0
2020-09-10,0,0,0,0.848639,0,35732146.0
2020-09-09,0,0,0,0.800207,0,33691689.0
2020-09-08,0,0,0,0.783827,0,32994202.0
2020-09-07,0,0,0,0.772825,0,32453546.0
2020-09-06,0,0,0,0.849758,0,35604761.0
2020-09-05,0,0,0,0.783891,0,32847684.0
2020-09-04,0,0,0,0.987204,0,41370650.0
2020-09-03,0,0,0,1.07,0,44853998.0
2020-09-02,0,0,0,1.21,0,50585617.0
2020-09-01,0,0,0,1.3,0,54475054.0
2020-08-31,0,0,0,1.38,0,57550832.0
2020-08-30,0,0,0,1.35,0,53431968.0
2020-08-29,0,0,0,1.33,0,52714224.0
2020-08-28,0,0,0,1.41,0,56017788.0
2020-08-27,0,0,0,1.33,0,52937990.0
2020-08-26,0,0,0,1.48,0,58848896.0
2020-08-25,0,0,0,1.28,0,51087589.0
2020-08-24,0,0,0,1.41,0,55868717.0
2020-08-23,0,0,0,1.37,0,54380992.0
2020-08-22,0,0,0,1.46,0,58170252.0
2020-08-21,0,0,0,1.33,0,53078713.0
2020-08-20,0,0,0,1.59,0,63050669.0
2020-08-19,0,0,0,1.46,0,58072134.0
2020-08-18,0,0,0,1.58,0,62952952.0
2020-08-17,0,0,0,1.6,0,63681948.0
2020-08-16,0,0,0,1.7,0,67705200.0
2020-08-15,0,0,0,1.78,0,70721422.0
2020-08-14,0,0,0,1.82,0,72287534.0
2020-08-13,0,0,0,1.86,0,73650617.0
2020-08-12,0,0,0,1.99,0,79155664.0
2020-08-11,0,0,0,1.82,0,71997874.0
2020-08-10,0,0,0,2.05,0,81184163.0
2020-08-09,0,0,0,1.81,0,71560463.0
2020-08-08,0,0,0,1.89,0,74345656.0
2020-08-07,0,0,0,1.85,0,72895239.0
2020-08-06,0,0,0,1.84,0,72540407.0
2020-08-05,0,0,0,2.03,0,79976669.0
2020-08-04,0,0,0,1.63,0,64078414.0
2020-08-03,0,0,0,1.71,0,67116477.0
2020-08-02,0,0,0,1.52,0,60034495.0
2020-08-01,0,0,0,1.7,0,66852575.0
2020-07-31,0,0,0,1.48,0,58237972.0
2020-07-30,0,0,0,1.67,0,65829942.0
2020-07-29,0,0,0,1.83,0,71679790.0
2020-07-28,0,0,0,1.56,0,61231717.0
2020-07-27,0,0,0,1.23,0,48302319.0
2020-07-26,0,0,0,1.21,0,47240248.0
2020-07-25,0,0,0,1.02,0,39948641.0
2020-07-24,0,0,0,1.07,0,41762216.0
2020-07-23,0,0,0,0.909599,0,35526753.0
2020-07-22,0,0,0,0.692908,0,27075094.0
2020-07-21,0,0,0,0.666787,0,26067098.0
2020-07-20,0,0,0,0.496487,0,19298021.0
2020-07-19,0,0,0,0.42504,0,16522192.0
2020-07-18,0,0,0,0.382196,0,14869167.0
2020-07-17,0,0,0,0.36713,0,14296824.0
2020-07-16,0,0,0,0.37084,0,14456116.0
2020-07-15,0,0,0,0.362498,0,14153577.0
2020-07-14,0,0,0,0.365364,0,14283934.0
2020-07-13,0,0,0,0.370329,0,14489419.0
2020-07-12,0,0,0,0.361484,0,14149317.0
2020-07-11,0,0,0,0.346433,0,13559331.0
2020-07-10,0,0,0,0.337701,0,13210636.0
2020-07-09,0,0,0,0.357449,0,13982094.0
2020-07-08,0,0,0,0.36127,0,13879571.0
2020-07-07,0,0,0,0.369366,0,14167889.0
2020-07-06,0,0,0,0.370001,0,14194482.0
2020-07-05,0,0,0,0.326699,0,12557260.0
2020-07-04,0,0,0,0.318772,0,12255940.0
2020-07-03,0,0,0,0.329552,0,12664975.0
2020-07-02,0,0,0,0.302771,0,11621411.0
2020-07-01,0,0,0,0.321245,0,12327624.0
2020-06-30,0,0,0,0.312681,0,11951620.0
2020-06-29,0,0,0,0.300353,0,11489424.0
2020-06-28,0,0,0,0.306863,0,11736436.0
2020-06-27,0,0,0,0.313823,0,11997465.0
2020-06-26,0,0,0,0.325042,0,12424764.0
2020-06-25,0,0,0,0.333186,0,12741041.0
2020-06-24,0,0,0,0.341552,0,13062319.0
2020-06-23,0,0,0,0.344026,0,13163144.0
2020-06-22,0,0,0,0.325121,0,12444528.0
2020-06-21,0,0,0,0.329831,0,12608643.0
2020-06-20,0,0,0,0.345783,0,13206150.0
2020-06-19,0,0,0,0.33129,0,12652485.0
2020-06-18,0,0,0,0.331962,0,12672005.0
2020-06-17,0,0,0,0.341857,0,13055362.0
2020-06-16,0,0,0,0.332328,0,12691457.0
2020-06-15,0,0,0,0.326004,0,12455639.0
2020-06-14,0,0,0,0.347318,0,13271217.0
2020-06-13,0,0,0,0.330861,0,12650156.0
2020-06-12,0,0,0,0.316775,0,12119371.0
2020-06-11,0,0,0,0.327643,0,12539234.0
2020-06-10,0,0,0,0.330386,0,12653482.0
2020-06-09,0,0,0,0.35559,0,13621779.0
2020-06-08,0,0,0,0.366693,0,14068209.0
2020-06-07,0,0,0,0.35867,0,13772229.0
2020-06-06,0,0,0,0.341849,0,13143275.0
2020-06-05,0,0,0,0.350157,0,13479679.0
2020-06-04,0,0,0,0.359554,0,13860127.0
2020-06-03,0,0,0,0.362986,0,13996406.0
2020-06-02,0,0,0,0.364343,0,14062387.0
2020-06-01,0,0,0,0.381408,0,14343263.0
2020-05-31,0,0,0,0.353829,0,13316389.0
2020-05-30,0,0,0,0.369849,0,13931678.0
2020-05-29,0,0,0,0.370258,0,13955957.0
2020-05-28,0,0,0,0.368027,0,13897463.0
2020-05-27,0,0,0,0.381219,0,14409327.0
2020-05-26,0,0,0,0.328908,0,12447537.0
2020-05-25,0,0,0,0.328008,0,12431696.0
2020-05-24,0,0,0,0.296026,0,11226345.0
2020-05-23,0,0,0,0.331369,0,12572972.0
2020-05-22,0,0,0,0.345323,0,13128157.0
2020-05-21,0,0,0,0.382903,0,14580212.0
2020-05-20,0,0,0,0.363357,0,13841561.0
2020-05-19,0,0,0,0.356415,0,12743828.0
2020-05-18,0,0,0,0.360955,0,12911395.0
2020-05-17,0,0,0,0.354158,0,12683308.0
2020-05-16,0,0,0,0.230888,0,8270766.0
2020-05-15,0,0,0,0.193988,0,6951017.0
2020-05-14,0,0,0,0.178436,0,6395365.0
2020-05-13,0,0,0,0.187133,0,6707469.0
2020-05-12,0,0,0,0.132313,0,4739366.0
2020-05-11,0,0,0,0.114806,0,4087210.0
2020-05-10,0,0,0,0.107523,0,3830658.0
2020-05-09,0,0,0,0.118111,0,4214832.0
2020-05-08,0,0,0,0.116471,0,4163297.0
2020-05-07,0,0,0,0.112369,0,4020337.0
2020-05-06,0,0,0,0.114231,0,4087628.0
2020-05-05,0,0,0,0.119664,0,4283239.0
2020-05-04,0,0,0,0.121452,0,4343814.0
2020-05-03,0,0,0,0.122835,0,4396027.0
2020-05-02,0,0,0,0.125263,0,4483779.0
2020-05-01,0,0,0,0.121017,0,4332596.0
2020-04-30,0,0,0,0.120111,0,4302200.0
2020-04-29,0,0,0,0.11804,0,4228902.0
2020-04-28,0,0,0,0.103838,0,3719598.0
2020-04-27,0,0,0,0.104163,0,3732367.0
2020-04-26,0,0,0,0.107407,0,3849134.0
2020-04-25,0,0,0,0.112685,0,4041622.0
2020-04-24,0,0,0,0.110278,0,3957710.0
2020-04-23,0,0,0,0.115415,0,4144119.0
2020-04-22,0,0,0,0.115733,0,4155833.0
2020-04-21,0,0,0,0.109484,0,3933205.0
2020-04-20,0,0,0,0.112269,0,4034551.0
2020-04-19,0,0,0,0.116567,0,4189637.0
2020-04-18,0,0,0,0.12395,0,4456785.0
2020-04-17,0,0,0,0.121502,0,4369503.0
2020-04-16,0,0,0,0.11661,0,6293648.0
2020-04-15,0,0,0,0.113138,0,4088881.0
2020-04-14,0,0,0,0.109192,0,3946262.0
2020-04-13,0,0,0,0.112567,0,6083876.0
2020-04-12,0,0,0,0.111773,0,6044733.0
2020-04-11,0,0,0,0.127137,0,6878695.0
2020-04-10,0,0,0,0.132112,0,7151971.0
2020-04-09,0,0,0,0.134416,0,7272064.0
2020-04-08,0,0,0,0.136289,0,4825007.0
2020-04-07,0,0,0,0.133648,0,4733449.0
2020-04-06,0,0,0,0.1386,0,4913116.0
2020-04-05,0,0,0,0.132692,0,4705300.0
2020-04-04,0,0,0,0.12645,0,4487853.0
2020-04-03,0,0,0,0.131517,0,4669826.0
2020-04-02,0,0,0,0.154928,0,5499094.0
2020-04-01,0,0,0,0.134798,0,4787623.0
2020-03-31,0,0,0,0.136967,0,4867401.0
2020-03-30,0,0,0,0.117576,0,4180093.0
2020-03-29,0,0,0,0.106694,0,3794279.0
2020-03-28,0,0,0,0.104146,0,3704687.0
2020-03-27,0,0,0,0.105517,0,3754097.0
2020-03-26,0,0,0,0.118033,0,4201177.0
2020-03-25,0,0,0,0.10957,0,3901088.0
2020-03-24,0,0,0,0.108374,0,3859199.0
2020-03-23,0,0,0,0.100633,0,3584725.0
2020-03-22,0,0,0,0.095082,0,3388343.0
2020-03-21,0,0,0,0.115951,0,4133190.0
2020-03-20,0,0,0,0.10555,0,3753695.0
2020-03-19,0,0,0,0.113487,0,4037076.0
2020-03-18,0,0,0,0.086975,0,3082262.0
2020-03-17,0,0,0,0.082956,0,2940396.0
2020-03-16,0,0,0,0.070334,0,2494419.0
2020-03-15,0,0,0,0.067534,0,2395236.0
2020-03-14,0,0,0,0.088249,0,3133964.0
2020-03-13,0,0,0,0.097371,0,3458243.0
2020-03-12,0,0,0,0.098107,0,3484419.0
2020-03-11,0,0,0,0.159185,0,5657151.0
2020-03-10,0,0,0,0.164064,0,5831916.0
2020-03-09,0,0,0,0.164585,0,5854810.0
2020-03-08,0,0,0,0.171567,0,6105413.0
2020-03-07,0,0,0,0.19116,0,6807215.0
2020-03-06,0,0,0,0.204813,0,7309587.0
2020-03-05,0,0,0,0.204719,0,7309009.0
2020-03-04,0,0,0,0.222558,0,7950740.0
2020-03-03,0,0,0,0.216821,0,7781596.0
2020-03-02,0,0,0,0.189256,0,6808327.0
2020-03-01,0,0,0,0.1704,0,6094679.0
2020-02-29,0,0,0,0.158502,0,5670022.0
2020-02-28,0,0,0,0.153805,0,5511598.0
2020-02-27,0,0,0,0.14683,0,5330036.0
