date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.638922,0,34182315.0
2020-12-13,0,0,0,0.611444,0,32712262.0
2020-12-12,0,0,0,0.576097,0,30821188.0
2020-12-11,0,0,0,0.551329,0,29496125.0
2020-12-10,0,0,0,0.564398,0,30195309.0
2020-12-09,0,0,0,0.628394,0,33619089.0
2020-12-08,0,0,0,0.569973,0,30493551.0
2020-12-07,0,0,0,0.563159,0,30128992.0
2020-12-06,0,0,0,0.479392,0,25647497.0
2020-12-05,0,0,0,0.475694,0,25449659.0
2020-12-04,0,0,0,0.432308,0,23128460.0
2020-12-03,0,0,0,0.512404,0,27413594.0
2020-12-02,0,0,0,0.49811,0,26648874.0
2020-12-01,0,0,0,0.411354,0,22007459.0
2020-11-30,0,0,0,0.456401,0,24417460.0
2020-11-29,0,0,0,0.476124,0,25472659.0
2020-11-28,0,0,0,0.428637,0,22932097.0
2020-11-27,0,0,0,0.377627,0,20203037.0
2020-11-26,0,0,0,0.369287,0,19756849.0
2020-11-25,0,0,0,0.416119,0,22262386.0
2020-11-24,0,0,0,0.469133,0,25098632.0
2020-11-23,0,0,0,0.510856,0,27330810.0
2020-11-22,0,0,0,0.427963,0,22896051.0
2020-11-21,0,0,0,0.467741,0,25024170.0
2020-11-20,0,0,0,0.495541,0,26511449.0
2020-11-19,0,0,0,0.437336,0,23397482.0
2020-11-18,0,0,0,0.519073,0,27770409.0
2020-11-17,0,0,0,0.502668,0,26892747.0
2020-11-16,0,0,0,0.573116,0,30661693.0
2020-11-15,0,0,0,0.591579,0,31649506.0
2020-11-14,0,0,0,0.576206,0,30827006.0
2020-11-13,0,0,0,0.402659,0,21483037.0
2020-11-12,0,0,0,0.309358,0,16505144.0
2020-11-11,0,0,0,0.353062,0,18836864.0
2020-11-10,0,0,0,0.266624,0,14225167.0
2020-11-09,0,0,0,0.278508,0,16706308.0
2020-11-08,0,0,0,0.198251,0,11892068.0
2020-11-07,0,0,0,0.141056,0,8461219.0
2020-11-06,0,0,0,0.143164,0,8587670.0
2020-11-05,0,0,0,0.135104,0,8104226.0
2020-11-04,0,0,0,0.145949,0,8754777.0
