date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,11.88,0,82515611.0
2020-12-13,0,0,0,12.41,0,86179714.0
2020-12-12,0,0,0,11.81,0,82025033.0
2020-12-11,0,0,0,11.2,0,77799168.0
2020-12-10,0,0,0,12.11,0,84109027.0
2020-12-09,0,0,0,12.42,0,86217289.0
2020-12-08,0,0,0,12.4,0,86120737.0
2020-12-07,0,0,0,13.47,0,93548284.0
2020-12-06,0,0,0,13.78,0,95695761.0
2020-12-05,0,0,0,13.6,0,94468510.0
2020-12-04,0,0,0,13.21,0,91723881.0
2020-12-03,0,0,0,14.68,0,101964811.0
2020-12-02,0,0,0,14.45,0,100321263.0
2020-12-01,0,0,0,13.59,0,94381736.0
2020-11-30,0,0,0,14.86,0,103205524.0
2020-11-29,0,0,0,14.42,0,100159078.0
2020-11-28,0,0,0,13.36,0,92790370.0
2020-11-27,0,0,0,13.2,0,91632187.0
2020-11-26,0,0,0,13.59,0,94352278.0
2020-11-25,0,0,0,14.87,0,103268964.0
2020-11-24,0,0,0,16.04,0,111364238.0
2020-11-23,0,0,0,17.28,0,120022234.0
2020-11-22,0,0,0,16.77,0,116462949.0
2020-11-21,0,0,0,16.1,0,111822498.0
2020-11-20,0,0,0,15.26,0,105963075.0
2020-11-19,0,0,0,13.24,0,91901744.0
2020-11-18,0,0,0,13.4,0,93073209.0
2020-11-17,0,0,0,13.56,0,94163412.0
2020-11-16,0,0,0,12.9,0,89599751.0
2020-11-15,0,0,0,12.55,0,87178261.0
2020-11-14,0,0,0,12.91,0,89673764.0
2020-11-13,0,0,0,13.11,0,91056658.0
2020-11-12,0,0,0,11.49,0,79778389.0
2020-11-11,0,0,0,11.52,0,80004553.0
2020-11-10,0,0,0,11.93,0,82828903.0
2020-11-09,0,0,0,10.39,0,72139178.0
2020-11-08,0,0,0,10.28,0,71386461.0
2020-11-07,0,0,0,9.92,0,68854336.0
2020-11-06,0,0,0,9.99,0,69367314.0
2020-11-05,0,0,0,9.07,0,63003615.0
2020-11-04,0,0,0,8.75,0,60762694.0
2020-11-03,0,0,0,8.51,0,59074849.0
2020-11-02,0,0,0,9.08,0,63070216.0
2020-11-01,0,0,0,9.99,0,69344519.0
2020-10-31,0,0,0,9.99,0,69353607.0
2020-10-30,0,0,0,10.2,0,70849383.0
2020-10-29,0,0,0,10.34,0,71833929.0
2020-10-28,0,0,0,10.83,0,75188148.0
2020-10-27,0,0,0,11.67,0,81068067.0
2020-10-26,0,0,0,11.79,0,81835466.0
2020-10-25,0,0,0,12.75,0,88511167.0
2020-10-24,0,0,0,12.14,0,84301868.0
2020-10-23,0,0,0,12.27,0,85234296.0
2020-10-22,0,0,0,12.92,0,89713954.0
2020-10-21,0,0,0,12.47,0,86604191.0
2020-10-20,0,0,0,12.56,0,87202847.0
2020-10-19,0,0,0,13.3,0,92381054.0
2020-10-18,0,0,0,13.39,0,92960182.0
2020-10-17,0,0,0,13.5,0,93758295.0
2020-10-16,0,0,0,13.02,0,90427529.0
2020-10-15,0,0,0,13.57,0,94197792.0
2020-10-14,0,0,0,14.39,0,99895121.0
2020-10-13,0,0,0,15.27,0,106065514.0
2020-10-12,0,0,0,14.94,0,103749284.0
2020-10-11,0,0,0,14.88,0,103331880.0
2020-10-10,0,0,0,14.71,0,102154482.0
2020-10-09,0,0,0,14.9,0,103489059.0
2020-10-08,0,0,0,14.91,0,103550198.0
2020-10-07,0,0,0,14.25,0,98948986.0
2020-10-06,0,0,0,13.89,0,96469393.0
2020-10-05,0,0,0,16.16,0,112188140.0
2020-10-04,0,0,0,16.34,0,113482142.0
2020-10-03,0,0,0,16.28,0,113076402.0
2020-10-02,0,0,0,15.86,0,110104929.0
2020-10-01,0,0,0,17.57,0,121972404.0
2020-09-30,0,0,0,15.33,0,106467380.0
2020-09-29,0,0,0,15.5,0,107611170.0
2020-09-28,0,0,0,15.07,0,104621766.0
2020-09-27,0,0,0,14.89,0,103367803.0
2020-09-26,0,0,0,15.36,0,106641104.0
2020-09-25,0,0,0,15.17,0,105313782.0
2020-09-24,0,0,0,15.29,0,106204800.0
2020-09-23,0,0,0,13.45,0,93408362.0
2020-09-22,0,0,0,15.44,0,107198576.0
2020-09-21,0,0,0,15.77,0,109504306.0
2020-09-20,0,0,0,17.49,0,121481351.0
2020-09-19,0,0,0,18.57,0,128970226.0
2020-09-18,0,0,0,20.99,0,145739684.0
2020-09-17,0,0,0,22.33,0,155076326.0
2020-09-16,0,0,0,20.71,0,143787324.0
2020-09-15,0,0,0,21.18,0,147104413.0
2020-09-14,0,0,0,23.91,0,166037276.0
2020-09-13,0,0,0,22.46,0,155949249.0
2020-09-12,0,0,0,23.64,0,164131268.0
2020-09-11,0,0,0,20.58,0,142933865.0
2020-09-10,0,0,0,20.8,0,144418964.0
2020-09-09,0,0,0,20.71,0,143775477.0
2020-09-08,0,0,0,19.84,0,137769317.0
2020-09-07,0,0,0,21.66,0,150369826.0
2020-09-06,0,0,0,21.32,0,148022834.0
2020-09-05,0,0,0,19.18,0,133215452.0
2020-09-04,0,0,0,22.78,0,158169390.0
2020-09-03,0,0,0,23.53,0,163380420.0
2020-09-02,0,0,0,32.13,0,223081620.0
2020-09-01,0,0,0,34.03,0,236328578.0
2020-08-31,0,0,0,33.95,0,235754105.0
2020-08-30,0,0,0,33.28,0,231118159.0
2020-08-29,0,0,0,31.8,0,220793308.0
2020-08-28,0,0,0,27.89,0,193694386.0
2020-08-27,0,0,0,25.69,0,178375057.0
2020-08-26,0,0,0,26.66,0,185093915.0
2020-08-25,0,0,0,23.93,0,166132102.0
2020-08-24,0,0,0,24.65,0,171184257.0
2020-08-23,0,0,0,23.9,0,165943911.0
2020-08-22,0,0,0,24.69,0,171443104.0
2020-08-21,0,0,0,18.95,0,131562071.0
2020-08-20,0,0,0,22.37,0,155347890.0
2020-08-19,0,0,0,16.78,0,116529731.0
2020-08-18,0,0,0,21.66,0,150433987.0
2020-08-17,0,0,0,19.79,0,137413464.0
2020-08-16,0,0,0,19.64,0,136389938.0
2020-08-15,0,0,0,18.58,0,129042617.0
2020-08-14,0,0,0,21.34,0,148172817.0
2020-08-13,0,0,0,18.91,0,131326072.0
2020-08-12,0,0,0,23.04,0,159988612.0
2020-08-11,0,0,0,20.25,0,140641547.0
2020-08-10,0,0,0,23.13,0,160639889.0
2020-08-09,0,0,0,26.68,0,185294948.0
2020-08-08,0,0,0,16.93,0,117590714.0
2020-08-07,0,0,0,13.25,0,92028317.0
2020-08-06,0,0,0,12.89,0,89537088.0
2020-08-05,0,0,0,10.51,0,89537088.0
2020-08-04,0,0,0,10.31,0,89537088.0
2020-08-03,0,0,0,10.55,0,89537088.0
2020-08-02,0,0,0,10.5,0,89537088.0
2020-08-01,0,0,0,10.81,0,89537088.0
2020-07-31,0,0,0,10.57,0,89537088.0
2020-07-30,0,0,0,9.64,0,89537088.0
2020-07-29,0,0,0,9.42,0,89537088.0
2020-07-28,0,0,0,8.98,0,89537088.0
2020-07-27,0,0,0,10.15,0,89537088.0
2020-07-26,0,0,0,10.87,0,89537088.0
2020-07-25,0,0,0,10.81,0,89537088.0
2020-07-24,0,0,0,11.1,0,89537088.0
2020-07-23,0,0,0,11.52,0,89537088.0
2020-07-22,0,0,0,10.6,0,89537088.0
2020-07-21,0,0,0,10.38,0,89537088.0
2020-07-20,0,0,0,10.9,0,89537088.0
2020-07-19,0,0,0,9.73,0,89537088.0
2020-07-18,0,0,0,8.23,0,89537088.0
2020-07-17,0,0,0,8.11,0,89537088.0
2020-07-16,0,0,0,8.06,0,89537088.0
2020-07-15,0,0,0,8.23,0,89537088.0
2020-07-14,0,0,0,8.56,0,89537088.0
2020-07-13,0,0,0,8.98,0,89537088.0
2020-07-12,0,0,0,9.73,0,89537088.0
2020-07-11,0,0,0,10.43,0,89537088.0
2020-07-10,0,0,0,9.99,0,89537088.0
2020-07-09,0,0,0,9.87,0,89537088.0
2020-07-08,0,0,0,10.31,0,89537088.0
2020-07-07,0,0,0,10.63,0,89537088.0
2020-07-06,0,0,0,10.7,0,89537088.0
2020-07-05,0,0,0,10.76,0,89537088.0
2020-07-04,0,0,0,11.17,0,89537088.0
2020-07-03,0,0,0,11.51,0,89537088.0
2020-07-02,0,0,0,11.89,0,89537088.0
2020-07-01,0,0,0,11.02,0,89537088.0
2020-06-30,0,0,0,9.97,0,89537088.0
2020-06-29,0,0,0,10.6,0,89537088.0
2020-06-28,0,0,0,12.03,0,89537088.0
2020-06-27,0,0,0,11.86,0,89537088.0
2020-06-26,0,0,0,12.45,0,89537088.0
2020-06-25,0,0,0,17.46,0,89537088.0
2020-06-24,0,0,0,13.74,0,89537088.0
