date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,6.82,0,139749688.0
2020-12-13,0,0,0,6.44,0,131965080.0
2020-12-12,0,0,0,6.25,0,127990300.0
2020-12-11,0,0,0,6.05,0,124058440.0
2020-12-10,0,0,0,6.43,0,131700815.0
2020-12-09,0,0,0,6.93,0,141922840.0
2020-12-08,0,0,0,6.69,0,137022705.0
2020-12-07,0,0,0,7.45,0,152608090.0
2020-12-06,0,0,0,6.69,0,137176103.0
2020-12-05,0,0,0,6.92,0,141907015.0
2020-12-04,0,0,0,6.43,0,131853003.0
2020-12-03,0,0,0,7.23,0,148232934.0
2020-12-02,0,0,0,6.51,0,133325969.0
2020-12-01,0,0,0,5.96,0,122166398.0
2020-11-30,0,0,0,6.22,0,127558676.0
2020-11-29,0,0,0,6.12,0,125429116.0
2020-11-28,0,0,0,5.92,0,121337568.0
2020-11-27,0,0,0,5.77,0,118283893.0
2020-11-26,0,0,0,5.98,0,122575766.0
2020-11-25,0,0,0,6.81,0,139462428.0
2020-11-24,0,0,0,7.21,0,147847901.0
2020-11-23,0,0,0,7.29,0,149478613.0
2020-11-22,0,0,0,6.74,0,138151392.0
2020-11-21,0,0,0,7.23,0,148108468.0
2020-11-20,0,0,0,6.17,0,126544490.0
2020-11-19,0,0,0,5.82,0,119348398.0
2020-11-18,0,0,0,5.96,0,122128859.0
2020-11-17,0,0,0,5.98,0,122546617.0
2020-11-16,0,0,0,5.7,0,116808212.0
2020-11-15,0,0,0,5.52,0,113042852.0
2020-11-14,0,0,0,5.7,0,116768504.0
2020-11-13,0,0,0,5.92,0,121303220.0
2020-11-12,0,0,0,5.54,0,113526935.0
2020-11-11,0,0,0,5.96,0,122223614.0
2020-11-10,0,0,0,6.28,0,128784891.0
2020-11-09,0,0,0,5.97,0,122405142.0
2020-11-08,0,0,0,5.65,0,115820014.0
2020-11-07,0,0,0,5.19,0,106297629.0
2020-11-06,0,0,0,5.63,0,115460621.0
2020-11-05,0,0,0,4.21,0,86271110.0
2020-11-04,0,0,0,4.07,0,83397580.0
2020-11-03,0,0,0,4.19,0,85803998.0
2020-11-02,0,0,0,4.23,0,86738253.0
2020-11-01,0,0,0,4.51,0,92350531.0
2020-10-31,0,0,0,4.33,0,88746894.0
2020-10-30,0,0,0,4.39,0,89928758.0
2020-10-29,0,0,0,4.63,0,94901087.0
2020-10-28,0,0,0,4.9,0,100449952.0
2020-10-27,0,0,0,5.45,0,111766103.0
2020-10-26,0,0,0,5.46,0,111971748.0
2020-10-25,0,0,0,5.74,0,117727186.0
2020-10-24,0,0,0,6.04,0,123790612.0
2020-10-23,0,0,0,5.97,0,122399323.0
2020-10-22,0,0,0,6.26,0,128353863.0
2020-10-21,0,0,0,5.81,0,119165341.0
2020-10-20,0,0,0,5.62,0,115264972.0
2020-10-19,0,0,0,6.13,0,125608317.0
2020-10-18,0,0,0,6.49,0,132931425.0
2020-10-17,0,0,0,6.14,0,125919686.0
2020-10-16,0,0,0,6.01,0,123171188.0
2020-10-15,0,0,0,6.16,0,126246635.0
2020-10-14,0,0,0,6.45,0,132265684.0
2020-10-13,0,0,0,6.71,0,137499030.0
2020-10-12,0,0,0,7.04,0,144307206.0
2020-10-11,0,0,0,6.96,0,142559600.0
2020-10-10,0,0,0,6.41,0,131458754.0
2020-10-09,0,0,0,6.42,0,131650635.0
2020-10-08,0,0,0,5.69,0,116521787.0
2020-10-07,0,0,0,5.46,0,111918295.0
2020-10-06,0,0,0,5.87,0,120264167.0
2020-10-05,0,0,0,5.89,0,120747199.0
2020-10-04,0,0,0,5.97,0,122280142.0
2020-10-03,0,0,0,5.94,0,121706233.0
2020-10-02,0,0,0,6.07,0,124481010.0
2020-10-01,0,0,0,6.41,0,131442274.0
2020-09-30,0,0,0,6.49,0,132940352.0
2020-09-29,0,0,0,6.69,0,137111899.0
2020-09-28,0,0,0,6.54,0,134029773.0
2020-09-27,0,0,0,6.45,0,132160345.0
2020-09-26,0,0,0,6.99,0,143327335.0
2020-09-25,0,0,0,7.0,0,143412191.0
2020-09-24,0,0,0,6.67,0,136640871.0
2020-09-23,0,0,0,5.75,0,117790666.0
2020-09-22,0,0,0,6.22,0,127489360.0
2020-09-21,0,0,0,5.95,0,121973750.0
2020-09-20,0,0,0,6.59,0,135000625.0
2020-09-19,0,0,0,7.1,0,145569302.0
2020-09-18,0,0,0,6.06,0,124260596.0
2020-09-17,0,0,0,6.62,0,135573726.0
2020-09-16,0,0,0,7.09,0,145238054.0
2020-09-15,0,0,0,7.45,0,152590370.0
2020-09-14,0,0,0,8.22,0,168406390.0
2020-09-13,0,0,0,8.58,0,175930515.0
2020-09-12,0,0,0,9.04,0,185334452.0
2020-09-11,0,0,0,8.86,0,181664853.0
2020-09-10,0,0,0,8.85,0,181284005.0
2020-09-09,0,0,0,8.81,0,180506157.0
2020-09-08,0,0,0,8.54,0,175107982.0
2020-09-07,0,0,0,9.38,0,192176027.0
2020-09-06,0,0,0,9.67,0,198266221.0
2020-09-05,0,0,0,8.18,0,167700800.0
2020-09-04,0,0,0,11.02,0,225786448.0
2020-09-03,0,0,0,11.17,0,229007776.0
2020-09-02,0,0,0,14.4,0,295163224.0
2020-09-01,0,0,0,15.46,0,316753141.0
2020-08-31,0,0,0,13.15,0,269421578.0
2020-08-30,0,0,0,13.73,0,281427912.0
2020-08-29,0,0,0,12.74,0,261122385.0
2020-08-28,0,0,0,12.77,0,261731184.0
2020-08-27,0,0,0,12.11,0,248146494.0
2020-08-26,0,0,0,13.01,0,266722155.0
2020-08-25,0,0,0,11.13,0,228138790.0
2020-08-24,0,0,0,11.75,0,240740748.0
2020-08-23,0,0,0,11.78,0,241489263.0
2020-08-22,0,0,0,12.39,0,253848034.0
2020-08-21,0,0,0,10.34,0,211868065.0
2020-08-20,0,0,0,12.32,0,252565881.0
2020-08-19,0,0,0,12.01,0,246147471.0
2020-08-18,0,0,0,12.77,0,261757595.0
2020-08-17,0,0,0,13.62,0,279185581.0
2020-08-16,0,0,0,14.51,0,297298198.0
2020-08-15,0,0,0,14.72,0,301579450.0
2020-08-14,0,0,0,13.77,0,282205760.0
2020-08-13,0,0,0,14.36,0,294382290.0
2020-08-12,0,0,0,15.05,0,308381187.0
2020-08-11,0,0,0,12.56,0,257441648.0
2020-08-10,0,0,0,14.37,0,294597978.0
2020-08-09,0,0,0,14.9,0,305309507.0
2020-08-08,0,0,0,10.8,0,221414346.0
2020-08-07,0,0,0,8.58,0,175807297.0
2020-08-06,0,0,0,8.09,0,165774831.0
2020-08-05,0,0,0,7.15,0,146557658.0
2020-08-04,0,0,0,4.99,0,102243219.0
2020-08-03,0,0,0,4.22,0,86404687.0
2020-08-02,0,0,0,4.05,0,82901691.0
2020-08-01,0,0,0,3.98,0,81606681.0
2020-07-31,0,0,0,4.23,0,86765859.0
2020-07-30,0,0,0,3.98,0,81587529.0
2020-07-29,0,0,0,3.91,0,80107001.0
2020-07-28,0,0,0,3.88,0,79485974.0
2020-07-27,0,0,0,3.29,0,67373872.0
2020-07-26,0,0,0,3.81,0,78135813.0
2020-07-25,0,0,0,4.06,0,83157734.0
2020-07-24,0,0,0,4.19,0,85914682.0
2020-07-23,0,0,0,4.44,0,91041743.0
2020-07-22,0,0,0,4.55,0,93289684.0
2020-07-21,0,0,0,4.44,0,90918343.0
2020-07-20,0,0,0,3.97,0,81371712.0
2020-07-19,0,0,0,4.1,0,84037747.0
2020-07-18,0,0,0,3.15,0,64497779.0
2020-07-17,0,0,0,2.56,0,52481386.0
2020-07-16,0,0,0,2.4,0,49241449.0
2020-07-15,0,0,0,2.59,0,53143262.0
2020-07-14,0,0,0,2.46,0,50389838.0
2020-07-13,0,0,0,2.12,0,43494191.0
2020-07-12,0,0,0,2.03,0,41673947.0
2020-07-11,0,0,0,1.88,0,38550888.0
2020-07-10,0,0,0,1.66,0,34013793.0
2020-07-09,0,0,0,1.7,0,34855547.0
2020-07-08,0,0,0,1.69,0,34669465.0
2020-07-07,0,0,0,1.35,0,27731584.0
2020-07-06,0,0,0,1.21,0,24786869.0
2020-07-05,0,0,0,1.09,0,22385080.0
2020-07-04,0,0,0,1.11,0,22673665.0
2020-07-03,0,0,0,1.08,0,22145937.0
2020-07-02,0,0,0,1.11,0,22814916.0
2020-07-01,0,0,0,1.09,0,22267082.0
2020-06-30,0,0,0,1.1,0,22480576.0
2020-06-29,0,0,0,1.15,0,23581779.0
2020-06-28,0,0,0,1.11,0,22717935.0
2020-06-27,0,0,0,1.05,0,21487250.0
2020-06-26,0,0,0,1.16,0,23838128.0
2020-06-25,0,0,0,1.23,0,25223446.0
2020-06-24,0,0,0,1.27,0,26031151.0
2020-06-23,0,0,0,1.3,0,26704350.0
2020-06-22,0,0,0,1.31,0,26774866.0
2020-06-21,0,0,0,1.25,0,25515976.0
2020-06-20,0,0,0,1.29,0,26356540.0
2020-06-19,0,0,0,1.26,0,25796267.0
2020-06-18,0,0,0,1.32,0,27121376.0
2020-06-17,0,0,0,1.24,0,25439807.0
2020-06-16,0,0,0,1.27,0,25927613.0
2020-06-15,0,0,0,1.32,0,27008503.0
2020-06-14,0,0,0,1.35,0,27757110.0
2020-06-13,0,0,0,1.41,0,28832002.0
2020-06-12,0,0,0,1.3,0,26618353.0
2020-06-11,0,0,0,1.19,0,24356817.0
2020-06-10,0,0,0,1.44,0,29583399.0
2020-06-09,0,0,0,1.54,0,31555194.0
2020-06-08,0,0,0,1.69,0,34547248.0
2020-06-07,0,0,0,1.58,0,32444134.0
2020-06-06,0,0,0,1.65,0,33723478.0
2020-06-05,0,0,0,1.73,0,35544662.0
2020-06-04,0,0,0,1.84,0,37721823.0
2020-06-03,0,0,0,1.82,0,37245213.0
2020-06-02,0,0,0,1.68,0,34443202.0
2020-06-01,0,0,0,1.62,0,33155205.0
2020-05-31,0,0,0,1.5,0,30779940.0
2020-05-30,0,0,0,1.6,0,32884975.0
2020-05-29,0,0,0,1.4,0,28715538.0
2020-05-28,0,0,0,1.34,0,27370267.0
2020-05-27,0,0,0,1.59,0,32623884.0
2020-05-26,0,0,0,1.14,0,23309186.0
2020-05-25,0,0,0,1.17,0,23932148.0
2020-05-24,0,0,0,1.11,0,22549240.0
2020-05-23,0,0,0,1.25,0,25507828.0
2020-05-22,0,0,0,1.31,0,26700671.0
2020-05-21,0,0,0,1.16,0,23559177.0
2020-05-20,0,0,0,1.18,0,24127525.0
2020-05-19,0,0,0,1.07,0,21808859.0
2020-05-18,0,0,0,1.03,0,20993460.0
2020-05-17,0,0,0,1.01,0,20596685.0
2020-05-16,0,0,0,1.05,0,21351368.0
2020-05-15,0,0,0,1.01,0,20602261.0
2020-05-14,0,0,0,1.03,0,20956946.0
2020-05-13,0,0,0,1.06,0,21626809.0
2020-05-12,0,0,0,1.04,0,21246037.0
2020-05-11,0,0,0,0.804503,0,16407057.0
2020-05-10,0,0,0,0.893577,0,18223639.0
2020-05-09,0,0,0,1.03,0,20937974.0
2020-05-08,0,0,0,1.07,0,21785689.0
2020-05-07,0,0,0,1.01,0,20557234.0
2020-05-06,0,0,0,1.09,0,22131907.0
2020-05-05,0,0,0,1.01,0,20631066.0
2020-05-04,0,0,0,1.08,0,21970909.0
2020-05-03,0,0,0,1.09,0,22288977.0
2020-05-02,0,0,0,1.14,0,23316993.0
2020-05-01,0,0,0,1.27,0,25883196.0
2020-04-30,0,0,0,1.04,0,20705317.0
2020-04-29,0,0,0,0.873705,0,17381512.0
2020-04-28,0,0,0,0.887058,0,17647153.0
2020-04-27,0,0,0,0.873078,0,17369043.0
2020-04-26,0,0,0,0.854219,0,16993855.0
2020-04-25,0,0,0,0.942694,0,18753985.0
2020-04-24,0,0,0,0.717888,0,14281688.0
2020-04-23,0,0,0,0.618023,0,12294970.0
2020-04-22,0,0,0,0.651926,0,12969443.0
2020-04-21,0,0,0,0.633772,0,12608273.0
2020-04-20,0,0,0,0.542209,0,10786723.0
2020-04-19,0,0,0,0.504423,0,10035010.0
2020-04-18,0,0,0,0.514354,0,10232568.0
2020-04-17,0,0,0,0.511543,0,10176661.0
2020-04-16,0,0,0,0.522139,0,10387450.0
2020-04-15,0,0,0,0.487294,0,9584604.0
2020-04-14,0,0,0,0.531241,0,10449002.0
2020-04-13,0,0,0,0.472494,0,9293494.0
2020-04-12,0,0,0,0.495945,0,9754762.0
2020-04-11,0,0,0,0.434029,0,8536929.0
2020-04-10,0,0,0,0.357635,0,7034329.0
2020-04-09,0,0,0,0.381332,0,7309772.0
2020-04-08,0,0,0,0.344867,0,6610770.0
2020-04-07,0,0,0,0.3258,0,6245265.0
2020-04-06,0,0,0,0.329964,0,6325082.0
2020-04-05,0,0,0,0.306487,0,5875069.0
2020-04-04,0,0,0,0.313995,0,6018985.0
2020-04-03,0,0,0,0.328983,0,6306279.0
2020-04-02,0,0,0,0.306289,0,5865521.0
2020-04-01,0,0,0,0.288947,0,5533420.0
2020-03-31,0,0,0,0.290549,0,5564099.0
2020-03-30,0,0,0,0.291991,0,5591701.0
2020-03-29,0,0,0,0.265568,0,5085707.0
2020-03-28,0,0,0,0.292033,0,5592522.0
2020-03-27,0,0,0,0.291133,0,5575271.0
2020-03-26,0,0,0,0.298993,0,5501556.0
2020-03-25,0,0,0,0.316118,0,5812320.0
2020-03-24,0,0,0,0.347737,0,6393675.0
2020-03-23,0,0,0,0.344307,0,6330609.0
2020-03-22,0,0,0,0.302752,0,5566561.0
2020-03-21,0,0,0,0.312232,0,5740869.0
2020-03-20,0,0,0,0.322681,0,5932986.0
2020-03-19,0,0,0,0.342111,0,6215390.0
2020-03-18,0,0,0,0.269677,0,4890295.0
2020-03-17,0,0,0,0.26175,0,4746542.0
2020-03-16,0,0,0,0.24472,0,4402724.0
2020-03-15,0,0,0,0.303664,0,5463169.0
2020-03-14,0,0,0,0.328132,0,5903373.0
2020-03-13,0,0,0,0.364976,0,6566223.0
2020-03-12,0,0,0,0.337325,0,6068767.0
2020-03-11,0,0,0,0.612808,0,11024928.0
2020-03-10,0,0,0,0.651412,0,11719440.0
2020-03-09,0,0,0,0.368405,0,6627906.0
2020-03-08,0,0,0,0.390492,0,7025286.0
2020-03-07,0,0,0,0.491053,0,8834449.0
2020-03-06,0,0,0,0.520881,0,9371083.0
2020-03-05,0,0,0,0.450911,0,8112260.0
2020-03-04,0,0,0,0.473098,0,8511435.0
2020-03-03,0,0,0,0.4204,0,7510802.0
2020-03-02,0,0,0,0.361338,0,6455610.0
2020-03-01,0,0,0,0.376045,0,6718364.0
2020-02-29,0,0,0,0.326612,0,5835193.0
2020-02-28,0,0,0,0.337967,0,6038066.0
2020-02-27,0,0,0,0.302187,0,5398825.0
2020-02-26,0,0,0,0.283921,0,5072485.0
2020-02-25,0,0,0,0.319242,0,5703519.0
2020-02-24,0,0,0,0.347727,0,6212436.0
2020-02-23,0,0,0,0.38683,0,6911043.0
2020-02-22,0,0,0,0.372985,0,6663681.0
2020-02-21,0,0,0,0.402634,0,7193389.0
2020-02-20,0,0,0,0.364644,0,6514665.0
2020-02-19,0,0,0,0.351945,0,6287795.0
2020-02-18,0,0,0,0.340557,0,6084342.0
2020-02-17,0,0,0,0.298402,0,5331198.0
2020-02-16,0,0,0,0.311135,0,5558693.0
2020-02-15,0,0,0,0.324306,0,5794006.0
2020-02-14,0,0,0,0.356047,0,6361071.0
2020-02-13,0,0,0,0.36713,0,6559084.0
2020-02-12,0,0,0,0.378507,0,6762336.0
2020-02-11,0,0,0,0.361934,0,6466248.0
2020-02-10,0,0,0,0.353466,0,6314969.0
2020-02-09,0,0,0,0.357455,0,6386241.0
2020-02-08,0,0,0,0.300047,0,5360595.0
2020-02-07,0,0,0,0.317005,0,5663553.0
2020-02-06,0,0,0,0.285092,0,5093406.0
2020-02-05,0,0,0,0.263409,0,4706014.0
2020-02-04,0,0,0,0.269409,0,4813215.0
2020-02-03,0,0,0,0.255094,0,4557466.0
2020-02-02,0,0,0,0.251236,0,4488548.0
