date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.017707,0,3670086.0
2020-12-13,0,0,0,0.01627,0,3372081.0
2020-12-12,0,0,0,0.016549,0,3429943.0
2020-12-11,0,0,0,0.011918,0,2470122.0
2020-12-10,0,0,0,0.012054,0,2498349.0
2020-12-09,0,0,0,0.014843,0,3076348.0
2020-12-08,0,0,0,0.014656,0,3037632.0
2020-12-07,0,0,0,0.015547,0,3222222.0
2020-12-06,0,0,0,0.015664,0,3246626.0
2020-12-05,0,0,0,0.014174,0,2937684.0
2020-12-04,0,0,0,0.014774,0,3062188.0
2020-12-03,0,0,0,0.015364,0,3184323.0
2020-12-02,0,0,0,0.014978,0,3104415.0
2020-12-01,0,0,0,0.014667,0,3040000.0
2020-11-30,0,0,0,0.014328,0,2969644.0
2020-11-29,0,0,0,0.01327,0,2750385.0
2020-11-28,0,0,0,0.012934,0,2680739.0
2020-11-27,0,0,0,0.017451,0,3616884.0
2020-11-26,0,0,0,0.016288,0,3375846.0
2020-11-25,0,0,0,0.013506,0,2799264.0
2020-11-24,0,0,0,0.013744,0,2848693.0
2020-11-23,0,0,0,0.013213,0,2738651.0
2020-11-22,0,0,0,0.013044,0,2703451.0
2020-11-21,0,0,0,0.013236,0,2743260.0
2020-11-20,0,0,0,0.029795,0,6175426.0
2020-11-19,0,0,0,0.023341,0,4837702.0
2020-11-18,0,0,0,0.051627,0,10700271.0
2020-11-17,0,0,0,0.017468,0,3620499.0
2020-11-16,0,0,0,0.016548,0,3429713.0
2020-11-15,0,0,0,0.015796,0,3273924.0
2020-11-14,0,0,0,0.016067,0,3330148.0
2020-11-13,0,0,0,0.016318,0,3382068.0
2020-11-12,0,0,0,0.016276,0,3373438.0
2020-11-11,0,0,0,0.017745,0,3677795.0
2020-11-10,0,0,0,0.020032,0,4151957.0
2020-11-09,0,0,0,0.020091,0,4164123.0
2020-11-08,0,0,0,0.022135,0,4587686.0
2020-11-07,0,0,0,0.019729,0,4088990.0
2020-11-06,0,0,0,0.020703,0,4290866.0
2020-11-05,0,0,0,0.021001,0,4352807.0
2020-11-04,0,0,0,0.019072,0,3952905.0
2020-11-03,0,0,0,0.020088,0,4163435.0
2020-11-02,0,0,0,0.01626,0,3370020.0
2020-11-01,0,0,0,0.013438,0,2785171.0
2020-10-31,0,0,0,0.014055,0,2912986.0
2020-10-30,0,0,0,0.013839,0,2868319.0
2020-10-29,0,0,0,0.014256,0,2954826.0
2020-10-28,0,0,0,0.010752,0,2228479.0
2020-10-27,0,0,0,0.011197,0,2320647.0
2020-10-26,0,0,0,0.011898,0,2465997.0
2020-10-25,0,0,0,0.014074,0,2916973.0
2020-10-24,0,0,0,0.015992,0,3314530.0
2020-10-23,0,0,0,0.015777,0,3269974.0
2020-10-22,0,0,0,0.015818,0,3278547.0
2020-10-21,0,0,0,0.015773,0,3269176.0
2020-10-20,0,0,0,0.014657,0,3037855.0
2020-10-19,0,0,0,0.014443,0,2993419.0
2020-10-18,0,0,0,0.014239,0,2951276.0
2020-10-17,0,0,0,0.012721,0,2636593.0
2020-10-16,0,0,0,0.012001,0,2487442.0
2020-10-15,0,0,0,0.017128,0,3549929.0
2020-10-14,0,0,0,0.026974,0,5590616.0
2020-10-13,0,0,0,0.02925,0,6062470.0
2020-10-12,0,0,0,0.029813,0,6179056.0
2020-10-11,0,0,0,1.26,0,262028833.0
2020-10-10,0,0,0,0.024852,0,5150869.0
2020-10-09,0,0,0,0.026555,0,5503774.0
2020-10-08,0,0,0,0.028599,0,5927460.0
2020-10-07,0,0,0,0.031047,0,6434815.0
2020-10-06,0,0,0,0.025769,0,5340852.0
2020-10-05,0,0,0,0.03076,0,6375430.0
2020-10-04,0,0,0,0.029765,0,6169129.0
2020-10-03,0,0,0,0.030488,0,6318907.0
2020-10-02,0,0,0,0.02919,0,6049906.0
2020-10-01,0,0,0,0.029204,0,6052781.0
2020-09-30,0,0,0,0.029766,0,6169438.0
2020-09-29,0,0,0,0.033076,0,6855423.0
2020-09-28,0,0,0,0.032664,0,6770097.0
2020-09-27,0,0,0,0.030278,0,6275496.0
2020-09-26,0,0,0,0.024727,0,5124893.0
2020-09-25,0,0,0,0.024593,0,5097241.0
2020-09-24,0,0,0,0.027008,0,5597678.0
2020-09-23,0,0,0,0.02746,0,5691363.0
2020-09-22,0,0,0,0.043618,0,9040367.0
2020-09-21,0,0,0,0.043878,0,9094241.0
2020-09-20,0,0,0,0.048959,0,10147278.0
2020-09-19,0,0,0,0.044355,0,9192994.0
2020-09-18,0,0,0,0.038917,0,8066039.0
2020-09-17,0,0,0,0.036327,0,7529168.0
2020-09-16,0,0,0,0.036185,0,7499750.0
2020-09-15,0,0,0,0.036264,0,7516044.0
2020-09-14,0,0,0,0.030966,0,6418081.0
2020-09-13,0,0,0,0.039455,0,8177500.0
2020-09-12,0,0,0,0.041493,0,8599968.0
2020-09-11,0,0,0,0.045646,0,9460711.0
2020-09-10,0,0,0,0.034153,0,7078536.0
2020-09-09,0,0,0,0.044206,0,9162262.0
2020-09-08,0,0,0,0.038484,0,7976228.0
2020-09-07,0,0,0,0.043546,0,9025509.0
2020-09-06,0,0,0,0.040438,0,8381323.0
2020-09-05,0,0,0,0.030499,0,6321355.0
2020-09-04,0,0,0,0.05904,0,12236664.0
2020-09-03,0,0,0,0.040714,0,8438532.0
2020-09-02,0,0,0,0.044848,0,9295317.0
2020-09-01,0,0,0,0.019572,0,4052516.0
2020-08-31,0,0,0,0.024272,0,5025601.0
2020-08-30,0,0,0,0.025524,0,5284873.0
2020-08-29,0,0,0,0.017937,0,3713870.0
2020-08-28,0,0,0,0.027324,0,5657497.0
2020-08-27,0,0,0,0.02658,0,5503429.0
2020-08-26,0,0,0,0.02136,0,4422565.0
2020-08-25,0,0,0,0.022837,0,4728498.0
2020-08-24,0,0,0,0.023541,0,4874307.0
2020-08-23,0,0,0,0.023437,0,4852633.0
2020-08-22,0,0,0,0.03059,0,6333774.0
2020-08-21,0,0,0,0.045401,0,9400335.0
2020-08-20,0,0,0,0.037996,0,7867199.0
2020-08-19,0,0,0,0.007397,0,1531569.0
2020-08-18,0,0,0,0.007422,0,1536717.0
2020-08-17,0,0,0,0.007226,0,1496185.0
2020-08-16,0,0,0,0.007024,0,1454341.0
2020-08-15,0,0,0,0.007009,0,1451161.0
2020-08-14,0,0,0,0.006714,0,1390109.0
2020-08-13,0,0,0,0.006714,0,1390109.0
2020-08-12,0,0,0,0.006714,0,1390109.0
2020-08-11,0,0,0,0.006606,0,1367727.0
2020-08-10,0,0,0,0.007012,0,1451767.0
2020-08-09,0,0,0,0.007012,0,1451820.0
2020-08-08,0,0,0,0.007146,0,1479594.0
2020-08-07,0,0,0,0.007074,0,1464768.0
2020-08-06,0,0,0,0.007772,0,1609116.0
2020-08-05,0,0,0,0.00552,0,1142939.0
2020-08-04,0,0,0,0.005263,0,1089798.0
2020-08-03,0,0,0,0.005061,0,1047944.0
2020-08-02,0,0,0,0.004976,0,1030275.0
2020-08-01,0,0,0,0.004708,0,974750.0
2020-07-31,0,0,0,0.004981,0,1031364.0
2020-07-30,0,0,0,0.004996,0,1034333.0
2020-07-29,0,0,0,0.0051,0,1055925.0
2020-07-28,0,0,0,0.004909,0,1016412.0
2020-07-27,0,0,0,0.005382,0,1114400.0
2020-07-26,0,0,0,0.004358,0,902322.0
2020-07-25,0,0,0,0.004645,0,961821.0
2020-07-24,0,0,0,0.004197,0,869078.0
2020-07-23,0,0,0,0.004197,0,869078.0
2020-07-22,0,0,0,0.004192,0,867954.0
2020-07-21,0,0,0,0.003999,0,827913.0
2020-07-20,0,0,0,0.003934,0,814513.0
2020-07-19,0,0,0,0.003949,0,817572.0
2020-07-18,0,0,0,0.004484,0,928510.0
2020-07-17,0,0,0,0.004574,0,947004.0
2020-07-16,0,0,0,0.004747,0,982774.0
2020-07-15,0,0,0,0.004043,0,837036.0
2020-07-14,0,0,0,0.003972,0,822396.0
2020-07-13,0,0,0,0.003983,0,824757.0
2020-07-12,0,0,0,0.003989,0,825941.0
2020-07-11,0,0,0,0.003789,0,784510.0
2020-07-10,0,0,0,0.00427,0,884033.0
2020-07-09,0,0,0,0.003057,0,633013.0
2020-07-08,0,0,0,0.003867,0,800647.0
2020-07-07,0,0,0,0.005009,0,1037129.0
2020-07-06,0,0,0,0.005028,0,1041019.0
2020-07-05,0,0,0,0.004801,0,994135.0
2020-07-04,0,0,0,0.005013,0,1037922.0
2020-07-03,0,0,0,0.004808,0,995491.0
2020-07-02,0,0,0,0.005099,0,1055759.0
2020-07-01,0,0,0,0.004702,0,973655.0
2020-06-30,0,0,0,0.004907,0,1015940.0
2020-06-29,0,0,0,0.004907,0,1015940.0
2020-06-28,0,0,0,0.004925,0,1019752.0
2020-06-27,0,0,0,0.005595,0,1158396.0
2020-06-26,0,0,0,0.005673,0,1174689.0
2020-06-25,0,0,0,0.005736,0,1187574.0
2020-06-24,0,0,0,0.005673,0,1174630.0
2020-06-23,0,0,0,0.006067,0,1256238.0
2020-06-22,0,0,0,0.00579,0,1198870.0
2020-06-21,0,0,0,0.006136,0,1270497.0
2020-06-20,0,0,0,0.006901,0,1428854.0
2020-06-19,0,0,0,0.005198,0,1076176.0
2020-06-18,0,0,0,0.004987,0,1032555.0
2020-06-17,0,0,0,0.008714,0,1804243.0
2020-06-16,0,0,0,0.002946,0,610016.0
2020-06-15,0,0,0,0.002924,0,605509.0
2020-06-14,0,0,0,0.00316,0,654344.0
2020-06-13,0,0,0,0.00316,0,654344.0
2020-06-12,0,0,0,0.00316,0,654344.0
2020-06-11,0,0,0,0.00316,0,654344.0
2020-06-10,0,0,0,0.00316,0,654344.0
2020-06-09,0,0,0,0.003134,0,648940.0
2020-06-08,0,0,0,0.003127,0,647379.0
2020-06-07,0,0,0,0.003097,0,641208.0
2020-06-06,0,0,0,0.003087,0,639073.0
2020-06-05,0,0,0,0.003092,0,640199.0
2020-06-04,0,0,0,0.003038,0,629069.0
2020-06-03,0,0,0,0.003052,0,631906.0
2020-06-02,0,0,0,0.003052,0,631906.0
2020-06-01,0,0,0,0.00305,0,631464.0
2020-05-31,0,0,0,0.002936,0,607971.0
2020-05-30,0,0,0,0.003103,0,642536.0
2020-05-29,0,0,0,0.003219,0,666419.0
2020-05-28,0,0,0,0.003219,0,666419.0
2020-05-27,0,0,0,0.003123,0,646604.0
2020-05-26,0,0,0,0.003091,0,639985.0
2020-05-25,0,0,0,0.00285,0,590128.0
2020-05-24,0,0,0,0.002988,0,618583.0
2020-05-23,0,0,0,0.002855,0,591139.0
2020-05-22,0,0,0,0.00304,0,629403.0
