date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,276.55,0,5143754530.0
2020-12-13,0,0,0,275.35,0,5121143076.0
2020-12-12,0,0,0,267.71,0,4978896920.0
2020-12-11,0,0,0,259.33,0,4822735476.0
2020-12-10,0,0,0,265.98,0,4946170336.0
2020-12-09,0,0,0,268.71,0,4996680309.0
2020-12-08,0,0,0,267.55,0,4974844504.0
2020-12-07,0,0,0,283.89,0,5278553571.0
2020-12-06,0,0,0,286.36,0,5324074007.0
2020-12-05,0,0,0,289.31,0,5378704202.0
2020-12-04,0,0,0,280.71,0,5218524245.0
2020-12-03,0,0,0,292.3,0,5433657198.0
2020-12-02,0,0,0,294.25,0,5469759304.0
2020-12-01,0,0,0,288.14,0,5355824046.0
2020-11-30,0,0,0,316.42,0,5881369223.0
2020-11-29,0,0,0,283.93,0,5277249777.0
2020-11-28,0,0,0,275.57,0,5121547317.0
2020-11-27,0,0,0,264.96,0,4923986045.0
2020-11-26,0,0,0,270.51,0,5026985557.0
2020-11-25,0,0,0,312.78,0,5812255421.0
2020-11-24,0,0,0,345.61,0,6421991120.0
2020-11-23,0,0,0,323.03,0,6002142777.0
2020-11-22,0,0,0,286.99,0,5332294479.0
2020-11-21,0,0,0,301.92,0,5609451636.0
2020-11-20,0,0,0,258.85,0,4808914195.0
2020-11-19,0,0,0,246.27,0,4574874530.0
2020-11-18,0,0,0,247.13,0,4590525422.0
2020-11-17,0,0,0,255.29,0,4741950770.0
2020-11-16,0,0,0,250.14,0,4646082537.0
2020-11-15,0,0,0,241.37,0,4482952487.0
2020-11-14,0,0,0,255.77,0,4750190502.0
2020-11-13,0,0,0,259.17,0,4813176378.0
2020-11-12,0,0,0,259.82,0,4825017497.0
2020-11-11,0,0,0,257.12,0,4774643083.0
2020-11-10,0,0,0,257.35,0,4778682177.0
2020-11-09,0,0,0,263.98,0,4901544312.0
2020-11-08,0,0,0,270.7,0,5026016751.0
2020-11-07,0,0,0,253.59,0,4708150125.0
2020-11-06,0,0,0,257.72,0,4784587853.0
2020-11-05,0,0,0,249.55,0,4632655815.0
2020-11-04,0,0,0,241.13,0,4476173288.0
2020-11-03,0,0,0,244.15,0,4531948286.0
2020-11-02,0,0,0,257.2,0,4774046041.0
2020-11-01,0,0,0,267.56,0,4966023216.0
2020-10-31,0,0,0,261.76,0,4858164160.0
2020-10-30,0,0,0,261.83,0,4859229016.0
2020-10-29,0,0,0,267.06,0,4956006326.0
