date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,19.68,0,365425034.0
2020-12-13,0,0,0,21.29,0,395493318.0
2020-12-12,0,0,0,19.65,0,364928776.0
2020-12-11,0,0,0,16.33,0,303246566.0
2020-12-10,0,0,0,14.65,0,272094438.0
2020-12-09,0,0,0,14.75,0,273946738.0
2020-12-08,0,0,0,14.61,0,271432590.0
2020-12-07,0,0,0,15.78,0,293129521.0
2020-12-06,0,0,0,16.3,0,302784182.0
2020-12-05,0,0,0,16.88,0,313582541.0
2020-12-04,0,0,0,16.28,0,302299630.0
2020-12-03,0,0,0,14.95,0,277739418.0
2020-12-02,0,0,0,14.09,0,261670822.0
2020-12-01,0,0,0,15.57,0,289218576.0
2020-11-30,0,0,0,17.16,0,318713030.0
2020-11-29,0,0,0,17.09,0,317492912.0
2020-11-28,0,0,0,17.33,0,321882697.0
2020-11-27,0,0,0,17.32,0,321720683.0
2020-11-26,0,0,0,18.34,0,340716420.0
2020-11-25,0,0,0,18.87,0,350400824.0
2020-11-24,0,0,0,14.73,0,273600748.0
2020-11-23,0,0,0,18.43,0,342316401.0
2020-11-22,0,0,0,20.38,0,378473213.0
2020-11-21,0,0,0,21.3,0,395540294.0
2020-11-20,0,0,0,23.96,0,444940621.0
2020-11-19,0,0,0,23.02,0,427531061.0
2020-11-18,0,0,0,19.07,0,427531061.0
2020-11-17,0,0,0,19.37,0,427531061.0
2020-11-16,0,0,0,12.13,0,427531061.0
