date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,1.68,0,73937040.0
2020-12-13,0,0,0,1.68,0,73618422.0
2020-12-12,0,0,0,1.72,0,75430690.0
2020-12-11,0,0,0,1.79,0,78649067.0
2020-12-10,0,0,0,1.84,0,80786829.0
2020-12-09,0,0,0,1.84,0,80787598.0
2020-12-08,0,0,0,1.89,0,82920827.0
2020-12-07,0,0,0,1.9,0,83619252.0
2020-12-06,0,0,0,1.93,0,84897473.0
2020-12-05,0,0,0,1.59,0,69701025.0
2020-12-04,0,0,0,1.67,0,73145552.0
2020-12-03,0,0,0,1.85,0,81225603.0
2020-12-02,0,0,0,2.38,0,104579333.0
2020-12-01,0,0,0,2.91,0,127630757.0
2020-11-30,0,0,0,3.18,0,139680482.0
2020-11-29,0,0,0,2.55,0,112088556.0
2020-11-28,0,0,0,2.26,0,99170932.0
2020-11-27,0,0,0,2.22,0,97382278.0
2020-11-26,0,0,0,1.92,0,84544326.0
2020-11-25,0,0,0,2.06,0,90262194.0
2020-11-24,0,0,0,2.01,0,88378844.0
2020-11-23,0,0,0,2.05,0,89889099.0
2020-11-22,0,0,0,0.964116,0,42346461.0
2020-11-21,0,0,0,0.959529,0,42145013.0
2020-11-20,0,0,0,0.986432,0,43326649.0
2020-11-19,0,0,0,0.973734,0,42768924.0
2020-11-18,0,0,0,1.03,0,45036389.0
2020-11-17,0,0,0,1.08,0,47260597.0
2020-11-16,0,0,0,1.18,0,51759905.0
2020-11-15,0,0,0,1.25,0,55101057.0
2020-11-14,0,0,0,1.33,0,58437689.0
2020-11-13,0,0,0,1.24,0,54673819.0
2020-11-12,0,0,0,1.37,0,60008445.0
2020-11-11,0,0,0,1.57,0,69093176.0
2020-11-10,0,0,0,1.6,0,51498598.0
2020-11-09,0,0,0,1.69,0,51498598.0
2020-11-08,0,0,0,1.64,0,51498598.0
2020-11-07,0,0,0,1.38,0,51498598.0
2020-11-06,0,0,0,2.84,0,51498598.0
2020-11-05,0,0,0,2.82,0,51498598.0
2020-11-04,0,0,0,2.79,0,51498598.0
2020-11-03,0,0,0,2.76,0,51498598.0
2020-11-02,0,0,0,2.73,0,51498598.0
2020-11-01,0,0,0,2.7,0,51498598.0
2020-10-31,0,0,0,2.7,0,51498598.0
2020-10-30,0,0,0,2.7,0,51498598.0
2020-10-29,0,0,0,2.69,0,51498598.0
2020-10-28,0,0,0,2.62,0,51498598.0
2020-10-27,0,0,0,2.59,0,51498598.0
2020-10-26,0,0,0,2.53,0,51498598.0
