date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.217879,0,145794.0
2020-12-13,0,0,0,34.58,0,23140368.0
2020-12-12,0,0,0,33.98,0,22735018.0
2020-12-11,0,0,0,25.52,0,17078375.0
2020-12-10,0,0,0,34.2,0,22885686.0
2020-12-09,0,0,0,28.67,0,19184397.0
2020-12-08,0,0,0,34.32,0,22966119.0
2020-12-07,0,0,0,35.95,0,24055591.0
2020-12-06,0,0,0,36.21,0,24213548.0
2020-12-05,0,0,0,35.85,0,23941249.0
2020-12-04,0,0,0,35.13,0,23415890.0
2020-12-03,0,0,0,36.41,0,24226112.0
2020-12-02,0,0,0,35.97,0,23889242.0
2020-12-01,0,0,0,29.06,0,19265726.0
2020-11-30,0,0,0,36.76,0,24325103.0
2020-11-29,0,0,0,34.04,0,22488826.0
2020-11-28,0,0,0,27.38,0,18055638.0
2020-11-27,0,0,0,32.05,0,21094238.0
2020-11-26,0,0,0,44.51,0,29246571.0
2020-11-25,0,0,0,48.76,0,31978492.0
2020-11-24,0,0,0,49.66,0,32509271.0
2020-11-23,0,0,0,47.89,0,31293619.0
2020-11-22,0,0,0,48.07,0,31350919.0
2020-11-21,0,0,0,48.64,0,31668265.0
2020-11-20,0,0,0,48.54,0,31547662.0
2020-11-19,0,0,0,46.35,0,30067989.0
2020-11-18,0,0,0,46.29,0,29970368.0
2020-11-17,0,0,0,45.94,0,29691519.0
2020-11-16,0,0,0,43.48,0,28046134.0
2020-11-15,0,0,0,41.5,0,26719163.0
2020-11-14,0,0,0,41.08,0,26402402.0
2020-11-13,0,0,0,42.43,0,27220163.0
2020-11-12,0,0,0,42.34,0,27110286.0
2020-11-11,0,0,0,40.75,0,26043730.0
2020-11-10,0,0,0,39.61,0,25268116.0
2020-11-09,0,0,0,39.7,0,25282160.0
2020-11-08,0,0,0,40.14,0,25515203.0
2020-11-07,0,0,0,38.46,0,24402078.0
2020-11-06,0,0,0,40.4,0,25582849.0
2020-11-05,0,0,0,40.39,0,25529397.0
2020-11-04,0,0,0,36.5,0,23023581.0
2020-11-03,0,0,0,36.08,0,22716443.0
2020-11-02,0,0,0,35.17,0,22103483.0
2020-11-01,0,0,0,36.83,0,23099048.0
2020-10-31,0,0,0,37.02,0,23178726.0
2020-10-30,0,0,0,36.47,0,22788341.0
2020-10-29,0,0,0,36.22,0,22589347.0
2020-10-28,0,0,0,35.69,0,22215850.0
2020-10-27,0,0,0,36.73,0,22819539.0
2020-10-26,0,0,0,35.16,0,21805324.0
2020-10-25,0,0,0,35.21,0,21790427.0
2020-10-24,0,0,0,35.45,0,21897381.0
2020-10-23,0,0,0,34.94,0,21542793.0
2020-10-22,0,0,0,35.05,0,21502364.0
2020-10-21,0,0,0,37.18,0,22809226.0
2020-10-20,0,0,0,16.1,0,9867472.0
2020-10-19,0,0,0,14.7,0,8994086.0
2020-10-18,0,0,0,14.41,0,8800578.0
2020-10-17,0,0,0,15.6,0,9509145.0
2020-10-16,0,0,0,45.08,0,27414264.0
2020-10-15,0,0,0,45.79,0,27791970.0
2020-10-14,0,0,0,45.54,0,27588802.0
2020-10-13,0,0,0,45.47,0,27494274.0
2020-10-12,0,0,0,46.01,0,27757501.0
2020-10-11,0,0,0,45.36,0,27297322.0
2020-10-10,0,0,0,45.01,0,27030883.0
2020-10-09,0,0,0,44.09,0,26426137.0
2020-10-08,0,0,0,43.48,0,26006711.0
2020-10-07,0,0,0,42.5,0,25368403.0
2020-10-06,0,0,0,42.24,0,25166610.0
2020-10-05,0,0,0,31.86,0,18941211.0
2020-10-04,0,0,0,40.94,0,24292784.0
2020-10-03,0,0,0,42.1,0,24926230.0
2020-10-02,0,0,0,42.21,0,24941456.0
2020-10-01,0,0,0,41.98,0,24752796.0
2020-09-30,0,0,0,41.69,0,24535767.0
2020-09-29,0,0,0,43.41,0,25493002.0
2020-09-28,0,0,0,42.85,0,25114479.0
2020-09-27,0,0,0,48.3,0,28245218.0
2020-09-26,0,0,0,48.2,0,28128607.0
2020-09-25,0,0,0,47.91,0,27904294.0
2020-09-24,0,0,0,48.25,0,28039586.0
2020-09-23,0,0,0,45.94,0,26646375.0
2020-09-22,0,0,0,47.3,0,27403376.0
2020-09-21,0,0,0,46.96,0,27151912.0
2020-09-20,0,0,0,48.39,0,27917370.0
2020-09-19,0,0,0,52.18,0,30040346.0
2020-09-18,0,0,0,51.4,0,29531938.0
2020-09-17,0,0,0,51.41,0,29472576.0
2020-09-16,0,0,0,51.5,0,29461753.0
2020-09-15,0,0,0,50.68,0,28934760.0
2020-09-14,0,0,0,46.75,0,26629982.0
2020-09-13,0,0,0,36.69,0,20856968.0
2020-09-12,0,0,0,47.96,0,27204016.0
2020-09-11,0,0,0,41.6,0,23545098.0
2020-09-10,0,0,0,50.51,0,28532264.0
2020-09-09,0,0,0,49.56,0,27932497.0
2020-09-08,0,0,0,49.43,0,22537224.0
2020-09-07,0,0,0,45.64,0,20754741.0
2020-09-06,0,0,0,45.3,0,20544465.0
2020-09-05,0,0,0,44.9,0,20309506.0
2020-09-04,0,0,0,46.32,0,20896686.0
2020-09-03,0,0,0,45.07,0,20273739.0
2020-09-02,0,0,0,50.33,0,22580380.0
2020-09-01,0,0,0,52.71,0,23582991.0
2020-08-31,0,0,0,51.54,0,22996399.0
2020-08-30,0,0,0,56.06,0,24945616.0
2020-08-29,0,0,0,56.06,0,24877313.0
2020-08-28,0,0,0,56.27,0,24902827.0
2020-08-27,0,0,0,50.14,0,22128049.0
2020-08-26,0,0,0,54.92,0,24171962.0
2020-08-25,0,0,0,54.8,0,24051279.0
2020-08-24,0,0,0,53.78,0,23537072.0
2020-08-23,0,0,0,55.58,0,24257224.0
2020-08-22,0,0,0,55.58,0,24189392.0
2020-08-21,0,0,0,55.32,0,24009090.0
2020-08-20,0,0,0,56.83,0,24596905.0
2020-08-19,0,0,0,56.23,0,24271418.0
2020-08-18,0,0,0,57.34,0,24680293.0
2020-08-17,0,0,0,58.68,0,25185751.0
2020-08-16,0,0,0,52.59,0,22510397.0
2020-08-15,0,0,0,56.84,0,24258347.0
2020-08-14,0,0,0,52.96,0,22539479.0
2020-08-13,0,0,0,53.02,0,22502147.0
2020-08-12,0,0,0,55.27,0,23390749.0
2020-08-11,0,0,0,54.52,0,23006930.0
2020-08-10,0,0,0,56.9,0,23945612.0
2020-08-09,0,0,0,55.97,0,23486375.0
2020-08-08,0,0,0,52.86,0,22116090.0
2020-08-07,0,0,0,55.49,0,23153756.0
2020-08-06,0,0,0,56.31,0,23427712.0
2020-08-05,0,0,0,56.2,0,23316045.0
2020-08-04,0,0,0,53.59,0,22168671.0
2020-08-03,0,0,0,52.4,0,21614515.0
2020-08-02,0,0,0,49.23,0,20244581.0
2020-08-01,0,0,0,54.79,0,22467817.0
2020-07-31,0,0,0,52.03,0,21276123.0
2020-07-30,0,0,0,52.83,0,21544188.0
2020-07-29,0,0,0,52.53,0,21360059.0
2020-07-28,0,0,0,53.25,0,21592159.0
2020-07-27,0,0,0,40.59,0,16412600.0
2020-07-26,0,0,0,48.78,0,19671804.0
2020-07-25,0,0,0,37.97,0,15267140.0
2020-07-24,0,0,0,23.05,0,9243285.0
2020-07-23,0,0,0,46.77,0,18700136.0
2020-07-22,0,0,0,46.01,0,18345511.0
2020-07-21,0,0,0,33.8,0,13437976.0
2020-07-20,0,0,0,40.79,0,16173136.0
2020-07-19,0,0,0,39.27,0,15523867.0
2020-07-18,0,0,0,45.73,0,18029460.0
2020-07-17,0,0,0,40.26,0,15827044.0
2020-07-16,0,0,0,39.15,0,15343415.0
2020-07-15,0,0,0,45.18,0,17656901.0
2020-07-14,0,0,0,15.86,0,6182654.0
2020-07-13,0,0,0,46.42,0,18038617.0
2020-07-12,0,0,0,41.73,0,16169742.0
2020-07-11,0,0,0,46.2,0,17850035.0
2020-07-10,0,0,0,42.98,0,16555294.0
2020-07-09,0,0,0,46.32,0,17791255.0
2020-07-08,0,0,0,42.44,0,16252562.0
2020-07-07,0,0,0,46.28,0,17669882.0
2020-07-06,0,0,0,44.7,0,17017992.0
2020-07-05,0,0,0,40.77,0,15473689.0
2020-07-04,0,0,0,41.02,0,15521570.0
2020-07-03,0,0,0,42.54,0,16051661.0
2020-07-02,0,0,0,42.95,0,16156520.0
2020-07-01,0,0,0,44.18,0,16564178.0
2020-06-30,0,0,0,42.15,0,15755685.0
2020-06-29,0,0,0,42.43,0,15808117.0
2020-06-28,0,0,0,42.18,0,15664635.0
2020-06-27,0,0,0,43.04,0,15932396.0
2020-06-26,0,0,0,43.46,0,16038335.0
2020-06-25,0,0,0,42.75,0,15723457.0
2020-06-24,0,0,0,44.04,0,16145080.0
2020-06-23,0,0,0,45.89,0,16767687.0
2020-06-22,0,0,0,46.15,0,16809509.0
2020-06-21,0,0,0,43.08,0,15638720.0
2020-06-20,0,0,0,44.46,0,16087491.0
2020-06-19,0,0,0,44.26,0,15961155.0
2020-06-18,0,0,0,42.41,0,15243744.0
2020-06-17,0,0,0,44.65,0,15996670.0
2020-06-16,0,0,0,42.93,0,15328192.0
2020-06-15,0,0,0,44.2,0,15729588.0
2020-06-14,0,0,0,42.74,0,15158902.0
2020-06-13,0,0,0,44.95,0,15888372.0
2020-06-12,0,0,0,44.85,0,15801407.0
2020-06-11,0,0,0,44.12,0,15491220.0
2020-06-10,0,0,0,47.17,0,16502665.0
2020-06-09,0,0,0,46.73,0,16293131.0
2020-06-08,0,0,0,46.41,0,16126570.0
2020-06-07,0,0,0,43.97,0,15226704.0
2020-06-06,0,0,0,45.36,0,15655220.0
2020-06-05,0,0,0,45.71,0,15722069.0
2020-06-04,0,0,0,46.61,0,15976484.0
2020-06-03,0,0,0,45.18,0,15431891.0
2020-06-02,0,0,0,43.32,0,14740931.0
2020-06-01,0,0,0,45.75,0,15506478.0
2020-05-31,0,0,0,42.64,0,14394641.0
2020-05-30,0,0,0,43.66,0,14682566.0
2020-05-29,0,0,0,42.51,0,14242043.0
2020-05-28,0,0,0,47.33,0,15791458.0
2020-05-27,0,0,0,41.04,0,13638901.0
2020-05-26,0,0,0,39.73,0,13152991.0
2020-05-25,0,0,0,39.21,0,12927485.0
2020-05-24,0,0,0,39.13,0,12850084.0
2020-05-23,0,0,0,41.05,0,13426369.0
2020-05-22,0,0,0,41.2,0,13420931.0
2020-05-21,0,0,0,40.49,0,13133412.0
2020-05-20,0,0,0,42.53,0,13739590.0
2020-05-19,0,0,0,43.41,0,13967512.0
2020-05-18,0,0,0,43.47,0,13929169.0
2020-05-17,0,0,0,43.03,0,13728351.0
2020-05-16,0,0,0,42.15,0,13393276.0
2020-05-15,0,0,0,41.61,0,13166824.0
2020-05-14,0,0,0,43.8,0,13800348.0
2020-05-13,0,0,0,41.56,0,14131302.0
2020-05-12,0,0,0,39.59,0,13411981.0
2020-05-11,0,0,0,38.69,0,13055756.0
2020-05-10,0,0,0,39.39,0,13237382.0
2020-05-09,0,0,0,43.14,0,14440183.0
2020-05-08,0,0,0,44.27,0,14760746.0
2020-05-07,0,0,0,41.59,0,13810058.0
2020-05-06,0,0,0,38.28,0,12659869.0
2020-05-05,0,0,0,37.71,0,12423901.0
2020-05-04,0,0,0,37.17,0,11218628.0
2020-05-03,0,0,0,37.34,0,11222128.0
2020-05-02,0,0,0,37.6,0,11249466.0
2020-05-01,0,0,0,36.84,0,10973554.0
2020-04-30,0,0,0,35.93,0,10653377.0
2020-04-29,0,0,0,36.68,0,10828034.0
2020-04-28,0,0,0,32.81,0,9641743.0
2020-04-27,0,0,0,32.78,0,9590030.0
2020-04-26,0,0,0,32.17,0,8919180.0
2020-04-25,0,0,0,31.7,0,8745026.0
2020-04-24,0,0,0,31.68,0,8697050.0
2020-04-23,0,0,0,31.23,0,8531915.0
2020-04-22,0,0,0,29.9,0,8130096.0
2020-04-21,0,0,0,28.92,0,7823780.0
2020-04-20,0,0,0,28.95,0,7796000.0
2020-04-19,0,0,0,30.21,0,8098285.0
2020-04-18,0,0,0,30.52,0,8146141.0
2020-04-17,0,0,0,29.84,0,7929350.0
2020-04-16,0,0,0,29.68,0,7552375.0
2020-04-15,0,0,0,27.62,0,6997116.0
2020-04-14,0,0,0,28.75,0,7247932.0
2020-04-13,0,0,0,28.74,0,7210945.0
2020-04-12,0,0,0,29.21,0,7298588.0
2020-04-11,0,0,0,28.71,0,7141929.0
2020-04-10,0,0,0,28.87,0,7151058.0
2020-04-09,0,0,0,30.64,0,7559533.0
2020-04-08,0,0,0,30.77,0,7559277.0
2020-04-07,0,0,0,30.17,0,7379529.0
2020-04-06,0,0,0,30.45,0,7414181.0
2020-04-05,0,0,0,28.27,0,6107292.0
2020-04-04,0,0,0,28.54,0,6136492.0
2020-04-03,0,0,0,28.28,0,6051512.0
2020-04-02,0,0,0,28.62,0,6092988.0
2020-04-01,0,0,0,27.88,0,5908090.0
2020-03-31,0,0,0,27.1,0,5713104.0
2020-03-30,0,0,0,27.02,0,5669020.0
2020-03-29,0,0,0,23.23,0,4754021.0
2020-03-28,0,0,0,24.54,0,5023450.0
2020-03-27,0,0,0,25.46,0,5210226.0
2020-03-26,0,0,0,26.31,0,5384231.0
2020-03-25,0,0,0,25.9,0,5301378.0
2020-03-24,0,0,0,26.57,0,5301378.0
2020-03-23,0,0,0,25.04,0,5301378.0
2020-03-22,0,0,0,22.98,0,5301378.0
2020-03-21,0,0,0,24.25,0,5301378.0
2020-03-20,0,0,0,24.42,0,5301378.0
2020-03-19,0,0,0,24.34,0,5301378.0
2020-03-18,0,0,0,20.49,0,5301378.0
2020-03-17,0,0,0,18.32,0,5301378.0
2020-03-16,0,0,0,17.65,0,5301378.0
