date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,438.13,0,11605531.0
2020-12-13,0,0,0,430.54,0,11404687.0
2020-12-12,0,0,0,411.62,0,10903340.0
2020-12-11,0,0,0,412.75,0,10933356.0
2020-12-10,0,0,0,443.85,0,11757179.0
2020-12-09,0,0,0,455.86,0,12075403.0
2020-12-08,0,0,0,457.23,0,12111627.0
2020-12-07,0,0,0,482.46,0,12779909.0
2020-12-06,0,0,0,464.41,0,12301710.0
2020-12-05,0,0,0,450.59,0,11935581.0
2020-12-04,0,0,0,451.76,0,11966707.0
2020-12-03,0,0,0,460.22,0,12190837.0
2020-12-02,0,0,0,470.1,0,12452526.0
2020-12-01,0,0,0,476.81,0,12630247.0
2020-11-30,0,0,0,452.5,0,11986202.0
2020-11-29,0,0,0,441.12,0,11684733.0
2020-11-28,0,0,0,442.38,0,11718312.0
2020-11-27,0,0,0,468.16,0,12401020.0
2020-11-26,0,0,0,408.49,0,10820561.0
2020-11-25,0,0,0,459.8,0,12179602.0
2020-11-24,0,0,0,494.31,0,13093858.0
2020-11-23,0,0,0,504.46,0,13362728.0
2020-11-22,0,0,0,455.09,0,12055005.0
2020-11-21,0,0,0,446.44,0,11825714.0
2020-11-20,0,0,0,447.58,0,11855895.0
2020-11-19,0,0,0,431.75,0,11436677.0
2020-11-18,0,0,0,390.31,0,10338881.0
2020-11-17,0,0,0,380.02,0,10066376.0
2020-11-16,0,0,0,390.64,0,10347564.0
2020-11-15,0,0,0,403.22,0,10680835.0
2020-11-14,0,0,0,377.66,0,10003909.0
2020-11-13,0,0,0,375.52,0,9947099.0
2020-11-12,0,0,0,366.73,0,9714325.0
2020-11-11,0,0,0,396.77,0,10510093.0
2020-11-10,0,0,0,414.76,0,10986629.0
2020-11-09,0,0,0,374.51,0,9920361.0
2020-11-08,0,0,0,386.84,0,10246876.0
2020-11-07,0,0,0,350.61,0,9287204.0
2020-11-06,0,0,0,386.9,0,10248502.0
2020-11-05,0,0,0,337.74,0,8946270.0
2020-11-04,0,0,0,325.14,0,8612520.0
2020-11-03,0,0,0,341.7,0,9051402.0
2020-11-02,0,0,0,336.39,0,8910666.0
2020-11-01,0,0,0,383.14,0,10149007.0
2020-10-31,0,0,0,365.95,0,9693644.0
2020-10-30,0,0,0,331.45,0,8779685.0
2020-10-29,0,0,0,399.29,0,10576688.0
2020-10-28,0,0,0,499.8,0,13011287.0
2020-10-27,0,0,0,480.82,0,12517071.0
2020-10-26,0,0,0,409.4,0,10657782.0
2020-10-25,0,0,0,414.81,0,10798876.0
2020-10-24,0,0,0,421.35,0,10969111.0
2020-10-23,0,0,0,428.8,0,11163045.0
2020-10-22,0,0,0,469.63,0,12225781.0
2020-10-21,0,0,0,449.78,0,11709068.0
2020-10-20,0,0,0,399.95,0,10411909.0
2020-10-19,0,0,0,391.38,0,10188856.0
2020-10-18,0,0,0,398.38,0,10371124.0
2020-10-17,0,0,0,378.03,0,9841341.0
2020-10-16,0,0,0,386.32,0,10056958.0
2020-10-15,0,0,0,354.25,0,9222290.0
2020-10-14,0,0,0,357.93,0,9318028.0
2020-10-13,0,0,0,335.65,0,8737879.0
2020-10-12,0,0,0,366.92,0,9551958.0
2020-10-11,0,0,0,372.95,0,9708986.0
2020-10-10,0,0,0,364.72,0,9494695.0
2020-10-09,0,0,0,332.71,0,8661425.0
2020-10-08,0,0,0,311.5,0,8109367.0
2020-10-07,0,0,0,300.93,0,7833987.0
2020-10-06,0,0,0,307.83,0,8013794.0
2020-10-05,0,0,0,312.06,0,8123864.0
2020-10-04,0,0,0,326.34,0,8495694.0
2020-10-03,0,0,0,327.35,0,8521954.0
2020-10-02,0,0,0,335.04,0,8722053.0
2020-10-01,0,0,0,377.83,0,9835968.0
2020-09-30,0,0,0,398.72,0,10379887.0
2020-09-29,0,0,0,369.53,0,9620031.0
2020-09-28,0,0,0,396.45,0,10320880.0
2020-09-27,0,0,0,398.07,0,10362853.0
2020-09-26,0,0,0,431.64,0,10362853.0
2020-09-25,0,0,0,496.51,0,10362853.0
2020-09-24,0,0,0,317.46,0,10362853.0
2020-09-23,0,0,0,255.89,0,10362853.0
2020-09-22,0,0,0,356.05,0,10362853.0
2020-09-21,0,0,0,325.76,0,10362853.0
2020-09-20,0,0,0,417.18,0,10362853.0
2020-09-19,0,0,0,454.91,0,10362853.0
2020-09-18,0,0,0,487.39,0,10362853.0
2020-09-17,0,0,0,542.46,0,10362853.0
2020-09-16,0,0,0,653.37,0,10362853.0
2020-09-15,0,0,0,675.45,0,10362853.0
2020-09-14,0,0,0,779.02,0,10362853.0
2020-09-13,0,0,0,808.84,0,10362853.0
