date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,1.02,0,5846437.0
2020-12-13,0,0,0,1.05,0,6029656.0
2020-12-12,0,0,0,1.02,0,5812411.0
2020-12-11,0,0,0,1.03,0,5884054.0
2020-12-10,0,0,0,1.02,0,5798049.0
2020-12-09,0,0,0,1.04,0,5914554.0
2020-12-08,0,0,0,0.970595,0,5528318.0
2020-12-07,0,0,0,1.02,0,5781484.0
2020-12-06,0,0,0,1.01,0,5710477.0
2020-12-05,0,0,0,1.03,0,5858677.0
2020-12-04,0,0,0,1.07,0,6063263.0
2020-12-03,0,0,0,1.02,0,5779893.0
2020-12-02,0,0,0,1.06,0,5971518.0
2020-12-01,0,0,0,0.987232,0,5574892.0
2020-11-30,0,0,0,1.09,0,6165977.0
2020-11-29,0,0,0,1.05,0,5918695.0
2020-11-28,0,0,0,1.07,0,6018912.0
2020-11-27,0,0,0,1.05,0,5873910.0
2020-11-26,0,0,0,1.01,0,5660063.0
2020-11-25,0,0,0,0.994946,0,5576919.0
2020-11-24,0,0,0,1.01,0,5681660.0
2020-11-23,0,0,0,1.01,0,5642599.0
2020-11-22,0,0,0,1.01,0,5632322.0
2020-11-21,0,0,0,1.02,0,5676939.0
2020-11-20,0,0,0,1.01,0,5647233.0
2020-11-19,0,0,0,1.03,0,5718657.0
2020-11-18,0,0,0,1.02,0,5641484.0
2020-11-17,0,0,0,1.06,0,5882682.0
2020-11-16,0,0,0,1.04,0,5745810.0
2020-11-15,0,0,0,1.02,0,5654945.0
2020-11-14,0,0,0,1.08,0,5954624.0
2020-11-13,0,0,0,1.02,0,5649818.0
2020-11-12,0,0,0,1.05,0,5807294.0
2020-11-11,0,0,0,1.03,0,5682286.0
2020-11-10,0,0,0,0.995366,0,5475208.0
2020-11-09,0,0,0,1.01,0,5552838.0
2020-11-08,0,0,0,1.05,0,5768350.0
2020-11-07,0,0,0,0.983316,0,5388375.0
2020-11-06,0,0,0,1.02,0,5561991.0
2020-11-05,0,0,0,1.13,0,6174830.0
2020-11-04,0,0,0,1.02,0,5591933.0
2020-11-03,0,0,0,1.05,0,5728345.0
2020-11-02,0,0,0,1.03,0,5618919.0
2020-11-01,0,0,0,1.02,0,5526097.0
2020-10-31,0,0,0,1.03,0,5620794.0
2020-10-30,0,0,0,1.04,0,5644504.0
2020-10-29,0,0,0,1.05,0,5661020.0
2020-10-28,0,0,0,0.982105,0,5313328.0
2020-10-27,0,0,0,1.27,0,6845914.0
2020-10-26,0,0,0,1.02,0,5523327.0
2020-10-25,0,0,0,1.02,0,5477384.0
2020-10-24,0,0,0,1.05,0,5653093.0
2020-10-23,0,0,0,1.04,0,5566450.0
2020-10-22,0,0,0,1.04,0,5563889.0
2020-10-21,0,0,0,1.08,0,5770123.0
2020-10-20,0,0,0,1.05,0,5605217.0
2020-10-19,0,0,0,1.04,0,5587603.0
2020-10-18,0,0,0,1.02,0,5457994.0
2020-10-17,0,0,0,1.02,0,5458046.0
2020-10-16,0,0,0,1.02,0,5433676.0
