date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,108.81,0,48966359.0
2020-12-13,0,0,0,112.27,0,50519532.0
2020-12-12,0,0,0,114.61,0,51575077.0
2020-12-11,0,0,0,124.74,0,56132267.0
2020-12-10,0,0,0,368.84,0,165979228.0
2020-12-09,0,0,0,92.4,0,41580133.0
2020-12-08,0,0,0,104.57,0,47058248.0
2020-12-07,0,0,0,139.27,0,62671144.0
2020-12-06,0,0,0,139.86,0,62935380.0
2020-12-05,0,0,0,393.09,0,176889610.0
2020-12-04,0,0,0,104.51,0,47029358.0
2020-12-03,0,0,0,406.45,0,182901903.0
2020-12-02,0,0,0,394.34,0,177451315.0
2020-12-01,0,0,0,139.21,0,62642910.0
2020-11-30,0,0,0,101.27,0,45571607.0
2020-11-29,0,0,0,112.11,0,50450707.0
2020-11-28,0,0,0,110.19,0,49583329.0
2020-11-27,0,0,0,340.98,0,153439646.0
2020-11-26,0,0,0,397.13,0,178707772.0
2020-11-25,0,0,0,317.31,0,142789281.0
2020-11-24,0,0,0,342.45,0,154103554.0
2020-11-23,0,0,0,132.33,0,59550388.0
2020-11-22,0,0,0,147.86,0,66535678.0
2020-11-21,0,0,0,214.65,0,96590330.0
2020-11-20,0,0,0,195.63,0,88034801.0
2020-11-19,0,0,0,195.76,0,88094101.0
2020-11-18,0,0,0,199.04,0,89568485.0
2020-11-17,0,0,0,199.16,0,89619891.0
2020-11-16,0,0,0,156.66,0,70496309.0
2020-11-15,0,0,0,211.06,0,94976586.0
2020-11-14,0,0,0,205.83,0,92624259.0
2020-11-13,0,0,0,160.46,0,72207760.0
2020-11-12,0,0,0,161.32,0,72592562.0
2020-11-11,0,0,0,305.09,0,137292100.0
2020-11-10,0,0,0,296.36,0,133360984.0
2020-11-09,0,0,0,198.98,0,89539643.0
2020-11-08,0,0,0,233.95,0,105276224.0
2020-11-07,0,0,0,110.77,0,49847326.0
2020-11-06,0,0,0,115.57,0,52004424.0
2020-11-05,0,0,0,135.12,0,60806205.0
2020-11-04,0,0,0,134.11,0,60350021.0
2020-11-03,0,0,0,135.07,0,60783553.0
2020-11-02,0,0,0,335.65,0,151040357.0
2020-11-01,0,0,0,341.26,0,153566150.0
2020-10-31,0,0,0,46.05,0,20724403.0
2020-10-30,0,0,0,70.68,0,31807545.0
2020-10-29,0,0,0,92.91,0,41807283.0
2020-10-28,0,0,0,150.89,0,67900886.0
2020-10-27,0,0,0,110.22,0,49601028.0
2020-10-26,0,0,0,155.2,0,69840094.0
2020-10-25,0,0,0,154.69,0,69608402.0
2020-10-24,0,0,0,98.32,0,44242952.0
2020-10-23,0,0,0,97.81,0,44013598.0
2020-10-22,0,0,0,96.07,0,43229519.0
2020-10-21,0,0,0,94.33,0,42447055.0
2020-10-20,0,0,0,164.16,0,73872709.0
2020-10-19,0,0,0,164.14,0,73862960.0
2020-10-18,0,0,0,87.8,0,39507911.0
2020-10-17,0,0,0,165.18,0,74329450.0
2020-10-16,0,0,0,165.23,0,74355477.0
2020-10-15,0,0,0,165.19,0,74336841.0
2020-10-14,0,0,0,165.23,0,74352490.0
2020-10-13,0,0,0,165.24,0,74360245.0
2020-10-12,0,0,0,165.62,0,74530775.0
2020-10-11,0,0,0,166.07,0,74733668.0
2020-10-10,0,0,0,101.64,0,45740118.0
2020-10-09,0,0,0,99.48,0,44764979.0
2020-10-08,0,0,0,167.99,0,75596975.0
2020-10-07,0,0,0,171.29,0,77080694.0
2020-10-06,0,0,0,168.33,0,75747543.0
2020-10-05,0,0,0,163.6,0,73619122.0
2020-10-04,0,0,0,166.42,0,74890030.0
2020-10-03,0,0,0,166.26,0,74818240.0
2020-10-02,0,0,0,164.25,0,73911491.0
2020-10-01,0,0,0,215.43,0,96943271.0
2020-09-30,0,0,0,215.12,0,96804145.0
2020-09-29,0,0,0,287.53,0,129388132.0
2020-09-28,0,0,0,203.63,0,91633338.0
2020-09-27,0,0,0,215.15,0,96815934.0
2020-09-26,0,0,0,217.4,0,97828852.0
2020-09-25,0,0,0,215.32,0,96891994.0
2020-09-24,0,0,0,222.45,0,100103523.0
2020-09-23,0,0,0,167.23,0,75254847.0
2020-09-22,0,0,0,167.51,0,75380011.0
2020-09-21,0,0,0,203.68,0,91658095.0
2020-09-20,0,0,0,93.16,0,41921934.0
2020-09-19,0,0,0,234.13,0,105358396.0
2020-09-18,0,0,0,157.06,0,70677417.0
2020-09-17,0,0,0,181.88,0,81845352.0
2020-09-16,0,0,0,174.06,0,78328380.0
2020-09-15,0,0,0,289.01,0,130054155.0
2020-09-14,0,0,0,316.41,0,142382532.0
2020-09-13,0,0,0,293.34,0,132005195.0
2020-09-12,0,0,0,299.13,0,134610179.0
2020-09-11,0,0,0,246.33,0,110847583.0
2020-09-10,0,0,0,200.23,0,90104711.0
2020-09-09,0,0,0,334.67,0,150601453.0
2020-09-08,0,0,0,383.67,0,172651735.0
2020-09-07,0,0,0,331.44,0,149149446.0
2020-09-06,0,0,0,545.58,0,245510466.0
2020-09-05,0,0,0,203.73,0,91678428.0
2020-09-04,0,0,0,207.24,0,93255923.0
2020-09-03,0,0,0,742.51,0,334131514.0
2020-09-02,0,0,0,103.03,0,46364926.0
2020-09-01,0,0,0,116.46,0,52408836.0
2020-08-31,0,0,0,97.48,0,43865948.0
2020-08-30,0,0,0,175.77,0,79094457.0
2020-08-29,0,0,0,168.53,0,75837790.0
2020-08-28,0,0,0,183.69,0,82659367.0
2020-08-27,0,0,0,173.46,0,78055921.0
2020-08-26,0,0,0,199.24,0,89660165.0
2020-08-25,0,0,0,106.09,0,47739637.0
2020-08-24,0,0,0,129.78,0,58401145.0
2020-08-23,0,0,0,134.63,0,60582101.0
2020-08-22,0,0,0,150.87,0,67891903.0
2020-08-21,0,0,0,222.26,0,100018976.0
2020-08-20,0,0,0,220.83,0,99371454.0
2020-08-19,0,0,0,135.42,0,60940876.0
2020-08-18,0,0,0,114.57,0,51558736.0
2020-08-17,0,0,0,50.42,0,22690969.0
2020-08-16,0,0,0,85.96,0,38682177.0
2020-08-15,0,0,0,99.16,0,44623396.0
2020-08-14,0,0,0,150.64,0,67786760.0
2020-08-13,0,0,0,177.2,0,79740117.0
2020-08-12,0,0,0,656.89,0,295599444.0
2020-08-11,0,0,0,32.57,0,14657010.0
2020-08-10,0,0,0,34.92,0,15713673.0
2020-08-09,0,0,0,214.43,0,96492448.0
2020-08-08,0,0,0,216.81,0,97565983.0
2020-08-07,0,0,0,212.77,0,95746997.0
2020-08-06,0,0,0,220.49,0,99221269.0
2020-08-05,0,0,0,224.42,0,100990430.0
2020-08-04,0,0,0,193.65,0,87141792.0
2020-08-03,0,0,0,195.85,0,88133877.0
2020-08-02,0,0,0,213.78,0,96202069.0
2020-08-01,0,0,0,196.84,0,88577234.0
2020-07-31,0,0,0,178.91,0,80511052.0
2020-07-30,0,0,0,126.0,0,56699589.0
2020-07-29,0,0,0,124.06,0,55826915.0
2020-07-28,0,0,0,123.06,0,55376897.0
2020-07-27,0,0,0,126.45,0,56902166.0
2020-07-26,0,0,0,126.27,0,56821708.0
2020-07-25,0,0,0,121.7,0,54765085.0
2020-07-24,0,0,0,110.32,0,49646184.0
2020-07-23,0,0,0,87.54,0,39391159.0
2020-07-22,0,0,0,82.78,0,37249389.0
2020-07-21,0,0,0,116.06,0,52227384.0
2020-07-20,0,0,0,113.24,0,50959866.0
2020-07-19,0,0,0,45.34,0,20404317.0
2020-07-18,0,0,0,36.91,0,16608739.0
2020-07-17,0,0,0,92.42,0,41591027.0
2020-07-16,0,0,0,60.5,0,27225767.0
2020-07-15,0,0,0,37.08,0,16686045.0
2020-07-14,0,0,0,117.08,0,52684120.0
2020-07-13,0,0,0,74.44,0,33498825.0
2020-07-12,0,0,0,114.17,0,51375048.0
2020-07-11,0,0,0,116.9,0,52603625.0
2020-07-10,0,0,0,78.67,0,35403628.0
2020-07-09,0,0,0,113.54,0,51091686.0
2020-07-08,0,0,0,138.52,0,62335468.0
2020-07-07,0,0,0,84.34,0,37953307.0
2020-07-06,0,0,0,129.37,0,58217083.0
2020-07-05,0,0,0,127.38,0,57319336.0
2020-07-04,0,0,0,45.9,0,20656772.0
2020-07-03,0,0,0,119.57,0,53804731.0
2020-07-02,0,0,0,93.64,0,42136799.0
2020-07-01,0,0,0,75.4,0,33929477.0
2020-06-30,0,0,0,66.25,0,29811105.0
2020-06-29,0,0,0,129.54,0,58294387.0
2020-06-28,0,0,0,83.32,0,37495796.0
2020-06-27,0,0,0,107.49,0,48371071.0
2020-06-26,0,0,0,57.95,0,26077803.0
2020-06-25,0,0,0,84.65,0,38092394.0
2020-06-24,0,0,0,115.76,0,52090498.0
2020-06-23,0,0,0,86.33,0,38847773.0
2020-06-22,0,0,0,86.09,0,38738757.0
2020-06-21,0,0,0,105.6,0,47518815.0
2020-06-20,0,0,0,86.52,0,38935276.0
2020-06-19,0,0,0,83.7,0,37665823.0
2020-06-18,0,0,0,374.29,0,168432028.0
2020-06-17,0,0,0,53.21,0,23942879.0
2020-06-16,0,0,0,96.69,0,43508646.0
2020-06-15,0,0,0,282.74,0,127233608.0
2020-06-14,0,0,0,53.17,0,23924941.0
2020-06-13,0,0,0,86.35,0,38858216.0
2020-06-12,0,0,0,64.27,0,28922169.0
2020-06-11,0,0,0,53.65,0,24143517.0
2020-06-10,0,0,0,90.73,0,40829927.0
2020-06-09,0,0,0,8.73,0,3927678.0
2020-06-08,0,0,0,31.04,0,13966201.0
2020-06-07,0,0,0,213.22,0,95949288.0
2020-06-06,0,0,0,33.18,0,14929563.0
2020-06-05,0,0,0,220.7,0,99315692.0
2020-06-04,0,0,0,223.55,0,100595811.0
2020-06-03,0,0,0,223.17,0,100426099.0
2020-06-02,0,0,0,216.95,0,97625569.0
2020-06-01,0,0,0,225.5,0,101475884.0
2020-05-31,0,0,0,211.21,0,95044296.0
2020-05-30,0,0,0,221.65,0,99740535.0
2020-05-29,0,0,0,201.8,0,90811294.0
2020-05-28,0,0,0,200.95,0,90429358.0
2020-05-27,0,0,0,191.04,0,85969193.0
2020-05-26,0,0,0,184.58,0,83061245.0
2020-05-25,0,0,0,187.71,0,84468207.0
2020-05-24,0,0,0,185.09,0,83288699.0
2020-05-23,0,0,0,190.79,0,85855564.0
2020-05-22,0,0,0,189.42,0,85238752.0
2020-05-21,0,0,0,37.92,0,17063291.0
2020-05-20,0,0,0,40.89,0,18398483.0
2020-05-19,0,0,0,41.52,0,18684353.0
2020-05-18,0,0,0,41.73,0,18780470.0
2020-05-17,0,0,0,40.32,0,18142079.0
2020-05-16,0,0,0,39.06,0,17576388.0
2020-05-15,0,0,0,37.06,0,16676492.0
2020-05-14,0,0,0,39.55,0,17797046.0
2020-05-13,0,0,0,38.68,0,17407788.0
2020-05-12,0,0,0,37.13,0,16708964.0
2020-05-11,0,0,0,36.49,0,16421215.0
2020-05-10,0,0,0,31.07,0,13983390.0
2020-05-09,0,0,0,209.26,0,94165907.0
2020-05-08,0,0,0,210.78,0,94850245.0
2020-05-07,0,0,0,209.92,0,94463554.0
2020-05-06,0,0,0,202.07,0,90932348.0
2020-05-05,0,0,0,198.11,0,89151104.0
2020-05-04,0,0,0,206.17,0,92778667.0
2020-05-03,0,0,0,208.81,0,93962738.0
2020-05-02,0,0,0,213.21,0,95942597.0
2020-05-01,0,0,0,211.91,0,95358009.0
2020-04-30,0,0,0,205.28,0,92376691.0
2020-04-29,0,0,0,214.31,0,96440682.0
2020-04-28,0,0,0,196.38,0,88369338.0
2020-04-27,0,0,0,195.34,0,87901713.0
2020-04-26,0,0,0,194.53,0,87538172.0
2020-04-25,0,0,0,193.29,0,86982154.0
2020-04-24,0,0,0,186.27,0,83820904.0
2020-04-23,0,0,0,55.58,0,25012224.0
2020-04-22,0,0,0,32.17,0,14476024.0
2020-04-21,0,0,0,30.9,0,13906927.0
2020-04-20,0,0,0,35.53,0,15986835.0
2020-04-19,0,0,0,36.95,0,16628363.0
2020-04-18,0,0,0,37.53,0,16889130.0
2020-04-17,0,0,0,37.09,0,16689770.0
2020-04-16,0,0,0,37.45,0,16852043.0
2020-04-15,0,0,0,42.13,0,18957811.0
2020-04-14,0,0,0,42.44,0,19099106.0
2020-04-13,0,0,0,45.66,0,20548627.0
2020-04-12,0,0,0,48.22,0,21697303.0
2020-04-11,0,0,0,39.1,0,17595928.0
2020-04-10,0,0,0,34.8,0,15658313.0
2020-04-09,0,0,0,35.4,0,15929959.0
2020-04-08,0,0,0,34.81,0,15663493.0
2020-04-07,0,0,0,24.76,0,11141050.0
2020-04-06,0,0,0,36.25,0,16313094.0
2020-04-05,0,0,0,33.99,0,15295690.0
2020-04-04,0,0,0,34.38,0,15469848.0
2020-04-03,0,0,0,47.6,0,21421447.0
2020-04-02,0,0,0,41.08,0,18484222.0
2020-04-01,0,0,0,49.12,0,22105677.0
2020-03-31,0,0,0,56.51,0,25430712.0
2020-03-30,0,0,0,51.32,0,23094579.0
2020-03-29,0,0,0,42.38,0,19073009.0
2020-03-28,0,0,0,56.04,0,25215777.0
2020-03-27,0,0,0,58.22,0,26198616.0
2020-03-26,0,0,0,118.79,0,53456989.0
