date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.193628,0,69258147.0
2020-12-13,0,0,0,0.182986,0,65451787.0
2020-12-12,0,0,0,0.183166,0,65516038.0
2020-12-11,0,0,0,0.183283,0,65557899.0
2020-12-10,0,0,0,0.184647,0,66045750.0
2020-12-09,0,0,0,0.188133,0,67292700.0
2020-12-08,0,0,0,0.185843,0,66473654.0
2020-12-07,0,0,0,0.194467,0,69558380.0
2020-12-06,0,0,0,0.196661,0,70343245.0
2020-12-05,0,0,0,0.194136,0,69439969.0
2020-12-04,0,0,0,0.189652,0,67836323.0
2020-12-03,0,0,0,0.196955,0,70448358.0
2020-12-02,0,0,0,0.194181,0,69456159.0
2020-12-01,0,0,0,0.191053,0,68337203.0
2020-11-30,0,0,0,0.199022,0,71187534.0
2020-11-29,0,0,0,0.183964,0,65801485.0
2020-11-28,0,0,0,0.179482,0,64198611.0
2020-11-27,0,0,0,0.17331,0,61990951.0
2020-11-26,0,0,0,0.174309,0,62348153.0
2020-11-25,0,0,0,0.18996,0,67946192.0
2020-11-24,0,0,0,0.193387,0,69171970.0
2020-11-23,0,0,0,0.186066,0,66553339.0
2020-11-22,0,0,0,0.186514,0,66713749.0
2020-11-21,0,0,0,0.188469,0,67413098.0
2020-11-20,0,0,0,0.188269,0,67341472.0
2020-11-19,0,0,0,0.181205,0,64814664.0
2020-11-18,0,0,0,0.181329,0,64858949.0
2020-11-17,0,0,0,0.178971,0,64015536.0
2020-11-16,0,0,0,0.196968,0,70453115.0
2020-11-15,0,0,0,0.170566,0,61009235.0
2020-11-14,0,0,0,0.169029,0,60459393.0
2020-11-13,0,0,0,0.203157,0,72666833.0
2020-11-12,0,0,0,0.2015,0,72073884.0
2020-11-11,0,0,0,0.193621,0,69255881.0
2020-11-10,0,0,0,0.189288,0,67705827.0
2020-11-09,0,0,0,0.190743,0,68226311.0
2020-11-08,0,0,0,0.192422,0,68826835.0
2020-11-07,0,0,0,0.18436,0,65943147.0
2020-11-06,0,0,0,0.194063,0,69414007.0
2020-11-05,0,0,0,0.192602,0,68891481.0
2020-11-04,0,0,0,0.174579,0,62444824.0
2020-11-03,0,0,0,0.176268,0,63048769.0
2020-11-02,0,0,0,0.155694,0,55689875.0
2020-11-01,0,0,0,0.171528,0,61353355.0
2020-10-31,0,0,0,0.171947,0,61503318.0
2020-10-30,0,0,0,0.168351,0,60217023.0
2020-10-29,0,0,0,0.165394,0,59159190.0
2020-10-28,0,0,0,0.162886,0,58262283.0
2020-10-27,0,0,0,0.169018,0,60455460.0
2020-10-26,0,0,0,0.163924,0,58633483.0
2020-10-25,0,0,0,0.162424,0,58096962.0
2020-10-24,0,0,0,0.163361,0,58432048.0
2020-10-23,0,0,0,0.160015,0,57235326.0
2020-10-22,0,0,0,0.160086,0,57260885.0
2020-10-21,0,0,0,0.159419,0,57022189.0
2020-10-20,0,0,0,0.14859,0,53148862.0
2020-10-19,0,0,0,0.146501,0,52401571.0
2020-10-18,0,0,0,0.141204,0,50506980.0
2020-10-17,0,0,0,0.139598,0,49932604.0
2020-10-16,0,0,0,0.13981,0,50008376.0
2020-10-15,0,0,0,0.141338,0,50554658.0
2020-10-14,0,0,0,0.14266,0,51027804.0
2020-10-13,0,0,0,0.140805,0,50364096.0
2020-10-12,0,0,0,0.145104,0,51901990.0
2020-10-11,0,0,0,0.140234,0,50159853.0
2020-10-10,0,0,0,0.141752,0,50702764.0
2020-10-09,0,0,0,0.137741,0,49268127.0
2020-10-08,0,0,0,0.135221,0,48367015.0
2020-10-07,0,0,0,0.134521,0,48116477.0
2020-10-06,0,0,0,0.130496,0,46676705.0
2020-10-05,0,0,0,0.134232,0,48013156.0
2020-10-04,0,0,0,0.132656,0,47449420.0
2020-10-03,0,0,0,0.131972,0,47204771.0
2020-10-02,0,0,0,0.132294,0,47319971.0
2020-10-01,0,0,0,0.133162,0,47630311.0
2020-09-30,0,0,0,0.135958,0,48630301.0
2020-09-29,0,0,0,0.134276,0,48028800.0
2020-09-28,0,0,0,0.120771,0,43198413.0
2020-09-27,0,0,0,0.127456,0,45589544.0
2020-09-26,0,0,0,0.130363,0,46629351.0
2020-09-25,0,0,0,0.130412,0,46646767.0
2020-09-24,0,0,0,0.129977,0,46491034.0
2020-09-23,0,0,0,0.093035,0,33277589.0
2020-09-22,0,0,0,0.095665,0,34218114.0
2020-09-21,0,0,0,0.094256,0,33714189.0
2020-09-20,0,0,0,0.111295,0,39808795.0
2020-09-19,0,0,0,0.112212,0,40136697.0
2020-09-18,0,0,0,0.111086,0,39734079.0
2020-09-17,0,0,0,0.104382,0,37336300.0
2020-09-16,0,0,0,0.086302,0,30869257.0
2020-09-15,0,0,0,0.084839,0,30345981.0
2020-09-14,0,0,0,0.084262,0,30139478.0
2020-09-13,0,0,0,0.082032,0,29341650.0
2020-09-12,0,0,0,0.082071,0,29355706.0
2020-09-11,0,0,0,0.084334,0,30165327.0
2020-09-10,0,0,0,0.081482,0,29145020.0
2020-09-09,0,0,0,0.080953,0,28955997.0
2020-09-08,0,0,0,0.08062,0,28836856.0
2020-09-07,0,0,0,0.081488,0,29147060.0
2020-09-06,0,0,0,0.080678,0,28857394.0
2020-09-05,0,0,0,0.080141,0,28665321.0
2020-09-04,0,0,0,0.082847,0,29633176.0
2020-09-03,0,0,0,0.08011,0,28654365.0
2020-09-02,0,0,0,0.091171,0,32610577.0
2020-09-01,0,0,0,0.093821,0,33558728.0
2020-08-31,0,0,0,0.091727,0,32809745.0
2020-08-30,0,0,0,0.092028,0,32917240.0
2020-08-29,0,0,0,0.094175,0,33685205.0
2020-08-28,0,0,0,0.091352,0,32675643.0
2020-08-27,0,0,0,0.088707,0,31729337.0
2020-08-26,0,0,0,0.091093,0,32582977.0
2020-08-25,0,0,0,0.090792,0,32475068.0
2020-08-24,0,0,0,0.103356,0,36969056.0
2020-08-23,0,0,0,0.105645,0,37788031.0
2020-08-22,0,0,0,0.096341,0,34460073.0
2020-08-21,0,0,0,0.10398,0,37192321.0
2020-08-20,0,0,0,0.111738,0,39967258.0
2020-08-19,0,0,0,0.106382,0,38051600.0
2020-08-18,0,0,0,0.103352,0,36967600.0
2020-08-17,0,0,0,0.112572,0,40265456.0
2020-08-16,0,0,0,0.113128,0,40464595.0
2020-08-15,0,0,0,0.114186,0,40842941.0
2020-08-14,0,0,0,0.112439,0,40218066.0
2020-08-13,0,0,0,0.14528,0,51964846.0
2020-08-12,0,0,0,0.142406,0,50936743.0
2020-08-11,0,0,0,0.12387,0,44306601.0
2020-08-10,0,0,0,0.127342,0,45548546.0
2020-08-09,0,0,0,0.121406,0,43425359.0
2020-08-08,0,0,0,0.1244,0,44496157.0
2020-08-07,0,0,0,0.120176,0,42985322.0
2020-08-06,0,0,0,0.142242,0,50878086.0
2020-08-05,0,0,0,0.145979,0,52214996.0
2020-08-04,0,0,0,0.137072,0,49029034.0
2020-08-03,0,0,0,0.14136,0,50562623.0
2020-08-02,0,0,0,0.138501,0,49540143.0
2020-08-01,0,0,0,0.147508,0,52761705.0
2020-07-31,0,0,0,0.137209,0,49077984.0
2020-07-30,0,0,0,0.119902,0,42887460.0
2020-07-29,0,0,0,0.132704,0,47466602.0
2020-07-28,0,0,0,0.13777,0,49278650.0
2020-07-27,0,0,0,0.126317,0,45182028.0
2020-07-26,0,0,0,0.125192,0,44779572.0
2020-07-25,0,0,0,0.121745,0,43546778.0
2020-07-24,0,0,0,0.119753,0,42834097.0
2020-07-23,0,0,0,0.120287,0,43025210.0
2020-07-22,0,0,0,0.11938,0,42700627.0
2020-07-21,0,0,0,0.118518,0,42392577.0
2020-07-20,0,0,0,0.114829,0,41072932.0
2020-07-19,0,0,0,0.115258,0,41226305.0
2020-07-18,0,0,0,0.114676,0,41018115.0
2020-07-17,0,0,0,0.115719,0,41391261.0
2020-07-16,0,0,0,0.114372,0,40909391.0
2020-07-15,0,0,0,0.11549,0,41309337.0
2020-07-14,0,0,0,0.115643,0,41364134.0
2020-07-13,0,0,0,0.129874,0,46454354.0
2020-07-12,0,0,0,0.130428,0,46652286.0
2020-07-11,0,0,0,0.128542,0,45977808.0
2020-07-10,0,0,0,0.130301,0,46606871.0
2020-07-09,0,0,0,0.119699,0,42814726.0
2020-07-08,0,0,0,0.131284,0,46958531.0
2020-07-07,0,0,0,0.121523,0,43467354.0
2020-07-06,0,0,0,0.1276,0,45641070.0
2020-07-05,0,0,0,0.114327,0,40893297.0
2020-07-04,0,0,0,0.114602,0,40991825.0
2020-07-03,0,0,0,0.118808,0,42496003.0
2020-07-02,0,0,0,0.123378,0,44130921.0
2020-07-01,0,0,0,0.124788,0,44635018.0
2020-06-30,0,0,0,0.117598,0,42063488.0
2020-06-29,0,0,0,0.122587,0,43847984.0
2020-06-28,0,0,0,0.122761,0,43909913.0
2020-06-27,0,0,0,0.107063,0,38295140.0
2020-06-26,0,0,0,0.118216,0,42284238.0
2020-06-25,0,0,0,0.111758,0,39974491.0
2020-06-24,0,0,0,0.115537,0,41326186.0
2020-06-23,0,0,0,0.123186,0,44061942.0
2020-06-22,0,0,0,0.129041,0,46156485.0
2020-06-21,0,0,0,0.143283,0,51250693.0
2020-06-20,0,0,0,0.14374,0,51413831.0
2020-06-19,0,0,0,0.104916,0,37527257.0
2020-06-18,0,0,0,0.159447,0,57032173.0
2020-06-17,0,0,0,0.160701,0,57480834.0
2020-06-16,0,0,0,0.161718,0,57844459.0
2020-06-15,0,0,0,0.171845,0,61466637.0
2020-06-14,0,0,0,0.172528,0,61711155.0
2020-06-13,0,0,0,0.179864,0,64335151.0
2020-06-12,0,0,0,0.181438,0,64898160.0
2020-06-11,0,0,0,0.179048,0,64043277.0
2020-06-10,0,0,0,0.189044,0,67618565.0
2020-06-09,0,0,0,0.187911,0,67213426.0
2020-06-08,0,0,0,0.177599,0,63525059.0
2020-06-07,0,0,0,0.16677,0,59651566.0
2020-06-06,0,0,0,0.164872,0,58972808.0
2020-06-05,0,0,0,0.165229,0,59100380.0
2020-06-04,0,0,0,0.167009,0,59736921.0
2020-06-03,0,0,0,0.16078,0,57508820.0
2020-06-02,0,0,0,0.162433,0,58100079.0
2020-06-01,0,0,0,0.172643,0,61752143.0
2020-05-31,0,0,0,0.162197,0,58015783.0
2020-05-30,0,0,0,0.165523,0,59205539.0
2020-05-29,0,0,0,0.159562,0,57073309.0
2020-05-28,0,0,0,0.126012,0,45072753.0
2020-05-27,0,0,0,0.122507,0,43819127.0
2020-05-26,0,0,0,0.119546,0,42760183.0
2020-05-25,0,0,0,0.120164,0,42981032.0
2020-05-24,0,0,0,0.119885,0,42881347.0
2020-05-23,0,0,0,0.124046,0,44369545.0
2020-05-22,0,0,0,0.129073,0,46167681.0
2020-05-21,0,0,0,0.133582,0,47780670.0
2020-05-20,0,0,0,0.125796,0,44995733.0
2020-05-19,0,0,0,0.130304,0,46608213.0
2020-05-18,0,0,0,0.126969,0,45415377.0
2020-05-17,0,0,0,0.128966,0,46129438.0
2020-05-16,0,0,0,0.132155,0,47270132.0
2020-05-15,0,0,0,0.11558,0,41341363.0
2020-05-14,0,0,0,0.128545,0,45978772.0
2020-05-13,0,0,0,0.124037,0,44366336.0
2020-05-12,0,0,0,0.117575,0,42055228.0
2020-05-11,0,0,0,0.111581,0,39911305.0
