date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,2.35,0,131075894.0
2020-12-13,0,0,0,2.3,0,127867771.0
2020-12-12,0,0,0,2.27,0,126171117.0
2020-12-11,0,0,0,2.2,0,122621437.0
2020-12-10,0,0,0,2.18,0,121435537.0
2020-12-09,0,0,0,2.2,0,122682601.0
2020-12-08,0,0,0,2.14,0,119114994.0
2020-12-07,0,0,0,2.2,0,122653397.0
2020-12-06,0,0,0,2.21,0,122862697.0
2020-12-05,0,0,0,2.18,0,121494940.0
2020-12-04,0,0,0,2.13,0,118435111.0
2020-12-03,0,0,0,2.14,0,119229968.0
2020-12-02,0,0,0,2.11,0,117613814.0
2020-12-01,0,0,0,2.05,0,113965435.0
2020-11-30,0,0,0,2.16,0,120111643.0
2020-11-29,0,0,0,2.02,0,112686636.0
2020-11-28,0,0,0,1.97,0,109724880.0
2020-11-27,0,0,0,1.93,0,107526331.0
2020-11-26,0,0,0,1.91,0,106356625.0
2020-11-25,0,0,0,2.06,0,114449583.0
2020-11-24,0,0,0,2.11,0,117305597.0
2020-11-23,0,0,0,2.03,0,112885622.0
2020-11-22,0,0,0,2.05,0,113886231.0
2020-11-21,0,0,0,2.07,0,115375798.0
2020-11-20,0,0,0,2.07,0,115186251.0
2020-11-19,0,0,0,2.03,0,112896586.0
2020-11-18,0,0,0,2.04,0,113546015.0
2020-11-17,0,0,0,2.06,0,114962804.0
2020-11-16,0,0,0,2.0,0,111510464.0
2020-11-15,0,0,0,1.92,0,106645035.0
2020-11-14,0,0,0,1.94,0,107790217.0
2020-11-13,0,0,0,1.97,0,109451582.0
2020-11-12,0,0,0,1.96,0,109264365.0
2020-11-11,0,0,0,1.9,0,106005491.0
2020-11-10,0,0,0,1.89,0,105036568.0
2020-11-09,0,0,0,1.9,0,105824380.0
2020-11-08,0,0,0,1.91,0,106340636.0
2020-11-07,0,0,0,1.84,0,102717303.0
2020-11-06,0,0,0,1.93,0,107745916.0
2020-11-05,0,0,0,1.98,0,110216867.0
2020-11-04,0,0,0,1.88,0,104632016.0
2020-11-03,0,0,0,1.87,0,103959216.0
2020-11-02,0,0,0,1.82,0,101534705.0
2020-11-01,0,0,0,1.85,0,102920750.0
2020-10-31,0,0,0,1.85,0,103216019.0
2020-10-30,0,0,0,1.81,0,100995148.0
2020-10-29,0,0,0,1.8,0,100338679.0
2020-10-28,0,0,0,1.78,0,99392366.0
2020-10-27,0,0,0,1.88,0,104539602.0
2020-10-26,0,0,0,1.83,0,101640959.0
2020-10-25,0,0,0,1.81,0,100971079.0
2020-10-24,0,0,0,1.83,0,101726949.0
2020-10-23,0,0,0,1.83,0,101917622.0
2020-10-22,0,0,0,1.83,0,101861736.0
2020-10-21,0,0,0,1.85,0,103103550.0
2020-10-20,0,0,0,1.74,0,97084187.0
2020-10-19,0,0,0,1.74,0,97142438.0
2020-10-18,0,0,0,1.71,0,95068737.0
2020-10-17,0,0,0,1.68,0,93739675.0
2020-10-16,0,0,0,1.68,0,93767864.0
2020-10-15,0,0,0,1.7,0,94467561.0
2020-10-14,0,0,0,1.69,0,93887287.0
2020-10-13,0,0,0,1.69,0,93869171.0
2020-10-12,0,0,0,1.71,0,95187216.0
2020-10-11,0,0,0,1.69,0,93879591.0
2020-10-10,0,0,0,1.68,0,93807357.0
2020-10-09,0,0,0,1.67,0,92821775.0
2020-10-08,0,0,0,1.65,0,91954125.0
2020-10-07,0,0,0,1.61,0,89572818.0
2020-10-06,0,0,0,1.59,0,88777152.0
2020-10-05,0,0,0,1.63,0,90824399.0
2020-10-04,0,0,0,1.61,0,89744887.0
2020-10-03,0,0,0,1.6,0,89048444.0
2020-10-02,0,0,0,1.59,0,88652948.0
2020-10-01,0,0,0,1.58,0,88160678.0
2020-09-30,0,0,0,1.63,0,90749036.0
2020-09-29,0,0,0,1.63,0,90554329.0
2020-09-28,0,0,0,1.6,0,89057868.0
2020-09-27,0,0,0,1.63,0,90514431.0
2020-09-26,0,0,0,1.63,0,90669100.0
2020-09-25,0,0,0,1.62,0,90238406.0
2020-09-24,0,0,0,1.65,0,91847475.0
2020-09-23,0,0,0,1.57,0,87178923.0
2020-09-22,0,0,0,1.59,0,88401436.0
2020-09-21,0,0,0,1.58,0,88136113.0
2020-09-20,0,0,0,1.63,0,90823129.0
2020-09-19,0,0,0,1.65,0,92123272.0
2020-09-18,0,0,0,1.64,0,91333574.0
2020-09-17,0,0,0,1.65,0,92125594.0
2020-09-16,0,0,0,1.66,0,92337181.0
2020-09-15,0,0,0,1.64,0,91329602.0
2020-09-14,0,0,0,1.64,0,91444222.0
2020-09-13,0,0,0,1.58,0,88107131.0
2020-09-12,0,0,0,1.61,0,89475519.0
2020-09-11,0,0,0,1.61,0,89538541.0
2020-09-10,0,0,0,1.59,0,88582674.0
2020-09-09,0,0,0,1.58,0,88018310.0
2020-09-08,0,0,0,1.55,0,86298252.0
2020-09-07,0,0,0,1.58,0,88088261.0
2020-09-06,0,0,0,1.56,0,86880212.0
2020-09-05,0,0,0,1.53,0,85456328.0
2020-09-04,0,0,0,1.58,0,87965371.0
2020-09-03,0,0,0,1.53,0,85401171.0
2020-09-02,0,0,0,1.72,0,95726322.0
2020-09-01,0,0,0,1.79,0,99419095.0
2020-08-31,0,0,0,1.76,0,97900460.0
2020-08-30,0,0,0,1.78,0,99029678.0
2020-08-29,0,0,0,1.74,0,96693829.0
2020-08-28,0,0,0,1.74,0,97135579.0
2020-08-27,0,0,0,1.71,0,95042355.0
2020-08-26,0,0,0,1.73,0,96469825.0
2020-08-25,0,0,0,1.71,0,95145639.0
2020-08-24,0,0,0,1.76,0,98192161.0
2020-08-23,0,0,0,1.76,0,98017499.0
