date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,153.02,0,665027783.0
2020-12-13,0,0,0,147.07,0,638882602.0
2020-12-12,0,0,0,144.51,0,627296607.0
2020-12-11,0,0,0,142.55,0,618646696.0
2020-12-10,0,0,0,149.21,0,647321538.0
2020-12-09,0,0,0,164.46,0,713844115.0
2020-12-08,0,0,0,154.62,0,670488891.0
2020-12-07,0,0,0,149.89,0,652171903.0
2020-12-06,0,0,0,136.99,0,595660520.0
2020-12-05,0,0,0,143.21,0,622383050.0
2020-12-04,0,0,0,127.0,0,551756703.0
2020-12-03,0,0,0,131.98,0,553585486.0
2020-12-02,0,0,0,113.44,0,475432713.0
2020-12-01,0,0,0,105.07,0,440132157.0
2020-11-30,0,0,0,111.91,0,468514039.0
2020-11-29,0,0,0,110.53,0,462331771.0
2020-11-28,0,0,0,108.17,0,452268966.0
2020-11-27,0,0,0,104.36,0,436287700.0
2020-11-26,0,0,0,107.07,0,447258901.0
2020-11-25,0,0,0,123.15,0,513909059.0
2020-11-24,0,0,0,127.56,0,532158750.0
2020-11-23,0,0,0,125.76,0,524317853.0
2020-11-22,0,0,0,116.2,0,483978945.0
2020-11-21,0,0,0,127.15,0,529356198.0
2020-11-20,0,0,0,116.33,0,484213906.0
2020-11-19,0,0,0,113.24,0,471215316.0
2020-11-18,0,0,0,114.48,0,475845649.0
2020-11-17,0,0,0,121.94,0,506572773.0
2020-11-16,0,0,0,120.72,0,501294481.0
2020-11-15,0,0,0,119.88,0,497587072.0
2020-11-14,0,0,0,122.26,0,507256474.0
2020-11-13,0,0,0,116.52,0,483297772.0
2020-11-12,0,0,0,104.08,0,431381286.0
2020-11-11,0,0,0,103.24,0,427639557.0
2020-11-10,0,0,0,102.2,0,423201937.0
2020-11-09,0,0,0,94.52,0,385488439.0
2020-11-08,0,0,0,97.1,0,395656269.0
2020-11-07,0,0,0,92.42,0,376443346.0
2020-11-06,0,0,0,95.66,0,389489228.0
2020-11-05,0,0,0,91.32,0,371253876.0
2020-11-04,0,0,0,88.59,0,360028429.0
2020-11-03,0,0,0,87.64,0,355950262.0
2020-11-02,0,0,0,91.93,0,373231551.0
2020-11-01,0,0,0,93.51,0,379435220.0
2020-10-31,0,0,0,91.26,0,370169805.0
2020-10-30,0,0,0,92.12,0,373549451.0
2020-10-29,0,0,0,96.63,0,391350888.0
2020-10-28,0,0,0,107.6,0,435541557.0
2020-10-27,0,0,0,109.24,0,442048771.0
2020-10-26,0,0,0,100.49,0,406470613.0
2020-10-25,0,0,0,101.26,0,336146400.0
2020-10-24,0,0,0,105.29,0,349525034.0
2020-10-23,0,0,0,103.47,0,343488801.0
2020-10-22,0,0,0,101.26,0,336167045.0
2020-10-21,0,0,0,95.69,0,317665323.0
2020-10-20,0,0,0,95.09,0,315687637.0
2020-10-19,0,0,0,103.86,0,344787615.0
2020-10-18,0,0,0,105.2,0,349226701.0
2020-10-17,0,0,0,103.58,0,343865656.0
2020-10-16,0,0,0,103.22,0,342677933.0
2020-10-15,0,0,0,106.92,0,273859412.0
