date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.006811,0,15108696.0
2020-12-13,0,0,0,0.006601,0,14611431.0
2020-12-12,0,0,0,0.006584,0,14565572.0
2020-12-11,0,0,0,0.006091,0,13363626.0
2020-12-10,0,0,0,0.006126,0,13442251.0
2020-12-09,0,0,0,0.006287,0,13761264.0
2020-12-08,0,0,0,0.006381,0,14145339.0
2020-12-07,0,0,0,0.006343,0,17771094.0
2020-12-06,0,0,0,0.006398,0,13949118.0
2020-12-05,0,0,0,0.006089,0,17058137.0
2020-12-04,0,0,0,0.005921,0,12917135.0
2020-12-03,0,0,0,0.006303,0,13733736.0
2020-12-02,0,0,0,0.006332,0,13793264.0
2020-12-01,0,0,0,0.006401,0,13971940.0
2020-11-30,0,0,0,0.00633,0,13815356.0
2020-11-29,0,0,0,0.006272,0,13669715.0
2020-11-28,0,0,0,0.006298,0,13729685.0
2020-11-27,0,0,0,0.006163,0,13442694.0
2020-11-26,0,0,0,0.006148,0,13387326.0
2020-11-25,0,0,0,0.006931,0,15093966.0
2020-11-24,0,0,0,0.00684,0,14894702.0
2020-11-23,0,0,0,0.006211,0,13411155.0
2020-11-22,0,0,0,0.00595,0,16614909.0
2020-11-21,0,0,0,0.005946,0,12769020.0
2020-11-20,0,0,0,0.005691,0,12511868.0
2020-11-19,0,0,0,0.005511,0,11806976.0
2020-11-18,0,0,0,0.00545,0,11792697.0
2020-11-17,0,0,0,0.005707,0,12210487.0
2020-11-16,0,0,0,0.005863,0,12551517.0
2020-11-15,0,0,0,0.005819,0,16192190.0
2020-11-14,0,0,0,0.005914,0,12652737.0
2020-11-13,0,0,0,0.006381,0,13993791.0
2020-11-12,0,0,0,0.006309,0,17463147.0
2020-11-11,0,0,0,0.006385,0,13662144.0
2020-11-10,0,0,0,0.00646,0,13852140.0
2020-11-09,0,0,0,0.006156,0,13407408.0
2020-11-08,0,0,0,0.005915,0,12656257.0
2020-11-07,0,0,0,0.005758,0,15937399.0
2020-11-06,0,0,0,0.006153,0,13170029.0
2020-11-05,0,0,0,0.005612,0,11930601.0
2020-11-04,0,0,0,0.005891,0,12528340.0
2020-11-03,0,0,0,0.005702,0,12141970.0
2020-11-02,0,0,0,0.005799,0,12595709.0
2020-11-01,0,0,0,0.005934,0,12612508.0
2020-10-31,0,0,0,0.005727,0,12173988.0
2020-10-30,0,0,0,0.005773,0,12370327.0
2020-10-29,0,0,0,0.005791,0,12308924.0
2020-10-28,0,0,0,0.005933,0,12654420.0
2020-10-27,0,0,0,0.006115,0,12981663.0
2020-10-26,0,0,0,0.006475,0,14137053.0
2020-10-25,0,0,0,0.006427,0,13650208.0
2020-10-24,0,0,0,0.006584,0,14074030.0
2020-10-23,0,0,0,0.0066,0,14129624.0
2020-10-22,0,0,0,0.00687,0,14552698.0
2020-10-21,0,0,0,0.006702,0,14194804.0
2020-10-20,0,0,0,0.006399,0,13562600.0
2020-10-19,0,0,0,0.007061,0,14960519.0
2020-10-18,0,0,0,0.007219,0,15305707.0
2020-10-17,0,0,0,0.007194,0,15252534.0
2020-10-16,0,0,0,0.007227,0,15310447.0
2020-10-15,0,0,0,0.007222,0,15272085.0
2020-10-14,0,0,0,0.007439,0,15710891.0
2020-10-13,0,0,0,0.007479,0,20313599.0
2020-10-12,0,0,0,0.007604,0,15974208.0
2020-10-11,0,0,0,0.007494,0,15722398.0
2020-10-10,0,0,0,0.007693,0,16158267.0
2020-10-09,0,0,0,0.007825,0,16412868.0
2020-10-08,0,0,0,0.007734,0,16322697.0
2020-10-07,0,0,0,0.00745,0,16470373.0
2020-10-06,0,0,0,0.007742,0,17100547.0
2020-10-05,0,0,0,0.008025,0,17732411.0
2020-10-04,0,0,0,0.007948,0,17755880.0
2020-10-03,0,0,0,0.008037,0,17942566.0
2020-10-02,0,0,0,0.007779,0,17365774.0
2020-10-01,0,0,0,0.007836,0,17481389.0
2020-09-30,0,0,0,0.008651,0,19418980.0
2020-09-29,0,0,0,0.008147,0,18249509.0
2020-09-28,0,0,0,0.008396,0,18634233.0
2020-09-27,0,0,0,0.008105,0,17840749.0
2020-09-26,0,0,0,0.007451,0,16371521.0
2020-09-25,0,0,0,0.007557,0,16819277.0
2020-09-24,0,0,0,0.007214,0,20991069.0
2020-09-23,0,0,0,0.006774,0,15218700.0
2020-09-22,0,0,0,0.007108,0,15602070.0
2020-09-21,0,0,0,0.00713,0,15650356.0
2020-09-20,0,0,0,0.007836,0,17182223.0
2020-09-19,0,0,0,0.008138,0,17605839.0
2020-09-18,0,0,0,0.007809,0,16889411.0
2020-09-17,0,0,0,0.007955,0,17188574.0
2020-09-16,0,0,0,0.00759,0,16399354.0
2020-09-15,0,0,0,0.00765,0,16493860.0
2020-09-14,0,0,0,0.008009,0,17252164.0
2020-09-13,0,0,0,0.007878,0,16945469.0
2020-09-12,0,0,0,0.008285,0,17780065.0
2020-09-11,0,0,0,0.008174,0,17530532.0
2020-09-10,0,0,0,0.007784,0,16689507.0
2020-09-09,0,0,0,0.007621,0,16339561.0
2020-09-08,0,0,0,0.007151,0,15332628.0
2020-09-07,0,0,0,0.00725,0,15513398.0
2020-09-06,0,0,0,0.007368,0,15733973.0
2020-09-05,0,0,0,0.006814,0,14497264.0
2020-09-04,0,0,0,0.007718,0,16399732.0
2020-09-03,0,0,0,0.007513,0,15952751.0
2020-09-02,0,0,0,0.009213,0,19399401.0
2020-09-01,0,0,0,0.009728,0,20409134.0
2020-08-31,0,0,0,0.010167,0,21137820.0
2020-08-30,0,0,0,0.00955,0,19777901.0
2020-08-29,0,0,0,0.009482,0,19624373.0
2020-08-28,0,0,0,0.00969,0,20026735.0
2020-08-27,0,0,0,0.00905,0,18641048.0
2020-08-26,0,0,0,0.009197,0,18898466.0
2020-08-25,0,0,0,0.008889,0,18190849.0
2020-08-24,0,0,0,0.009557,0,19542187.0
2020-08-23,0,0,0,0.009354,0,19095049.0
2020-08-22,0,0,0,0.00953,0,19435344.0
2020-08-21,0,0,0,0.009294,0,18891610.0
2020-08-20,0,0,0,0.010074,0,20444759.0
2020-08-19,0,0,0,0.009555,0,19292418.0
2020-08-18,0,0,0,0.01,0,20484297.0
2020-08-17,0,0,0,0.009861,0,20114481.0
2020-08-16,0,0,0,0.009689,0,19712655.0
2020-08-15,0,0,0,0.009716,0,19731208.0
2020-08-14,0,0,0,0.010187,0,20347337.0
2020-08-13,0,0,0,0.00994,0,19967984.0
2020-08-12,0,0,0,0.009489,0,18949112.0
2020-08-11,0,0,0,0.009072,0,18421345.0
2020-08-10,0,0,0,0.009967,0,19823419.0
2020-08-09,0,0,0,0.009141,0,18015756.0
2020-08-08,0,0,0,0.008786,0,17253043.0
2020-08-07,0,0,0,0.008622,0,16835227.0
2020-08-06,0,0,0,0.00813,0,15696609.0
2020-08-05,0,0,0,0.008054,0,15480460.0
2020-08-04,0,0,0,0.008216,0,16092474.0
2020-08-03,0,0,0,0.008141,0,15855227.0
2020-08-02,0,0,0,0.007673,0,14505086.0
2020-08-01,0,0,0,0.008224,0,11505826.0
2020-07-31,0,0,0,0.008342,0,11636781.0
2020-07-30,0,0,0,0.008591,0,11929811.0
2020-07-29,0,0,0,0.008613,0,11846057.0
2020-07-28,0,0,0,0.008396,0,11496269.0
2020-07-27,0,0,0,0.008001,0,10854616.0
2020-07-26,0,0,0,0.009353,0,13327002.0
2020-07-25,0,0,0,0.009901,0,13955561.0
2020-07-24,0,0,0,0.010283,0,14326366.0
2020-07-23,0,0,0,0.010085,0,13857791.0
2020-07-22,0,0,0,0.010061,0,13673007.0
2020-07-21,0,0,0,0.010168,0,13941008.0
2020-07-20,0,0,0,0.00958,0,13071812.0
2020-07-19,0,0,0,0.00947,0,12906936.0
2020-07-18,0,0,0,0.009837,0,13284766.0
