date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.056525,0,3864739.0
2020-12-13,0,0,0,0.059026,0,4035744.0
2020-12-12,0,0,0,0.045559,0,3114981.0
2020-12-11,0,0,0,0.063674,0,4353576.0
2020-12-10,0,0,0,0.065412,0,4472391.0
2020-12-09,0,0,0,0.06032,0,4124205.0
2020-12-08,0,0,0,0.053916,0,3686381.0
2020-12-07,0,0,0,0.051034,0,3489337.0
2020-12-06,0,0,0,0.058472,0,3997839.0
2020-12-05,0,0,0,0.053088,0,3629779.0
2020-12-04,0,0,0,0.050684,0,3465367.0
2020-12-03,0,0,0,0.054893,0,3753152.0
2020-12-02,0,0,0,0.0512,0,3500660.0
2020-12-01,0,0,0,0.049355,0,3374496.0
2020-11-30,0,0,0,0.072717,0,4971860.0
2020-11-29,0,0,0,0.068113,0,4657054.0
2020-11-28,0,0,0,0.063681,0,4353990.0
2020-11-27,0,0,0,0.055669,0,3806240.0
2020-11-26,0,0,0,0.05231,0,3576571.0
2020-11-25,0,0,0,0.059579,0,4073568.0
2020-11-24,0,0,0,0.062254,0,4256482.0
2020-11-23,0,0,0,0.067729,0,4630781.0
2020-11-22,0,0,0,0.072553,0,4960632.0
2020-11-21,0,0,0,0.055116,0,3768390.0
2020-11-20,0,0,0,0.06084,0,4159756.0
2020-11-19,0,0,0,0.060036,0,4104811.0
2020-11-18,0,0,0,0.057776,0,3950256.0
2020-11-17,0,0,0,0.059945,0,4098594.0
2020-11-16,0,0,0,0.059676,0,4080206.0
2020-11-15,0,0,0,0.046976,0,3211833.0
2020-11-14,0,0,0,0.050513,0,3453659.0
2020-11-13,0,0,0,0.052104,0,3562483.0
2020-11-12,0,0,0,0.046782,0,3198593.0
2020-11-11,0,0,0,0.052706,0,3603615.0
2020-11-10,0,0,0,0.044973,0,3074885.0
2020-11-09,0,0,0,0.048292,0,3301861.0
2020-11-08,0,0,0,0.048802,0,3336734.0
2020-11-07,0,0,0,0.04361,0,2981685.0
2020-11-06,0,0,0,0.047712,0,3262201.0
2020-11-05,0,0,0,0.055419,0,3789111.0
2020-11-04,0,0,0,0.058532,0,4001981.0
2020-11-03,0,0,0,0.056119,0,3837009.0
2020-11-02,0,0,0,0.052899,0,3616846.0
