date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,65.52,0,9823275.0
2020-12-13,0,0,0,65.27,0,9785268.0
2020-12-12,0,0,0,62.73,0,9405357.0
2020-12-11,0,0,0,61.48,0,9218287.0
2020-12-10,0,0,0,68.66,0,10294740.0
2020-12-09,0,0,0,71.09,0,10658898.0
2020-12-08,0,0,0,64.12,0,9614000.0
2020-12-07,0,0,0,73.86,0,11073872.0
2020-12-06,0,0,0,72.93,0,10933790.0
2020-12-05,0,0,0,78.12,0,11713034.0
2020-12-04,0,0,0,72.46,0,10863769.0
2020-12-03,0,0,0,88.66,0,13292762.0
2020-12-02,0,0,0,72.09,0,10808896.0
2020-12-01,0,0,0,63.85,0,9573562.0
2020-11-30,0,0,0,60.57,0,9081543.0
2020-11-29,0,0,0,60.71,0,9102025.0
2020-11-28,0,0,0,60.41,0,9056385.0
2020-11-27,0,0,0,62.44,0,9362217.0
2020-11-26,0,0,0,66.17,0,9920114.0
2020-11-25,0,0,0,43.63,0,6541332.0
2020-11-24,0,0,0,40.76,0,6111365.0
2020-11-23,0,0,0,40.73,0,6106653.0
2020-11-22,0,0,0,40.15,0,6019771.0
2020-11-21,0,0,0,45.88,0,6878581.0
2020-11-20,0,0,0,52.04,0,7802142.0
2020-11-19,0,0,0,39.46,0,5915451.0
2020-11-18,0,0,0,39.65,0,5944942.0
2020-11-17,0,0,0,43.6,0,6536844.0
2020-11-16,0,0,0,41.36,0,6200589.0
2020-11-15,0,0,0,38.8,0,5817595.0
2020-11-14,0,0,0,42.43,0,6360773.0
2020-11-13,0,0,0,44.4,0,6657408.0
2020-11-12,0,0,0,49.35,0,7398969.0
2020-11-11,0,0,0,48.88,0,7328471.0
2020-11-10,0,0,0,46.38,0,6954211.0
2020-11-09,0,0,0,43.02,0,6449329.0
2020-11-08,0,0,0,46.42,0,6959465.0
2020-11-07,0,0,0,46.81,0,7018100.0
2020-11-06,0,0,0,53.99,0,8094946.0
2020-11-05,0,0,0,48.27,0,7236275.0
2020-11-04,0,0,0,46.53,0,6975647.0
2020-11-03,0,0,0,46.09,0,6910409.0
2020-11-02,0,0,0,49.1,0,7361259.0
2020-11-01,0,0,0,49.73,0,7455448.0
2020-10-31,0,0,0,47.6,0,7136387.0
2020-10-30,0,0,0,42.31,0,6343926.0
2020-10-29,0,0,0,34.74,0,5208945.0
2020-10-28,0,0,0,26.16,0,3921939.0
2020-10-27,0,0,0,25.17,0,3774320.0
2020-10-26,0,0,0,20.84,0,3124728.0
2020-10-25,0,0,0,23.65,0,3545476.0
2020-10-24,0,0,0,24.4,0,3657793.0
2020-10-23,0,0,0,23.76,0,3561535.0
2020-10-22,0,0,0,25.59,0,3837087.0
2020-10-21,0,0,0,25.78,0,3864402.0
2020-10-20,0,0,0,25.14,0,3768844.0
2020-10-19,0,0,0,31.25,0,4684909.0
2020-10-18,0,0,0,31.93,0,4787354.0
2020-10-17,0,0,0,29.45,0,4415141.0
2020-10-16,0,0,0,28.61,0,4288805.0
2020-10-15,0,0,0,33.97,0,5092323.0
2020-10-14,0,0,0,35.06,0,5256685.0
2020-10-13,0,0,0,37.67,0,5647133.0
2020-10-12,0,0,0,37.24,0,5583999.0
2020-10-11,0,0,0,36.6,0,5487022.0
2020-10-10,0,0,0,38.83,0,5822103.0
2020-10-09,0,0,0,43.44,0,6513396.0
2020-10-08,0,0,0,37.05,0,5554657.0
2020-10-07,0,0,0,33.17,0,4972927.0
2020-10-06,0,0,0,35.83,0,5372129.0
2020-10-05,0,0,0,48.4,0,7256856.0
2020-10-04,0,0,0,37.89,0,5680301.0
2020-10-03,0,0,0,40.88,0,6128478.0
2020-10-02,0,0,0,46.19,0,6925379.0
2020-10-01,0,0,0,54.34,0,8147222.0
2020-09-30,0,0,0,57.55,0,8627637.0
2020-09-29,0,0,0,66.19,0,9923928.0
2020-09-28,0,0,0,73.53,0,11024353.0
2020-09-27,0,0,0,79.05,0,11851904.0
2020-09-26,0,0,0,80.51,0,12070697.0
2020-09-25,0,0,0,83.72,0,12551415.0
2020-09-24,0,0,0,89.18,0,13371045.0
2020-09-23,0,0,0,88.06,0,13203072.0
2020-09-22,0,0,0,112.32,0,16839597.0
2020-09-21,0,0,0,103.01,0,15443853.0
2020-09-20,0,0,0,113.54,0,17022107.0
2020-09-19,0,0,0,130.23,0,19524692.0
2020-09-18,0,0,0,71.63,0,10739243.0
2020-09-17,0,0,0,57.36,0,8599412.0
2020-09-16,0,0,0,94.62,0,14185965.0
2020-09-15,0,0,0,106.81,0,16013343.0
2020-09-14,0,0,0,140.14,0,21010784.0
2020-09-13,0,0,0,178.8,0,26807705.0
2020-09-12,0,0,0,263.54,0,39511371.0
2020-09-11,0,0,0,269.04,0,40336726.0
2020-09-10,0,0,0,282.43,0,42344251.0
2020-09-09,0,0,0,244.49,0,36656392.0
2020-09-08,0,0,0,217.67,0,32634954.0
2020-09-07,0,0,0,159.18,0,23864878.0
2020-09-06,0,0,0,116.46,0,17461095.0
2020-09-05,0,0,0,98.43,0,14757523.0
2020-09-04,0,0,0,118.93,0,17830378.0
2020-09-03,0,0,0,89.87,0,13474724.0
2020-09-02,0,0,0,125.07,0,18750876.0
2020-09-01,0,0,0,113.08,0,16953257.0
2020-08-31,0,0,0,85.31,0,12790802.0
2020-08-30,0,0,0,82.15,0,12316035.0
2020-08-29,0,0,0,68.25,0,10232144.0
2020-08-28,0,0,0,83.08,0,12456624.0
2020-08-27,0,0,0,82.73,0,12403624.0
2020-08-26,0,0,0,77.83,0,11669520.0
2020-08-25,0,0,0,74.71,0,11200349.0
2020-08-24,0,0,0,87.47,0,13113649.0
2020-08-23,0,0,0,85.42,0,12806917.0
2020-08-22,0,0,0,101.91,0,14966263.0
2020-08-21,0,0,0,92.69,0,13347357.0
2020-08-20,0,0,0,71.94,0,10154149.0
2020-08-19,0,0,0,98.12,0,13716403.0
2020-08-18,0,0,0,118.14,0,16379759.0
2020-08-17,0,0,0,100.3,0,10890019.0
2020-08-16,0,0,0,76.04,0,7956911.0
2020-08-15,0,0,0,20.69,0,827599.0
2020-08-14,0,0,0,21.4,0,856059.0
2020-08-13,0,0,0,31.4,0,1255855.0
