date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.823435,0,6751280.0
2020-12-13,0,0,0,0.856474,0,7022170.0
2020-12-12,0,0,0,0.854262,0,7004035.0
2020-12-11,0,0,0,0.879987,0,7214947.0
2020-12-10,0,0,0,0.86861,0,7121666.0
2020-12-09,0,0,0,0.894778,0,7336215.0
2020-12-08,0,0,0,0.854351,0,7004760.0
2020-12-07,0,0,0,0.599733,0,4917167.0
2020-12-06,0,0,0,0.557841,0,4573700.0
2020-12-05,0,0,0,0.535204,0,4388101.0
2020-12-04,0,0,0,0.483252,0,3962151.0
2020-12-03,0,0,0,0.446605,0,3657385.0
2020-12-02,0,0,0,0.466323,0,3818868.0
2020-12-01,0,0,0,0.430801,0,3527961.0
2020-11-30,0,0,0,0.495256,0,4055803.0
2020-11-29,0,0,0,0.387748,0,3175388.0
2020-11-28,0,0,0,0.335711,0,2749239.0
2020-11-27,0,0,0,0.358649,0,2937090.0
2020-11-26,0,0,0,0.362242,0,2966509.0
2020-11-25,0,0,0,0.324042,0,2653677.0
2020-11-24,0,0,0,0.324132,0,2654416.0
2020-11-23,0,0,0,0.284606,0,2330726.0
2020-11-22,0,0,0,0.24974,0,2045195.0
2020-11-21,0,0,0,0.328578,0,2690830.0
2020-11-20,0,0,0,0.286797,0,2348671.0
2020-11-19,0,0,0,0.257753,0,2110817.0
2020-11-18,0,0,0,0.247356,0,2025672.0
2020-11-17,0,0,0,0.246714,0,2020419.0
2020-11-16,0,0,0,0.233516,0,1912332.0
2020-11-15,0,0,0,0.255284,0,2090597.0
2020-11-14,0,0,0,0.250442,0,2050944.0
2020-11-13,0,0,0,0.23182,0,1898446.0
2020-11-12,0,0,0,0.243798,0,1997757.0
2020-11-11,0,0,0,0.239982,0,1966486.0
2020-11-10,0,0,0,0.235335,0,1928405.0
2020-11-09,0,0,0,0.238433,0,1953794.0
2020-11-08,0,0,0,0.238857,0,1957267.0
2020-11-07,0,0,0,0.241164,0,1976171.0
2020-11-06,0,0,0,0.253472,0,2077025.0
2020-11-05,0,0,0,0.237351,0,1944926.0
2020-11-04,0,0,0,0.231206,0,1894571.0
2020-11-03,0,0,0,0.264432,0,2166832.0
2020-11-02,0,0,0,0.230201,0,1886339.0
2020-11-01,0,0,0,0.230635,0,1889891.0
2020-10-31,0,0,0,0.21086,0,1727853.0
2020-10-30,0,0,0,0.224987,0,1843609.0
2020-10-29,0,0,0,0.234015,0,1917586.0
2020-10-28,0,0,0,0.230401,0,1887972.0
2020-10-27,0,0,0,0.223095,0,1828104.0
2020-10-26,0,0,0,0.22137,0,1813969.0
2020-10-25,0,0,0,0.213473,0,1749264.0
2020-10-24,0,0,0,0.203924,0,1671011.0
2020-10-23,0,0,0,0.200691,0,1644526.0
2020-10-22,0,0,0,0.214088,0,1754298.0
2020-10-21,0,0,0,0.212103,0,1738038.0
2020-10-20,0,0,0,0.203045,0,1663816.0
2020-10-19,0,0,0,0.195694,0,1603576.0
2020-10-18,0,0,0,0.198521,0,1626744.0
2020-10-17,0,0,0,0.207756,0,1702415.0
2020-10-16,0,0,0,0.209174,0,1714033.0
2020-10-15,0,0,0,0.19877,0,1628779.0
2020-10-14,0,0,0,0.198925,0,1630047.0
2020-10-13,0,0,0,0.193534,0,1585876.0
2020-10-12,0,0,0,0.196345,0,1608914.0
2020-10-11,0,0,0,0.200083,0,1639537.0
2020-10-10,0,0,0,0.207041,0,1696558.0
2020-10-09,0,0,0,0.197485,0,1618248.0
2020-10-08,0,0,0,0.202293,0,1657648.0
2020-10-07,0,0,0,0.20612,0,1689009.0
2020-10-06,0,0,0,0.203516,0,1667673.0
2020-10-05,0,0,0,0.257496,0,2109996.0
2020-10-04,0,0,0,0.219563,0,1799163.0
2020-10-03,0,0,0,0.241177,0,1976274.0
2020-10-02,0,0,0,0.188762,0,1546773.0
2020-10-01,0,0,0,0.222247,0,1821160.0
2020-09-30,0,0,0,0.209626,0,1717735.0
2020-09-29,0,0,0,0.246652,0,2021137.0
2020-09-28,0,0,0,0.244633,0,2004593.0
2020-09-27,0,0,0,0.242231,0,1984915.0
2020-09-26,0,0,0,0.238868,0,1957356.0
2020-09-25,0,0,0,0.207541,0,1700656.0
2020-09-24,0,0,0,0.222722,0,1825054.0
2020-09-23,0,0,0,0.206589,0,1692856.0
2020-09-22,0,0,0,0.220311,0,1805298.0
2020-09-21,0,0,0,0.217127,0,1779207.0
2020-09-20,0,0,0,0.224313,0,1838090.0
2020-09-19,0,0,0,0.221404,0,1814250.0
2020-09-18,0,0,0,0.222252,0,1821202.0
2020-09-17,0,0,0,0.227867,0,1867207.0
2020-09-16,0,0,0,0.244396,0,2002653.0
2020-09-15,0,0,0,0.239699,0,1964169.0
2020-09-14,0,0,0,0.254883,0,2091134.0
2020-09-13,0,0,0,0.229263,0,1880940.0
2020-09-12,0,0,0,0.246902,0,2025655.0
2020-09-11,0,0,0,0.261595,0,2146198.0
2020-09-10,0,0,0,0.282949,0,2321396.0
2020-09-09,0,0,0,0.247166,0,2027819.0
2020-09-08,0,0,0,0.195355,0,1602748.0
2020-09-07,0,0,0,0.204528,0,1678006.0
2020-09-06,0,0,0,0.236691,0,1941878.0
2020-09-05,0,0,0,0.224241,0,1839739.0
2020-09-04,0,0,0,0.244017,0,2001980.0
2020-09-03,0,0,0,0.246616,0,2023303.0
2020-09-02,0,0,0,0.27255,0,2236074.0
2020-09-01,0,0,0,0.322816,0,2648469.0
2020-08-31,0,0,0,0.288347,0,2365681.0
2020-08-30,0,0,0,0.284739,0,2336080.0
2020-08-29,0,0,0,0.289589,0,2375868.0
2020-08-28,0,0,0,0.280778,0,2303583.0
2020-08-27,0,0,0,0.296277,0,2430737.0
2020-08-26,0,0,0,0.299554,0,2457622.0
2020-08-25,0,0,0,0.291808,0,2394075.0
2020-08-24,0,0,0,0.289031,0,2371293.0
2020-08-23,0,0,0,0.290583,0,2384019.0
2020-08-22,0,0,0,0.299204,0,2454751.0
2020-08-21,0,0,0,0.294807,0,2418678.0
2020-08-20,0,0,0,0.329108,0,2700096.0
2020-08-19,0,0,0,0.330933,0,2715069.0
2020-08-18,0,0,0,0.336549,0,2761140.0
2020-08-17,0,0,0,0.336388,0,2759817.0
2020-08-16,0,0,0,0.33918,0,2782729.0
2020-08-15,0,0,0,0.342852,0,2812856.0
2020-08-14,0,0,0,0.336625,0,2761760.0
2020-08-13,0,0,0,0.351643,0,2884974.0
2020-08-12,0,0,0,0.340764,0,2795718.0
2020-08-11,0,0,0,0.339255,0,2783340.0
2020-08-10,0,0,0,0.34169,0,2803322.0
2020-08-09,0,0,0,0.3499,0,2870674.0
2020-08-08,0,0,0,0.348037,0,2855388.0
2020-08-07,0,0,0,0.346239,0,2840644.0
2020-08-06,0,0,0,0.347594,0,2851755.0
2020-08-05,0,0,0,0.351737,0,2885747.0
2020-08-04,0,0,0,0.353429,0,2899625.0
2020-08-03,0,0,0,0.352316,0,2890496.0
2020-08-02,0,0,0,0.357359,0,2931874.0
2020-08-01,0,0,0,0.351109,0,2880594.0
2020-07-31,0,0,0,0.34394,0,2821775.0
2020-07-30,0,0,0,0.357352,0,2931812.0
2020-07-29,0,0,0,0.38794,0,3182765.0
2020-07-28,0,0,0,0.385022,0,3158830.0
2020-07-27,0,0,0,0.393787,0,3230734.0
2020-07-26,0,0,0,0.386096,0,3167637.0
2020-07-25,0,0,0,0.362621,0,2975045.0
2020-07-24,0,0,0,0.364402,0,2989656.0
2020-07-23,0,0,0,0.36248,0,2973887.0
2020-07-22,0,0,0,0.357579,0,2933675.0
2020-07-21,0,0,0,0.354809,0,2910954.0
2020-07-20,0,0,0,0.352734,0,2893926.0
2020-07-19,0,0,0,0.353429,0,2899627.0
2020-07-18,0,0,0,0.349319,0,2865909.0
2020-07-17,0,0,0,0.340403,0,2792762.0
2020-07-16,0,0,0,0.348961,0,2862972.0
2020-07-15,0,0,0,0.346742,0,2844771.0
2020-07-14,0,0,0,0.354953,0,2912130.0
2020-07-13,0,0,0,0.353682,0,2901701.0
2020-07-12,0,0,0,0.360161,0,2954858.0
2020-07-11,0,0,0,0.359036,0,2945632.0
2020-07-10,0,0,0,0.363404,0,2981464.0
2020-07-09,0,0,0,0.362871,0,2977092.0
2020-07-08,0,0,0,0.36125,0,2963792.0
2020-07-07,0,0,0,0.357489,0,2932938.0
2020-07-06,0,0,0,0.345445,0,2834124.0
2020-07-05,0,0,0,0.369472,0,3031250.0
2020-07-04,0,0,0,0.373529,0,3064535.0
2020-07-03,0,0,0,0.365656,0,2999939.0
2020-07-02,0,0,0,0.365846,0,3001505.0
2020-07-01,0,0,0,0.367762,0,3017222.0
2020-06-30,0,0,0,0.36375,0,2984302.0
2020-06-29,0,0,0,0.360916,0,2961052.0
2020-06-28,0,0,0,0.365573,0,2999262.0
2020-06-27,0,0,0,0.36377,0,2984466.0
2020-06-26,0,0,0,0.362322,0,2972590.0
2020-06-25,0,0,0,0.369283,0,3029696.0
2020-06-24,0,0,0,0.382686,0,3139664.0
2020-06-23,0,0,0,0.38863,0,3188430.0
2020-06-22,0,0,0,0.387738,0,3181110.0
2020-06-21,0,0,0,0.374769,0,3074706.0
2020-06-20,0,0,0,0.373206,0,3061885.0
2020-06-19,0,0,0,0.361401,0,2965034.0
2020-06-18,0,0,0,0.375344,0,3079429.0
2020-06-17,0,0,0,0.38076,0,3123858.0
2020-06-16,0,0,0,0.37924,0,3111388.0
2020-06-15,0,0,0,0.386416,0,3170267.0
2020-06-14,0,0,0,0.382753,0,3140209.0
2020-06-13,0,0,0,0.364361,0,2989316.0
2020-06-12,0,0,0,0.36555,0,2999074.0
2020-06-11,0,0,0,0.366113,0,3003690.0
2020-06-10,0,0,0,0.372384,0,3055139.0
2020-06-09,0,0,0,0.362334,0,2972686.0
2020-06-08,0,0,0,0.362708,0,2975756.0
