date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.637394,0,98202021.0
2020-12-13,0,0,0,0.615693,0,92966936.0
2020-12-12,0,0,0,0.591107,0,89088596.0
2020-12-11,0,0,0,0.558436,0,81872587.0
2020-12-10,0,0,0,0.600596,0,87010430.0
2020-12-09,0,0,0,0.633093,0,90831037.0
2020-12-08,0,0,0,0.607801,0,87393761.0
2020-12-07,0,0,0,0.708111,0,101102250.0
2020-12-06,0,0,0,0.704697,0,99743991.0
2020-12-05,0,0,0,0.740077,0,104139994.0
2020-12-04,0,0,0,0.68434,0,95831257.0
2020-12-03,0,0,0,0.830117,0,115745473.0
2020-12-02,0,0,0,0.800904,0,110938218.0
2020-12-01,0,0,0,0.681011,0,93717693.0
2020-11-30,0,0,0,0.675537,0,91928430.0
2020-11-29,0,0,0,0.656266,0,88697557.0
2020-11-28,0,0,0,0.609575,0,81725226.0
2020-11-27,0,0,0,0.641149,0,85910215.0
2020-11-26,0,0,0,0.593011,0,79157260.0
2020-11-25,0,0,0,0.643514,0,85351204.0
2020-11-24,0,0,0,0.688974,0,91833763.0
2020-11-23,0,0,0,0.742425,0,98365694.0
2020-11-22,0,0,0,0.745389,0,97299254.0
2020-11-21,0,0,0,0.848198,0,110146076.0
2020-11-20,0,0,0,0.856942,0,110963176.0
2020-11-19,0,0,0,0.805594,0,102298363.0
2020-11-18,0,0,0,0.761921,0,95896945.0
2020-11-17,0,0,0,0.87143,0,107673872.0
2020-11-16,0,0,0,0.797751,0,97814439.0
2020-11-15,0,0,0,0.778085,0,93526518.0
2020-11-14,0,0,0,0.709938,0,84474426.0
2020-11-13,0,0,0,0.685171,0,81222249.0
2020-11-12,0,0,0,0.559012,0,64798290.0
2020-11-11,0,0,0,0.545035,0,62873812.0
2020-11-10,0,0,0,0.56517,0,64020905.0
2020-11-09,0,0,0,0.451124,0,51114129.0
2020-11-08,0,0,0,0.470791,0,52605139.0
2020-11-07,0,0,0,0.42668,0,47466249.0
2020-11-06,0,0,0,0.43621,0,48186670.0
2020-11-05,0,0,0,0.362775,0,39205529.0
2020-11-04,0,0,0,0.344428,0,36957352.0
2020-11-03,0,0,0,0.356298,0,39015508.0
2020-11-02,0,0,0,0.36091,0,38469119.0
2020-11-01,0,0,0,0.402016,0,42280007.0
2020-10-31,0,0,0,0.416495,0,43523600.0
2020-10-30,0,0,0,0.397217,0,41422486.0
2020-10-29,0,0,0,0.445006,0,46418057.0
2020-10-28,0,0,0,0.496183,0,51457388.0
2020-10-27,0,0,0,0.623804,0,63791548.0
2020-10-26,0,0,0,0.407431,0,41817077.0
2020-10-25,0,0,0,0.338483,0,34549557.0
2020-10-24,0,0,0,0.374657,0,37963513.0
2020-10-23,0,0,0,0.378849,0,38254349.0
2020-10-22,0,0,0,0.406706,0,40863221.0
2020-10-21,0,0,0,0.382909,0,38548345.0
2020-10-20,0,0,0,0.359871,0,36271099.0
2020-10-19,0,0,0,0.415729,0,40490634.0
