date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.001476,0,5227289.0
2020-12-13,0,0,0,0.00149,0,5274446.0
2020-12-12,0,0,0,0.001447,0,5123056.0
2020-12-11,0,0,0,0.001398,0,4951860.0
2020-12-10,0,0,0,0.00141,0,4992065.0
2020-12-09,0,0,0,0.001393,0,4933204.0
2020-12-08,0,0,0,0.001388,0,4913508.0
2020-12-07,0,0,0,0.001446,0,5120022.0
2020-12-06,0,0,0,0.00145,0,5135353.0
2020-12-05,0,0,0,0.00141,0,4991308.0
2020-12-04,0,0,0,0.001607,0,5691215.0
2020-12-03,0,0,0,0.001632,0,5777701.0
2020-12-02,0,0,0,0.001625,0,5755679.0
2020-12-01,0,0,0,0.001592,0,5637441.0
2020-11-30,0,0,0,0.002919,0,10334346.0
2020-11-29,0,0,0,0.002761,0,9777921.0
2020-11-28,0,0,0,0.002711,0,9598751.0
2020-11-27,0,0,0,0.002654,0,9397335.0
2020-11-26,0,0,0,0.002627,0,9303245.0
2020-11-25,0,0,0,0.002863,0,10138661.0
2020-11-24,0,0,0,0.002879,0,10193652.0
2020-11-23,0,0,0,0.002864,0,10139553.0
2020-11-22,0,0,0,0.00284,0,10056083.0
2020-11-21,0,0,0,0.002921,0,10343192.0
2020-11-20,0,0,0,0.002892,0,10240308.0
2020-11-19,0,0,0,0.002889,0,10228826.0
2020-11-18,0,0,0,0.002924,0,10354615.0
2020-11-17,0,0,0,0.002963,0,10490162.0
2020-11-16,0,0,0,0.0028,0,9914087.0
2020-11-15,0,0,0,0.002798,0,9908939.0
2020-11-14,0,0,0,0.002769,0,9805551.0
2020-11-13,0,0,0,0.002816,0,9970595.0
2020-11-12,0,0,0,0.002752,0,9745025.0
2020-11-11,0,0,0,0.002747,0,9727942.0
2020-11-10,0,0,0,0.002648,0,9377251.0
2020-11-09,0,0,0,0.002671,0,9457699.0
2020-11-08,0,0,0,0.002707,0,9585246.0
2020-11-07,0,0,0,0.002668,0,9445585.0
2020-11-06,0,0,0,0.002727,0,9656966.0
2020-11-05,0,0,0,0.002767,0,9797504.0
2020-11-04,0,0,0,0.002571,0,9103398.0
2020-11-03,0,0,0,0.00262,0,9277918.0
2020-11-02,0,0,0,0.00262,0,9277937.0
2020-11-01,0,0,0,0.002667,0,9442926.0
