date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.187092,0,25182882.0
2020-12-13,0,0,0,0.191603,0,25790056.0
2020-12-12,0,0,0,0.189882,0,25558504.0
2020-12-11,0,0,0,0.186114,0,25051286.0
2020-12-10,0,0,0,0.218617,0,29426239.0
2020-12-09,0,0,0,0.222451,0,29942324.0
2020-12-08,0,0,0,0.209731,0,28230175.0
2020-12-07,0,0,0,0.215559,0,29014629.0
2020-12-06,0,0,0,0.202484,0,27254629.0
2020-12-05,0,0,0,0.222796,0,29988737.0
2020-12-04,0,0,0,0.200348,0,26967185.0
2020-12-03,0,0,0,0.212668,0,28625451.0
2020-12-02,0,0,0,0.19,0,25574298.0
2020-12-01,0,0,0,0.182606,0,24579119.0
2020-11-30,0,0,0,0.182872,0,24614871.0
2020-11-29,0,0,0,0.189006,0,25440506.0
2020-11-28,0,0,0,0.18249,0,24563410.0
2020-11-27,0,0,0,0.178954,0,24087477.0
2020-11-26,0,0,0,0.180561,0,24303832.0
2020-11-25,0,0,0,0.184613,0,24849164.0
2020-11-24,0,0,0,0.190506,0,25642426.0
2020-11-23,0,0,0,0.192964,0,25973266.0
2020-11-22,0,0,0,0.165504,0,22277103.0
2020-11-21,0,0,0,0.176447,0,23750063.0
2020-11-20,0,0,0,0.173684,0,23378146.0
2020-11-19,0,0,0,0.165357,0,22257392.0
2020-11-18,0,0,0,0.166795,0,22450828.0
2020-11-17,0,0,0,0.177607,0,23906189.0
2020-11-16,0,0,0,0.179192,0,24119610.0
2020-11-15,0,0,0,0.177632,0,23909534.0
2020-11-14,0,0,0,0.171795,0,23123914.0
2020-11-13,0,0,0,0.181128,0,24380177.0
2020-11-12,0,0,0,0.176681,0,23781613.0
2020-11-11,0,0,0,0.189067,0,25448767.0
2020-11-10,0,0,0,0.178682,0,24050921.0
2020-11-09,0,0,0,0.183256,0,24666602.0
2020-11-08,0,0,0,0.170668,0,22972267.0
2020-11-07,0,0,0,0.170654,0,22970305.0
2020-11-06,0,0,0,0.163691,0,22033072.0
2020-11-05,0,0,0,0.166263,0,22379324.0
2020-11-04,0,0,0,0.160162,0,21558039.0
2020-11-03,0,0,0,0.157746,0,21232829.0
2020-11-02,0,0,0,0.158517,0,21336678.0
2020-11-01,0,0,0,0.160409,0,21591286.0
2020-10-31,0,0,0,0.161398,0,21724461.0
2020-10-30,0,0,0,0.163266,0,21975916.0
2020-10-29,0,0,0,0.167539,0,22551047.0
2020-10-28,0,0,0,0.168928,0,22738052.0
2020-10-27,0,0,0,0.184816,0,24876609.0
2020-10-26,0,0,0,0.185349,0,24948243.0
2020-10-25,0,0,0,0.187367,0,25219936.0
2020-10-24,0,0,0,0.197954,0,26644939.0
2020-10-23,0,0,0,0.18908,0,25450436.0
2020-10-22,0,0,0,0.18626,0,25070865.0
2020-10-21,0,0,0,0.193343,0,26024298.0
2020-10-20,0,0,0,0.196223,0,26411987.0
2020-10-19,0,0,0,0.208847,0,28111228.0
