date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,27.44,0,339374834.0
2020-12-13,0,0,0,26.55,0,328230964.0
2020-12-12,0,0,0,26.86,0,331968070.0
2020-12-11,0,0,0,24.81,0,306568822.0
2020-12-10,0,0,0,26.84,0,331531223.0
2020-12-09,0,0,0,26.27,0,324307132.0
2020-12-08,0,0,0,25.8,0,318456709.0
2020-12-07,0,0,0,27.13,0,334755272.0
2020-12-06,0,0,0,27.24,0,336029843.0
2020-12-05,0,0,0,27.72,0,341799817.0
2020-12-04,0,0,0,26.0,0,320517666.0
2020-12-03,0,0,0,31.15,0,383879563.0
2020-12-02,0,0,0,26.08,0,321276296.0
2020-12-01,0,0,0,25.33,0,311977922.0
2020-11-30,0,0,0,24.51,0,301764101.0
2020-11-29,0,0,0,23.54,0,289735352.0
2020-11-28,0,0,0,21.65,0,266336333.0
2020-11-27,0,0,0,21.72,0,267129565.0
2020-11-26,0,0,0,20.62,0,253577377.0
2020-11-25,0,0,0,20.71,0,254601977.0
2020-11-24,0,0,0,22.43,0,275678082.0
2020-11-23,0,0,0,21.47,0,263729228.0
2020-11-22,0,0,0,21.86,0,268508297.0
2020-11-21,0,0,0,24.23,0,297506074.0
2020-11-20,0,0,0,22.93,0,281454095.0
2020-11-19,0,0,0,20.54,0,252009304.0
2020-11-18,0,0,0,19.38,0,237745756.0
2020-11-17,0,0,0,18.75,0,229850241.0
2020-11-16,0,0,0,18.41,0,225609025.0
2020-11-15,0,0,0,19.31,0,236573408.0
2020-11-14,0,0,0,18.55,0,227273043.0
2020-11-13,0,0,0,19.65,0,240643916.0
2020-11-12,0,0,0,17.01,0,208279855.0
2020-11-11,0,0,0,15.95,0,195240886.0
2020-11-10,0,0,0,15.41,0,188474761.0
2020-11-09,0,0,0,16.45,0,201115103.0
2020-11-08,0,0,0,16.95,0,207277753.0
2020-11-07,0,0,0,15.46,0,188881648.0
2020-11-06,0,0,0,14.84,0,181330449.0
2020-11-05,0,0,0,14.09,0,172112498.0
2020-11-04,0,0,0,13.01,0,158879342.0
2020-11-03,0,0,0,12.15,0,148296581.0
2020-11-02,0,0,0,11.75,0,143430320.0
2020-11-01,0,0,0,12.28,0,149824287.0
2020-10-31,0,0,0,12.25,0,149330310.0
2020-10-30,0,0,0,11.88,0,144819926.0
2020-10-29,0,0,0,11.9,0,145018698.0
2020-10-28,0,0,0,11.89,0,144831047.0
2020-10-27,0,0,0,12.06,0,146893462.0
2020-10-26,0,0,0,12.26,0,149187271.0
2020-10-25,0,0,0,12.57,0,152955473.0
2020-10-24,0,0,0,12.62,0,153478500.0
2020-10-23,0,0,0,12.55,0,152678926.0
2020-10-22,0,0,0,13.25,0,160979231.0
2020-10-21,0,0,0,12.47,0,151566177.0
2020-10-20,0,0,0,11.81,0,143498206.0
2020-10-19,0,0,0,12.21,0,148242402.0
2020-10-18,0,0,0,12.12,0,147135412.0
2020-10-17,0,0,0,12.41,0,150681281.0
2020-10-16,0,0,0,12.22,0,148295647.0
2020-10-15,0,0,0,11.44,0,138711549.0
2020-10-14,0,0,0,11.71,0,141945033.0
2020-10-13,0,0,0,12.01,0,145614889.0
2020-10-12,0,0,0,12.21,0,147978206.0
2020-10-11,0,0,0,12.29,0,148812807.0
2020-10-10,0,0,0,12.32,0,149143277.0
2020-10-09,0,0,0,12.35,0,149445731.0
2020-10-08,0,0,0,11.65,0,141013829.0
2020-10-07,0,0,0,11.34,0,137193400.0
2020-10-06,0,0,0,11.22,0,135639385.0
2020-10-05,0,0,0,11.44,0,138309270.0
2020-10-04,0,0,0,11.35,0,137110552.0
2020-10-03,0,0,0,11.6,0,140172516.0
2020-10-02,0,0,0,11.49,0,138763604.0
2020-10-01,0,0,0,11.88,0,143433204.0
2020-09-30,0,0,0,11.75,0,141793855.0
2020-09-29,0,0,0,11.88,0,143363725.0
2020-09-28,0,0,0,11.88,0,143305230.0
2020-09-27,0,0,0,11.88,0,143247870.0
2020-09-26,0,0,0,12.02,0,144798078.0
2020-09-25,0,0,0,12.09,0,145675236.0
2020-09-24,0,0,0,11.73,0,141236973.0
2020-09-23,0,0,0,11.11,0,133776606.0
2020-09-22,0,0,0,11.45,0,137871394.0
2020-09-21,0,0,0,11.37,0,136790746.0
2020-09-20,0,0,0,12.66,0,152322155.0
2020-09-19,0,0,0,13.1,0,157532432.0
2020-09-18,0,0,0,12.65,0,152054525.0
2020-09-17,0,0,0,13.72,0,164837663.0
2020-09-16,0,0,0,14.01,0,168251182.0
2020-09-15,0,0,0,13.73,0,164929254.0
2020-09-14,0,0,0,13.97,0,167750585.0
2020-09-13,0,0,0,14.21,0,170511745.0
2020-09-12,0,0,0,14.73,0,176758359.0
2020-09-11,0,0,0,14.6,0,175114393.0
2020-09-10,0,0,0,14.27,0,171062895.0
2020-09-09,0,0,0,13.75,0,164763075.0
2020-09-08,0,0,0,13.22,0,158350419.0
2020-09-07,0,0,0,13.64,0,163315342.0
2020-09-06,0,0,0,13.66,0,163579774.0
2020-09-05,0,0,0,13.41,0,160438668.0
2020-09-04,0,0,0,14.11,0,168794472.0
2020-09-03,0,0,0,13.38,0,160037052.0
2020-09-02,0,0,0,15.98,0,191020331.0
2020-09-01,0,0,0,16.93,0,202332426.0
2020-08-31,0,0,0,17.17,0,205174386.0
2020-08-30,0,0,0,17.34,0,207038535.0
2020-08-29,0,0,0,17.13,0,204453270.0
