date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.008069,0,16048314.0
2020-12-13,0,0,0,0.008363,0,16631141.0
2020-12-12,0,0,0,0.008245,0,16395701.0
2020-12-11,0,0,0,0.007765,0,15439214.0
2020-12-10,0,0,0,0.008011,0,15928439.0
2020-12-09,0,0,0,0.008342,0,16583839.0
2020-12-08,0,0,0,0.00822,0,16340141.0
2020-12-07,0,0,0,0.008626,0,17145771.0
2020-12-06,0,0,0,0.008508,0,16909849.0
2020-12-05,0,0,0,0.008233,0,16359793.0
2020-12-04,0,0,0,0.008203,0,16300661.0
2020-12-03,0,0,0,0.008508,0,16903829.0
2020-12-02,0,0,0,0.008231,0,16352936.0
2020-12-01,0,0,0,0.007334,0,14568039.0
2020-11-30,0,0,0,0.007701,0,15296325.0
2020-11-29,0,0,0,0.007453,0,14800551.0
2020-11-28,0,0,0,0.007257,0,14410204.0
2020-11-27,0,0,0,0.006827,0,13557129.0
2020-11-26,0,0,0,0.006837,0,13577064.0
2020-11-25,0,0,0,0.007306,0,14506429.0
2020-11-24,0,0,0,0.007445,0,14782820.0
2020-11-23,0,0,0,0.007476,0,14843227.0
2020-11-22,0,0,0,0.007516,0,14924067.0
2020-11-21,0,0,0,0.007422,0,14733885.0
2020-11-20,0,0,0,0.007586,0,15059114.0
2020-11-19,0,0,0,0.007234,0,14362177.0
2020-11-18,0,0,0,0.00727,0,14433482.0
2020-11-17,0,0,0,0.006881,0,13661318.0
2020-11-16,0,0,0,0.006863,0,13625171.0
2020-11-15,0,0,0,0.006089,0,12088380.0
2020-11-14,0,0,0,0.006717,0,13332223.0
2020-11-13,0,0,0,0.006851,0,13598357.0
2020-11-12,0,0,0,0.006793,0,13483897.0
2020-11-11,0,0,0,0.006695,0,13288691.0
2020-11-10,0,0,0,0.006454,0,12810525.0
2020-11-09,0,0,0,0.00656,0,13019832.0
2020-11-08,0,0,0,0.00647,0,12841521.0
2020-11-07,0,0,0,0.006356,0,12613468.0
2020-11-06,0,0,0,0.006517,0,12933277.0
2020-11-05,0,0,0,0.006507,0,12911661.0
2020-11-04,0,0,0,0.005795,0,11496344.0
2020-11-03,0,0,0,0.005695,0,11298851.0
2020-11-02,0,0,0,0.005476,0,10863769.0
2020-11-01,0,0,0,0.005569,0,11048268.0
2020-10-31,0,0,0,0.005547,0,11004060.0
2020-10-30,0,0,0,0.005558,0,11026114.0
2020-10-29,0,0,0,0.005372,0,10658042.0
2020-10-28,0,0,0,0.005197,0,10309042.0
2020-10-27,0,0,0,0.005396,0,10704450.0
2020-10-26,0,0,0,0.005209,0,10332992.0
2020-10-25,0,0,0,0.005058,0,10032304.0
2020-10-24,0,0,0,0.005112,0,10139530.0
2020-10-23,0,0,0,0.004965,0,9846561.0
