date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.000209,0,18197730.0
2020-12-13,0,0,0,0.000215,0,18643105.0
2020-12-12,0,0,0,0.000206,0,17869759.0
2020-12-11,0,0,0,0.000207,0,17973830.0
2020-12-10,0,0,0,0.000221,0,19216172.0
2020-12-09,0,0,0,0.000232,0,20131546.0
2020-12-08,0,0,0,0.000219,0,19033787.0
2020-12-07,0,0,0,0.000251,0,21786183.0
2020-12-06,0,0,0,0.000243,0,21098370.0
2020-12-05,0,0,0,0.000236,0,20476196.0
2020-12-04,0,0,0,0.000227,0,19678491.0
2020-12-03,0,0,0,0.000254,0,22080720.0
2020-12-02,0,0,0,0.000228,0,19841392.0
2020-12-01,0,0,0,0.000208,0,18087701.0
2020-11-30,0,0,0,0.000223,0,19329976.0
2020-11-29,0,0,0,0.000215,0,18693619.0
2020-11-28,0,0,0,0.000208,0,18094928.0
2020-11-27,0,0,0,0.000198,0,17205110.0
2020-11-26,0,0,0,0.0002,0,17223207.0
2020-11-25,0,0,0,0.000216,0,18597333.0
2020-11-24,0,0,0,0.000209,0,18019967.0
2020-11-23,0,0,0,0.000196,0,16908584.0
2020-11-22,0,0,0,0.000189,0,16284053.0
2020-11-21,0,0,0,0.000193,0,16645976.0
2020-11-20,0,0,0,0.000185,0,15935916.0
2020-11-19,0,0,0,0.00018,0,15502987.0
2020-11-18,0,0,0,0.000184,0,15744131.0
2020-11-17,0,0,0,0.000186,0,15956752.0
2020-11-16,0,0,0,0.000185,0,15907630.0
2020-11-15,0,0,0,0.000177,0,15223535.0
2020-11-14,0,0,0,0.000179,0,15344616.0
2020-11-13,0,0,0,0.000184,0,15804492.0
2020-11-12,0,0,0,0.000182,0,15520820.0
2020-11-11,0,0,0,0.000189,0,16173190.0
2020-11-10,0,0,0,0.000186,0,15872023.0
2020-11-09,0,0,0,0.000179,0,15290008.0
2020-11-08,0,0,0,0.000174,0,14866151.0
2020-11-07,0,0,0,0.000169,0,14434435.0
2020-11-06,0,0,0,0.000176,0,14989507.0
2020-11-05,0,0,0,0.000166,0,14073633.0
