date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.019559,0,18209774.0
2020-12-13,0,0,0,0.021596,0,20106960.0
2020-12-12,0,0,0,0.020851,0,19412860.0
2020-12-11,0,0,0,0.017419,0,16217715.0
2020-12-10,0,0,0,0.017975,0,16735484.0
2020-12-09,0,0,0,0.018387,0,17118536.0
2020-12-08,0,0,0,0.018738,0,17445638.0
2020-12-07,0,0,0,0.021912,0,20401287.0
2020-12-06,0,0,0,0.030359,0,28265236.0
2020-12-05,0,0,0,0.029806,0,27750640.0
2020-12-04,0,0,0,0.027649,0,25741936.0
2020-12-03,0,0,0,0.029814,0,27758338.0
2020-12-02,0,0,0,0.028923,0,26928028.0
2020-12-01,0,0,0,0.029802,0,27746593.0
2020-11-30,0,0,0,0.029464,0,27432302.0
2020-11-29,0,0,0,0.029069,0,27064123.0
2020-11-28,0,0,0,0.027535,0,25635834.0
2020-11-27,0,0,0,0.027643,0,25736432.0
2020-11-26,0,0,0,0.028069,0,26133153.0
2020-11-25,0,0,0,0.031225,0,29071443.0
2020-11-24,0,0,0,0.029062,0,27057379.0
2020-11-23,0,0,0,0.028487,0,26522352.0
2020-11-22,0,0,0,0.028082,0,26145490.0
2020-11-21,0,0,0,0.033013,0,30735828.0
2020-11-20,0,0,0,0.032047,0,29836451.0
2020-11-19,0,0,0,0.031945,0,29741477.0
2020-11-18,0,0,0,0.033275,0,30980546.0
2020-11-17,0,0,0,0.036791,0,34253558.0
2020-11-16,0,0,0,0.032157,0,29939335.0
2020-11-15,0,0,0,0.036246,0,33746304.0
2020-11-14,0,0,0,0.039024,0,36332591.0
2020-11-13,0,0,0,0.036797,0,34259497.0
2020-11-12,0,0,0,0.036508,0,33989999.0
2020-11-11,0,0,0,0.03803,0,35407116.0
2020-11-10,0,0,0,0.03277,0,30509714.0
2020-11-09,0,0,0,0.031817,0,29622302.0
2020-11-08,0,0,0,0.032823,0,30559274.0
2020-11-07,0,0,0,0.031963,0,29759072.0
2020-11-06,0,0,0,0.035937,0,33459051.0
2020-11-05,0,0,0,0.033517,0,31205769.0
2020-11-04,0,0,0,0.034537,0,32155438.0
2020-11-03,0,0,0,0.031444,0,29275914.0
2020-11-02,0,0,0,0.036355,0,33847935.0
2020-11-01,0,0,0,0.038882,0,36200465.0
2020-10-31,0,0,0,0.036968,0,34418963.0
2020-10-30,0,0,0,0.029575,0,27535749.0
2020-10-29,0,0,0,0.028099,0,26161396.0
2020-10-28,0,0,0,0.023834,0,22190131.0
2020-10-27,0,0,0,0.026745,0,24900824.0
2020-10-26,0,0,0,0.02685,0,24998105.0
2020-10-25,0,0,0,0.02817,0,26227345.0
2020-10-24,0,0,0,0.029836,0,27778422.0
2020-10-23,0,0,0,0.027685,0,25775727.0
2020-10-22,0,0,0,0.028633,0,26658474.0
2020-10-21,0,0,0,0.028864,0,26873114.0
2020-10-20,0,0,0,0.029244,0,27226916.0
2020-10-19,0,0,0,0.03049,0,28387555.0
2020-10-18,0,0,0,0.029888,0,27826874.0
2020-10-17,0,0,0,0.03004,0,27968039.0
2020-10-16,0,0,0,0.030302,0,28212039.0
2020-10-15,0,0,0,0.030509,0,28404621.0
2020-10-14,0,0,0,0.031014,0,28874780.0
2020-10-13,0,0,0,0.031204,0,29052041.0
2020-10-12,0,0,0,0.032681,0,30426875.0
2020-10-11,0,0,0,0.032039,0,29829652.0
2020-10-10,0,0,0,0.032391,0,30157456.0
2020-10-09,0,0,0,0.03189,0,29690814.0
2020-10-08,0,0,0,0.031618,0,29437377.0
2020-10-07,0,0,0,0.03064,0,28527332.0
2020-10-06,0,0,0,0.028871,0,26851031.0
2020-10-05,0,0,0,0.030345,0,28191212.0
2020-10-04,0,0,0,0.030069,0,27905303.0
2020-10-03,0,0,0,0.030827,0,28609006.0
2020-10-02,0,0,0,0.030475,0,28250993.0
2020-10-01,0,0,0,0.031854,0,29370903.0
2020-09-30,0,0,0,0.031808,0,29328217.0
2020-09-29,0,0,0,0.032007,0,29351428.0
2020-09-28,0,0,0,0.030367,0,27847968.0
2020-09-27,0,0,0,0.029755,0,27286504.0
2020-09-26,0,0,0,0.031351,0,28749710.0
2020-09-25,0,0,0,0.031363,0,28760549.0
2020-09-24,0,0,0,0.030677,0,28132199.0
2020-09-23,0,0,0,0.028519,0,26153072.0
2020-09-22,0,0,0,0.030172,0,27669123.0
2020-09-21,0,0,0,0.030429,0,27904193.0
2020-09-20,0,0,0,0.033613,0,30824536.0
2020-09-19,0,0,0,0.035139,0,32223378.0
2020-09-18,0,0,0,0.034641,0,31767266.0
2020-09-17,0,0,0,0.033429,0,30655386.0
2020-09-16,0,0,0,0.033441,0,30666709.0
2020-09-15,0,0,0,0.034879,0,31985054.0
2020-09-14,0,0,0,0.037317,0,34220921.0
2020-09-13,0,0,0,0.037082,0,34005424.0
2020-09-12,0,0,0,0.03875,0,35535266.0
2020-09-11,0,0,0,0.038324,0,35144659.0
2020-09-10,0,0,0,0.038571,0,35370601.0
2020-09-09,0,0,0,0.038122,0,34959084.0
2020-09-08,0,0,0,0.034911,0,32014958.0
2020-09-07,0,0,0,0.036005,0,32694206.0
2020-09-06,0,0,0,0.037228,0,33804575.0
2020-09-05,0,0,0,0.035648,0,32369445.0
2020-09-04,0,0,0,0.041295,0,37497013.0
2020-09-03,0,0,0,0.033928,0,30808098.0
2020-09-02,0,0,0,0.041262,0,37467703.0
2020-09-01,0,0,0,0.042553,0,38596704.0
2020-08-31,0,0,0,0.048104,0,43632234.0
2020-08-30,0,0,0,0.050789,0,45965591.0
2020-08-29,0,0,0,0.049858,0,44811244.0
2020-08-28,0,0,0,0.050082,0,45012802.0
2020-08-27,0,0,0,0.057031,0,51259011.0
2020-08-26,0,0,0,0.048642,0,43719024.0
2020-08-25,0,0,0,0.042315,0,38031976.0
2020-08-24,0,0,0,0.043781,0,39349835.0
2020-08-23,0,0,0,0.040107,0,36007525.0
2020-08-22,0,0,0,0.046196,0,41474521.0
2020-08-21,0,0,0,0.048289,0,43353444.0
2020-08-20,0,0,0,0.051193,0,45959912.0
2020-08-19,0,0,0,0.048877,0,43880900.0
2020-08-18,0,0,0,0.046406,0,41663059.0
2020-08-17,0,0,0,0.053536,0,48064066.0
2020-08-16,0,0,0,0.054195,0,48493329.0
2020-08-15,0,0,0,0.054519,0,48782748.0
2020-08-14,0,0,0,0.056069,0,50113904.0
2020-08-13,0,0,0,0.06083,0,54369378.0
2020-08-12,0,0,0,0.067811,0,60608913.0
2020-08-11,0,0,0,0.067914,0,60700866.0
2020-08-10,0,0,0,0.072557,0,64850531.0
2020-08-09,0,0,0,0.073714,0,65884500.0
2020-08-08,0,0,0,0.082693,0,73909830.0
2020-08-07,0,0,0,0.066285,0,59244506.0
2020-08-06,0,0,0,0.070386,0,62910054.0
2020-08-05,0,0,0,0.076489,0,68364566.0
2020-08-04,0,0,0,0.082141,0,73416321.0
2020-08-03,0,0,0,0.066608,0,59533220.0
2020-08-02,0,0,0,0.074001,0,66140925.0
2020-08-01,0,0,0,0.084532,0,75553414.0
2020-07-31,0,0,0,0.088496,0,79096118.0
2020-07-30,0,0,0,0.102363,0,91490468.0
2020-07-29,0,0,0,0.112485,0,100537374.0
2020-07-28,0,0,0,0.097364,0,86243508.0
2020-07-27,0,0,0,0.105839,0,93539304.0
2020-07-26,0,0,0,0.108193,0,95619510.0
2020-07-25,0,0,0,0.102787,0,90738866.0
2020-07-24,0,0,0,0.104563,0,92306869.0
2020-07-23,0,0,0,0.097177,0,85494497.0
2020-07-22,0,0,0,0.104347,0,91803031.0
2020-07-21,0,0,0,0.103145,0,90642012.0
2020-07-20,0,0,0,0.10134,0,89056359.0
2020-07-19,0,0,0,0.110352,0,96975551.0
2020-07-18,0,0,0,0.105191,0,92440452.0
2020-07-17,0,0,0,0.086475,0,75992884.0
2020-07-16,0,0,0,0.067357,0,59192502.0
2020-07-15,0,0,0,0.066078,0,58068293.0
2020-07-14,0,0,0,0.061819,0,54325624.0
2020-07-13,0,0,0,0.055233,0,48427313.0
2020-07-12,0,0,0,0.054997,0,48220973.0
2020-07-11,0,0,0,0.055873,0,48989053.0
2020-07-10,0,0,0,0.058212,0,51039396.0
2020-07-09,0,0,0,0.060046,0,52647413.0
2020-07-08,0,0,0,0.059847,0,52353332.0
2020-07-07,0,0,0,0.057938,0,50683010.0
2020-07-06,0,0,0,0.062513,0,54685316.0
2020-07-05,0,0,0,0.061585,0,53873325.0
2020-07-04,0,0,0,0.061111,0,53459162.0
2020-07-03,0,0,0,0.055301,0,48100120.0
2020-07-02,0,0,0,0.053359,0,46411027.0
2020-07-01,0,0,0,0.050202,0,43351049.0
2020-06-30,0,0,0,0.045794,0,39544587.0
2020-06-29,0,0,0,0.04439,0,38332651.0
2020-06-28,0,0,0,0.042358,0,36577546.0
2020-06-27,0,0,0,0.04178,0,36078514.0
2020-06-26,0,0,0,0.042236,0,36472164.0
2020-06-25,0,0,0,0.042827,0,36982701.0
2020-06-24,0,0,0,0.04018,0,34696721.0
2020-06-23,0,0,0,0.040946,0,35357978.0
2020-06-22,0,0,0,0.039605,0,34200147.0
2020-06-21,0,0,0,0.035661,0,30652090.0
