date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,57.79,0,4442229.0
2020-12-13,0,0,0,59.23,0,4552858.0
2020-12-12,0,0,0,61.17,0,4702113.0
2020-12-11,0,0,0,59.16,0,4548082.0
2020-12-10,0,0,0,59.54,0,5767493.0
2020-12-09,0,0,0,59.11,0,5726024.0
2020-12-08,0,0,0,57.9,0,5609431.0
2020-12-07,0,0,0,60.19,0,5830964.0
2020-12-06,0,0,0,58.1,0,5628335.0
2020-12-05,0,0,0,58.64,0,5680561.0
2020-12-04,0,0,0,56.67,0,5489962.0
2020-12-03,0,0,0,58.32,0,5650205.0
2020-12-02,0,0,0,57.87,0,5605920.0
2020-12-01,0,0,0,55.85,0,5410669.0
2020-11-30,0,0,0,57.55,0,5575650.0
2020-11-29,0,0,0,57.71,0,5590998.0
2020-11-28,0,0,0,55.9,0,5415320.0
2020-11-27,0,0,0,56.55,0,5478477.0
2020-11-26,0,0,0,56.55,0,5478734.0
2020-11-25,0,0,0,56.01,0,5426705.0
2020-11-24,0,0,0,56.68,0,5490885.0
2020-11-23,0,0,0,57.23,0,5544316.0
2020-11-22,0,0,0,57.52,0,5572900.0
2020-11-21,0,0,0,57.36,0,5557663.0
2020-11-20,0,0,0,58.04,0,5622637.0
2020-11-19,0,0,0,57.32,0,5553191.0
2020-11-18,0,0,0,57.41,0,5562112.0
2020-11-17,0,0,0,60.84,0,5894029.0
2020-11-16,0,0,0,59.9,0,5803671.0
2020-11-15,0,0,0,60.75,0,5885944.0
2020-11-14,0,0,0,60.67,0,5878329.0
2020-11-13,0,0,0,60.62,0,5879600.0
2020-11-12,0,0,0,59.97,0,5815859.0
2020-11-11,0,0,0,58.78,0,5701009.0
2020-11-10,0,0,0,58.58,0,5681634.0
2020-11-09,0,0,0,57.79,0,5604348.0
2020-11-08,0,0,0,62.74,0,6084623.0
2020-11-07,0,0,0,62.57,0,6068659.0
2020-11-06,0,0,0,62.6,0,6071089.0
2020-11-05,0,0,0,61.27,0,5942679.0
2020-11-04,0,0,0,61.81,0,5995280.0
2020-11-03,0,0,0,61.1,0,5925947.0
2020-11-02,0,0,0,59.12,0,5733695.0
2020-11-01,0,0,0,60.21,0,5839455.0
2020-10-31,0,0,0,60.18,0,5837109.0
2020-10-30,0,0,0,59.88,0,5807538.0
2020-10-29,0,0,0,59.94,0,5813156.0
2020-10-28,0,0,0,60.28,0,5846462.0
2020-10-27,0,0,0,60.68,0,5885100.0
2020-10-26,0,0,0,60.73,0,5890212.0
2020-10-25,0,0,0,58.76,0,5698641.0
2020-10-24,0,0,0,61.21,0,5936412.0
2020-10-23,0,0,0,61.11,0,5927308.0
2020-10-22,0,0,0,61.31,0,5946084.0
2020-10-21,0,0,0,61.81,0,5994632.0
2020-10-20,0,0,0,61.19,0,5935009.0
2020-10-19,0,0,0,60.43,0,5861540.0
2020-10-18,0,0,0,61.12,0,5927700.0
2020-10-17,0,0,0,61.24,0,5939427.0
2020-10-16,0,0,0,59.6,0,5780653.0
2020-10-15,0,0,0,58.96,0,5717934.0
2020-10-14,0,0,0,61.0,0,5916392.0
2020-10-13,0,0,0,60.63,0,5880105.0
2020-10-12,0,0,0,61.97,0,6010107.0
2020-10-11,0,0,0,62.05,0,6018406.0
2020-10-10,0,0,0,61.61,0,5975287.0
2020-10-09,0,0,0,61.8,0,5994075.0
2020-10-08,0,0,0,60.51,0,5868805.0
2020-10-07,0,0,0,59.91,0,5810903.0
2020-10-06,0,0,0,59.74,0,5794341.0
2020-10-05,0,0,0,61.52,0,5966559.0
2020-10-04,0,0,0,61.15,0,5931151.0
2020-10-03,0,0,0,59.65,0,5784832.0
2020-10-02,0,0,0,60.73,0,5889860.0
2020-10-01,0,0,0,58.02,0,5627675.0
2020-09-30,0,0,0,60.14,0,5833056.0
2020-09-29,0,0,0,58.45,0,5668842.0
2020-09-28,0,0,0,58.96,0,5718386.0
2020-09-27,0,0,0,59.49,0,5770164.0
2020-09-26,0,0,0,59.6,0,5780871.0
2020-09-25,0,0,0,58.35,0,5659688.0
2020-09-24,0,0,0,58.08,0,5632705.0
2020-09-23,0,0,0,58.01,0,5626199.0
2020-09-22,0,0,0,60.47,0,5865186.0
2020-09-21,0,0,0,60.45,0,5862757.0
2020-09-20,0,0,0,62.09,0,6021992.0
2020-09-19,0,0,0,62.54,0,6065580.0
2020-09-18,0,0,0,61.1,0,5926403.0
2020-09-17,0,0,0,63.78,0,6185675.0
2020-09-16,0,0,0,62.28,0,6040517.0
2020-09-15,0,0,0,61.96,0,6009242.0
2020-09-14,0,0,0,63.63,0,6171871.0
2020-09-13,0,0,0,58.96,0,5719081.0
2020-09-12,0,0,0,59.84,0,5804367.0
2020-09-11,0,0,0,59.19,0,5741233.0
2020-09-10,0,0,0,59.72,0,6688784.0
2020-09-09,0,0,0,58.78,0,6878552.0
2020-09-08,0,0,0,61.05,0,7144077.0
2020-09-07,0,0,0,63.22,0,7398198.0
2020-09-06,0,0,0,59.83,0,7002024.0
2020-09-05,0,0,0,53.97,0,6316996.0
2020-09-04,0,0,0,68.39,0,8005389.0
2020-09-03,0,0,0,57.65,0,6747403.0
2020-09-02,0,0,0,61.87,0,7242266.0
2020-09-01,0,0,0,62.82,0,7352590.0
2020-08-31,0,0,0,62.57,0,7324069.0
2020-08-30,0,0,0,63.79,0,7466851.0
2020-08-29,0,0,0,59.62,0,6978785.0
2020-08-28,0,0,0,63.09,0,7384396.0
2020-08-27,0,0,0,59.15,0,6923876.0
2020-08-26,0,0,0,60.28,0,7054994.0
2020-08-25,0,0,0,61.83,0,7236309.0
2020-08-24,0,0,0,61.96,0,7252474.0
2020-08-23,0,0,0,62.31,0,7292714.0
2020-08-22,0,0,0,62.77,0,7347087.0
2020-08-21,0,0,0,61.8,0,7233733.0
2020-08-20,0,0,0,62.86,0,7357491.0
2020-08-19,0,0,0,64.07,0,7498992.0
2020-08-18,0,0,0,63.91,0,7480363.0
2020-08-17,0,0,0,65.81,0,7703081.0
2020-08-16,0,0,0,62.84,0,7355139.0
2020-08-15,0,0,0,61.85,0,7239111.0
2020-08-14,0,0,0,63.06,0,7380352.0
2020-08-13,0,0,0,62.83,0,7354048.0
2020-08-12,0,0,0,60.79,0,7114700.0
2020-08-11,0,0,0,59.03,0,6908802.0
2020-08-10,0,0,0,64.86,0,7592087.0
2020-08-09,0,0,0,63.49,0,7431828.0
2020-08-08,0,0,0,63.17,0,7393558.0
2020-08-07,0,0,0,62.96,0,7369044.0
2020-08-06,0,0,0,65.21,0,7632805.0
2020-08-05,0,0,0,64.11,0,7504113.0
2020-08-04,0,0,0,64.27,0,7522407.0
2020-08-03,0,0,0,63.86,0,7474733.0
2020-08-02,0,0,0,62.82,0,7353664.0
2020-08-01,0,0,0,63.78,0,7465555.0
2020-07-31,0,0,0,62.95,0,7368307.0
2020-07-30,0,0,0,63.15,0,7392141.0
2020-07-29,0,0,0,61.78,0,7231376.0
2020-07-28,0,0,0,61.86,0,7240515.0
2020-07-27,0,0,0,60.61,0,7094520.0
2020-07-26,0,0,0,62.93,0,7366045.0
2020-07-25,0,0,0,61.33,0,7179254.0
2020-07-24,0,0,0,60.83,0,7120124.0
2020-07-23,0,0,0,60.42,0,7072514.0
2020-07-22,0,0,0,62.8,0,7351234.0
2020-07-21,0,0,0,58.77,0,6878096.0
2020-07-20,0,0,0,57.8,0,6765517.0
2020-07-19,0,0,0,58.64,0,6863512.0
2020-07-18,0,0,0,59.66,0,6982368.0
2020-07-17,0,0,0,59.09,0,6915638.0
2020-07-16,0,0,0,58.85,0,6887901.0
2020-07-15,0,0,0,58.27,0,6819749.0
2020-07-14,0,0,0,56.34,0,6593947.0
2020-07-13,0,0,0,56.39,0,6600505.0
2020-07-12,0,0,0,57.99,0,6787645.0
2020-07-11,0,0,0,58.54,0,6852409.0
2020-07-10,0,0,0,58.67,0,6866152.0
2020-07-09,0,0,0,57.67,0,6748826.0
