date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,1.4,0,39698093.0
2020-12-13,0,0,0,1.45,0,41088887.0
2020-12-12,0,0,0,1.39,0,39363939.0
2020-12-11,0,0,0,1.33,0,37663886.0
2020-12-10,0,0,0,1.44,0,40676195.0
2020-12-09,0,0,0,1.57,0,44278773.0
2020-12-08,0,0,0,1.55,0,43708792.0
2020-12-07,0,0,0,1.79,0,50615916.0
2020-12-06,0,0,0,1.63,0,46020348.0
2020-12-05,0,0,0,1.69,0,47714270.0
2020-12-04,0,0,0,1.6,0,45145773.0
2020-12-03,0,0,0,1.83,0,51764450.0
2020-12-02,0,0,0,1.66,0,46817831.0
2020-12-01,0,0,0,1.56,0,44062503.0
2020-11-30,0,0,0,1.59,0,44904660.0
2020-11-29,0,0,0,1.57,0,44464911.0
2020-11-28,0,0,0,1.64,0,46503914.0
2020-11-27,0,0,0,1.55,0,43938943.0
2020-11-26,0,0,0,1.46,0,41343508.0
2020-11-25,0,0,0,1.62,0,45842773.0
2020-11-24,0,0,0,1.61,0,45563752.0
2020-11-23,0,0,0,1.73,0,48871134.0
2020-11-22,0,0,0,1.65,0,46591277.0
2020-11-21,0,0,0,1.57,0,44352151.0
2020-11-20,0,0,0,1.24,0,35115145.0
2020-11-19,0,0,0,1.16,0,32861618.0
2020-11-18,0,0,0,1.2,0,33814312.0
2020-11-17,0,0,0,1.27,0,36002470.0
2020-11-16,0,0,0,1.33,0,37576578.0
2020-11-15,0,0,0,1.26,0,35545439.0
2020-11-14,0,0,0,1.14,0,32357903.0
2020-11-13,0,0,0,1.16,0,32719439.0
2020-11-12,0,0,0,1.09,0,30802073.0
2020-11-11,0,0,0,1.15,0,32476371.0
2020-11-10,0,0,0,1.21,0,34170524.0
2020-11-09,0,0,0,1.08,0,30472723.0
2020-11-08,0,0,0,1.11,0,31520319.0
2020-11-07,0,0,0,1.09,0,30953952.0
2020-11-06,0,0,0,1.18,0,33449138.0
2020-11-05,0,0,0,1.04,0,29359656.0
2020-11-04,0,0,0,1.03,0,28997504.0
2020-11-03,0,0,0,0.974369,0,27547272.0
2020-11-02,0,0,0,1.08,0,30552331.0
2020-11-01,0,0,0,1.11,0,31506540.0
2020-10-31,0,0,0,1.08,0,30595770.0
2020-10-30,0,0,0,1.12,0,31765465.0
2020-10-29,0,0,0,1.15,0,32573458.0
2020-10-28,0,0,0,1.17,0,33169105.0
2020-10-27,0,0,0,1.26,0,35738959.0
2020-10-26,0,0,0,1.32,0,37286606.0
2020-10-25,0,0,0,1.44,0,40629067.0
2020-10-24,0,0,0,1.37,0,38647170.0
2020-10-23,0,0,0,1.23,0,34901623.0
2020-10-22,0,0,0,1.28,0,36304430.0
2020-10-21,0,0,0,1.19,0,33752317.0
2020-10-20,0,0,0,1.15,0,32521092.0
2020-10-19,0,0,0,1.29,0,36367837.0
2020-10-18,0,0,0,1.35,0,38196814.0
2020-10-17,0,0,0,1.29,0,36527913.0
2020-10-16,0,0,0,1.23,0,34798043.0
2020-10-15,0,0,0,1.35,0,185598148.0
2020-10-14,0,0,0,1.42,0,15043098.0
2020-10-13,0,0,0,1.51,0,15981605.0
2020-10-12,0,0,0,1.52,0,16111507.0
2020-10-11,0,0,0,1.48,0,15710723.0
2020-10-10,0,0,0,1.3,0,13835865.0
2020-10-09,0,0,0,1.26,0,13407530.0
2020-10-08,0,0,0,1.21,0,12824899.0
2020-10-07,0,0,0,1.05,0,11166299.0
2020-10-06,0,0,0,1.03,0,10942258.0
2020-10-05,0,0,0,1.19,0,12649927.0
2020-10-04,0,0,0,1.25,0,13282217.0
2020-10-03,0,0,0,1.27,0,13486423.0
2020-10-02,0,0,0,1.3,0,13759259.0
2020-10-01,0,0,0,1.4,0,14897356.0
2020-09-30,0,0,0,1.43,0,15213819.0
2020-09-29,0,0,0,1.21,0,12884022.0
2020-09-28,0,0,0,1.36,0,14456602.0
2020-09-27,0,0,0,1.43,0,15180634.0
2020-09-26,0,0,0,1.53,0,16176480.0
2020-09-25,0,0,0,1.6,0,16972840.0
2020-09-24,0,0,0,1.51,0,16066150.0
2020-09-23,0,0,0,1.23,0,13023551.0
2020-09-22,0,0,0,1.45,0,15387758.0
2020-09-21,0,0,0,1.51,0,15995037.0
2020-09-20,0,0,0,1.89,0,20008221.0
2020-09-19,0,0,0,2.15,0,22788490.0
2020-09-18,0,0,0,1.92,0,20317004.0
2020-09-17,0,0,0,2.05,0,21694486.0
2020-09-16,0,0,0,2.19,0,23218950.0
2020-09-15,0,0,0,2.42,0,25688218.0
2020-09-14,0,0,0,2.69,0,28577958.0
2020-09-13,0,0,0,2.37,0,25105609.0
2020-09-12,0,0,0,2.77,0,29380465.0
2020-09-11,0,0,0,2.24,0,23766337.0
2020-09-10,0,0,0,2.23,0,23636460.0
2020-09-09,0,0,0,2.14,0,22697494.0
2020-09-08,0,0,0,1.96,0,20797711.0
2020-09-07,0,0,0,2.19,0,23257066.0
2020-09-06,0,0,0,2.34,0,24811706.0
2020-09-05,0,0,0,2.15,0,22772968.0
2020-09-04,0,0,0,2.94,0,31220195.0
2020-09-03,0,0,0,3.05,0,32386120.0
2020-09-02,0,0,0,4.32,0,45860815.0
2020-09-01,0,0,0,3.18,0,33687160.0
2020-08-31,0,0,0,3.49,0,37032263.0
2020-08-30,0,0,0,4.33,0,45923674.0
2020-08-29,0,0,0,3.65,0,38702591.0
2020-08-28,0,0,0,2.98,0,31577124.0
2020-08-27,0,0,0,2.83,0,29980357.0
2020-08-26,0,0,0,2.9,0,30713893.0
2020-08-25,0,0,0,2.93,0,31036476.0
2020-08-24,0,0,0,3.27,0,34631182.0
2020-08-23,0,0,0,3.1,0,32840124.0
2020-08-22,0,0,0,3.13,0,33247978.0
2020-08-21,0,0,0,3.22,0,34172477.0
2020-08-20,0,0,0,3.67,0,38888586.0
2020-08-19,0,0,0,3.33,0,35268172.0
2020-08-18,0,0,0,3.68,0,39027234.0
2020-08-17,0,0,0,2.62,0,39027234.0
2020-08-16,0,0,0,2.96,0,39027234.0
2020-08-15,0,0,0,2.86,0,39027234.0
2020-08-14,0,0,0,2.56,0,39027234.0
2020-08-13,0,0,0,2.38,0,39027234.0
2020-08-12,0,0,0,2.99,0,39027234.0
2020-08-11,0,0,0,3.0,0,39027234.0
