date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.003604,0,14369441.0
2020-12-13,0,0,0,0.003759,0,14986666.0
2020-12-12,0,0,0,0.003487,0,13901643.0
2020-12-11,0,0,0,0.003119,0,12437187.0
2020-12-10,0,0,0,0.003035,0,12102308.0
2020-12-09,0,0,0,0.003147,0,12546934.0
2020-12-08,0,0,0,0.003079,0,12276168.0
2020-12-07,0,0,0,0.003196,0,12741952.0
2020-12-06,0,0,0,0.003103,0,12373128.0
2020-12-05,0,0,0,0.003172,0,12646127.0
2020-12-04,0,0,0,0.003168,0,12632470.0
2020-12-03,0,0,0,0.003149,0,12555687.0
2020-12-02,0,0,0,0.003277,0,13065863.0
2020-12-01,0,0,0,0.003136,0,12505497.0
2020-11-30,0,0,0,0.003212,0,12805060.0
2020-11-29,0,0,0,0.003098,0,12351014.0
2020-11-28,0,0,0,0.003023,0,12053773.0
2020-11-27,0,0,0,0.003066,0,12223822.0
2020-11-26,0,0,0,0.00307,0,12241129.0
2020-11-25,0,0,0,0.003482,0,13883035.0
2020-11-24,0,0,0,0.003545,0,14133481.0
2020-11-23,0,0,0,0.003566,0,14219273.0
2020-11-22,0,0,0,0.003445,0,13735615.0
2020-11-21,0,0,0,0.003253,0,12969674.0
2020-11-20,0,0,0,0.003196,0,12743475.0
2020-11-19,0,0,0,0.00299,0,11920931.0
2020-11-18,0,0,0,0.003111,0,12403912.0
2020-11-17,0,0,0,0.003172,0,12648075.0
2020-11-16,0,0,0,0.002897,0,11550141.0
2020-11-15,0,0,0,0.003008,0,11993192.0
2020-11-14,0,0,0,0.003111,0,12405343.0
2020-11-13,0,0,0,0.003144,0,12533910.0
2020-11-12,0,0,0,0.003099,0,12354761.0
2020-11-11,0,0,0,0.00312,0,12438187.0
2020-11-10,0,0,0,0.003196,0,12742093.0
2020-11-09,0,0,0,0.003136,0,12503322.0
2020-11-08,0,0,0,0.003191,0,12722310.0
2020-11-07,0,0,0,0.003079,0,12275926.0
2020-11-06,0,0,0,0.003369,0,13430811.0
2020-11-05,0,0,0,0.003048,0,12151872.0
2020-11-04,0,0,0,0.00294,0,11723774.0
2020-11-03,0,0,0,0.002935,0,11701523.0
2020-11-02,0,0,0,0.003163,0,12613081.0
2020-11-01,0,0,0,0.00326,0,12996286.0
2020-10-31,0,0,0,0.003209,0,12795248.0
2020-10-30,0,0,0,0.003174,0,12653633.0
2020-10-29,0,0,0,0.00297,0,11843146.0
2020-10-28,0,0,0,0.003241,0,12920694.0
2020-10-27,0,0,0,0.003677,0,14659644.0
2020-10-26,0,0,0,0.003421,0,13639290.0
2020-10-25,0,0,0,0.004065,0,16207731.0
2020-10-24,0,0,0,0.004257,0,16974719.0
2020-10-23,0,0,0,0.00435,0,17343164.0
2020-10-22,0,0,0,0.003915,0,15610913.0
2020-10-21,0,0,0,0.004122,0,16436776.0
2020-10-20,0,0,0,0.003858,0,15382617.0
2020-10-19,0,0,0,0.003789,0,15106177.0
2020-10-18,0,0,0,0.003764,0,15006253.0
2020-10-17,0,0,0,0.003859,0,15387739.0
2020-10-16,0,0,0,0.003863,0,15403993.0
2020-10-15,0,0,0,0.004152,0,16553032.0
2020-10-14,0,0,0,0.004045,0,16127338.0
2020-10-13,0,0,0,0.004094,0,16324752.0
2020-10-12,0,0,0,0.003698,0,14742985.0
2020-10-11,0,0,0,0.003555,0,14174837.0
2020-10-10,0,0,0,0.003726,0,14857036.0
2020-10-09,0,0,0,0.003769,0,15029504.0
2020-10-08,0,0,0,0.003781,0,15076473.0
2020-10-07,0,0,0,0.003528,0,14065667.0
2020-10-06,0,0,0,0.003462,0,13805048.0
2020-10-05,0,0,0,0.003769,0,15029419.0
2020-10-04,0,0,0,0.00381,0,15190241.0
2020-10-03,0,0,0,0.003525,0,14054126.0
2020-10-02,0,0,0,0.00333,0,13277995.0
2020-10-01,0,0,0,0.003419,0,13633813.0
2020-09-30,0,0,0,0.003735,0,14892469.0
2020-09-29,0,0,0,0.003632,0,14481260.0
2020-09-28,0,0,0,0.003553,0,14165268.0
2020-09-27,0,0,0,0.003388,0,13510012.0
2020-09-26,0,0,0,0.003223,0,12850382.0
2020-09-25,0,0,0,0.003379,0,13474240.0
2020-09-24,0,0,0,0.003471,0,13840749.0
2020-09-23,0,0,0,0.003111,0,12405510.0
2020-09-22,0,0,0,0.003176,0,12664064.0
2020-09-21,0,0,0,0.002872,0,11452096.0
2020-09-20,0,0,0,0.002881,0,11486715.0
2020-09-19,0,0,0,0.002946,0,11746088.0
2020-09-18,0,0,0,0.002809,0,11198524.0
2020-09-17,0,0,0,0.002627,0,10472924.0
2020-09-16,0,0,0,0.002645,0,10546718.0
2020-09-15,0,0,0,0.002783,0,11097369.0
2020-09-14,0,0,0,0.002629,0,10482302.0
2020-09-13,0,0,0,0.002479,0,9882473.0
2020-09-12,0,0,0,0.002667,0,10634721.0
2020-09-11,0,0,0,0.002676,0,10668823.0
2020-09-10,0,0,0,0.00263,0,10488079.0
2020-09-09,0,0,0,0.00253,0,10088108.0
2020-09-08,0,0,0,0.002507,0,9997720.0
2020-09-07,0,0,0,0.002573,0,10257510.0
2020-09-06,0,0,0,0.002515,0,10028070.0
2020-09-05,0,0,0,0.002394,0,9546657.0
2020-09-04,0,0,0,0.00269,0,10726492.0
2020-09-03,0,0,0,0.00259,0,10325066.0
2020-09-02,0,0,0,0.003167,0,12626808.0
2020-09-01,0,0,0,0.003305,0,13177717.0
2020-08-31,0,0,0,0.003009,0,11995930.0
2020-08-30,0,0,0,0.002993,0,10324007.0
2020-08-29,0,0,0,0.002954,0,10188647.0
2020-08-28,0,0,0,0.002946,0,10163177.0
2020-08-27,0,0,0,0.002839,0,9792300.0
2020-08-26,0,0,0,0.003162,0,10909509.0
2020-08-25,0,0,0,0.002902,0,10009643.0
2020-08-24,0,0,0,0.002978,0,10271645.0
2020-08-23,0,0,0,0.002724,0,9398195.0
2020-08-22,0,0,0,0.00289,0,9968829.0
2020-08-21,0,0,0,0.002861,0,9869611.0
2020-08-20,0,0,0,0.003013,0,10394683.0
2020-08-19,0,0,0,0.002952,0,10184067.0
2020-08-18,0,0,0,0.003081,0,10629247.0
2020-08-17,0,0,0,0.003177,0,10960350.0
2020-08-16,0,0,0,0.003096,0,10680286.0
2020-08-15,0,0,0,0.003037,0,10475865.0
2020-08-14,0,0,0,0.003144,0,10846029.0
2020-08-13,0,0,0,0.003181,0,10972959.0
2020-08-12,0,0,0,0.003515,0,12126591.0
2020-08-11,0,0,0,0.003688,0,12724081.0
2020-08-10,0,0,0,0.003095,0,10678223.0
2020-08-09,0,0,0,0.002621,0,9042913.0
2020-08-08,0,0,0,0.002692,0,9286865.0
2020-08-07,0,0,0,0.002653,0,9151030.0
2020-08-06,0,0,0,0.002737,0,9440347.0
2020-08-05,0,0,0,0.002533,0,8738160.0
2020-08-04,0,0,0,0.002465,0,8503573.0
2020-08-03,0,0,0,0.002554,0,8811861.0
2020-08-02,0,0,0,0.00234,0,8073899.0
2020-08-01,0,0,0,0.002567,0,8856018.0
2020-07-31,0,0,0,0.002481,0,8560089.0
2020-07-30,0,0,0,0.002634,0,7763516.0
2020-07-29,0,0,0,0.002674,0,7882994.0
2020-07-28,0,0,0,0.002433,0,7172134.0
2020-07-27,0,0,0,0.00241,0,7102628.0
2020-07-26,0,0,0,0.002681,0,7904087.0
2020-07-25,0,0,0,0.002825,0,8327146.0
2020-07-24,0,0,0,0.002869,0,8455574.0
2020-07-23,0,0,0,0.002827,0,8333507.0
2020-07-22,0,0,0,0.002844,0,8382180.0
2020-07-21,0,0,0,0.002787,0,8214701.0
2020-07-20,0,0,0,0.002904,0,8558829.0
2020-07-19,0,0,0,0.002879,0,8486431.0
2020-07-18,0,0,0,0.002928,0,8629454.0
2020-07-17,0,0,0,0.002828,0,8336091.0
2020-07-16,0,0,0,0.002891,0,8521273.0
2020-07-15,0,0,0,0.002869,0,8457523.0
2020-07-14,0,0,0,0.003037,0,8953474.0
2020-07-13,0,0,0,0.002977,0,8775340.0
2020-07-12,0,0,0,0.00309,0,9108479.0
2020-07-11,0,0,0,0.002968,0,8748752.0
2020-07-10,0,0,0,0.002883,0,8497932.0
2020-07-09,0,0,0,0.002884,0,8501710.0
2020-07-08,0,0,0,0.002856,0,8419209.0
2020-07-07,0,0,0,0.002864,0,8441578.0
2020-07-06,0,0,0,0.002952,0,8701031.0
2020-07-05,0,0,0,0.002891,0,8520821.0
2020-07-04,0,0,0,0.003088,0,9103041.0
2020-07-03,0,0,0,0.002785,0,8209080.0
2020-07-02,0,0,0,0.002744,0,8089885.0
2020-07-01,0,0,0,0.00269,0,6583472.0
2020-06-30,0,0,0,0.002737,0,6699692.0
2020-06-29,0,0,0,0.002904,0,7106865.0
2020-06-28,0,0,0,0.003097,0,7581219.0
2020-06-27,0,0,0,0.002887,0,7066894.0
2020-06-26,0,0,0,0.003112,0,7617972.0
2020-06-25,0,0,0,0.003428,0,8390674.0
2020-06-24,0,0,0,0.003625,0,8873620.0
2020-06-23,0,0,0,0.003667,0,8976494.0
2020-06-22,0,0,0,0.003802,0,9307296.0
2020-06-21,0,0,0,0.003987,0,9759641.0
2020-06-20,0,0,0,0.004556,0,11152016.0
2020-06-19,0,0,0,0.004434,0,10853712.0
2020-06-18,0,0,0,0.004621,0,11311552.0
2020-06-17,0,0,0,0.004351,0,10649939.0
2020-06-16,0,0,0,0.004374,0,10707244.0
2020-06-15,0,0,0,0.004252,0,10408666.0
2020-06-14,0,0,0,0.004317,0,10566506.0
2020-06-13,0,0,0,0.004169,0,10203298.0
2020-06-12,0,0,0,0.004062,0,9942474.0
2020-06-11,0,0,0,0.003694,0,9040613.0
2020-06-10,0,0,0,0.004066,0,9952027.0
2020-06-09,0,0,0,0.004183,0,10238412.0
2020-06-08,0,0,0,0.004189,0,10253625.0
2020-06-07,0,0,0,0.003783,0,9258617.0
2020-06-06,0,0,0,0.003817,0,9342111.0
2020-06-05,0,0,0,0.003625,0,8873977.0
2020-06-04,0,0,0,0.00371,0,9080531.0
2020-06-03,0,0,0,0.003612,0,8839957.0
2020-06-02,0,0,0,0.003335,0,8162024.0
2020-06-01,0,0,0,0.003085,0,7551190.0
2020-05-31,0,0,0,0.002777,0,6796648.0
2020-05-30,0,0,0,0.002909,0,7121153.0
2020-05-29,0,0,0,0.003242,0,7935108.0
2020-05-28,0,0,0,0.003355,0,8212122.0
2020-05-27,0,0,0,0.00315,0,7710742.0
2020-05-26,0,0,0,0.003498,0,8560921.0
2020-05-25,0,0,0,0.00429,0,10499393.0
2020-05-24,0,0,0,0.002269,0,5552990.0
2020-05-23,0,0,0,0.002037,0,4985606.0
2020-05-22,0,0,0,0.00209,0,5115349.0
2020-05-21,0,0,0,0.002021,0,4946065.0
2020-05-20,0,0,0,0.002021,0,4947653.0
2020-05-19,0,0,0,0.002002,0,4901105.0
2020-05-18,0,0,0,0.002066,0,5056478.0
2020-05-17,0,0,0,0.001915,0,4687965.0
2020-05-16,0,0,0,0.001864,0,4563312.0
2020-05-15,0,0,0,0.001847,0,4521110.0
2020-05-14,0,0,0,0.001897,0,4643718.0
2020-05-13,0,0,0,0.001823,0,4462838.0
2020-05-12,0,0,0,0.001693,0,4144519.0
2020-05-11,0,0,0,0.001505,0,3683312.0
2020-05-10,0,0,0,0.001542,0,3773871.0
2020-05-09,0,0,0,0.001705,0,4173509.0
2020-05-08,0,0,0,0.001674,0,4097200.0
