date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.035916,0,5508029.0
2020-12-13,0,0,0,0.035866,0,5500468.0
2020-12-12,0,0,0,0.038532,0,5909313.0
2020-12-11,0,0,0,0.035735,0,5480271.0
2020-12-10,0,0,0,0.034605,0,5307003.0
2020-12-09,0,0,0,0.041182,0,6315623.0
2020-12-08,0,0,0,0.039171,0,6007220.0
2020-12-07,0,0,0,0.03538,0,5425817.0
2020-12-06,0,0,0,0.036958,0,5667826.0
2020-12-05,0,0,0,0.034857,0,5345728.0
2020-12-04,0,0,0,0.034755,0,5330021.0
2020-12-03,0,0,0,0.034388,0,5330021.0
2020-12-02,0,0,0,0.036123,0,5330021.0
2020-12-01,0,0,0,0.137705,0,5330021.0
2020-11-30,0,0,0,0.175194,0,5330021.0
2020-11-29,0,0,0,0.209905,0,5330021.0
2020-11-28,0,0,0,0.21025,0,5330021.0
2020-11-27,0,0,0,0.20674,0,5330021.0
2020-11-26,0,0,0,0.202655,0,5330021.0
2020-11-25,0,0,0,0.201106,0,5330021.0
2020-11-24,0,0,0,0.209085,0,5330021.0
2020-11-23,0,0,0,0.215055,0,5330021.0
2020-11-22,0,0,0,0.208041,0,5330021.0
2020-11-21,0,0,0,0.211071,0,5330021.0
2020-11-20,0,0,0,0.208752,0,5330021.0
2020-11-19,0,0,0,0.203926,0,5330021.0
2020-11-18,0,0,0,0.261685,0,5330021.0
2020-11-17,0,0,0,0.26131,0,5330021.0
2020-11-16,0,0,0,0.26818,0,5330021.0
2020-11-15,0,0,0,0.256629,0,5330021.0
2020-11-14,0,0,0,0.259816,0,5330021.0
2020-11-13,0,0,0,0.257533,0,5330021.0
2020-11-12,0,0,0,0.255425,0,5330021.0
2020-11-11,0,0,0,0.25299,0,5330021.0
2020-11-10,0,0,0,0.259194,0,5330021.0
2020-11-09,0,0,0,0.250204,0,5330021.0
2020-11-08,0,0,0,0.2539,0,5330021.0
2020-11-07,0,0,0,0.246529,0,5330021.0
2020-11-06,0,0,0,0.261823,0,5330021.0
2020-11-05,0,0,0,0.255092,0,5330021.0
2020-11-04,0,0,0,0.253477,0,5330021.0
2020-11-03,0,0,0,0.2554,0,5330021.0
2020-11-02,0,0,0,0.249323,0,5330021.0
2020-11-01,0,0,0,0.260151,0,5330021.0
2020-10-31,0,0,0,0.249849,0,5330021.0
2020-10-30,0,0,0,0.251447,0,5330021.0
2020-10-29,0,0,0,0.252551,0,5330021.0
2020-10-28,0,0,0,0.2499,0,5330021.0
2020-10-27,0,0,0,0.251115,0,5330021.0
2020-10-26,0,0,0,0.252665,0,5330021.0
2020-10-25,0,0,0,0.253385,0,5330021.0
2020-10-24,0,0,0,0.253003,0,5330021.0
2020-10-23,0,0,0,0.255419,0,5330021.0
2020-10-22,0,0,0,0.253843,0,5330021.0
2020-10-21,0,0,0,0.255022,0,5330021.0
2020-10-20,0,0,0,0.253137,0,5330021.0
2020-10-19,0,0,0,0.200978,0,5330021.0
2020-10-18,0,0,0,0.217634,0,5330021.0
2020-10-17,0,0,0,0.252105,0,5330021.0
2020-10-16,0,0,0,0.250596,0,5330021.0
2020-10-15,0,0,0,0.250407,0,5330021.0
2020-10-14,0,0,0,0.250188,0,5330021.0
2020-10-13,0,0,0,0.252739,0,5330021.0
2020-10-12,0,0,0,0.253092,0,5330021.0
2020-10-11,0,0,0,0.252813,0,5330021.0
2020-10-10,0,0,0,0.252907,0,5330021.0
2020-10-09,0,0,0,0.253755,0,5330021.0
2020-10-08,0,0,0,0.250085,0,5330021.0
2020-10-07,0,0,0,0.247793,0,5330021.0
2020-10-06,0,0,0,0.247918,0,5330021.0
2020-10-05,0,0,0,0.251211,0,5330021.0
2020-10-04,0,0,0,0.248806,0,5330021.0
2020-10-03,0,0,0,0.24776,0,5330021.0
2020-10-02,0,0,0,0.247418,0,5330021.0
2020-10-01,0,0,0,0.248906,0,5330021.0
2020-09-30,0,0,0,0.24724,0,5330021.0
2020-09-29,0,0,0,0.248393,0,5330021.0
2020-09-28,0,0,0,0.248388,0,5330021.0
2020-09-27,0,0,0,0.248164,0,5330021.0
2020-09-26,0,0,0,0.249047,0,5330021.0
2020-09-25,0,0,0,0.248872,0,5330021.0
2020-09-24,0,0,0,0.247944,0,5330021.0
2020-09-23,0,0,0,0.242653,0,5330021.0
2020-09-22,0,0,0,0.2492,0,5330021.0
2020-09-21,0,0,0,0.245702,0,5330021.0
2020-09-20,0,0,0,0.247938,0,5330021.0
2020-09-19,0,0,0,0.247521,0,5330021.0
2020-09-18,0,0,0,0.248045,0,5330021.0
2020-09-17,0,0,0,0.246901,0,5330021.0
2020-09-16,0,0,0,0.247106,0,5330021.0
2020-09-15,0,0,0,0.245274,0,5330021.0
2020-09-14,0,0,0,0.244292,0,5330021.0
2020-09-13,0,0,0,0.239371,0,5330021.0
2020-09-12,0,0,0,0.245747,0,5330021.0
2020-09-11,0,0,0,0.24641,0,5330021.0
2020-09-10,0,0,0,0.24168,0,5330021.0
2020-09-09,0,0,0,0.246578,0,5330021.0
2020-09-08,0,0,0,0.243943,0,5330021.0
2020-09-07,0,0,0,0.247992,0,5330021.0
2020-09-06,0,0,0,0.242383,0,5330021.0
2020-09-05,0,0,0,0.241498,0,5330021.0
2020-09-04,0,0,0,0.245624,0,5330021.0
2020-09-03,0,0,0,0.24129,0,5330021.0
2020-09-02,0,0,0,0.245504,0,5330021.0
