date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,6.87,0,3651594.0
2020-12-13,0,0,0,7.26,0,3857804.0
2020-12-12,0,0,0,6.32,0,3359886.0
2020-12-11,0,0,0,6.35,0,3373567.0
2020-12-10,0,0,0,6.88,0,3658854.0
2020-12-09,0,0,0,7.86,0,4176549.0
2020-12-08,0,0,0,7.46,0,3967718.0
2020-12-07,0,0,0,7.17,0,3813447.0
2020-12-06,0,0,0,7.48,0,3976590.0
2020-12-05,0,0,0,6.79,0,3611173.0
2020-12-04,0,0,0,5.82,0,3096670.0
2020-12-03,0,0,0,6.42,0,3412402.0
2020-12-02,0,0,0,6.53,0,3471409.0
2020-12-01,0,0,0,6.07,0,3228491.0
2020-11-30,0,0,0,6.68,0,3549916.0
2020-11-29,0,0,0,7.12,0,3787347.0
2020-11-28,0,0,0,7.08,0,3764827.0
2020-11-27,0,0,0,6.64,0,3530683.0
2020-11-26,0,0,0,6.59,0,3503651.0
2020-11-25,0,0,0,7.35,0,3909726.0
2020-11-24,0,0,0,8.27,0,4397255.0
2020-11-23,0,0,0,7.99,0,4247827.0
2020-11-22,0,0,0,6.8,0,3616381.0
2020-11-21,0,0,0,5.89,0,3128667.0
2020-11-20,0,0,0,6.16,0,3274436.0
2020-11-19,0,0,0,5.54,0,2945125.0
2020-11-18,0,0,0,5.16,0,2745005.0
2020-11-17,0,0,0,5.23,0,2778647.0
2020-11-16,0,0,0,5.3,0,2819592.0
2020-11-15,0,0,0,5.11,0,2715975.0
2020-11-14,0,0,0,5.1,0,2712122.0
2020-11-13,0,0,0,4.59,0,2441713.0
2020-11-12,0,0,0,5.09,0,2708243.0
2020-11-11,0,0,0,5.23,0,2780509.0
2020-11-10,0,0,0,5.85,0,3112475.0
2020-11-09,0,0,0,5.85,0,3111470.0
2020-11-08,0,0,0,5.61,0,2980550.0
2020-11-07,0,0,0,5.99,0,3184493.0
2020-11-06,0,0,0,6.44,0,3424051.0
2020-11-05,0,0,0,5.51,0,2930944.0
2020-11-04,0,0,0,6.75,0,3590975.0
2020-11-03,0,0,0,7.18,0,3819629.0
2020-11-02,0,0,0,8.1,0,4306453.0
2020-11-01,0,0,0,6.62,0,3521800.0
2020-10-31,0,0,0,8.26,0,4393455.0
2020-10-30,0,0,0,6.5,0,3455822.0
2020-10-29,0,0,0,4.86,0,2585050.0
2020-10-28,0,0,0,2.27,0,1209190.0
2020-10-27,0,0,0,2.17,0,1152915.0
2020-10-26,0,0,0,2.04,0,1085434.0
2020-10-25,0,0,0,2.49,0,1324350.0
2020-10-24,0,0,0,2.68,0,1423518.0
2020-10-23,0,0,0,3.21,0,1706508.0
2020-10-22,0,0,0,1.4,0,1706508.0
2020-10-21,0,0,0,1.27,0,1706508.0
2020-10-20,0,0,0,1.27,0,1706508.0
2020-10-19,0,0,0,1.14,0,1706508.0
2020-10-18,0,0,0,1.2,0,1706508.0
2020-10-17,0,0,0,1.18,0,1706508.0
2020-10-16,0,0,0,1.23,0,1706508.0
2020-10-15,0,0,0,1.32,0,1706508.0
2020-10-14,0,0,0,1.53,0,1706508.0
2020-10-13,0,0,0,1.31,0,1706508.0
2020-10-12,0,0,0,1.54,0,1706508.0
2020-10-11,0,0,0,1.57,0,1706508.0
2020-10-10,0,0,0,2.03,0,1706508.0
2020-10-09,0,0,0,2.23,0,1706508.0
2020-10-08,0,0,0,1.29,0,1706508.0
