date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.000192,0,4811817.0
2020-12-13,0,0,0,0.000191,0,4785198.0
2020-12-12,0,0,0,0.000188,0,4701375.0
2020-12-11,0,0,0,0.000181,0,4514350.0
2020-12-10,0,0,0,0.000183,0,4565938.0
2020-12-09,0,0,0,0.000186,0,4641226.0
2020-12-08,0,0,0,0.000183,0,4581924.0
2020-12-07,0,0,0,0.000192,0,4799282.0
2020-12-06,0,0,0,0.000193,0,4834346.0
2020-12-05,0,0,0,0.000191,0,4786387.0
2020-12-04,0,0,0,0.000188,0,4689725.0
2020-12-03,0,0,0,0.000194,0,4860687.0
2020-12-02,0,0,0,0.000192,0,4801709.0
2020-12-01,0,0,0,0.000188,0,4701103.0
2020-11-30,0,0,0,0.000196,0,4906844.0
2020-11-29,0,0,0,0.000182,0,4544556.0
2020-11-28,0,0,0,0.000177,0,4429477.0
2020-11-27,0,0,0,0.000171,0,4277156.0
2020-11-26,0,0,0,0.000171,0,4280673.0
2020-11-25,0,0,0,0.000187,0,4683423.0
2020-11-24,0,0,0,0.000191,0,4777337.0
2020-11-23,0,0,0,0.000184,0,4591945.0
2020-11-22,0,0,0,0.000306,0,7650785.0
2020-11-21,0,0,0,0.000373,0,9320933.0
2020-11-20,0,0,0,0.000186,0,4655515.0
2020-11-19,0,0,0,0.000178,0,4454393.0
2020-11-18,0,0,0,0.000356,0,8906117.0
2020-11-17,0,0,0,0.000177,0,4416845.0
2020-11-16,0,0,0,0.000167,0,4180143.0
2020-11-15,0,0,0,0.00016,0,3990525.0
2020-11-14,0,0,0,0.000161,0,4018863.0
2020-11-13,0,0,0,0.000163,0,4077878.0
2020-11-12,0,0,0,0.000163,0,4070354.0
2020-11-11,0,0,0,0.000157,0,3923477.0
2020-11-10,0,0,0,0.000153,0,3822449.0
2020-11-09,0,0,0,0.000153,0,3833256.0
2020-11-08,0,0,0,0.000155,0,3871532.0
2020-11-07,0,0,0,0.000198,0,4949697.0
2020-11-06,0,0,0,0.000172,0,4310318.0
2020-11-05,0,0,0,0.000156,0,3895017.0
2020-11-04,0,0,0,0.000236,0,5888900.0
2020-11-03,0,0,0,0.000232,0,5797836.0
2020-11-02,0,0,0,0.000226,0,5649483.0
2020-11-01,0,0,0,0.000229,0,5713408.0
2020-10-31,0,0,0,0.000138,0,3444760.0
2020-10-30,0,0,0,0.000136,0,3391938.0
2020-10-29,0,0,0,0.000135,0,3362380.0
2020-10-28,0,0,0,0.000221,0,5529868.0
2020-10-27,0,0,0,0.000227,0,5682746.0
2020-10-26,0,0,0,0.000218,0,5446773.0
2020-10-25,0,0,0,0.00013,0,3256291.0
2020-10-24,0,0,0,0.000131,0,3278130.0
2020-10-23,0,0,0,0.000129,0,3235221.0
2020-10-22,0,0,0,0.00013,0,3241473.0
2020-10-21,0,0,0,0.000171,0,4274572.0
2020-10-20,0,0,0,0.000159,0,3972112.0
2020-10-19,0,0,0,0.000117,0,2935507.0
2020-10-18,0,0,0,0.000115,0,2870839.0
2020-10-17,0,0,0,0.000114,0,2839525.0
2020-10-16,0,0,0,0.000151,0,3774041.0
2020-10-15,0,0,0,0.000115,0,2873784.0
2020-10-14,0,0,0,0.000228,0,5709631.0
2020-10-13,0,0,0,0.000229,0,5713045.0
2020-10-12,0,0,0,0.000154,0,3851784.0
2020-10-11,0,0,0,0.000114,0,2846053.0
2020-10-10,0,0,0,0.000226,0,5648181.0
2020-10-09,0,0,0,0.000111,0,2766114.0
2020-10-08,0,0,0,0.000109,0,2728903.0
2020-10-07,0,0,0,0.000107,0,2667251.0
2020-10-06,0,0,0,0.000106,0,2651093.0
2020-10-05,0,0,0,0.000108,0,2698270.0
2020-10-04,0,0,0,0.000107,0,2667107.0
2020-10-03,0,0,0,0.000105,0,2637332.0
2020-10-02,0,0,0,0.000106,0,2643993.0
2020-10-01,0,0,0,0.000106,0,2654861.0
2020-09-30,0,0,0,0.000108,0,2696232.0
2020-09-29,0,0,0,0.000108,0,2711246.0
