date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.001313,0,2928128.0
2020-12-13,0,0,0,0.001477,0,3293452.0
2020-12-12,0,0,0,0.00135,0,3012152.0
2020-12-11,0,0,0,0.001326,0,2958166.0
2020-12-10,0,0,0,0.001339,0,2986001.0
2020-12-09,0,0,0,0.001456,0,3247224.0
2020-12-08,0,0,0,0.001308,0,2918167.0
2020-12-07,0,0,0,0.00139,0,3100135.0
2020-12-06,0,0,0,0.001458,0,3251656.0
2020-12-05,0,0,0,0.001436,0,3203256.0
2020-12-04,0,0,0,0.001479,0,3299887.0
2020-12-03,0,0,0,0.001579,0,3522667.0
2020-12-02,0,0,0,0.001702,0,3795483.0
2020-12-01,0,0,0,0.001726,0,3850416.0
2020-11-30,0,0,0,0.001738,0,3876168.0
2020-11-29,0,0,0,0.001763,0,3933009.0
2020-11-28,0,0,0,0.001742,0,3885377.0
2020-11-27,0,0,0,0.001701,0,3794862.0
2020-11-26,0,0,0,0.001685,0,3758390.0
2020-11-25,0,0,0,0.001385,0,3090248.0
2020-11-24,0,0,0,0.001689,0,3766626.0
2020-11-23,0,0,0,0.001631,0,3637877.0
2020-11-22,0,0,0,0.001638,0,3654366.0
2020-11-21,0,0,0,0.00112,0,2498178.0
2020-11-20,0,0,0,0.000862,0,1922044.0
2020-11-19,0,0,0,0.000783,0,1746602.0
2020-11-18,0,0,0,0.00084,0,1874007.0
2020-11-17,0,0,0,0.000869,0,1939113.0
2020-11-16,0,0,0,0.000866,0,1932287.0
2020-11-15,0,0,0,0.000878,0,1958226.0
2020-11-14,0,0,0,0.000867,0,1932965.0
2020-11-13,0,0,0,0.000933,0,2081879.0
2020-11-12,0,0,0,0.000901,0,2010730.0
2020-11-11,0,0,0,0.000876,0,1954927.0
2020-11-10,0,0,0,0.00091,0,2030189.0
2020-11-09,0,0,0,0.001003,0,2237315.0
2020-11-08,0,0,0,0.000973,0,2169110.0
2020-11-07,0,0,0,0.000927,0,2068317.0
2020-11-06,0,0,0,0.001112,0,2480000.0
2020-11-05,0,0,0,0.001168,0,2605306.0
2020-11-04,0,0,0,0.001162,0,2590782.0
2020-11-03,0,0,0,0.001203,0,2683622.0
2020-11-02,0,0,0,0.001149,0,2563013.0
2020-11-01,0,0,0,0.001398,0,3119026.0
2020-10-31,0,0,0,0.001301,0,2901216.0
2020-10-30,0,0,0,0.001798,0,4010458.0
2020-10-29,0,0,0,0.001845,0,4114317.0
2020-10-28,0,0,0,0.001778,0,3965013.0
2020-10-27,0,0,0,0.001735,0,3869945.0
2020-10-26,0,0,0,0.00194,0,4325993.0
2020-10-25,0,0,0,0.001811,0,4040265.0
2020-10-24,0,0,0,0.001747,0,3896674.0
2020-10-23,0,0,0,0.001926,0,4296402.0
2020-10-22,0,0,0,0.001768,0,3943042.0
2020-10-21,0,0,0,0.001797,0,4008385.0
2020-10-20,0,0,0,0.001967,0,4387847.0
2020-10-19,0,0,0,0.00182,0,4060443.0
2020-10-18,0,0,0,0.001912,0,4264202.0
2020-10-17,0,0,0,0.001989,0,4435380.0
2020-10-16,0,0,0,0.001925,0,4294419.0
2020-10-15,0,0,0,0.002117,0,4720943.0
2020-10-14,0,0,0,0.002171,0,4842627.0
2020-10-13,0,0,0,0.00251,0,5599243.0
2020-10-12,0,0,0,0.002495,0,5565964.0
2020-10-11,0,0,0,0.002706,0,6036561.0
2020-10-10,0,0,0,0.002761,0,6159304.0
2020-10-09,0,0,0,0.002572,0,5737780.0
2020-10-08,0,0,0,0.00256,0,5709905.0
2020-10-07,0,0,0,0.002651,0,5911815.0
2020-10-06,0,0,0,0.002487,0,5546453.0
2020-10-05,0,0,0,0.002545,0,5675767.0
2020-10-04,0,0,0,0.002615,0,5831835.0
2020-10-03,0,0,0,0.002653,0,5917922.0
2020-10-02,0,0,0,0.002776,0,6191271.0
2020-10-01,0,0,0,0.002619,0,5840610.0
2020-09-30,0,0,0,0.002737,0,6104356.0
2020-09-29,0,0,0,0.002741,0,6112789.0
2020-09-28,0,0,0,0.00285,0,6357004.0
2020-09-27,0,0,0,0.002792,0,6227202.0
2020-09-26,0,0,0,0.002941,0,6560192.0
2020-09-25,0,0,0,0.003283,0,7323142.0
2020-09-24,0,0,0,0.002957,0,6596115.0
2020-09-23,0,0,0,0.003042,0,6785679.0
2020-09-22,0,0,0,0.003711,0,8276291.0
2020-09-21,0,0,0,0.004127,0,9203986.0
2020-09-20,0,0,0,0.004786,0,10675036.0
2020-09-19,0,0,0,0.004925,0,10985907.0
2020-09-18,0,0,0,0.004924,0,10982904.0
2020-09-17,0,0,0,0.003682,0,8212532.0
2020-09-16,0,0,0,0.003727,0,8312494.0
2020-09-15,0,0,0,0.003588,0,8003432.0
2020-09-14,0,0,0,0.003582,0,7989660.0
2020-09-13,0,0,0,0.003639,0,8116379.0
2020-09-12,0,0,0,0.003637,0,8112041.0
2020-09-11,0,0,0,0.003654,0,8149689.0
2020-09-10,0,0,0,0.003501,0,7809374.0
2020-09-09,0,0,0,0.003463,0,7723614.0
2020-09-08,0,0,0,0.003669,0,8183746.0
2020-09-07,0,0,0,0.003735,0,8330827.0
2020-09-06,0,0,0,0.004101,0,9147774.0
2020-09-05,0,0,0,0.004036,0,9001411.0
2020-09-04,0,0,0,0.004031,0,8990396.0
2020-09-03,0,0,0,0.004591,0,10239480.0
2020-09-02,0,0,0,0.005223,0,11648678.0
2020-09-01,0,0,0,0.00488,0,10883746.0
2020-08-31,0,0,0,0.004589,0,10234915.0
2020-08-30,0,0,0,0.004858,0,10835664.0
2020-08-29,0,0,0,0.004866,0,10852298.0
2020-08-28,0,0,0,0.004157,0,9271296.0
2020-08-27,0,0,0,0.003731,0,8321913.0
2020-08-26,0,0,0,0.003818,0,8514764.0
2020-08-25,0,0,0,0.00397,0,8854774.0
2020-08-24,0,0,0,0.004233,0,9440995.0
2020-08-23,0,0,0,0.004753,0,10600422.0
2020-08-22,0,0,0,0.004106,0,9157134.0
2020-08-21,0,0,0,0.00519,0,11576081.0
2020-08-20,0,0,0,0.003303,0,7366803.0
2020-08-19,0,0,0,0.003382,0,7542655.0
2020-08-18,0,0,0,0.0015,0,3345088.0
2020-08-17,0,0,0,0.001469,0,3276386.0
2020-08-16,0,0,0,0.001459,0,3255266.0
2020-08-15,0,0,0,0.001431,0,3191716.0
2020-08-14,0,0,0,0.001237,0,2759933.0
2020-08-13,0,0,0,0.001198,0,2671704.0
2020-08-12,0,0,0,0.001036,0,2310760.0
2020-08-11,0,0,0,0.000992,0,2212009.0
2020-08-10,0,0,0,0.001013,0,2212009.0
2020-08-09,0,0,0,0.001037,0,2212009.0
2020-08-08,0,0,0,0.001172,0,2212009.0
2020-08-07,0,0,0,0.001313,0,2212009.0
2020-08-06,0,0,0,0.001384,0,2212009.0
2020-08-05,0,0,0,0.001323,0,2212009.0
2020-08-04,0,0,0,0.001296,0,2212009.0
2020-08-03,0,0,0,0.00135,0,2212009.0
2020-08-02,0,0,0,0.00135,0,2212009.0
2020-08-01,0,0,0,0.001375,0,2212009.0
2020-07-31,0,0,0,0.001447,0,2212009.0
2020-07-30,0,0,0,0.001349,0,2212009.0
2020-07-29,0,0,0,0.001473,0,2212009.0
2020-07-28,0,0,0,0.001372,0,2212009.0
2020-07-27,0,0,0,0.001449,0,2212009.0
2020-07-26,0,0,0,0.00149,0,2212009.0
2020-07-25,0,0,0,0.001428,0,2212009.0
2020-07-24,0,0,0,0.001425,0,2212009.0
2020-07-23,0,0,0,0.001346,0,2212009.0
2020-07-22,0,0,0,0.001365,0,2212009.0
2020-07-21,0,0,0,0.001468,0,2212009.0
2020-07-20,0,0,0,0.001363,0,2212009.0
2020-07-19,0,0,0,0.001202,0,2212009.0
2020-07-18,0,0,0,0.001172,0,2212009.0
2020-07-17,0,0,0,0.001193,0,2212009.0
2020-07-16,0,0,0,0.001315,0,2212009.0
2020-07-15,0,0,0,0.001173,0,2212009.0
2020-07-14,0,0,0,0.001161,0,2212009.0
2020-07-13,0,0,0,0.001193,0,2212009.0
2020-07-12,0,0,0,0.001155,0,2212009.0
2020-07-11,0,0,0,0.001337,0,2212009.0
2020-07-10,0,0,0,0.001482,0,2212009.0
2020-07-09,0,0,0,0.001218,0,2212009.0
2020-07-08,0,0,0,0.001201,0,2212009.0
2020-07-07,0,0,0,0.001169,0,2212009.0
2020-07-06,0,0,0,0.001215,0,2212009.0
2020-07-05,0,0,0,0.001199,0,2212009.0
2020-07-04,0,0,0,0.001238,0,2212009.0
2020-07-03,0,0,0,0.00126,0,2212009.0
2020-07-02,0,0,0,0.001366,0,2212009.0
2020-07-01,0,0,0,0.001336,0,2212009.0
2020-06-30,0,0,0,0.001358,0,2212009.0
2020-06-29,0,0,0,0.001259,0,2212009.0
2020-06-28,0,0,0,0.001328,0,2212009.0
2020-06-27,0,0,0,0.001062,0,2212009.0
2020-06-26,0,0,0,0.001186,0,2212009.0
2020-06-25,0,0,0,0.001159,0,2212009.0
2020-06-24,0,0,0,0.001257,0,2212009.0
2020-06-23,0,0,0,0.001332,0,2212009.0
2020-06-22,0,0,0,0.001409,0,2212009.0
2020-06-21,0,0,0,0.001739,0,2212009.0
2020-06-20,0,0,0,0.001699,0,2212009.0
2020-06-19,0,0,0,0.001952,0,2212009.0
2020-06-18,0,0,0,0.002065,0,2212009.0
2020-06-17,0,0,0,0.00189,0,2212009.0
2020-06-16,0,0,0,0.001947,0,2212009.0
2020-06-15,0,0,0,0.00158,0,2212009.0
2020-06-14,0,0,0,0.001467,0,2212009.0
2020-06-13,0,0,0,0.001454,0,2212009.0
2020-06-12,0,0,0,0.001193,0,2212009.0
2020-06-11,0,0,0,0.000734,0,2212009.0
2020-06-10,0,0,0,0.000766,0,2212009.0
2020-06-09,0,0,0,0.00066,0,2212009.0
2020-06-08,0,0,0,0.000596,0,2212009.0
2020-06-07,0,0,0,0.00061,0,2212009.0
2020-06-06,0,0,0,0.000542,0,2212009.0
2020-06-05,0,0,0,0.000558,0,2212009.0
2020-06-04,0,0,0,0.00052,0,2212009.0
2020-06-03,0,0,0,0.000542,0,2212009.0
2020-06-02,0,0,0,0.000536,0,2212009.0
2020-06-01,0,0,0,0.000615,0,2212009.0
2020-05-31,0,0,0,0.00063,0,2212009.0
2020-05-30,0,0,0,0.000418,0,2212009.0
2020-05-29,0,0,0,0.000195,0,2212009.0
2020-05-28,0,0,0,0.00014,0,2212009.0
2020-05-27,0,0,0,0.00012,0,2212009.0
2020-05-26,0,0,0,0.000116,0,2212009.0
2020-05-25,0,0,0,0.000107,0,2212009.0
2020-05-24,0,0,0,0.000108,0,2212009.0
2020-05-23,0,0,0,0.000116,0,2212009.0
2020-05-22,0,0,0,0.000117,0,2212009.0
2020-05-21,0,0,0,0.000119,0,2212009.0
2020-05-20,0,0,0,0.000119,0,2212009.0
2020-05-19,0,0,0,0.000125,0,2212009.0
2020-05-18,0,0,0,0.000132,0,2212009.0
2020-05-17,0,0,0,0.000136,0,2212009.0
