date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,1.51,0,26005367.0
2020-12-13,0,0,0,1.51,0,25992232.0
2020-12-12,0,0,0,1.52,0,26156310.0
2020-12-11,0,0,0,1.54,0,26620395.0
2020-12-10,0,0,0,1.51,0,26115300.0
2020-12-09,0,0,0,1.51,0,26103463.0
2020-12-08,0,0,0,1.59,0,27373434.0
2020-12-07,0,0,0,1.54,0,26527087.0
2020-12-06,0,0,0,1.53,0,26401538.0
2020-12-05,0,0,0,1.52,0,26241364.0
2020-12-04,0,0,0,1.56,0,26970828.0
2020-12-03,0,0,0,1.53,0,26331824.0
2020-12-02,0,0,0,1.5,0,25809413.0
2020-12-01,0,0,0,1.52,0,26204638.0
2020-11-30,0,0,0,1.61,0,27679311.0
2020-11-29,0,0,0,1.6,0,27565660.0
2020-11-28,0,0,0,1.61,0,27741264.0
2020-11-27,0,0,0,1.56,0,26984546.0
2020-11-26,0,0,0,1.59,0,27485535.0
2020-11-25,0,0,0,1.71,0,29434257.0
2020-11-24,0,0,0,1.75,0,30231009.0
2020-11-23,0,0,0,1.67,0,28860361.0
2020-11-22,0,0,0,1.65,0,28517581.0
2020-11-21,0,0,0,1.71,0,29538702.0
2020-11-20,0,0,0,1.52,0,26244638.0
2020-11-19,0,0,0,1.48,0,25450243.0
2020-11-18,0,0,0,1.43,0,24718446.0
2020-11-17,0,0,0,1.49,0,25646223.0
2020-11-16,0,0,0,1.54,0,26517417.0
2020-11-15,0,0,0,1.47,0,25319074.0
2020-11-14,0,0,0,1.45,0,25025275.0
2020-11-13,0,0,0,1.42,0,24484316.0
2020-11-12,0,0,0,1.41,0,24234832.0
2020-11-11,0,0,0,1.49,0,25655005.0
2020-11-10,0,0,0,1.46,0,25244722.0
2020-11-09,0,0,0,1.46,0,25252597.0
2020-11-08,0,0,0,1.46,0,25237129.0
2020-11-07,0,0,0,1.48,0,25466944.0
2020-11-06,0,0,0,1.54,0,26610906.0
2020-11-05,0,0,0,1.49,0,25659290.0
2020-11-04,0,0,0,1.44,0,24802520.0
2020-11-03,0,0,0,1.55,0,26775407.0
2020-11-02,0,0,0,1.54,0,26553046.0
2020-11-01,0,0,0,1.53,0,26298605.0
2020-10-31,0,0,0,1.56,0,26882607.0
2020-10-30,0,0,0,1.44,0,24801538.0
2020-10-29,0,0,0,1.52,0,26226255.0
2020-10-28,0,0,0,1.5,0,25906240.0
2020-10-27,0,0,0,1.58,0,27331111.0
2020-10-26,0,0,0,1.58,0,27284668.0
