date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.097344,0,7736341.0
2020-12-13,0,0,0,0.100083,0,7953493.0
2020-12-12,0,0,0,0.10069,0,8001163.0
2020-12-11,0,0,0,0.097315,0,7732391.0
2020-12-10,0,0,0,0.098282,0,7808699.0
2020-12-09,0,0,0,0.103051,0,8187023.0
2020-12-08,0,0,0,0.107061,0,8504983.0
2020-12-07,0,0,0,0.110485,0,8776320.0
2020-12-06,0,0,0,0.1146,0,9102553.0
2020-12-05,0,0,0,0.112701,0,8951090.0
2020-12-04,0,0,0,0.114673,0,9107047.0
2020-12-03,0,0,0,0.121715,0,9665592.0
2020-12-02,0,0,0,0.124285,0,9868990.0
2020-12-01,0,0,0,0.125959,0,10001225.0
2020-11-30,0,0,0,0.130229,0,10339503.0
2020-11-29,0,0,0,0.130733,0,10378801.0
2020-11-28,0,0,0,0.133732,0,10616161.0
2020-11-27,0,0,0,0.127613,0,10129622.0
2020-11-26,0,0,0,0.124016,0,9843346.0
2020-11-25,0,0,0,0.150071,0,11910451.0
2020-11-24,0,0,0,0.156115,0,12389248.0
2020-11-23,0,0,0,0.138312,0,10975611.0
2020-11-22,0,0,0,0.134199,0,10648381.0
2020-11-21,0,0,0,0.128551,0,10199433.0
2020-11-20,0,0,0,0.121583,0,9645878.0
2020-11-19,0,0,0,0.121642,0,9649811.0
2020-11-18,0,0,0,0.124381,0,9866367.0
2020-11-17,0,0,0,0.120646,0,9569362.0
2020-11-16,0,0,0,0.118768,0,9419717.0
2020-11-15,0,0,0,0.123157,0,9767048.0
2020-11-14,0,0,0,0.129631,0,10279707.0
2020-11-13,0,0,0,0.132786,0,10529158.0
2020-11-12,0,0,0,0.136427,0,10816983.0
2020-11-11,0,0,0,0.133691,0,10599332.0
2020-11-10,0,0,0,0.129623,0,10276026.0
2020-11-09,0,0,0,0.133514,0,10583652.0
2020-11-08,0,0,0,0.13383,0,10607932.0
2020-11-07,0,0,0,0.141488,0,11214031.0
2020-11-06,0,0,0,0.141879,0,11244219.0
2020-11-05,0,0,0,0.15193,0,12039877.0
