date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,2.57,0,77428523.0
2020-12-13,0,0,0,2.55,0,76774156.0
2020-12-12,0,0,0,2.51,0,75364205.0
2020-12-11,0,0,0,2.41,0,72454487.0
2020-12-10,0,0,0,2.39,0,71908672.0
2020-12-09,0,0,0,2.14,0,64231232.0
2020-12-08,0,0,0,2.09,0,62813482.0
2020-12-07,0,0,0,2.22,0,66688697.0
2020-12-06,0,0,0,2.16,0,64861450.0
2020-12-05,0,0,0,2.2,0,66169442.0
2020-12-04,0,0,0,2.21,0,66457361.0
2020-12-03,0,0,0,2.2,0,66081730.0
2020-12-02,0,0,0,2.24,0,67272364.0
2020-12-01,0,0,0,2.52,0,75936275.0
2020-11-30,0,0,0,2.45,0,73649886.0
2020-11-29,0,0,0,1.81,0,54449560.0
2020-11-28,0,0,0,1.74,0,52327636.0
2020-11-27,0,0,0,1.71,0,51477176.0
2020-11-26,0,0,0,1.23,0,37038455.0
2020-11-25,0,0,0,1.37,0,41146175.0
2020-11-24,0,0,0,1.4,0,42037231.0
2020-11-23,0,0,0,1.54,0,46210054.0
2020-11-22,0,0,0,1.45,0,43508453.0
2020-11-21,0,0,0,1.47,0,44081652.0
2020-11-20,0,0,0,1.44,0,43286056.0
2020-11-19,0,0,0,1.43,0,42888968.0
2020-11-18,0,0,0,1.37,0,41140956.0
2020-11-17,0,0,0,1.35,0,40755193.0
2020-11-16,0,0,0,1.3,0,39237449.0
2020-11-15,0,0,0,1.28,0,38524363.0
2020-11-14,0,0,0,1.3,0,25449907.0
2020-11-13,0,0,0,1.3,0,25359825.0
2020-11-12,0,0,0,1.29,0,25263430.0
2020-11-11,0,0,0,1.4,0,27253750.0
2020-11-10,0,0,0,1.21,0,23669936.0
2020-11-09,0,0,0,1.24,0,22714157.0
2020-11-08,0,0,0,1.26,0,21280236.0
2020-11-07,0,0,0,1.2,0,20364450.0
2020-11-06,0,0,0,1.25,0,21189726.0
2020-11-05,0,0,0,1.25,0,21101690.0
2020-11-04,0,0,0,1.14,0,19330693.0
2020-11-03,0,0,0,1.13,0,19041317.0
2020-11-02,0,0,0,1.09,0,18479964.0
2020-11-01,0,0,0,1.12,0,18757386.0
2020-10-31,0,0,0,1.12,0,18734241.0
2020-10-30,0,0,0,1.1,0,18387537.0
2020-10-29,0,0,0,1.1,0,18422077.0
2020-10-28,0,0,0,1.09,0,18181431.0
2020-10-27,0,0,0,1.14,0,18969031.0
2020-10-26,0,0,0,1.09,0,18230210.0
2020-10-25,0,0,0,1.09,0,18222907.0
2020-10-24,0,0,0,1.11,0,18495763.0
2020-10-23,0,0,0,1.1,0,18319409.0
2020-10-22,0,0,0,1.1,0,18410278.0
2020-10-21,0,0,0,1.09,0,18116325.0
2020-10-20,0,0,0,1.06,0,17741055.0
2020-10-19,0,0,0,1.02,0,16947091.0
2020-10-18,0,0,0,1.0,0,16763753.0
2020-10-17,0,0,0,1.01,0,16786647.0
2020-10-16,0,0,0,1.01,0,16909747.0
2020-10-15,0,0,0,1.01,0,16809857.0
2020-10-14,0,0,0,1.01,0,16786594.0
2020-10-13,0,0,0,1.02,0,17102359.0
2020-10-12,0,0,0,1.02,0,17101171.0
2020-10-11,0,0,0,0.973849,0,16223069.0
2020-10-10,0,0,0,0.980954,0,16341423.0
2020-10-09,0,0,0,0.983339,0,16381163.0
2020-10-08,0,0,0,0.944942,0,15740433.0
2020-10-07,0,0,0,0.907779,0,15121401.0
2020-10-06,0,0,0,0.915733,0,15253890.0
2020-10-05,0,0,0,0.936468,0,15599289.0
2020-10-04,0,0,0,0.94941,0,15812319.0
2020-10-03,0,0,0,0.926822,0,15436117.0
2020-10-02,0,0,0,0.931595,0,15515611.0
2020-10-01,0,0,0,0.95045,0,15828679.0
2020-09-30,0,0,0,0.949132,0,15804460.0
2020-09-29,0,0,0,0.948584,0,15795321.0
2020-09-28,0,0,0,0.951292,0,15840421.0
2020-09-27,0,0,0,0.952323,0,15857583.0
2020-09-26,0,0,0,0.937235,0,15606353.0
2020-09-25,0,0,0,0.925674,0,15413835.0
2020-09-24,0,0,0,0.951181,0,15838567.0
2020-09-23,0,0,0,0.898323,0,14958408.0
2020-09-22,0,0,0,0.935123,0,15571176.0
2020-09-21,0,0,0,0.940875,0,15666967.0
2020-09-20,0,0,0,0.988391,0,16458179.0
2020-09-19,0,0,0,0.998166,0,16620947.0
2020-09-18,0,0,0,0.986195,0,16421603.0
2020-09-17,0,0,0,0.98708,0,16436338.0
2020-09-16,0,0,0,0.988991,0,16468173.0
2020-09-15,0,0,0,0.971184,0,16171659.0
2020-09-14,0,0,0,0.964918,0,16067316.0
2020-09-13,0,0,0,0.933368,0,15541960.0
2020-09-12,0,0,0,0.940735,0,15664639.0
2020-09-11,0,0,0,0.936303,0,15590832.0
2020-09-10,0,0,0,0.932329,0,15524655.0
2020-09-09,0,0,0,0.922141,0,15355017.0
2020-09-08,0,0,0,0.907137,0,15105181.0
2020-09-07,0,0,0,0.925567,0,15412066.0
2020-09-06,0,0,0,0.965033,0,16069222.0
2020-09-05,0,0,0,0.94124,0,15673044.0
2020-09-04,0,0,0,0.994708,0,16563358.0
2020-09-03,0,0,0,0.921312,0,15341203.0
2020-09-02,0,0,0,1.11,0,18475608.0
2020-09-01,0,0,0,1.16,0,19364007.0
2020-08-31,0,0,0,1.14,0,18960249.0
2020-08-30,0,0,0,1.05,0,17520389.0
2020-08-29,0,0,0,1.03,0,17221192.0
2020-08-28,0,0,0,1.04,0,17236062.0
2020-08-27,0,0,0,0.966349,0,16091147.0
2020-08-26,0,0,0,1.0,0,16717953.0
2020-08-25,0,0,0,0.974365,0,16224616.0
2020-08-24,0,0,0,1.02,0,16969028.0
2020-08-23,0,0,0,1.01,0,16881160.0
2020-08-22,0,0,0,1.0,0,16677564.0
2020-08-21,0,0,0,0.986199,0,16421681.0
2020-08-20,0,0,0,1.01,0,16875923.0
2020-08-19,0,0,0,1.02,0,16937267.0
2020-08-18,0,0,0,1.03,0,17070902.0
2020-08-17,0,0,0,1.05,0,17494571.0
2020-08-16,0,0,0,1.08,0,18008376.0
