date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,1.31,0,22975656.0
2020-12-13,0,0,0,1.31,0,22885899.0
2020-12-12,0,0,0,1.16,0,20371179.0
2020-12-11,0,0,0,1.12,0,19584123.0
2020-12-10,0,0,0,1.13,0,19801498.0
2020-12-09,0,0,0,1.15,0,20118421.0
2020-12-08,0,0,0,1.13,0,19854461.0
2020-12-07,0,0,0,1.19,0,20804010.0
2020-12-06,0,0,0,1.33,0,23271576.0
2020-12-05,0,0,0,1.35,0,23713096.0
2020-12-04,0,0,0,1.32,0,23125049.0
2020-12-03,0,0,0,1.38,0,24148501.0
2020-12-02,0,0,0,1.36,0,23810885.0
2020-12-01,0,0,0,1.33,0,23356250.0
2020-11-30,0,0,0,0.715345,0,12536774.0
2020-11-29,0,0,0,0.658101,0,11533537.0
2020-11-28,0,0,0,0.638243,0,11185519.0
2020-11-27,0,0,0,0.257192,0,4507420.0
2020-11-26,0,0,0,3.18,0,55674175.0
2020-11-25,0,0,0,3.67,0,64285558.0
2020-11-24,0,0,0,6.31,0,110517250.0
2020-11-23,0,0,0,3.37,0,58973838.0
2020-11-22,0,0,0,6.07,0,106379472.0
2020-11-21,0,0,0,0.783336,0,13728358.0
2020-11-20,0,0,0,1.33,0,23351934.0
2020-11-19,0,0,0,1.28,0,22421369.0
2020-11-18,0,0,0,3.0,0,52645627.0
2020-11-17,0,0,0,5.83,0,102177760.0
2020-11-16,0,0,0,0.866025,0,15177509.0
2020-11-15,0,0,0,0.862916,0,15123023.0
2020-11-14,0,0,0,0.869053,0,15230579.0
2020-11-13,0,0,0,0.884459,0,15500585.0
2020-11-12,0,0,0,0.882727,0,15470228.0
2020-11-11,0,0,0,0.851076,0,14915533.0
2020-11-10,0,0,0,0.829175,0,14531701.0
2020-11-09,0,0,0,0.831688,0,14575744.0
2020-11-08,0,0,0,0.839428,0,14711387.0
2020-11-07,0,0,0,0.804552,0,14100166.0
2020-11-06,0,0,0,0.84121,0,14742613.0
2020-11-05,0,0,0,0.840366,0,14727821.0
2020-11-04,0,0,0,0.764538,0,13398903.0
2020-11-03,0,0,0,0.754792,0,13228110.0
2020-11-02,0,0,0,0.73325,0,12850564.0
2020-11-01,0,0,0,0.734848,0,12878575.0
2020-10-31,0,0,0,0.745325,0,13062195.0
2020-10-30,0,0,0,0.733044,0,12846951.0
2020-10-29,0,0,0,0.727526,0,12750248.0
2020-10-28,0,0,0,0.7193,0,12606096.0
2020-10-27,0,0,0,0.738574,0,12943868.0
2020-10-26,0,0,0,0.708894,0,12423712.0
2020-10-25,0,0,0,0.706531,0,12382299.0
2020-10-24,0,0,0,0.711452,0,12468549.0
2020-10-23,0,0,0,0.701678,0,12297255.0
2020-10-22,0,0,0,0.703412,0,12327638.0
2020-10-21,0,0,0,0.695519,0,12189309.0
2020-10-20,0,0,0,0.647488,0,11347542.0
2020-10-19,0,0,0,0.640199,0,11219800.0
2020-10-18,0,0,0,0.626172,0,10973974.0
2020-10-17,0,0,0,0.664582,0,11647122.0
2020-10-16,0,0,0,1.06,0,18581587.0
2020-10-15,0,0,0,0.566854,0,9934403.0
2020-10-14,0,0,0,0.801259,0,14042451.0
2020-10-13,0,0,0,0.471859,0,8269560.0
2020-10-12,0,0,0,0.775853,0,13597205.0
2020-10-11,0,0,0,0.851484,0,14922683.0
2020-10-10,0,0,0,0.805822,0,14122433.0
2020-10-09,0,0,0,0.94614,0,16581572.0
2020-10-08,0,0,0,0.785648,0,13768863.0
2020-10-07,0,0,0,0.740815,0,12983151.0
2020-10-06,0,0,0,0.709207,0,12429196.0
2020-10-05,0,0,0,0.616408,0,10802859.0
2020-10-04,0,0,0,0.45843,0,8034210.0
2020-10-03,0,0,0,0.999187,0,17511252.0
2020-10-02,0,0,0,0.730498,0,12802339.0
2020-10-01,0,0,0,0.752733,0,13192009.0
2020-09-30,0,0,0,0.380421,0,6667062.0
2020-09-29,0,0,0,0.362073,0,6345508.0
2020-09-28,0,0,0,0.53276,0,9336878.0
2020-09-27,0,0,0,0.330062,0,5784492.0
2020-09-26,0,0,0,0.752198,0,13182642.0
2020-09-25,0,0,0,0.110999,0,1945311.0
2020-09-24,0,0,0,0.079819,0,1398865.0
2020-09-23,0,0,0,0.343817,0,6025567.0
2020-09-22,0,0,0,0.21662,0,3796364.0
2020-09-21,0,0,0,0.344237,0,6032918.0
2020-09-20,0,0,0,0.546211,0,9572625.0
2020-09-19,0,0,0,0.599684,0,10509753.0
2020-09-18,0,0,0,0.538027,0,9429182.0
2020-09-17,0,0,0,0.576849,0,10109563.0
2020-09-16,0,0,0,0.581736,0,10195212.0
2020-09-15,0,0,0,0.554269,0,9713840.0
2020-09-14,0,0,0,0.584135,0,10237260.0
2020-09-13,0,0,0,0.526396,0,9225342.0
2020-09-12,0,0,0,0.562349,0,9855448.0
2020-09-11,0,0,0,0.561322,0,9837445.0
2020-09-10,0,0,0,0.560108,0,9816166.0
2020-09-09,0,0,0,0.515518,0,9034706.0
2020-09-08,0,0,0,0.524662,0,9194962.0
2020-09-07,0,0,0,0.566419,0,9926773.0
2020-09-06,0,0,0,0.583247,0,10221696.0
2020-09-05,0,0,0,0.602642,0,10561600.0
2020-09-04,0,0,0,0.550107,0,9640896.0
2020-09-03,0,0,0,0.54231,0,9504242.0
