date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.369348,0,6733224.0
2020-12-13,0,0,0,0.409112,0,7458109.0
2020-12-12,0,0,0,0.35901,0,6006242.0
2020-12-11,0,0,0,0.350597,0,5865491.0
2020-12-10,0,0,0,0.415937,0,6334721.0
2020-12-09,0,0,0,0.470814,0,7170500.0
2020-12-08,0,0,0,0.404688,0,6163399.0
2020-12-07,0,0,0,0.387483,0,5901364.0
2020-12-06,0,0,0,0.38384,0,5845880.0
2020-12-05,0,0,0,0.360003,0,5482852.0
2020-12-04,0,0,0,0.343363,0,5126406.0
2020-12-03,0,0,0,0.353502,0,5277786.0
2020-12-02,0,0,0,0.3283,0,4901523.0
2020-12-01,0,0,0,0.318731,0,4758649.0
2020-11-30,0,0,0,0.319304,0,4767211.0
2020-11-29,0,0,0,0.347272,0,5045860.0
2020-11-28,0,0,0,0.376509,0,5470672.0
2020-11-27,0,0,0,0.300724,0,4369519.0
2020-11-26,0,0,0,0.280748,0,4079274.0
2020-11-25,0,0,0,0.308764,0,4486342.0
2020-11-24,0,0,0,0.34671,0,5037692.0
2020-11-23,0,0,0,0.390055,0,5667501.0
2020-11-22,0,0,0,0.407067,0,5914684.0
2020-11-21,0,0,0,0.327279,0,4755360.0
2020-11-20,0,0,0,0.275144,0,3997847.0
2020-11-19,0,0,0,0.275723,0,4006251.0
2020-11-18,0,0,0,0.271046,0,3884088.0
2020-11-17,0,0,0,0.231982,0,3092324.0
2020-11-16,0,0,0,0.23502,0,3132818.0
2020-11-15,0,0,0,0.223801,0,2983264.0
2020-11-14,0,0,0,0.220536,0,2939749.0
2020-11-13,0,0,0,0.22165,0,2954596.0
2020-11-12,0,0,0,0.222361,0,2641655.0
2020-11-11,0,0,0,0.246689,0,2930670.0
2020-11-10,0,0,0,0.216585,0,2573033.0
2020-11-09,0,0,0,0.208147,0,2472793.0
2020-11-08,0,0,0,0.222947,0,2648612.0
2020-11-07,0,0,0,0.203638,0,2419217.0
2020-11-06,0,0,0,0.227528,0,2703032.0
2020-11-05,0,0,0,0.214804,0,2551877.0
2020-11-04,0,0,0,0.235175,0,2793886.0
2020-11-03,0,0,0,0.248461,0,2951724.0
2020-11-02,0,0,0,0.257811,0,3062791.0
2020-11-01,0,0,0,0.292473,0,3474586.0
2020-10-31,0,0,0,0.285718,0,3394329.0
2020-10-30,0,0,0,0.285633,0,3393328.0
2020-10-29,0,0,0,0.282875,0,3006968.0
2020-10-28,0,0,0,0.282725,0,3005368.0
2020-10-27,0,0,0,0.300444,0,3193727.0
2020-10-26,0,0,0,0.304035,0,3084437.0
2020-10-25,0,0,0,0.318299,0,3229142.0
2020-10-24,0,0,0,0.364614,0,3699011.0
2020-10-23,0,0,0,0.311112,0,3156231.0
2020-10-22,0,0,0,0.32574,0,3304635.0
2020-10-21,0,0,0,0.3504,0,3554809.0
2020-10-20,0,0,0,0.372929,0,3783368.0
2020-10-19,0,0,0,0.421773,0,4278889.0
2020-10-18,0,0,0,0.353187,0,3583080.0
2020-10-17,0,0,0,0.328847,0,3336159.0
2020-10-16,0,0,0,0.326134,0,3308634.0
2020-10-15,0,0,0,0.362935,0,4462291.0
2020-10-14,0,0,0,0.391174,0,3968463.0
2020-10-13,0,0,0,0.436375,0,4079558.0
2020-10-12,0,0,0,0.480341,0,4490589.0
2020-10-11,0,0,0,0.43814,0,4096060.0
2020-10-10,0,0,0,0.384267,0,3592413.0
2020-10-09,0,0,0,0.369808,0,3457240.0
2020-10-08,0,0,0,0.345045,0,3225740.0
2020-10-07,0,0,0,0.300716,0,2811314.0
2020-10-06,0,0,0,0.351216,0,3283430.0
2020-10-05,0,0,0,0.380037,0,3552870.0
2020-10-04,0,0,0,0.277958,0,2598559.0
2020-10-03,0,0,0,0.282989,0,2645598.0
2020-10-02,0,0,0,0.285742,0,2671335.0
2020-10-01,0,0,0,0.327811,0,3064622.0
2020-09-30,0,0,0,0.343163,0,3208142.0
2020-09-29,0,0,0,0.355858,0,3326825.0
2020-09-28,0,0,0,0.367199,0,3432847.0
2020-09-27,0,0,0,0.376863,0,3523202.0
2020-09-26,0,0,0,0.402114,0,3759264.0
2020-09-25,0,0,0,0.409744,0,3830592.0
2020-09-24,0,0,0,0.433369,0,4051460.0
2020-09-23,0,0,0,0.396639,0,3708077.0
2020-09-22,0,0,0,0.367919,0,3439581.0
2020-09-21,0,0,0,0.451368,0,4219724.0
2020-09-20,0,0,0,0.537247,0,5022589.0
2020-09-19,0,0,0,0.651007,0,6086102.0
2020-09-18,0,0,0,0.629101,0,5881310.0
2020-09-17,0,0,0,0.507044,0,4740224.0
2020-09-16,0,0,0,0.632416,0,5912304.0
2020-09-15,0,0,0,0.713675,0,5912304.0
