date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,1.58,0,16012560.0
2020-12-13,0,0,0,1.59,0,16098891.0
2020-12-12,0,0,0,1.59,0,16071022.0
2020-12-11,0,0,0,1.49,0,15125562.0
2020-12-10,0,0,0,1.57,0,15851898.0
2020-12-09,0,0,0,1.63,0,16533526.0
2020-12-08,0,0,0,1.61,0,16331911.0
2020-12-07,0,0,0,1.69,0,17134053.0
2020-12-06,0,0,0,1.73,0,17490965.0
2020-12-05,0,0,0,1.77,0,17928711.0
2020-12-04,0,0,0,1.66,0,16779564.0
2020-12-03,0,0,0,1.83,0,18584950.0
2020-12-02,0,0,0,1.83,0,18508478.0
2020-12-01,0,0,0,1.73,0,17474453.0
2020-11-30,0,0,0,1.57,0,15859307.0
2020-11-29,0,0,0,1.59,0,16088276.0
2020-11-28,0,0,0,1.61,0,16339705.0
2020-11-27,0,0,0,1.47,0,14888511.0
2020-11-26,0,0,0,1.51,0,15253929.0
2020-11-25,0,0,0,1.99,0,20153657.0
2020-11-24,0,0,0,1.55,0,15662589.0
2020-11-23,0,0,0,1.41,0,14325715.0
2020-11-22,0,0,0,1.37,0,13831061.0
2020-11-21,0,0,0,1.38,0,13947405.0
2020-11-20,0,0,0,1.35,0,13635417.0
2020-11-19,0,0,0,1.31,0,13281874.0
2020-11-18,0,0,0,1.36,0,13797860.0
2020-11-17,0,0,0,1.36,0,13776958.0
2020-11-16,0,0,0,1.33,0,13430492.0
2020-11-15,0,0,0,1.31,0,13225682.0
2020-11-14,0,0,0,1.34,0,13565202.0
2020-11-13,0,0,0,1.35,0,13690805.0
2020-11-12,0,0,0,1.3,0,13171437.0
2020-11-11,0,0,0,1.36,0,13810255.0
2020-11-10,0,0,0,1.4,0,14185202.0
2020-11-09,0,0,0,1.49,0,15068339.0
2020-11-08,0,0,0,1.3,0,13151155.0
2020-11-07,0,0,0,1.22,0,12360455.0
2020-11-06,0,0,0,1.3,0,13207568.0
2020-11-05,0,0,0,1.19,0,12051503.0
2020-11-04,0,0,0,1.14,0,11579894.0
2020-11-03,0,0,0,1.16,0,11729844.0
2020-11-02,0,0,0,1.23,0,12430283.0
2020-11-01,0,0,0,1.21,0,12223708.0
2020-10-31,0,0,0,1.22,0,12306160.0
2020-10-30,0,0,0,1.21,0,12277326.0
2020-10-29,0,0,0,1.3,0,13213226.0
2020-10-28,0,0,0,1.35,0,13650865.0
2020-10-27,0,0,0,1.44,0,14572085.0
2020-10-26,0,0,0,1.45,0,14683325.0
2020-10-25,0,0,0,1.47,0,14867011.0
2020-10-24,0,0,0,1.5,0,15234597.0
2020-10-23,0,0,0,1.51,0,15324745.0
2020-10-22,0,0,0,1.49,0,15042158.0
2020-10-21,0,0,0,1.47,0,14868344.0
2020-10-20,0,0,0,1.44,0,14628141.0
2020-10-19,0,0,0,1.5,0,15167062.0
2020-10-18,0,0,0,1.5,0,15225860.0
2020-10-17,0,0,0,1.54,0,15621870.0
2020-10-16,0,0,0,1.5,0,15166544.0
2020-10-15,0,0,0,1.52,0,15416705.0
2020-10-14,0,0,0,1.55,0,15741231.0
2020-10-13,0,0,0,1.53,0,15492768.0
2020-10-12,0,0,0,1.54,0,15610804.0
2020-10-11,0,0,0,1.56,0,15771631.0
2020-10-10,0,0,0,1.6,0,16250034.0
2020-10-09,0,0,0,1.56,0,15834154.0
2020-10-08,0,0,0,1.47,0,14922308.0
2020-10-07,0,0,0,1.41,0,14254816.0
2020-10-06,0,0,0,1.45,0,14704767.0
2020-10-05,0,0,0,1.52,0,15394689.0
2020-10-04,0,0,0,1.53,0,15522079.0
2020-10-03,0,0,0,1.53,0,15487900.0
2020-10-02,0,0,0,1.56,0,15765940.0
2020-10-01,0,0,0,1.6,0,16162782.0
2020-09-30,0,0,0,1.59,0,16097573.0
2020-09-29,0,0,0,1.59,0,16131773.0
2020-09-28,0,0,0,1.62,0,16412388.0
2020-09-27,0,0,0,1.67,0,16882645.0
2020-09-26,0,0,0,1.69,0,17101568.0
2020-09-25,0,0,0,1.67,0,16865248.0
2020-09-24,0,0,0,1.7,0,17219532.0
2020-09-23,0,0,0,1.61,0,16284787.0
2020-09-22,0,0,0,1.65,0,16740851.0
2020-09-21,0,0,0,1.62,0,16413364.0
2020-09-20,0,0,0,1.83,0,18496418.0
2020-09-19,0,0,0,1.9,0,19216483.0
2020-09-18,0,0,0,2.01,0,20384321.0
2020-09-17,0,0,0,1.95,0,19780806.0
2020-09-16,0,0,0,1.81,0,18332954.0
2020-09-15,0,0,0,1.82,0,18449048.0
2020-09-14,0,0,0,1.85,0,18729064.0
2020-09-13,0,0,0,1.77,0,17880400.0
2020-09-12,0,0,0,1.89,0,19094087.0
2020-09-11,0,0,0,1.85,0,18701944.0
2020-09-10,0,0,0,1.75,0,17694082.0
2020-09-09,0,0,0,1.7,0,17177748.0
2020-09-08,0,0,0,1.62,0,16394153.0
2020-09-07,0,0,0,1.63,0,16499820.0
2020-09-06,0,0,0,1.65,0,16757094.0
2020-09-05,0,0,0,1.57,0,15936949.0
2020-09-04,0,0,0,1.73,0,17534750.0
2020-09-03,0,0,0,1.64,0,16653185.0
2020-09-02,0,0,0,1.95,0,19710897.0
2020-09-01,0,0,0,2.13,0,21596925.0
2020-08-31,0,0,0,2.21,0,22359276.0
2020-08-30,0,0,0,2.29,0,23164704.0
2020-08-29,0,0,0,2.29,0,23145255.0
2020-08-28,0,0,0,2.13,0,21613159.0
2020-08-27,0,0,0,2.04,0,20652000.0
2020-08-26,0,0,0,2.02,0,20494242.0
2020-08-25,0,0,0,2.02,0,20477982.0
2020-08-24,0,0,0,2.08,0,21074436.0
2020-08-23,0,0,0,2.05,0,20741377.0
2020-08-22,0,0,0,2.14,0,21692969.0
2020-08-21,0,0,0,2.01,0,20338554.0
2020-08-20,0,0,0,2.2,0,22293699.0
2020-08-19,0,0,0,1.77,0,17901723.0
2020-08-18,0,0,0,1.92,0,19406139.0
2020-08-17,0,0,0,1.92,0,19452926.0
2020-08-16,0,0,0,1.86,0,18851244.0
2020-08-15,0,0,0,1.85,0,18775329.0
2020-08-14,0,0,0,1.83,0,18513509.0
2020-08-13,0,0,0,1.85,0,18767745.0
2020-08-12,0,0,0,1.78,0,17978827.0
2020-08-11,0,0,0,1.73,0,17508648.0
2020-08-10,0,0,0,1.89,0,19128499.0
2020-08-09,0,0,0,1.78,0,18069865.0
2020-08-08,0,0,0,1.76,0,17870454.0
2020-08-07,0,0,0,1.67,0,16916563.0
2020-08-06,0,0,0,1.69,0,17128432.0
2020-08-05,0,0,0,1.7,0,17189532.0
2020-08-04,0,0,0,1.67,0,16940367.0
2020-08-03,0,0,0,1.67,0,16956220.0
2020-08-02,0,0,0,1.65,0,16672169.0
2020-08-01,0,0,0,1.73,0,17536125.0
2020-07-31,0,0,0,1.68,0,17039630.0
2020-07-30,0,0,0,1.67,0,16919105.0
2020-07-29,0,0,0,1.7,0,17190786.0
2020-07-28,0,0,0,1.68,0,16998441.0
2020-07-27,0,0,0,1.65,0,16720408.0
2020-07-26,0,0,0,1.75,0,17745230.0
2020-07-25,0,0,0,1.78,0,18055899.0
2020-07-24,0,0,0,1.83,0,18504691.0
2020-07-23,0,0,0,1.85,0,18704905.0
2020-07-22,0,0,0,1.85,0,18730362.0
2020-07-21,0,0,0,1.9,0,19220708.0
2020-07-20,0,0,0,1.72,0,17455176.0
2020-07-19,0,0,0,1.75,0,17742257.0
2020-07-18,0,0,0,1.69,0,17107298.0
2020-07-17,0,0,0,1.71,0,17272523.0
2020-07-16,0,0,0,1.67,0,16953780.0
2020-07-15,0,0,0,1.79,0,18117616.0
2020-07-14,0,0,0,1.79,0,18144949.0
2020-07-13,0,0,0,1.75,0,17695138.0
2020-07-12,0,0,0,1.69,0,17122975.0
2020-07-11,0,0,0,1.73,0,17546871.0
2020-07-10,0,0,0,1.69,0,17158169.0
2020-07-09,0,0,0,1.7,0,17214457.0
2020-07-08,0,0,0,1.78,0,17983627.0
2020-07-07,0,0,0,1.75,0,17701047.0
2020-07-06,0,0,0,1.76,0,17821646.0
2020-07-05,0,0,0,1.73,0,17526766.0
2020-07-04,0,0,0,1.75,0,17701026.0
2020-07-03,0,0,0,1.73,0,17534757.0
2020-07-02,0,0,0,1.78,0,18022787.0
2020-07-01,0,0,0,1.84,0,18603427.0
2020-06-30,0,0,0,1.82,0,18460049.0
2020-06-29,0,0,0,1.93,0,19585580.0
2020-06-28,0,0,0,1.76,0,17796761.0
2020-06-27,0,0,0,1.72,0,17465206.0
2020-06-26,0,0,0,1.88,0,19005814.0
2020-06-25,0,0,0,1.67,0,16947191.0
2020-06-24,0,0,0,1.67,0,16935715.0
2020-06-23,0,0,0,1.76,0,17795037.0
2020-06-22,0,0,0,1.78,0,18008279.0
2020-06-21,0,0,0,1.75,0,17740140.0
2020-06-20,0,0,0,1.77,0,17902626.0
