date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.039997,0,2884897.0
2020-12-13,0,0,0,0.040422,0,2915595.0
2020-12-12,0,0,0,0.034222,0,2468351.0
2020-12-11,0,0,0,0.030302,0,2185649.0
2020-12-10,0,0,0,0.032465,0,2341641.0
2020-12-09,0,0,0,0.026873,0,1938327.0
2020-12-08,0,0,0,0.024254,0,1749426.0
2020-12-07,0,0,0,0.023244,0,1676550.0
2020-12-06,0,0,0,0.0228,0,1644559.0
2020-12-05,0,0,0,0.019279,0,1390573.0
2020-12-04,0,0,0,0.028407,0,2048968.0
2020-12-03,0,0,0,0.000339,0,24472.98
2020-12-02,0,0,0,0.000335,0,24172.92
2020-12-01,0,0,0,0.000327,0,23621.44
2020-11-30,0,0,0,0.000341,0,24573.71
2020-11-29,0,0,0,0.000318,0,22914.04
2020-11-28,0,0,0,0.00031,0,22371.95
2020-11-27,0,0,0,0.000298,0,21493.38
2020-11-26,0,0,0,0.000297,0,21397.07
2020-11-25,0,0,0,0.000325,0,23449.01
2020-11-24,0,0,0,0.000333,0,24024.43
2020-11-23,0,0,0,0.000322,0,23244.25
2020-11-22,0,0,0,0.000322,0,23233.94
2020-11-21,0,0,0,0.000332,0,23973.35
2020-11-20,0,0,0,0.000365,0,26298.16
2020-11-19,0,0,0,0.000351,0,25284.76
2020-11-18,0,0,0,0.000342,0,24660.9
2020-11-17,0,0,0,0.000341,0,24568.08
2020-11-16,0,0,0,0.00032,0,23112.56
2020-11-15,0,0,0,0.000306,0,22091.47
2020-11-14,0,0,0,0.000309,0,22270.05
2020-11-13,0,0,0,0.000317,0,22839.56
2020-11-12,0,0,0,0.000311,0,22421.89
2020-11-11,0,0,0,0.0003,0,21604.78
2020-11-10,0,0,0,0.00029,0,20934.24
2020-11-09,0,0,0,0.000293,0,21123.06
2020-11-08,0,0,0,0.000294,0,21191.25
2020-11-07,0,0,0,0.000283,0,20416.49
2020-11-06,0,0,0,0.000294,0,21174.28
2020-11-05,0,0,0,0.000297,0,21427.86
2020-11-04,0,0,0,0.00028,0,20228.84
2020-11-03,0,0,0,0.000267,0,19262.8
2020-11-02,0,0,0,0.000259,0,18664.73
2020-11-01,0,0,0,0.000282,0,20324.71
2020-10-31,0,0,0,0.000259,0,18712.92
2020-10-30,0,0,0,0.000269,0,19421.25
2020-10-29,0,0,0,0.000307,0,22145.59
2020-10-28,0,0,0,0.000291,0,21010.35
2020-10-27,0,0,0,0.000289,0,20829.15
2020-10-26,0,0,0,0.000255,0,18404.54
2020-10-25,0,0,0,0.000258,0,18633.13
2020-10-24,0,0,0,0.000251,0,18074.79
2020-10-23,0,0,0,0.000242,0,17453.69
2020-10-22,0,0,0,0.000252,0,18147.28
2020-10-21,0,0,0,0.000231,0,16632.55
2020-10-20,0,0,0,0.000204,0,14709.96
2020-10-19,0,0,0,0.0002,0,14441.42
2020-10-18,0,0,0,0.000215,0,15515.57
2020-10-17,0,0,0,0.000218,0,15695.13
2020-10-16,0,0,0,0.000227,0,16402.58
2020-10-15,0,0,0,0.000239,0,17223.14
2020-10-14,0,0,0,0.000239,0,17263.44
2020-10-13,0,0,0,0.000262,0,18891.74
2020-10-12,0,0,0,0.000261,0,18825.25
2020-10-11,0,0,0,0.000283,0,20381.21
2020-10-10,0,0,0,0.000208,0,15035.39
2020-10-09,0,0,0,0.000244,0,17580.69
2020-10-08,0,0,0,0.000255,0,18369.59
2020-10-07,0,0,0,0.000244,0,17628.56
2020-10-06,0,0,0,0.000251,0,18079.37
2020-10-05,0,0,0,0.000266,0,19194.26
2020-10-04,0,0,0,0.000294,0,21186.99
2020-10-03,0,0,0,0.000276,0,19883.42
2020-10-02,0,0,0,0.000277,0,317200.0
2020-10-01,0,0,0,0.000296,0,338767.0
2020-09-30,0,0,0,0.000287,0,329036.0
2020-09-29,0,0,0,0.000273,0,312696.0
2020-09-28,0,0,0,0.000279,0,319880.0
2020-09-27,0,0,0,0.000299,0,342048.0
2020-09-26,0,0,0,0.000313,0,358782.0
2020-09-25,0,0,0,0.000309,0,353437.0
2020-09-24,0,0,0,0.00033,0,378063.0
2020-09-23,0,0,0,0.000319,0,365553.0
2020-09-22,0,0,0,0.000328,0,375259.0
2020-09-21,0,0,0,0.000314,0,359134.0
2020-09-20,0,0,0,0.000333,0,381387.0
2020-09-19,0,0,0,0.000345,0,394835.0
2020-09-18,0,0,0,0.000326,0,373490.0
2020-09-17,0,0,0,0.000341,0,390440.0
2020-09-16,0,0,0,0.00034,0,389054.0
2020-09-15,0,0,0,0.000342,0,391955.0
2020-09-14,0,0,0,0.000323,0,369482.0
2020-09-13,0,0,0,0.000308,0,352468.0
2020-09-12,0,0,0,0.000325,0,371679.0
2020-09-11,0,0,0,0.000322,0,368877.0
2020-09-10,0,0,0,0.000313,0,358612.0
2020-09-09,0,0,0,0.000308,0,352083.0
2020-09-08,0,0,0,0.000315,0,360524.0
2020-09-07,0,0,0,0.000321,0,368028.0
2020-09-06,0,0,0,0.000337,0,385990.0
2020-09-05,0,0,0,0.000317,0,362638.0
2020-09-04,0,0,0,0.000309,0,353442.0
2020-09-03,0,0,0,0.000336,0,384813.0
2020-09-02,0,0,0,0.00037,0,423424.0
2020-09-01,0,0,0,0.000382,0,436945.0
2020-08-31,0,0,0,0.00042,0,480442.0
2020-08-30,0,0,0,0.000454,0,520075.0
2020-08-29,0,0,0,0.000385,0,440492.0
2020-08-28,0,0,0,0.000355,0,406604.0
2020-08-27,0,0,0,0.000407,0,465968.0
2020-08-26,0,0,0,0.000413,0,472599.0
2020-08-25,0,0,0,0.0004,0,457884.0
2020-08-24,0,0,0,0.000387,0,443157.0
2020-08-23,0,0,0,0.000397,0,454102.0
2020-08-22,0,0,0,0.000385,0,441209.0
2020-08-21,0,0,0,0.000407,0,465781.0
2020-08-20,0,0,0,0.000421,0,482226.0
2020-08-19,0,0,0,0.000414,0,474032.0
2020-08-18,0,0,0,0.000418,0,478228.0
2020-08-17,0,0,0,0.000453,0,518742.0
2020-08-16,0,0,0,0.00044,0,503335.0
2020-08-15,0,0,0,0.000416,0,476802.0
2020-08-14,0,0,0,0.000424,0,484934.0
2020-08-13,0,0,0,0.000449,0,513824.0
2020-08-12,0,0,0,0.000451,0,516821.0
2020-08-11,0,0,0,0.000446,0,510695.0
2020-08-10,0,0,0,0.000452,0,518006.0
2020-08-09,0,0,0,0.000478,0,547015.0
2020-08-08,0,0,0,0.000461,0,527813.0
2020-08-07,0,0,0,0.000464,0,531715.0
2020-08-06,0,0,0,0.000466,0,533924.0
2020-08-05,0,0,0,0.00047,0,537586.0
2020-08-04,0,0,0,0.000426,0,487431.0
2020-08-03,0,0,0,0.000394,0,450846.0
2020-08-02,0,0,0,0.000442,0,506308.0
2020-08-01,0,0,0,0.000458,0,523930.0
2020-07-31,0,0,0,0.000385,0,441245.0
2020-07-30,0,0,0,0.000378,0,432894.0
