date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.011263,0,3055626.0
2020-12-13,0,0,0,0.011644,0,3158865.0
2020-12-12,0,0,0,0.012105,0,3284072.0
2020-12-11,0,0,0,0.012424,0,3370556.0
2020-12-10,0,0,0,0.013533,0,3671360.0
2020-12-09,0,0,0,0.013889,0,3768003.0
2020-12-08,0,0,0,0.014012,0,3801274.0
2020-12-07,0,0,0,0.014275,0,3696282.0
2020-12-06,0,0,0,0.014944,0,3869630.0
2020-12-05,0,0,0,0.014163,0,3667288.0
2020-12-04,0,0,0,0.015662,0,4055320.0
2020-12-03,0,0,0,0.014603,0,3781273.0
2020-12-02,0,0,0,0.01407,0,3643140.0
2020-12-01,0,0,0,0.014056,0,3639532.0
2020-11-30,0,0,0,0.014847,0,3844514.0
2020-11-29,0,0,0,0.015033,0,3892632.0
2020-11-28,0,0,0,0.014149,0,3663622.0
2020-11-27,0,0,0,0.014114,0,3654649.0
2020-11-26,0,0,0,0.013801,0,3573466.0
2020-11-25,0,0,0,0.015587,0,4035981.0
2020-11-24,0,0,0,0.014882,0,3853344.0
2020-11-23,0,0,0,0.014933,0,3866798.0
2020-11-22,0,0,0,0.015245,0,3947495.0
2020-11-21,0,0,0,0.014295,0,3701345.0
2020-11-20,0,0,0,0.013596,0,3520452.0
2020-11-19,0,0,0,0.013401,0,3469869.0
2020-11-18,0,0,0,0.013369,0,3461757.0
2020-11-17,0,0,0,0.013836,0,3582504.0
2020-11-16,0,0,0,0.014719,0,3811363.0
2020-11-15,0,0,0,0.013323,0,3449688.0
2020-11-14,0,0,0,0.013546,0,3507599.0
2020-11-13,0,0,0,0.013951,0,3612477.0
2020-11-12,0,0,0,0.013262,0,3434093.0
2020-11-11,0,0,0,0.015917,0,4121427.0
2020-11-10,0,0,0,0.015725,0,4071781.0
2020-11-09,0,0,0,0.017716,0,4587204.0
2020-11-08,0,0,0,0.014309,0,3705112.0
2020-11-07,0,0,0,0.01273,0,3296349.0
2020-11-06,0,0,0,0.013874,0,3592515.0
2020-11-05,0,0,0,0.012243,0,3170067.0
2020-11-04,0,0,0,0.011637,0,3013304.0
2020-11-03,0,0,0,0.012029,0,3114610.0
2020-11-02,0,0,0,0.012708,0,3290615.0
2020-11-01,0,0,0,0.013406,0,3471285.0
2020-10-31,0,0,0,0.014021,0,3630546.0
2020-10-30,0,0,0,0.01296,0,3355847.0
2020-10-29,0,0,0,0.014139,0,3661198.0
2020-10-28,0,0,0,0.015221,0,3941238.0
2020-10-27,0,0,0,0.01763,0,4564940.0
2020-10-26,0,0,0,0.017913,0,4638368.0
2020-10-25,0,0,0,0.017932,0,4643128.0
2020-10-24,0,0,0,0.018005,0,4662050.0
2020-10-23,0,0,0,0.017779,0,4603712.0
2020-10-22,0,0,0,0.017877,0,4628931.0
2020-10-21,0,0,0,0.017498,0,4530942.0
2020-10-20,0,0,0,0.017655,0,4571397.0
2020-10-19,0,0,0,0.018219,0,4717433.0
