date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.007956,0,8426347.0
2020-12-13,0,0,0,0.00799,0,8460669.0
2020-12-12,0,0,0,0.008305,0,8793450.0
2020-12-11,0,0,0,0.007821,0,8280548.0
2020-12-10,0,0,0,0.006821,0,7220310.0
2020-12-09,0,0,0,0.006446,0,6822810.0
2020-12-08,0,0,0,0.006724,0,7116910.0
2020-12-07,0,0,0,0.007035,0,7444415.0
2020-12-06,0,0,0,0.007468,0,7902195.0
2020-12-05,0,0,0,0.007286,0,7708569.0
2020-12-04,0,0,0,0.006986,0,7390840.0
2020-12-03,0,0,0,0.007938,0,8396014.0
2020-12-02,0,0,0,0.007808,0,8257549.0
2020-12-01,0,0,0,0.007423,0,7849870.0
2020-11-30,0,0,0,0.007707,0,8111289.0
2020-11-29,0,0,0,0.007699,0,8101322.0
2020-11-28,0,0,0,0.007468,0,7857598.0
2020-11-27,0,0,0,0.006846,0,7201837.0
2020-11-26,0,0,0,0.006866,0,7222916.0
2020-11-25,0,0,0,0.008072,0,8489586.0
2020-11-24,0,0,0,0.008077,0,8494634.0
2020-11-23,0,0,0,0.007223,0,7595882.0
2020-11-22,0,0,0,0.007301,0,7677018.0
2020-11-21,0,0,0,0.006562,0,6898475.0
2020-11-20,0,0,0,0.0061,0,6412448.0
2020-11-19,0,0,0,0.006053,0,6361836.0
2020-11-18,0,0,0,0.006697,0,7038281.0
2020-11-17,0,0,0,0.006516,0,6846892.0
2020-11-16,0,0,0,0.006583,0,6916499.0
2020-11-15,0,0,0,0.006507,0,6836503.0
2020-11-14,0,0,0,0.00671,0,7048615.0
2020-11-13,0,0,0,0.006853,0,7197967.0
2020-11-12,0,0,0,0.006559,0,6888265.0
2020-11-11,0,0,0,0.007213,0,7574744.0
2020-11-10,0,0,0,0.007454,0,7826027.0
2020-11-09,0,0,0,0.007057,0,7409262.0
2020-11-08,0,0,0,0.007022,0,7371216.0
2020-11-07,0,0,0,0.005722,0,6005836.0
2020-11-06,0,0,0,0.006444,0,6763203.0
2020-11-05,0,0,0,0.005125,0,5377665.0
2020-11-04,0,0,0,0.005402,0,5668167.0
2020-11-03,0,0,0,0.005295,0,5555079.0
2020-11-02,0,0,0,0.005576,0,5849205.0
2020-11-01,0,0,0,0.005767,0,6020550.0
2020-10-31,0,0,0,0.005677,0,5925628.0
2020-10-30,0,0,0,0.005666,0,5913442.0
2020-10-29,0,0,0,0.005877,0,6132869.0
2020-10-28,0,0,0,0.005981,0,6240657.0
2020-10-27,0,0,0,0.005936,0,6193285.0
2020-10-26,0,0,0,0.006187,0,6453984.0
2020-10-25,0,0,0,0.006123,0,6386991.0
2020-10-24,0,0,0,0.00669,0,6977237.0
2020-10-23,0,0,0,0.006861,0,7154150.0
2020-10-22,0,0,0,0.007266,0,7574652.0
2020-10-21,0,0,0,0.006738,0,7024651.0
2020-10-20,0,0,0,0.00678,0,7067401.0
2020-10-19,0,0,0,0.007388,0,7700962.0
2020-10-18,0,0,0,0.00759,0,7910224.0
2020-10-17,0,0,0,0.007502,0,7817893.0
2020-10-16,0,0,0,0.007375,0,7684127.0
2020-10-15,0,0,0,0.00772,0,8043114.0
2020-10-14,0,0,0,0.008294,0,8640333.0
2020-10-13,0,0,0,0.008334,0,8680898.0
2020-10-12,0,0,0,0.008475,0,8826413.0
2020-10-11,0,0,0,0.008444,0,8792949.0
2020-10-10,0,0,0,0.008403,0,8749476.0
2020-10-09,0,0,0,0.008622,0,8976173.0
2020-10-08,0,0,0,0.007842,0,8162835.0
2020-10-07,0,0,0,0.007899,0,8220979.0
2020-10-06,0,0,0,0.007742,0,8057554.0
2020-10-05,0,0,0,0.008509,0,8854632.0
2020-10-04,0,0,0,0.00842,0,8761070.0
2020-10-03,0,0,0,0.008439,0,8779724.0
2020-10-02,0,0,0,0.008149,0,8476207.0
2020-10-01,0,0,0,0.008506,0,8846950.0
2020-09-30,0,0,0,0.008584,0,8926788.0
2020-09-29,0,0,0,0.008796,0,9146000.0
2020-09-28,0,0,0,0.008748,0,9095333.0
2020-09-27,0,0,0,0.008917,0,9270423.0
2020-09-26,0,0,0,0.008934,0,9287119.0
2020-09-25,0,0,0,0.008772,0,9117164.0
2020-09-24,0,0,0,0.008563,0,8898893.0
2020-09-23,0,0,0,0.008159,0,8477731.0
2020-09-22,0,0,0,0.008589,0,8924978.0
2020-09-21,0,0,0,0.00844,0,8768417.0
2020-09-20,0,0,0,0.009482,0,9850525.0
2020-09-19,0,0,0,0.009082,0,9433208.0
2020-09-18,0,0,0,0.009511,0,9878141.0
2020-09-17,0,0,0,0.00987,0,10249213.0
2020-09-16,0,0,0,0.009871,0,10249539.0
2020-09-15,0,0,0,0.009777,0,10150290.0
2020-09-14,0,0,0,0.011139,0,11563338.0
2020-09-13,0,0,0,0.010382,0,10776762.0
2020-09-12,0,0,0,0.011396,0,11827154.0
2020-09-11,0,0,0,0.010839,0,11248013.0
2020-09-10,0,0,0,0.011333,0,11759504.0
2020-09-09,0,0,0,0.011056,0,11470585.0
2020-09-08,0,0,0,0.009994,0,10367354.0
2020-09-07,0,0,0,0.010863,0,11267355.0
2020-09-06,0,0,0,0.010519,0,10909184.0
2020-09-05,0,0,0,0.010289,0,10669731.0
2020-09-04,0,0,0,0.011138,0,11549391.0
2020-09-03,0,0,0,0.010353,0,10734126.0
2020-09-02,0,0,0,0.013121,0,13601786.0
2020-09-01,0,0,0,0.014651,0,15185730.0
2020-08-31,0,0,0,0.015572,0,16138541.0
2020-08-30,0,0,0,0.014855,0,15394243.0
2020-08-29,0,0,0,0.013529,0,14017802.0
2020-08-28,0,0,0,0.013941,0,14443171.0
2020-08-27,0,0,0,0.013044,0,13512552.0
2020-08-26,0,0,0,0.012782,0,13239406.0
2020-08-25,0,0,0,0.012327,0,12767204.0
2020-08-24,0,0,0,0.013576,0,14058861.0
2020-08-23,0,0,0,0.012725,0,13176269.0
2020-08-22,0,0,0,0.012682,0,13129620.0
2020-08-21,0,0,0,0.012634,0,13079010.0
2020-08-20,0,0,0,0.013551,0,14026325.0
2020-08-19,0,0,0,0.013019,0,13474181.0
2020-08-18,0,0,0,0.013506,0,13976167.0
2020-08-17,0,0,0,0.013736,0,14213104.0
2020-08-16,0,0,0,0.014486,0,14986850.0
2020-08-15,0,0,0,0.014176,0,14665282.0
2020-08-14,0,0,0,0.015358,0,15885987.0
2020-08-13,0,0,0,0.013094,0,13541893.0
2020-08-12,0,0,0,0.012891,0,13331016.0
2020-08-11,0,0,0,0.011941,0,12346486.0
2020-08-10,0,0,0,0.012338,0,12755671.0
2020-08-09,0,0,0,0.012327,0,12743030.0
2020-08-08,0,0,0,0.012301,0,12715018.0
2020-08-07,0,0,0,0.011521,0,11907531.0
2020-08-06,0,0,0,0.011941,0,12340215.0
2020-08-05,0,0,0,0.011455,0,11836544.0
2020-08-04,0,0,0,0.011456,0,11836156.0
2020-08-03,0,0,0,0.011669,0,12054495.0
2020-08-02,0,0,0,0.011716,0,12101152.0
2020-08-01,0,0,0,0.012105,0,12502350.0
2020-07-31,0,0,0,0.012149,0,12545787.0
2020-07-30,0,0,0,0.011909,0,12297036.0
2020-07-29,0,0,0,0.01146,0,11831246.0
2020-07-28,0,0,0,0.010931,0,11283957.0
2020-07-27,0,0,0,0.010636,0,10978443.0
2020-07-26,0,0,0,0.012326,0,12721436.0
2020-07-25,0,0,0,0.012909,0,13321212.0
2020-07-24,0,0,0,0.01403,0,14476584.0
2020-07-23,0,0,0,0.013194,0,13612512.0
2020-07-22,0,0,0,0.013637,0,14067867.0
2020-07-21,0,0,0,0.012426,0,12816691.0
2020-07-20,0,0,0,0.012225,0,12608200.0
2020-07-19,0,0,0,0.01177,0,12137223.0
2020-07-18,0,0,0,0.011772,0,12138621.0
2020-07-17,0,0,0,0.012045,0,12417799.0
2020-07-16,0,0,0,0.012237,0,12614667.0
2020-07-15,0,0,0,0.011486,0,11839274.0
2020-07-14,0,0,0,0.011823,0,11652766.0
2020-07-13,0,0,0,0.011746,0,11575696.0
2020-07-12,0,0,0,0.012409,0,12227933.0
2020-07-11,0,0,0,0.012187,0,12007763.0
2020-07-10,0,0,0,0.012541,0,12354792.0
2020-07-09,0,0,0,0.01147,0,11298318.0
2020-07-08,0,0,0,0.011399,0,11226583.0
2020-07-07,0,0,0,0.012185,0,11999321.0
2020-07-06,0,0,0,0.011522,0,11345484.0
2020-07-05,0,0,0,0.010518,0,10355522.0
2020-07-04,0,0,0,0.011226,0,11051399.0
2020-07-03,0,0,0,0.010328,0,10166226.0
2020-07-02,0,0,0,0.01095,0,10776369.0
2020-07-01,0,0,0,0.010908,0,10733663.0
2020-06-30,0,0,0,0.01142,0,11236739.0
2020-06-29,0,0,0,0.010894,0,10717538.0
2020-06-28,0,0,0,0.011476,0,11288861.0
2020-06-27,0,0,0,0.010966,0,10785281.0
2020-06-26,0,0,0,0.011946,0,11748623.0
2020-06-25,0,0,0,0.013764,0,13533974.0
2020-06-24,0,0,0,0.016373,0,16098042.0
2020-06-23,0,0,0,0.017214,0,16922419.0
2020-06-22,0,0,0,0.014413,0,14167337.0
2020-06-21,0,0,0,0.013368,0,13138940.0
2020-06-20,0,0,0,0.014646,0,14393067.0
2020-06-19,0,0,0,0.014502,0,14249990.0
2020-06-18,0,0,0,0.013807,0,13564836.0
2020-06-17,0,0,0,0.013987,0,13740447.0
2020-06-16,0,0,0,0.012111,0,11896223.0
2020-06-15,0,0,0,0.010682,0,10490923.0
2020-06-14,0,0,0,0.010519,0,10329599.0
2020-06-13,0,0,0,0.010732,0,10537847.0
2020-06-12,0,0,0,0.010143,0,9958213.0
2020-06-11,0,0,0,0.009692,0,9514312.0
2020-06-10,0,0,0,0.010849,0,10648182.0
2020-06-09,0,0,0,0.010627,0,10429009.0
2020-06-08,0,0,0,0.010275,0,10082261.0
2020-06-07,0,0,0,0.009642,0,9399193.0
2020-06-06,0,0,0,0.010182,0,9923609.0
2020-06-05,0,0,0,0.010301,0,10039015.0
2020-06-04,0,0,0,0.01028,0,10016591.0
2020-06-03,0,0,0,0.01004,0,9782197.0
2020-06-02,0,0,0,0.009758,0,9505583.0
2020-06-01,0,0,0,0.009886,0,9629497.0
2020-05-31,0,0,0,0.009628,0,9377115.0
2020-05-30,0,0,0,0.00993,0,9670539.0
2020-05-29,0,0,0,0.0098,0,9542412.0
2020-05-28,0,0,0,0.009235,0,8991379.0
2020-05-27,0,0,0,0.010256,0,9983777.0
2020-05-26,0,0,0,0.008616,0,8386526.0
2020-05-25,0,0,0,0.009168,0,8876809.0
2020-05-24,0,0,0,0.009029,0,8740716.0
2020-05-23,0,0,0,0.007277,0,7043918.0
2020-05-22,0,0,0,0.007837,0,7585278.0
2020-05-21,0,0,0,0.00696,0,6735461.0
2020-05-20,0,0,0,0.007191,0,6958415.0
2020-05-19,0,0,0,0.007183,0,6950026.0
2020-05-18,0,0,0,0.007561,0,7314266.0
2020-05-17,0,0,0,0.006894,0,6668540.0
2020-05-16,0,0,0,0.00765,0,7398395.0
2020-05-15,0,0,0,0.007034,0,6801854.0
2020-05-14,0,0,0,0.006995,0,6728852.0
2020-05-13,0,0,0,0.007297,0,7017928.0
2020-05-12,0,0,0,0.007326,0,7044797.0
2020-05-11,0,0,0,0.006562,0,6309101.0
2020-05-10,0,0,0,0.00674,0,6479709.0
2020-05-09,0,0,0,0.007528,0,7236924.0
2020-05-08,0,0,0,0.007744,0,7443592.0
2020-05-07,0,0,0,0.007271,0,6987813.0
2020-05-06,0,0,0,0.007302,0,7016423.0
2020-05-05,0,0,0,0.008126,0,7807154.0
2020-05-04,0,0,0,0.007837,0,7528483.0
2020-05-03,0,0,0,0.008245,0,7919803.0
2020-05-02,0,0,0,0.008008,0,7691475.0
2020-05-01,0,0,0,0.007988,0,7671429.0
2020-04-30,0,0,0,0.008018,0,7699191.0
2020-04-29,0,0,0,0.008084,0,7720836.0
2020-04-28,0,0,0,0.007852,0,7498439.0
2020-04-27,0,0,0,0.00786,0,7504805.0
2020-04-26,0,0,0,0.007874,0,7513842.0
2020-04-25,0,0,0,0.007098,0,6771974.0
2020-04-24,0,0,0,0.007219,0,6887039.0
2020-04-23,0,0,0,0.006882,0,6564846.0
2020-04-22,0,0,0,0.006536,0,6233581.0
2020-04-21,0,0,0,0.006497,0,6195347.0
2020-04-20,0,0,0,0.006453,0,6120393.0
2020-04-19,0,0,0,0.007189,0,6817844.0
2020-04-18,0,0,0,0.007451,0,7065287.0
2020-04-17,0,0,0,0.006645,0,6300650.0
2020-04-16,0,0,0,0.006669,0,6321811.0
2020-04-15,0,0,0,0.006351,0,6020474.0
2020-04-14,0,0,0,0.006249,0,5922863.0
2020-04-13,0,0,0,0.006848,0,6489293.0
2020-04-12,0,0,0,0.007058,0,6687837.0
2020-04-11,0,0,0,0.006928,0,6563642.0
2020-04-10,0,0,0,0.006786,0,6428173.0
2020-04-09,0,0,0,0.008049,0,7623297.0
2020-04-08,0,0,0,0.008141,0,7668956.0
2020-04-07,0,0,0,0.00754,0,7102521.0
2020-04-06,0,0,0,0.007909,0,7448643.0
2020-04-05,0,0,0,0.007197,0,6777395.0
2020-04-04,0,0,0,0.007084,0,6669842.0
2020-04-03,0,0,0,0.007349,0,6918749.0
2020-04-02,0,0,0,0.007223,0,6799266.0
2020-04-01,0,0,0,0.006955,0,6546398.0
2020-03-31,0,0,0,0.007124,0,6703943.0
2020-03-30,0,0,0,0.006863,0,6457537.0
2020-03-29,0,0,0,0.006052,0,5693543.0
2020-03-28,0,0,0,0.006616,0,6223758.0
2020-03-27,0,0,0,0.006568,0,6178025.0
2020-03-26,0,0,0,0.007465,0,7020639.0
2020-03-25,0,0,0,0.006364,0,5984377.0
2020-03-24,0,0,0,0.006414,0,6030676.0
2020-03-23,0,0,0,0.006001,0,5587718.0
2020-03-22,0,0,0,0.0054,0,5027094.0
2020-03-21,0,0,0,0.006366,0,5925545.0
2020-03-20,0,0,0,0.006496,0,6045837.0
2020-03-19,0,0,0,0.006483,0,6033374.0
2020-03-18,0,0,0,0.004885,0,4521434.0
2020-03-17,0,0,0,0.004929,0,4560772.0
2020-03-16,0,0,0,0.004634,0,4273736.0
2020-03-15,0,0,0,0.00583,0,5376133.0
2020-03-14,0,0,0,0.005564,0,5130537.0
2020-03-13,0,0,0,0.005917,0,5425530.0
2020-03-12,0,0,0,0.005327,0,4883458.0
2020-03-11,0,0,0,0.011762,0,10781432.0
2020-03-10,0,0,0,0.011287,0,10344556.0
2020-03-09,0,0,0,0.011246,0,10306336.0
2020-03-08,0,0,0,0.011384,0,10373733.0
2020-03-07,0,0,0,0.013364,0,12177183.0
2020-03-06,0,0,0,0.014922,0,13594938.0
2020-03-05,0,0,0,0.014807,0,13488120.0
2020-03-04,0,0,0,0.013461,0,12259924.0
2020-03-03,0,0,0,0.012745,0,11606558.0
2020-03-02,0,0,0,0.013188,0,12008797.0
2020-03-01,0,0,0,0.012093,0,11010078.0
2020-02-29,0,0,0,0.012886,0,11665842.0
2020-02-28,0,0,0,0.013043,0,11806753.0
2020-02-27,0,0,0,0.01406,0,12725208.0
