date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,1.28,0,5678577.0
2020-12-13,0,0,0,1.21,0,5372138.0
2020-12-12,0,0,0,1.25,0,5552953.0
2020-12-11,0,0,0,1.18,0,5243253.0
2020-12-10,0,0,0,1.26,0,5584183.0
2020-12-09,0,0,0,1.26,0,5562625.0
2020-12-08,0,0,0,1.22,0,5419925.0
2020-12-07,0,0,0,1.32,0,5829300.0
2020-12-06,0,0,0,1.34,0,5942192.0
2020-12-05,0,0,0,1.41,0,6244026.0
2020-12-04,0,0,0,1.34,0,5930283.0
2020-12-03,0,0,0,1.47,0,6502431.0
2020-12-02,0,0,0,1.38,0,6121852.0
2020-12-01,0,0,0,1.31,0,5777736.0
2020-11-30,0,0,0,1.37,0,6065282.0
2020-11-29,0,0,0,1.35,0,5981244.0
2020-11-28,0,0,0,1.24,0,5502339.0
2020-11-27,0,0,0,1.31,0,5780765.0
2020-11-26,0,0,0,1.33,0,5876863.0
2020-11-25,0,0,0,1.53,0,6767208.0
2020-11-24,0,0,0,1.52,0,6723930.0
2020-11-23,0,0,0,1.43,0,6335556.0
2020-11-22,0,0,0,1.35,0,5986091.0
2020-11-21,0,0,0,1.34,0,5933837.0
2020-11-20,0,0,0,1.28,0,5666969.0
2020-11-19,0,0,0,1.26,0,5580514.0
2020-11-18,0,0,0,1.29,0,5721919.0
2020-11-17,0,0,0,1.26,0,5570417.0
2020-11-16,0,0,0,1.25,0,5550809.0
2020-11-15,0,0,0,1.26,0,5556073.0
2020-11-14,0,0,0,1.24,0,5474974.0
2020-11-13,0,0,0,1.29,0,5713639.0
2020-11-12,0,0,0,1.24,0,5481473.0
2020-11-11,0,0,0,1.3,0,5741304.0
2020-11-10,0,0,0,1.38,0,6104946.0
2020-11-09,0,0,0,1.29,0,5713051.0
2020-11-08,0,0,0,1.28,0,5645607.0
2020-11-07,0,0,0,1.19,0,5260621.0
2020-11-06,0,0,0,1.3,0,5746002.0
2020-11-05,0,0,0,1.09,0,4846523.0
2020-11-04,0,0,0,1.01,0,4482090.0
2020-11-03,0,0,0,0.984621,0,4358803.0
2020-11-02,0,0,0,1.04,0,4612035.0
2020-11-01,0,0,0,1.1,0,4886408.0
2020-10-31,0,0,0,1.08,0,4772379.0
2020-10-30,0,0,0,1.07,0,4743878.0
2020-10-29,0,0,0,1.11,0,4926703.0
2020-10-28,0,0,0,1.25,0,5537154.0
2020-10-27,0,0,0,1.26,0,5590211.0
2020-10-26,0,0,0,1.28,0,5685562.0
2020-10-25,0,0,0,1.32,0,5839006.0
2020-10-24,0,0,0,1.38,0,6102216.0
2020-10-23,0,0,0,1.39,0,6167016.0
2020-10-22,0,0,0,1.34,0,5912403.0
2020-10-21,0,0,0,1.26,0,5580083.0
2020-10-20,0,0,0,1.2,0,5326577.0
2020-10-19,0,0,0,1.28,0,5678091.0
2020-10-18,0,0,0,1.33,0,5886632.0
2020-10-17,0,0,0,1.36,0,6006425.0
