date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.000589,0,98495985.0
2020-12-13,0,0,0,0.000553,0,92456486.0
2020-12-12,0,0,0,0.000535,0,89456668.0
2020-12-11,0,0,0,0.000536,0,89650759.0
2020-12-10,0,0,0,0.000552,0,92263070.0
2020-12-09,0,0,0,0.000557,0,93090459.0
2020-12-08,0,0,0,0.000569,0,95171329.0
2020-12-07,0,0,0,0.000607,0,101423977.0
2020-12-06,0,0,0,0.000618,0,103268034.0
2020-12-05,0,0,0,0.000611,0,102159324.0
2020-12-04,0,0,0,0.000604,0,100968504.0
2020-12-03,0,0,0,0.000635,0,106118721.0
2020-12-02,0,0,0,0.000618,0,103277385.0
2020-12-01,0,0,0,0.000603,0,100807349.0
2020-11-30,0,0,0,0.000647,0,108162889.0
2020-11-29,0,0,0,0.00059,0,98490470.0
2020-11-28,0,0,0,0.00059,0,98615735.0
2020-11-27,0,0,0,0.000566,0,94592212.0
2020-11-26,0,0,0,0.000594,0,99303343.0
2020-11-25,0,0,0,0.000657,0,109752655.0
2020-11-24,0,0,0,0.000687,0,114823442.0
2020-11-23,0,0,0,0.000584,0,97607312.0
2020-11-22,0,0,0,0.000609,0,101512991.0
2020-11-21,0,0,0,0.000548,0,91334138.0
2020-11-20,0,0,0,0.00048,0,80077714.0
2020-11-19,0,0,0,0.000502,0,83684775.0
2020-11-18,0,0,0,0.000515,0,85904157.0
2020-11-17,0,0,0,0.000508,0,84767511.0
2020-11-16,0,0,0,0.000498,0,83095945.0
2020-11-15,0,0,0,0.000503,0,83930601.0
2020-11-14,0,0,0,0.00049,0,81761182.0
2020-11-13,0,0,0,0.000488,0,81323319.0
2020-11-12,0,0,0,0.000464,0,77261202.0
2020-11-11,0,0,0,0.000493,0,82156557.0
2020-11-10,0,0,0,0.000481,0,80155115.0
2020-11-09,0,0,0,0.000486,0,80947120.0
2020-11-08,0,0,0,0.000487,0,81087951.0
2020-11-07,0,0,0,0.000474,0,78951423.0
2020-11-06,0,0,0,0.000478,0,79668858.0
2020-11-05,0,0,0,0.000437,0,72843669.0
2020-11-04,0,0,0,0.000458,0,76407180.0
2020-11-03,0,0,0,0.000457,0,76172227.0
2020-11-02,0,0,0,0.000457,0,76134615.0
2020-11-01,0,0,0,0.000464,0,77388694.0
2020-10-31,0,0,0,0.000464,0,77332592.0
2020-10-30,0,0,0,0.000461,0,76797904.0
2020-10-29,0,0,0,0.000467,0,77819671.0
2020-10-28,0,0,0,0.000476,0,79237840.0
2020-10-27,0,0,0,0.000503,0,83876813.0
2020-10-26,0,0,0,0.000483,0,80412848.0
2020-10-25,0,0,0,0.000494,0,82260304.0
2020-10-24,0,0,0,0.000504,0,83967770.0
2020-10-23,0,0,0,0.000513,0,85394082.0
2020-10-22,0,0,0,0.000532,0,88627566.0
2020-10-21,0,0,0,0.00053,0,88208953.0
2020-10-20,0,0,0,0.00051,0,84962336.0
2020-10-19,0,0,0,0.000497,0,82742495.0
2020-10-18,0,0,0,0.000491,0,81722674.0
2020-10-17,0,0,0,0.000482,0,80286816.0
2020-10-16,0,0,0,0.000482,0,80319233.0
2020-10-15,0,0,0,0.000487,0,81065587.0
2020-10-14,0,0,0,0.000493,0,82033722.0
2020-10-13,0,0,0,0.000504,0,83842620.0
2020-10-12,0,0,0,0.000513,0,85411449.0
2020-10-11,0,0,0,0.000501,0,83436287.0
2020-10-10,0,0,0,0.000479,0,79670953.0
2020-10-09,0,0,0,0.000479,0,79668888.0
2020-10-08,0,0,0,0.000472,0,78559026.0
2020-10-07,0,0,0,0.000462,0,76856538.0
2020-10-06,0,0,0,0.000453,0,75352643.0
2020-10-05,0,0,0,0.000466,0,77576438.0
2020-10-04,0,0,0,0.00047,0,78230552.0
2020-10-03,0,0,0,0.000469,0,78015428.0
2020-10-02,0,0,0,0.000477,0,79392283.0
2020-10-01,0,0,0,0.000479,0,79651188.0
2020-09-30,0,0,0,0.000484,0,80617875.0
2020-09-29,0,0,0,0.000488,0,81216761.0
2020-09-28,0,0,0,0.000483,0,80353434.0
2020-09-27,0,0,0,0.000477,0,79368514.0
2020-09-26,0,0,0,0.000493,0,82032820.0
2020-09-25,0,0,0,0.0005,0,83187712.0
2020-09-24,0,0,0,0.000492,0,81911063.0
2020-09-23,0,0,0,0.000463,0,77113706.0
2020-09-22,0,0,0,0.000503,0,83777233.0
2020-09-21,0,0,0,0.000496,0,82544979.0
2020-09-20,0,0,0,0.000543,0,90362923.0
2020-09-19,0,0,0,0.000554,0,92240491.0
2020-09-18,0,0,0,0.000644,0,107263816.0
2020-09-17,0,0,0,0.000637,0,105983588.0
2020-09-16,0,0,0,0.000577,0,96115436.0
2020-09-15,0,0,0,0.000564,0,93875216.0
2020-09-14,0,0,0,0.000575,0,95469937.0
2020-09-13,0,0,0,0.000563,0,93601270.0
2020-09-12,0,0,0,0.000598,0,99392268.0
2020-09-11,0,0,0,0.000605,0,100487437.0
2020-09-10,0,0,0,0.000562,0,93338439.0
2020-09-09,0,0,0,0.000561,0,93160200.0
2020-09-08,0,0,0,0.000546,0,90641616.0
2020-09-07,0,0,0,0.000567,0,94259581.0
2020-09-06,0,0,0,0.000563,0,93564073.0
2020-09-05,0,0,0,0.000548,0,91060020.0
2020-09-04,0,0,0,0.000618,0,102719536.0
2020-09-03,0,0,0,0.000619,0,102885531.0
2020-09-02,0,0,0,0.000713,0,118454748.0
2020-09-01,0,0,0,0.000755,0,125449268.0
