date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.013094,0,111039072.0
2020-12-13,0,0,0,0.01304,0,110576545.0
2020-12-12,0,0,0,0.012774,0,108318960.0
2020-12-11,0,0,0,0.012279,0,104127342.0
2020-12-10,0,0,0,0.012438,0,105476069.0
2020-12-09,0,0,0,0.012648,0,107255923.0
2020-12-08,0,0,0,0.012456,0,105625259.0
2020-12-07,0,0,0,0.013075,0,110879415.0
2020-12-06,0,0,0,0.013185,0,111810927.0
2020-12-05,0,0,0,0.013057,0,110718938.0
2020-12-04,0,0,0,0.012753,0,108148944.0
2020-12-03,0,0,0,0.013288,0,112683378.0
2020-12-02,0,0,0,0.013098,0,111073029.0
2020-12-01,0,0,0,0.012828,0,108783570.0
2020-11-30,0,0,0,0.013394,0,113577047.0
2020-11-29,0,0,0,0.012422,0,105335504.0
2020-11-28,0,0,0,0.012047,0,102157509.0
2020-11-27,0,0,0,0.011626,0,98591048.0
2020-11-26,0,0,0,0.011638,0,98690084.0
2020-11-25,0,0,0,0.012757,0,108175605.0
2020-11-24,0,0,0,0.013042,0,110597098.0
2020-11-23,0,0,0,0.01261,0,106930043.0
2020-11-22,0,0,0,0.012491,0,105923557.0
2020-11-21,0,0,0,0.012629,0,107093770.0
2020-11-20,0,0,0,0.012516,0,106135249.0
2020-11-19,0,0,0,0.011919,0,101075194.0
2020-11-18,0,0,0,0.011949,0,101323659.0
2020-11-17,0,0,0,0.011864,0,100606907.0
2020-11-16,0,0,0,0.011242,0,95333722.0
2020-11-15,0,0,0,0.010755,0,91199199.0
2020-11-14,0,0,0,0.010856,0,92056304.0
2020-11-13,0,0,0,0.011036,0,93580820.0
2020-11-12,0,0,0,0.010982,0,93123695.0
2020-11-11,0,0,0,0.010634,0,90178267.0
2020-11-10,0,0,0,0.010357,0,87826427.0
2020-11-09,0,0,0,0.010368,0,87923169.0
2020-11-08,0,0,0,0.010485,0,88913132.0
2020-11-07,0,0,0,0.010057,0,85279968.0
2020-11-06,0,0,0,0.010527,0,89270711.0
2020-11-05,0,0,0,0.010437,0,88508361.0
2020-11-04,0,0,0,0.009538,0,80881132.0
2020-11-03,0,0,0,0.00939,0,79623145.0
2020-11-02,0,0,0,0.009138,0,77488100.0
2020-11-01,0,0,0,0.009285,0,78733648.0
2020-10-31,0,0,0,0.009286,0,78742909.0
2020-10-30,0,0,0,0.013702,0,116191510.0
2020-10-29,0,0,0,0.00908,0,76999856.0
2020-10-28,0,0,0,0.008986,0,76196554.0
2020-10-27,0,0,0,0.009246,0,78405613.0
2020-10-26,0,0,0,0.00888,0,75297999.0
2020-10-25,0,0,0,0.008884,0,75333990.0
2020-10-24,0,0,0,0.008953,0,75917591.0
2020-10-23,0,0,0,0.008835,0,74921119.0
2020-10-22,0,0,0,0.008868,0,75200810.0
2020-10-21,0,0,0,0.008726,0,73995940.0
2020-10-20,0,0,0,0.008121,0,68864929.0
2020-10-19,0,0,0,0.008045,0,68218959.0
2020-10-18,0,0,0,0.007885,0,66864435.0
2020-10-17,0,0,0,0.007785,0,66018384.0
2020-10-16,0,0,0,0.007757,0,65776720.0
2020-10-15,0,0,0,0.00789,0,66907151.0
2020-10-14,0,0,0,0.002994,0,25390065.0
2020-10-13,0,0,0,0.016627,0,140996418.0
2020-10-12,0,0,0,0.016872,0,143076671.0
2020-10-11,0,0,0,0.016447,0,139469313.0
2020-10-10,0,0,0,0.016287,0,138114915.0
2020-10-09,0,0,0,0.01601,0,135766149.0
2020-10-08,0,0,0,0.015541,0,131786364.0
2020-10-07,0,0,0,0.015163,0,128584490.0
2020-10-06,0,0,0,0.015099,0,128039806.0
2020-10-05,0,0,0,0.015549,0,131855957.0
2020-10-04,0,0,0,0.015439,0,130921348.0
2020-10-03,0,0,0,0.015212,0,129000175.0
2020-10-02,0,0,0,0.026626,0,225785130.0
2020-10-01,0,0,0,0.014613,0,123921131.0
2020-09-30,0,0,0,0.01487,0,126094944.0
2020-09-29,0,0,0,0.014901,0,126362970.0
2020-09-28,0,0,0,0.014713,0,124766620.0
2020-09-27,0,0,0,0.014806,0,125550845.0
2020-09-26,0,0,0,0.014745,0,125040461.0
2020-09-25,0,0,0,0.014634,0,124091390.0
2020-09-24,0,0,0,0.014608,0,123874777.0
2020-09-23,0,0,0,0.013641,0,115672205.0
2020-09-22,0,0,0,9.15e-07,0,7762.44
2020-09-21,0,0,0,9.15e-07,0,7762.44
2020-09-20,0,0,0,9.15e-07,0,7762.44
2020-09-19,0,0,0,9.15e-07,0,7762.44
2020-09-18,0,0,0,9.15e-07,0,7762.44
2020-09-17,0,0,0,9.15e-07,0,7762.44
2020-09-16,0,0,0,9.15e-07,0,7762.44
2020-09-15,0,0,0,9.15e-07,0,7762.44
2020-09-14,0,0,0,9.15e-07,0,7762.44
2020-09-13,0,0,0,9.15e-07,0,7762.44
2020-09-12,0,0,0,9.15e-07,0,7762.44
2020-09-11,0,0,0,9.15e-07,0,7762.44
2020-09-10,0,0,0,9.15e-07,0,7762.44
2020-09-09,0,0,0,9.15e-07,0,7762.44
2020-09-08,0,0,0,9.15e-07,0,7762.44
2020-09-07,0,0,0,9.15e-07,0,7762.44
