date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,1.17,0,409816928.0
2020-12-13,0,0,0,1.19,0,416647545.0
2020-12-12,0,0,0,1.16,0,404261622.0
2020-12-11,0,0,0,1.13,0,396989502.0
2020-12-10,0,0,0,1.17,0,408747693.0
2020-12-09,0,0,0,1.17,0,409754693.0
2020-12-08,0,0,0,1.18,0,413208046.0
2020-12-07,0,0,0,1.24,0,433733337.0
2020-12-06,0,0,0,1.24,0,434021288.0
2020-12-05,0,0,0,1.25,0,438081041.0
2020-12-04,0,0,0,1.23,0,432066169.0
2020-12-03,0,0,0,1.28,0,447349417.0
2020-12-02,0,0,0,1.26,0,440651247.0
2020-12-01,0,0,0,1.28,0,446646111.0
2020-11-30,0,0,0,1.32,0,463456145.0
2020-11-29,0,0,0,1.24,0,434462397.0
2020-11-28,0,0,0,1.24,0,432940481.0
2020-11-27,0,0,0,1.18,0,411985958.0
2020-11-26,0,0,0,1.14,0,399901479.0
2020-11-25,0,0,0,1.29,0,450811320.0
2020-11-24,0,0,0,1.32,0,463441460.0
2020-11-23,0,0,0,1.29,0,450296992.0
2020-11-22,0,0,0,1.27,0,443427726.0
2020-11-21,0,0,0,1.3,0,454372164.0
2020-11-20,0,0,0,1.3,0,455892263.0
2020-11-19,0,0,0,1.29,0,450028738.0
2020-11-18,0,0,0,1.28,0,447879331.0
2020-11-17,0,0,0,1.27,0,446032142.0
2020-11-16,0,0,0,1.25,0,437751879.0
2020-11-15,0,0,0,1.21,0,423212215.0
2020-11-14,0,0,0,1.22,0,427053489.0
2020-11-13,0,0,0,1.26,0,440819625.0
2020-11-12,0,0,0,1.25,0,437618262.0
2020-11-11,0,0,0,1.28,0,447835929.0
2020-11-10,0,0,0,1.24,0,433317353.0
2020-11-09,0,0,0,1.23,0,430227967.0
2020-11-08,0,0,0,1.27,0,443397187.0
2020-11-07,0,0,0,1.25,0,436123452.0
2020-11-06,0,0,0,1.29,0,451316704.0
2020-11-05,0,0,0,1.24,0,435523430.0
2020-11-04,0,0,0,1.19,0,417203768.0
2020-11-03,0,0,0,1.18,0,411421893.0
2020-11-02,0,0,0,1.19,0,416521357.0
2020-11-01,0,0,0,1.21,0,422828129.0
2020-10-31,0,0,0,1.22,0,427271198.0
2020-10-30,0,0,0,1.21,0,422154154.0
2020-10-29,0,0,0,1.23,0,431428160.0
2020-10-28,0,0,0,1.22,0,425648803.0
2020-10-27,0,0,0,1.26,0,441557339.0
2020-10-26,0,0,0,1.23,0,430219832.0
2020-10-25,0,0,0,1.25,0,436923340.0
2020-10-24,0,0,0,1.27,0,445923562.0
2020-10-23,0,0,0,1.26,0,441854093.0
2020-10-22,0,0,0,1.29,0,452988037.0
2020-10-21,0,0,0,1.28,0,446336796.0
2020-10-20,0,0,0,1.18,0,414083704.0
2020-10-19,0,0,0,1.19,0,416669381.0
2020-10-18,0,0,0,1.17,0,410808868.0
2020-10-17,0,0,0,1.16,0,406186058.0
2020-10-16,0,0,0,1.16,0,404385628.0
2020-10-15,0,0,0,1.18,0,411311384.0
2020-10-14,0,0,0,1.15,0,402218922.0
2020-10-13,0,0,0,1.12,0,390390671.0
2020-10-12,0,0,0,1.13,0,396710736.0
2020-10-11,0,0,0,1.12,0,391870065.0
2020-10-10,0,0,0,1.13,0,396437377.0
2020-10-09,0,0,0,1.12,0,392007871.0
2020-10-08,0,0,0,1.09,0,382551698.0
2020-10-07,0,0,0,1.04,0,363428100.0
2020-10-06,0,0,0,1.04,0,363280874.0
2020-10-05,0,0,0,1.06,0,370084572.0
2020-10-04,0,0,0,1.03,0,361450264.0
2020-10-03,0,0,0,1.01,0,353119934.0
2020-10-02,0,0,0,0.997613,0,349067492.0
2020-10-01,0,0,0,1.01,0,354826970.0
2020-09-30,0,0,0,1.0,0,351527153.0
2020-09-29,0,0,0,0.989623,0,346271856.0
2020-09-28,0,0,0,1.02,0,356408940.0
2020-09-27,0,0,0,1.0,0,350338832.0
2020-09-26,0,0,0,1.01,0,353580702.0
2020-09-25,0,0,0,1.01,0,354081946.0
2020-09-24,0,0,0,1.0,0,350582091.0
2020-09-23,0,0,0,0.98587,0,344958729.0
2020-09-22,0,0,0,0.985508,0,344831909.0
2020-09-21,0,0,0,0.974496,0,340978899.0
2020-09-20,0,0,0,0.99052,0,346585550.0
2020-09-19,0,0,0,1.01,0,352866689.0
2020-09-18,0,0,0,1.0,0,350836466.0
2020-09-17,0,0,0,0.998805,0,349484449.0
2020-09-16,0,0,0,0.977867,0,342158468.0
2020-09-15,0,0,0,0.965073,0,337681726.0
2020-09-14,0,0,0,0.9583,0,335311813.0
2020-09-13,0,0,0,0.929767,0,325328023.0
2020-09-12,0,0,0,0.944517,0,330489125.0
2020-09-11,0,0,0,0.930505,0,325586193.0
2020-09-10,0,0,0,0.933957,0,326794056.0
2020-09-09,0,0,0,0.933052,0,326477300.0
2020-09-08,0,0,0,0.90667,0,317246323.0
2020-09-07,0,0,0,0.904881,0,316620368.0
2020-09-06,0,0,0,0.893929,0,312787997.0
2020-09-05,0,0,0,0.889121,0,311105860.0
2020-09-04,0,0,0,0.925718,0,323911340.0
2020-09-03,0,0,0,0.927919,0,324681350.0
2020-09-02,0,0,0,0.951904,0,333073944.0
2020-09-01,0,0,0,0.981934,0,343581364.0
2020-08-31,0,0,0,0.936898,0,327823093.0
