date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,2.83,0,41993819.0
2020-12-13,0,0,0,2.21,0,32781532.0
2020-12-12,0,0,0,2.09,0,31025507.0
2020-12-11,0,0,0,1.89,0,28067829.0
2020-12-10,0,0,0,2.06,0,30634960.0
2020-12-09,0,0,0,2.19,0,32508524.0
2020-12-08,0,0,0,1.83,0,27155540.0
2020-12-07,0,0,0,1.73,0,25208250.0
2020-12-06,0,0,0,1.59,0,23086704.0
2020-12-05,0,0,0,1.7,0,24658987.0
2020-12-04,0,0,0,1.58,0,22879808.0
2020-12-03,0,0,0,1.45,0,20874804.0
2020-12-02,0,0,0,1.48,0,21198624.0
2020-12-01,0,0,0,1.26,0,17945226.0
2020-11-30,0,0,0,1.19,0,16836843.0
2020-11-29,0,0,0,1.13,0,16067694.0
2020-11-28,0,0,0,1.15,0,16335814.0
2020-11-27,0,0,0,1.09,0,15489621.0
2020-11-26,0,0,0,1.06,0,14946636.0
2020-11-25,0,0,0,1.21,0,17112309.0
2020-11-24,0,0,0,1.3,0,18275880.0
2020-11-23,0,0,0,1.41,0,19894572.0
2020-11-22,0,0,0,1.31,0,18392304.0
2020-11-21,0,0,0,1.38,0,19223920.0
2020-11-20,0,0,0,1.41,0,19487505.0
2020-11-19,0,0,0,1.3,0,17689097.0
2020-11-18,0,0,0,1.37,0,18604301.0
2020-11-17,0,0,0,1.43,0,19429494.0
2020-11-16,0,0,0,1.53,0,20829522.0
2020-11-15,0,0,0,1.28,0,17464653.0
2020-11-14,0,0,0,1.29,0,17544108.0
2020-11-13,0,0,0,1.06,0,14332090.0
2020-11-12,0,0,0,0.920732,0,12437501.0
2020-11-11,0,0,0,0.912143,0,12321483.0
2020-11-10,0,0,0,1.01,0,13634206.0
2020-11-09,0,0,0,0.978141,0,13164102.0
2020-11-08,0,0,0,0.834417,0,11229819.0
2020-11-07,0,0,0,0.783912,0,10550114.0
2020-11-06,0,0,0,0.747133,0,10055130.0
2020-11-05,0,0,0,0.696738,0,9376894.0
2020-11-04,0,0,0,0.713069,0,9596687.0
2020-11-03,0,0,0,0.697051,0,9381104.0
2020-11-02,0,0,0,0.727226,0,9787211.0
2020-11-01,0,0,0,0.744371,0,10017948.0
2020-10-31,0,0,0,0.784029,0,10551684.0
2020-10-30,0,0,0,0.727694,0,9793515.0
2020-10-29,0,0,0,0.798316,0,10743961.0
2020-10-28,0,0,0,0.681133,0,9098766.0
2020-10-27,0,0,0,0.781507,0,10439586.0
2020-10-26,0,0,0,0.823255,0,10997270.0
2020-10-25,0,0,0,0.901291,0,11800857.0
2020-10-24,0,0,0,0.965414,0,12640435.0
2020-10-23,0,0,0,1.18,0,15501934.0
2020-10-22,0,0,0,0.789443,0,10336394.0
2020-10-21,0,0,0,0.773266,0,10124588.0
