date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.308343,0,1282979565.0
2020-12-13,0,0,0,0.314898,0,1310253587.0
2020-12-12,0,0,0,0.296602,0,1234125692.0
2020-12-11,0,0,0,0.300499,0,1250341302.0
2020-12-10,0,0,0,0.330131,0,1373635175.0
2020-12-09,0,0,0,0.324553,0,1350428444.0
2020-12-08,0,0,0,0.331686,0,1380104654.0
2020-12-07,0,0,0,0.315961,0,1314674907.0
2020-12-06,0,0,0,0.284015,0,1181754391.0
2020-12-05,0,0,0,0.27562,0,1146820867.0
2020-12-04,0,0,0,0.30711,0,1277850221.0
2020-12-03,0,0,0,0.341772,0,1422072233.0
2020-12-02,0,0,0,0.327255,0,1361667747.0
2020-12-01,0,0,0,0.339183,0,1411299619.0
2020-11-30,0,0,0,0.326069,0,1356736237.0
2020-11-29,0,0,0,0.32373,0,1347002078.0
2020-11-28,0,0,0,0.324579,0,1350535431.0
2020-11-27,0,0,0,0.366935,0,1526773401.0
2020-11-26,0,0,0,0.340618,0,1417269784.0
2020-11-25,0,0,0,0.392283,0,1632241100.0
2020-11-24,0,0,0,0.388828,0,1617866273.0
2020-11-23,0,0,0,0.383142,0,1594208882.0
2020-11-22,0,0,0,0.336601,0,1400558338.0
2020-11-21,0,0,0,0.343574,0,1429569213.0
2020-11-20,0,0,0,0.393808,0,1638588601.0
2020-11-19,0,0,0,0.370989,0,1543643135.0
2020-11-18,0,0,0,0.379585,0,1579406225.0
2020-11-17,0,0,0,0.380505,0,1583237164.0
2020-11-16,0,0,0,0.405187,0,1685934857.0
2020-11-15,0,0,0,0.378805,0,1576161756.0
2020-11-14,0,0,0,0.400995,0,1668493725.0
2020-11-13,0,0,0,0.361251,0,1503121216.0
2020-11-12,0,0,0,0.363041,0,1510569155.0
2020-11-11,0,0,0,0.381115,0,1585774650.0
2020-11-10,0,0,0,0.389528,0,1620781482.0
2020-11-09,0,0,0,0.386762,0,1609271660.0
2020-11-08,0,0,0,0.397906,0,1655640733.0
2020-11-07,0,0,0,0.38647,0,1608055904.0
2020-11-06,0,0,0,0.38258,0,1591871314.0
2020-11-05,0,0,0,0.388721,0,1617422026.0
2020-11-04,0,0,0,0.383519,0,1595777991.0
2020-11-03,0,0,0,0.350291,0,1457520672.0
2020-11-02,0,0,0,0.270231,0,1124400455.0
2020-11-01,0,0,0,0.372761,0,1551014581.0
2020-10-31,0,0,0,0.434627,0,1808431609.0
2020-10-30,0,0,0,0.491599,0,2045485782.0
2020-10-29,0,0,0,0.440304,0,1832051023.0
2020-10-28,0,0,0,0.460959,0,1917995088.0
2020-10-27,0,0,0,0.171704,0,714440948.0
2020-10-26,0,0,0,0.095136,0,395849873.0
2020-10-25,0,0,0,0.120207,0,500165351.0
2020-10-24,0,0,0,0.081557,0,339349228.0
2020-10-23,0,0,0,0.078661,0,327297506.0
2020-10-22,0,0,0,0.079529,0,330909489.0
2020-10-21,0,0,0,0.066128,0,275151089.0
2020-10-20,0,0,0,0.064247,0,267325102.0
2020-10-19,0,0,0,0.081534,0,339251182.0
2020-10-18,0,0,0,0.063738,0,265205918.0
2020-10-17,0,0,0,0.053406,0,222216759.0
2020-10-16,0,0,0,0.060863,0,253242287.0
2020-10-15,0,0,0,0.05038,0,209625513.0
2020-10-14,0,0,0,0.033865,0,140908495.0
2020-10-13,0,0,0,0.034603,0,143980674.0
2020-10-12,0,0,0,0.019991,0,83180165.0
2020-10-11,0,0,0,0.020237,0,84203134.0
2020-10-10,0,0,0,0.019741,0,82141795.0
2020-10-09,0,0,0,0.019934,0,82945020.0
2020-10-08,0,0,0,0.020026,0,83326001.0
2020-10-07,0,0,0,0.021174,0,88102360.0
2020-10-06,0,0,0,0.020379,0,84795119.0
2020-10-05,0,0,0,0.020252,0,84264204.0
2020-10-04,0,0,0,0.020365,0,84734860.0
2020-10-03,0,0,0,0.020641,0,85884091.0
2020-10-02,0,0,0,0.02032,0,84550305.0
2020-10-01,0,0,0,0.020312,0,84516562.0
2020-09-30,0,0,0,0.019942,0,82977009.0
2020-09-29,0,0,0,0.019345,0,80490194.0
2020-09-28,0,0,0,0.019692,0,81936296.0
2020-09-27,0,0,0,0.019716,0,82037023.0
2020-09-26,0,0,0,0.01962,0,81635942.0
2020-09-25,0,0,0,0.01907,0,79347779.0
2020-09-24,0,0,0,0.017646,0,73424359.0
2020-09-23,0,0,0,0.014908,0,62029384.0
