date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.012072,0,2050296.0
2020-12-13,0,0,0,0.01277,0,2168920.0
2020-12-12,0,0,0,0.012967,0,2202389.0
2020-12-11,0,0,0,0.013254,0,2251087.0
2020-12-10,0,0,0,0.013624,0,2313952.0
2020-12-09,0,0,0,0.012354,0,2098241.0
2020-12-08,0,0,0,0.011401,0,1936322.0
2020-12-07,0,0,0,0.012142,0,2062302.0
2020-12-06,0,0,0,0.013135,0,2230960.0
2020-12-05,0,0,0,0.012998,0,2207630.0
2020-12-04,0,0,0,0.014218,0,2414811.0
2020-12-03,0,0,0,0.015028,0,2552449.0
2020-12-02,0,0,0,0.015254,0,2590781.0
2020-12-01,0,0,0,0.015167,0,2576051.0
2020-11-30,0,0,0,0.013009,0,2209472.0
2020-11-29,0,0,0,0.011977,0,2034209.0
2020-11-28,0,0,0,0.013125,0,2229117.0
2020-11-27,0,0,0,0.013852,0,2352692.0
2020-11-26,0,0,0,0.012958,0,2200829.0
2020-11-25,0,0,0,0.013777,0,2339958.0
2020-11-24,0,0,0,0.014088,0,2392706.0
2020-11-23,0,0,0,0.011898,0,2020800.0
2020-11-22,0,0,0,0.013545,0,2300509.0
2020-11-21,0,0,0,0.015232,0,2587119.0
2020-11-20,0,0,0,0.014822,0,2517482.0
2020-11-19,0,0,0,0.015348,0,2606671.0
2020-11-18,0,0,0,0.014938,0,2537097.0
2020-11-17,0,0,0,0.01895,0,3218477.0
2020-11-16,0,0,0,0.017618,0,2992297.0
2020-11-15,0,0,0,0.016901,0,2870528.0
2020-11-14,0,0,0,0.017663,0,2999881.0
2020-11-13,0,0,0,0.015911,0,2702442.0
2020-11-12,0,0,0,0.017191,0,2919741.0
2020-11-11,0,0,0,0.017795,0,3022284.0
2020-11-10,0,0,0,0.017974,0,3052701.0
2020-11-09,0,0,0,0.018882,0,3206932.0
2020-11-08,0,0,0,0.018431,0,3130449.0
2020-11-07,0,0,0,0.018774,0,3188649.0
2020-11-06,0,0,0,0.016943,0,2877729.0
2020-11-05,0,0,0,0.021192,0,3599368.0
2020-11-04,0,0,0,0.016695,0,2835605.0
2020-11-03,0,0,0,0.016672,0,2831675.0
2020-11-02,0,0,0,0.016439,0,2792131.0
2020-11-01,0,0,0,0.018615,0,3161554.0
2020-10-31,0,0,0,0.01774,0,3012983.0
2020-10-30,0,0,0,0.017118,0,2907331.0
2020-10-29,0,0,0,0.021531,0,3656964.0
2020-10-28,0,0,0,0.019817,0,3365829.0
2020-10-27,0,0,0,0.020822,0,3536440.0
2020-10-26,0,0,0,0.019594,0,3327903.0
2020-10-25,0,0,0,0.024817,0,4215022.0
2020-10-24,0,0,0,0.020896,0,3549062.0
2020-10-23,0,0,0,0.021622,0,3672412.0
2020-10-22,0,0,0,0.021378,0,3630957.0
2020-10-21,0,0,0,0.022444,0,3811881.0
2020-10-20,0,0,0,0.019422,0,3298771.0
2020-10-19,0,0,0,0.023686,0,4022938.0
2020-10-18,0,0,0,0.023275,0,3953091.0
2020-10-17,0,0,0,0.024604,0,4178875.0
2020-10-16,0,0,0,0.023244,0,3947816.0
2020-10-15,0,0,0,0.025853,0,4390916.0
2020-10-14,0,0,0,0.024182,0,4107095.0
2020-10-13,0,0,0,0.025316,0,4299687.0
2020-10-12,0,0,0,0.022037,0,3742850.0
2020-10-11,0,0,0,0.021098,0,3583287.0
2020-10-10,0,0,0,0.023062,0,3916845.0
2020-10-09,0,0,0,0.022599,0,3838352.0
2020-10-08,0,0,0,0.022611,0,3840266.0
2020-10-07,0,0,0,0.022428,0,3809225.0
2020-10-06,0,0,0,0.020072,0,3409042.0
2020-10-05,0,0,0,0.021284,0,3614935.0
2020-10-04,0,0,0,0.020209,0,3432364.0
2020-10-03,0,0,0,0.020701,0,3515960.0
2020-10-02,0,0,0,0.024445,0,4151767.0
2020-10-01,0,0,0,0.024748,0,4203270.0
2020-09-30,0,0,0,0.018751,0,3184695.0
2020-09-29,0,0,0,0.018156,0,3083655.0
2020-09-28,0,0,0,0.018931,0,3215244.0
2020-09-27,0,0,0,0.017221,0,2924946.0
2020-09-26,0,0,0,0.020054,0,3406033.0
2020-09-25,0,0,0,0.019525,0,3316195.0
2020-09-24,0,0,0,0.018828,0,3197887.0
2020-09-23,0,0,0,0.020038,0,3403283.0
2020-09-22,0,0,0,0.021467,0,3646082.0
2020-09-21,0,0,0,0.018123,0,3078046.0
2020-09-20,0,0,0,0.022607,0,3841836.0
2020-09-19,0,0,0,0.019342,0,3286981.0
2020-09-18,0,0,0,0.022032,0,3746348.0
2020-09-17,0,0,0,0.018628,0,3167598.0
2020-09-16,0,0,0,0.01995,0,3394310.0
2020-09-15,0,0,0,0.020054,0,3412048.0
2020-09-14,0,0,0,0.022466,0,3822461.0
2020-09-13,0,0,0,0.021302,0,3624388.0
2020-09-12,0,0,0,0.021339,0,3630585.0
2020-09-11,0,0,0,0.019721,0,3355278.0
2020-09-10,0,0,0,0.01917,0,3261544.0
2020-09-09,0,0,0,0.019737,0,3358022.0
2020-09-08,0,0,0,0.023325,0,3968493.0
2020-09-07,0,0,0,0.01831,0,3115040.0
2020-09-06,0,0,0,0.022595,0,3843988.0
2020-09-05,0,0,0,0.01921,0,3268123.0
2020-09-04,0,0,0,0.020297,0,3453062.0
2020-09-03,0,0,0,0.020972,0,3567885.0
2020-09-02,0,0,0,0.02348,0,3994565.0
2020-09-01,0,0,0,0.026208,0,4458603.0
2020-08-31,0,0,0,0.026856,0,4568869.0
2020-08-30,0,0,0,0.026933,0,4582017.0
2020-08-29,0,0,0,0.026197,0,4456804.0
2020-08-28,0,0,0,0.027291,0,4642932.0
2020-08-27,0,0,0,0.026591,0,4523796.0
2020-08-26,0,0,0,0.027784,0,4726854.0
2020-08-25,0,0,0,0.026253,0,4466347.0
2020-08-24,0,0,0,0.028531,0,4853905.0
2020-08-23,0,0,0,0.027241,0,4634454.0
2020-08-22,0,0,0,0.027236,0,4633625.0
2020-08-21,0,0,0,0.026768,0,4554006.0
2020-08-20,0,0,0,0.028262,0,4808095.0
2020-08-19,0,0,0,0.028896,0,4916025.0
2020-08-18,0,0,0,0.030529,0,5193870.0
2020-08-17,0,0,0,0.031513,0,5361185.0
2020-08-16,0,0,0,0.030331,0,5160158.0
2020-08-15,0,0,0,0.029847,0,5077835.0
2020-08-14,0,0,0,0.030934,0,5262753.0
2020-08-13,0,0,0,0.02933,0,4989838.0
2020-08-12,0,0,0,0.030869,0,5251602.0
2020-08-11,0,0,0,0.030713,0,5225091.0
2020-08-10,0,0,0,0.030273,0,5150210.0
2020-08-09,0,0,0,0.029685,0,5050274.0
2020-08-08,0,0,0,0.029978,0,5100092.0
2020-08-07,0,0,0,0.030234,0,5143559.0
2020-08-06,0,0,0,0.033144,0,5638718.0
2020-08-05,0,0,0,0.031432,0,5347386.0
2020-08-04,0,0,0,0.028563,0,4859349.0
2020-08-03,0,0,0,0.028916,0,4919412.0
2020-08-02,0,0,0,0.029026,0,4938069.0
2020-08-01,0,0,0,0.031252,0,5316875.0
2020-07-31,0,0,0,0.029327,0,4989357.0
2020-07-30,0,0,0,0.029009,0,4935245.0
2020-07-29,0,0,0,0.03007,0,5115798.0
2020-07-28,0,0,0,0.032763,0,5573813.0
2020-07-27,0,0,0,0.030945,0,5264502.0
2020-07-26,0,0,0,0.030685,0,5220282.0
2020-07-25,0,0,0,0.030192,0,5136421.0
2020-07-24,0,0,0,0.029466,0,5013014.0
2020-07-23,0,0,0,0.02864,0,4872434.0
2020-07-22,0,0,0,0.027727,0,4717076.0
2020-07-21,0,0,0,0.027438,0,4668020.0
2020-07-20,0,0,0,0.0268,0,4559472.0
2020-07-19,0,0,0,0.025542,0,4345338.0
2020-07-18,0,0,0,0.025587,0,4353090.0
2020-07-17,0,0,0,0.026127,0,4444906.0
2020-07-16,0,0,0,0.026798,0,4558994.0
2020-07-15,0,0,0,0.028258,0,4807401.0
2020-07-14,0,0,0,0.024897,0,4235664.0
2020-07-13,0,0,0,0.025731,0,4377463.0
2020-07-12,0,0,0,0.022287,0,3791636.0
2020-07-11,0,0,0,0.023112,0,3932044.0
2020-07-10,0,0,0,0.023575,0,4010815.0
2020-07-09,0,0,0,0.023887,0,4063765.0
2020-07-08,0,0,0,0.025371,0,4316327.0
2020-07-07,0,0,0,0.026209,0,4458825.0
2020-07-06,0,0,0,0.026246,0,4465171.0
2020-07-05,0,0,0,0.027147,0,4618388.0
2020-07-04,0,0,0,0.02455,0,4176594.0
2020-07-03,0,0,0,0.020792,0,3537218.0
2020-07-02,0,0,0,0.022298,0,3793408.0
2020-07-01,0,0,0,0.02448,0,4164700.0
2020-06-30,0,0,0,0.022848,0,3886997.0
2020-06-29,0,0,0,0.023164,0,3940886.0
2020-06-28,0,0,0,0.023885,0,4063437.0
2020-06-27,0,0,0,0.025827,0,4393936.0
2020-06-26,0,0,0,0.023836,0,4055204.0
2020-06-25,0,0,0,0.024323,0,4137962.0
2020-06-24,0,0,0,0.023902,0,4066446.0
2020-06-23,0,0,0,0.029821,0,5073302.0
2020-06-22,0,0,0,0.026658,0,4535301.0
2020-06-21,0,0,0,0.025823,0,4393203.0
2020-06-20,0,0,0,0.024512,0,4170223.0
2020-06-19,0,0,0,0.022279,0,3790285.0
2020-06-18,0,0,0,0.023802,0,4049305.0
2020-06-17,0,0,0,0.02465,0,4193693.0
2020-06-16,0,0,0,0.027019,0,4596626.0
2020-06-15,0,0,0,0.024136,0,4106212.0
2020-06-14,0,0,0,0.025574,0,4350766.0
2020-06-13,0,0,0,0.023984,0,4080351.0
2020-06-12,0,0,0,0.026294,0,4473248.0
2020-06-11,0,0,0,0.024873,0,4231540.0
2020-06-10,0,0,0,0.025218,0,4290239.0
2020-06-09,0,0,0,0.024409,0,4152690.0
2020-06-08,0,0,0,0.026477,0,4504475.0
2020-06-07,0,0,0,0.028283,0,4811714.0
2020-06-06,0,0,0,0.026976,0,4589387.0
2020-06-05,0,0,0,0.026868,0,4570903.0
2020-06-04,0,0,0,0.028079,0,4776935.0
2020-06-03,0,0,0,0.029033,0,4939335.0
2020-06-02,0,0,0,0.02819,0,4795799.0
2020-06-01,0,0,0,0.028272,0,4809806.0
2020-05-31,0,0,0,0.027562,0,4689041.0
2020-05-30,0,0,0,0.027535,0,4684397.0
2020-05-29,0,0,0,0.027988,0,4761585.0
2020-05-28,0,0,0,0.028198,0,4797232.0
2020-05-27,0,0,0,0.028026,0,4768015.0
2020-05-26,0,0,0,0.028227,0,4802163.0
2020-05-25,0,0,0,0.027861,0,4739841.0
2020-05-24,0,0,0,0.028201,0,4797824.0
2020-05-23,0,0,0,0.027169,0,4622135.0
2020-05-22,0,0,0,0.027234,0,4633305.0
2020-05-21,0,0,0,0.032476,0,5525097.0
2020-05-20,0,0,0,0.026895,0,4575514.0
2020-05-19,0,0,0,0.028491,0,4847117.0
2020-05-18,0,0,0,0.029614,0,5038090.0
2020-05-17,0,0,0,0.027117,0,4613325.0
2020-05-16,0,0,0,0.030189,0,5136017.0
2020-05-15,0,0,0,0.029963,0,5097485.0
2020-05-14,0,0,0,0.026072,0,4435568.0
2020-05-13,0,0,0,0.030477,0,5184874.0
2020-05-12,0,0,0,0.028644,0,4873089.0
2020-05-11,0,0,0,0.02573,0,4377319.0
2020-05-10,0,0,0,0.026923,0,4580252.0
2020-05-09,0,0,0,0.029141,0,4957621.0
2020-05-08,0,0,0,0.028855,0,4909008.0
2020-05-07,0,0,0,0.029588,0,5033752.0
2020-05-06,0,0,0,0.030966,0,5268094.0
2020-05-05,0,0,0,0.027419,0,4664698.0
2020-05-04,0,0,0,0.034665,0,5897386.0
2020-05-03,0,0,0,0.028637,0,4871978.0
2020-05-02,0,0,0,0.028166,0,4791830.0
2020-05-01,0,0,0,0.029879,0,5083228.0
2020-04-30,0,0,0,0.026343,0,4481580.0
2020-04-29,0,0,0,0.030175,0,5133523.0
2020-04-28,0,0,0,0.026636,0,4531450.0
2020-04-27,0,0,0,0.028229,0,4802459.0
2020-04-26,0,0,0,0.029048,0,4941884.0
2020-04-25,0,0,0,0.032105,0,5461933.0
2020-04-24,0,0,0,0.029492,0,5017438.0
2020-04-23,0,0,0,0.026019,0,4426598.0
2020-04-22,0,0,0,0.027828,0,4734287.0
2020-04-21,0,0,0,0.026854,0,4568661.0
2020-04-20,0,0,0,0.027576,0,4691400.0
2020-04-19,0,0,0,0.028048,0,4771733.0
2020-04-18,0,0,0,0.029157,0,4960442.0
2020-04-17,0,0,0,0.031617,0,5378978.0
2020-04-16,0,0,0,0.028669,0,4877385.0
2020-04-15,0,0,0,0.027785,0,4726985.0
2020-04-14,0,0,0,0.028732,0,4888084.0
2020-04-13,0,0,0,0.028612,0,4867711.0
2020-04-12,0,0,0,0.030358,0,5164738.0
2020-04-11,0,0,0,0.028357,0,4824264.0
2020-04-10,0,0,0,0.03008,0,5117411.0
2020-04-09,0,0,0,0.030815,0,5242471.0
2020-04-08,0,0,0,0.031991,0,5442582.0
2020-04-07,0,0,0,0.033341,0,5672126.0
2020-04-06,0,0,0,0.033351,0,5673931.0
2020-04-05,0,0,0,0.030405,0,5172649.0
2020-04-04,0,0,0,0.031901,0,5427182.0
2020-04-03,0,0,0,0.031691,0,5391449.0
2020-04-02,0,0,0,0.03146,0,5352112.0
2020-04-01,0,0,0,0.033216,0,5650970.0
2020-03-31,0,0,0,0.029369,0,4996453.0
2020-03-30,0,0,0,0.028973,0,4929077.0
2020-03-29,0,0,0,0.02852,0,4851982.0
2020-03-28,0,0,0,0.031561,0,5369448.0
2020-03-27,0,0,0,0.034503,0,5869826.0
2020-03-26,0,0,0,0.031709,0,5394549.0
2020-03-25,0,0,0,0.034357,0,5845038.0
2020-03-24,0,0,0,0.034787,0,5918263.0
