date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,9.35,0,12300285.0
2020-12-13,0,0,0,7.97,0,12300285.0
2020-12-12,0,0,0,7.88,0,12300285.0
2020-12-11,0,0,0,7.89,0,12300285.0
2020-12-10,0,0,0,7.66,0,12300285.0
2020-12-09,0,0,0,7.75,0,12300285.0
2020-12-08,0,0,0,7.81,0,12300285.0
2020-12-07,0,0,0,8.14,0,12300285.0
2020-12-06,0,0,0,8.05,0,12300285.0
2020-12-05,0,0,0,8.04,0,12300285.0
2020-12-04,0,0,0,7.83,0,12300285.0
2020-12-03,0,0,0,8.29,0,12300285.0
2020-12-02,0,0,0,8.12,0,12300285.0
2020-12-01,0,0,0,7.62,0,12300285.0
2020-11-30,0,0,0,7.45,0,12300285.0
2020-11-29,0,0,0,7.26,0,12300285.0
2020-11-28,0,0,0,6.95,0,12300285.0
2020-11-27,0,0,0,7.31,0,12300285.0
2020-11-26,0,0,0,8.05,0,12300285.0
2020-11-25,0,0,0,8.69,0,12300285.0
2020-11-24,0,0,0,8.75,0,12300285.0
2020-11-23,0,0,0,8.46,0,12300285.0
2020-11-22,0,0,0,7.78,0,12300285.0
2020-11-21,0,0,0,7.88,0,12300285.0
2020-11-20,0,0,0,7.58,0,12300285.0
2020-11-19,0,0,0,7.3,0,12300285.0
2020-11-18,0,0,0,7.26,0,12300285.0
2020-11-17,0,0,0,7.63,0,12300285.0
2020-11-16,0,0,0,7.71,0,12300285.0
2020-11-15,0,0,0,7.33,0,12300285.0
2020-11-14,0,0,0,7.41,0,12300285.0
2020-11-13,0,0,0,7.69,0,12300285.0
2020-11-12,0,0,0,7.65,0,12300285.0
2020-11-11,0,0,0,7.69,0,12300285.0
2020-11-10,0,0,0,7.95,0,12300285.0
2020-11-09,0,0,0,8.01,0,12300285.0
2020-11-08,0,0,0,7.61,0,12300285.0
2020-11-07,0,0,0,7.25,0,12300285.0
2020-11-06,0,0,0,7.62,0,12300285.0
2020-11-05,0,0,0,7.19,0,12300285.0
2020-11-04,0,0,0,7.39,0,12300285.0
2020-11-03,0,0,0,7.28,0,12300285.0
2020-11-02,0,0,0,7.17,0,12300285.0
2020-11-01,0,0,0,7.3,0,12300285.0
2020-10-31,0,0,0,6.65,0,12300285.0
2020-10-30,0,0,0,6.5,0,12300285.0
2020-10-29,0,0,0,6.26,0,12300285.0
2020-10-28,0,0,0,6.54,0,12300285.0
2020-10-27,0,0,0,6.65,0,12300285.0
2020-10-26,0,0,0,6.77,0,12300285.0
2020-10-25,0,0,0,7.01,0,12300285.0
2020-10-24,0,0,0,7.14,0,12300285.0
2020-10-23,0,0,0,6.98,0,12300285.0
2020-10-22,0,0,0,7.14,0,12300285.0
2020-10-21,0,0,0,7.01,0,12300285.0
2020-10-20,0,0,0,6.97,0,12300285.0
2020-10-19,0,0,0,7.05,0,12300285.0
2020-10-18,0,0,0,6.98,0,12300285.0
2020-10-17,0,0,0,6.85,0,12300285.0
2020-10-16,0,0,0,7.13,0,12300285.0
2020-10-15,0,0,0,6.59,0,12300285.0
2020-10-14,0,0,0,6.58,0,12300285.0
2020-10-13,0,0,0,6.58,0,12300285.0
2020-10-12,0,0,0,6.54,0,12300285.0
2020-10-11,0,0,0,6.78,0,12300285.0
2020-10-10,0,0,0,6.73,0,12300285.0
2020-10-09,0,0,0,6.69,0,12300285.0
2020-10-08,0,0,0,6.22,0,12300285.0
2020-10-07,0,0,0,5.99,0,12300285.0
2020-10-06,0,0,0,5.88,0,12300285.0
2020-10-05,0,0,0,6.65,0,12300285.0
2020-10-04,0,0,0,6.85,0,12300285.0
2020-10-03,0,0,0,6.84,0,12300285.0
2020-10-02,0,0,0,6.92,0,12300285.0
2020-10-01,0,0,0,7.17,0,12300285.0
2020-09-30,0,0,0,7.56,0,12300285.0
2020-09-29,0,0,0,7.21,0,12300285.0
2020-09-28,0,0,0,7.14,0,12300285.0
2020-09-27,0,0,0,7.24,0,12300285.0
2020-09-26,0,0,0,7.31,0,12300285.0
2020-09-25,0,0,0,7.29,0,12300285.0
2020-09-24,0,0,0,7.44,0,12300285.0
2020-09-23,0,0,0,6.64,0,12300285.0
2020-09-22,0,0,0,7.07,0,12300285.0
2020-09-21,0,0,0,6.66,0,12300285.0
2020-09-20,0,0,0,7.18,0,12300285.0
2020-09-19,0,0,0,7.52,0,12300285.0
2020-09-18,0,0,0,7.64,0,12300285.0
2020-09-17,0,0,0,7.88,0,12300285.0
2020-09-16,0,0,0,7.6,0,12300285.0
2020-09-15,0,0,0,7.95,0,12300285.0
2020-09-14,0,0,0,8.39,0,12300285.0
2020-09-13,0,0,0,7.3,0,12300285.0
2020-09-12,0,0,0,7.71,0,12300285.0
2020-09-11,0,0,0,7.4,0,12300285.0
2020-09-10,0,0,0,7.45,0,12300285.0
2020-09-09,0,0,0,7.44,0,12300285.0
2020-09-08,0,0,0,6.44,0,12300285.0
2020-09-07,0,0,0,6.57,0,12300285.0
2020-09-06,0,0,0,6.44,0,12300285.0
2020-09-05,0,0,0,6.22,0,12300285.0
2020-09-04,0,0,0,7.0,0,12300285.0
2020-09-03,0,0,0,6.52,0,12300285.0
2020-09-02,0,0,0,8.24,0,12300285.0
2020-09-01,0,0,0,8.73,0,12300285.0
2020-08-31,0,0,0,8.65,0,12300285.0
2020-08-30,0,0,0,8.66,0,12300285.0
2020-08-29,0,0,0,8.65,0,12300285.0
2020-08-28,0,0,0,8.82,0,12300285.0
2020-08-27,0,0,0,8.46,0,12300285.0
2020-08-26,0,0,0,9.23,0,12300285.0
2020-08-25,0,0,0,8.98,0,12300285.0
2020-08-24,0,0,0,9.41,0,12300285.0
2020-08-23,0,0,0,9.64,0,12300285.0
2020-08-22,0,0,0,9.64,0,12300285.0
2020-08-21,0,0,0,9.35,0,12300285.0
2020-08-20,0,0,0,9.73,0,12300285.0
2020-08-19,0,0,0,8.86,0,12300285.0
2020-08-18,0,0,0,10.02,0,12300285.0
2020-08-17,0,0,0,11.05,0,12300285.0
2020-08-16,0,0,0,10.78,0,12300285.0
2020-08-15,0,0,0,10.26,0,12300285.0
2020-08-14,0,0,0,10.78,0,12300285.0
2020-08-13,0,0,0,10.15,0,12300285.0
2020-08-12,0,0,0,9.15,0,12300285.0
2020-08-11,0,0,0,8.24,0,12300285.0
2020-08-10,0,0,0,8.46,0,12300285.0
2020-08-09,0,0,0,8.16,0,12300285.0
2020-08-08,0,0,0,7.94,0,12300285.0
2020-08-07,0,0,0,7.9,0,12300285.0
2020-08-06,0,0,0,8.19,0,12300285.0
2020-08-05,0,0,0,8.15,0,12300285.0
2020-08-04,0,0,0,7.51,0,12300285.0
2020-08-03,0,0,0,7.52,0,12300285.0
2020-08-02,0,0,0,7.29,0,12300285.0
2020-08-01,0,0,0,7.73,0,12300285.0
2020-07-31,0,0,0,7.93,0,12300285.0
2020-07-30,0,0,0,7.46,0,12300285.0
2020-07-29,0,0,0,7.06,0,12300285.0
2020-07-28,0,0,0,6.89,0,12300285.0
