date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.000724,0,3943745.0
2020-12-13,0,0,0,0.000529,0,2883124.0
2020-12-12,0,0,0,0.000527,0,2872605.0
2020-12-11,0,0,0,0.000522,0,2846602.0
2020-12-10,0,0,0,0.000175,0,952086.0
2020-12-09,0,0,0,1.9e-05,0,104046.0
2020-12-08,0,0,0,0.000524,0,2855142.0
2020-12-07,0,0,0,0.00053,0,2887025.0
2020-12-06,0,0,0,0.000531,0,2893367.0
2020-12-05,0,0,0,0.000291,0,1584192.0
2020-12-04,0,0,0,0.000527,0,2871369.0
2020-12-03,0,0,0,8e-05,0,438125.0
2020-12-02,0,0,0,0.000389,0,2122091.0
2020-12-01,0,0,0,0.000826,0,4502343.0
2020-11-30,0,0,0,3.7e-05,0,199685.0
2020-11-29,0,0,0,0.000378,0,2062675.0
2020-11-28,0,0,0,0.000374,0,2035767.0
2020-11-27,0,0,0,0.000367,0,1998753.0
2020-11-26,0,0,0,0.00058,0,3161434.0
2020-11-25,0,0,0,8.7e-05,0,473734.0
2020-11-24,0,0,0,9.6e-05,0,524717.0
2020-11-23,0,0,0,0.000324,0,1767000.0
2020-11-22,0,0,0,0.000241,0,1315748.0
2020-11-21,0,0,0,9.4e-05,0,513841.0
2020-11-20,0,0,0,1.7e-05,0,90680.66
2020-11-19,0,0,0,0.000555,0,3022946.0
2020-11-18,0,0,0,0.000555,0,3022462.0
2020-11-17,0,0,0,7.1e-05,0,389510.0
2020-11-16,0,0,0,4e-05,0,217978.0
2020-11-15,0,0,0,0.002457,0,13393261.0
2020-11-14,0,0,0,0.000509,0,2771876.0
2020-11-13,0,0,0,0.010169,0,55426496.0
2020-11-12,0,0,0,0.006525,0,35564462.0
2020-11-11,0,0,0,0.000842,0,4588747.0
2020-11-10,0,0,0,8.8e-05,0,480001.0
2020-11-09,0,0,0,9.8e-05,0,531953.0
2020-11-08,0,0,0,0.000409,0,2230450.0
2020-11-07,0,0,0,1e-05,0,53301.11
2020-11-06,0,0,0,0.014243,0,77629210.0
2020-11-05,0,0,0,0.014256,0,77702772.0
2020-11-04,0,0,0,0.007314,0,39862937.0
2020-11-03,0,0,0,0.012703,0,69236922.0
2020-11-02,0,0,0,0.000291,0,1587035.0
2020-11-01,0,0,0,0.00014,0,764892.0
2020-10-31,0,0,0,0.003232,0,17617291.0
