date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,1.6,0,75100574.0
2020-12-13,0,0,0,1.55,0,72672470.0
2020-12-12,0,0,0,1.52,0,71056217.0
2020-12-11,0,0,0,1.47,0,69132121.0
2020-12-10,0,0,0,1.5,0,70188746.0
2020-12-09,0,0,0,1.54,0,72149600.0
2020-12-08,0,0,0,1.54,0,71981162.0
2020-12-07,0,0,0,1.68,0,78867836.0
2020-12-06,0,0,0,1.66,0,77986910.0
2020-12-05,0,0,0,1.72,0,80429146.0
2020-12-04,0,0,0,1.59,0,74708726.0
2020-12-03,0,0,0,1.82,0,85279058.0
2020-12-02,0,0,0,1.75,0,81868757.0
2020-12-01,0,0,0,1.65,0,77130914.0
2020-11-30,0,0,0,1.67,0,78487376.0
2020-11-29,0,0,0,1.65,0,77552006.0
2020-11-28,0,0,0,1.62,0,76156357.0
2020-11-27,0,0,0,1.58,0,73851165.0
2020-11-26,0,0,0,1.62,0,75729415.0
2020-11-25,0,0,0,1.9,0,88968173.0
2020-11-24,0,0,0,1.98,0,93010173.0
2020-11-23,0,0,0,1.96,0,92012200.0
2020-11-22,0,0,0,1.82,0,85179861.0
2020-11-21,0,0,0,1.95,0,91564356.0
2020-11-20,0,0,0,1.79,0,83939732.0
2020-11-19,0,0,0,1.68,0,78931992.0
2020-11-18,0,0,0,1.72,0,80496183.0
2020-11-17,0,0,0,1.88,0,88056086.0
2020-11-16,0,0,0,1.75,0,82176028.0
2020-11-15,0,0,0,1.48,0,69230576.0
2020-11-14,0,0,0,1.46,0,68348197.0
2020-11-13,0,0,0,1.51,0,70896369.0
2020-11-12,0,0,0,1.43,0,67020900.0
2020-11-11,0,0,0,1.47,0,68870159.0
2020-11-10,0,0,0,1.57,0,52427342.0
2020-11-09,0,0,0,1.45,0,48547946.0
2020-11-08,0,0,0,1.46,0,49015063.0
2020-11-07,0,0,0,1.45,0,48502469.0
2020-11-06,0,0,0,1.54,0,51722278.0
2020-11-05,0,0,0,1.3,0,43666864.0
2020-11-04,0,0,0,1.29,0,43060845.0
2020-11-03,0,0,0,1.37,0,45771552.0
2020-11-02,0,0,0,1.58,0,52914916.0
2020-11-01,0,0,0,1.49,0,49972727.0
2020-10-31,0,0,0,1.44,0,48293098.0
2020-10-30,0,0,0,1.51,0,50683769.0
2020-10-29,0,0,0,1.45,0,48663814.0
2020-10-28,0,0,0,1.58,0,52766138.0
2020-10-27,0,0,0,1.71,0,57321726.0
2020-10-26,0,0,0,1.73,0,58051939.0
2020-10-25,0,0,0,1.85,0,61820815.0
2020-10-24,0,0,0,1.93,0,64642871.0
2020-10-23,0,0,0,1.92,0,64155550.0
2020-10-22,0,0,0,1.96,0,65694814.0
2020-10-21,0,0,0,1.86,0,62413370.0
2020-10-20,0,0,0,1.81,0,60762935.0
2020-10-19,0,0,0,1.96,0,65563829.0
2020-10-18,0,0,0,2.06,0,68838733.0
2020-10-17,0,0,0,2.04,0,68221033.0
2020-10-16,0,0,0,2.04,0,68312336.0
2020-10-15,0,0,0,2.27,0,75882660.0
2020-10-14,0,0,0,2.37,0,79233110.0
2020-10-13,0,0,0,2.29,0,76622563.0
2020-10-12,0,0,0,2.37,0,79476475.0
2020-10-11,0,0,0,2.54,0,85158219.0
