date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.002456,0,1665044.0
2020-12-13,0,0,0,0.007163,0,4820869.0
2020-12-12,0,0,0,0.003853,0,2573213.0
2020-12-11,0,0,0,0.005591,0,3652117.0
2020-12-10,0,0,0,0.005361,0,3477815.0
2020-12-09,0,0,0,0.004769,0,3066912.0
2020-12-08,0,0,0,0.002565,0,1640309.0
2020-12-07,0,0,0,0.006321,0,4007505.0
2020-12-06,0,0,0,0.000925,0,580644.0
2020-12-05,0,0,0,0.000713,0,444365.0
2020-12-04,0,0,0,0.001258,0,766721.0
2020-12-03,0,0,0,0.00164,0,992729.0
2020-12-02,0,0,0,0.002016,0,1208183.0
2020-12-01,0,0,0,0.000686,0,406852.0
2020-11-30,0,0,0,0.000339,0,199223.0
2020-11-29,0,0,0,0.000446,0,258784.0
2020-11-28,0,0,0,0.000982,0,565514.0
2020-11-27,0,0,0,0.000489,0,279203.0
2020-11-26,0,0,0,0.000139,0,78049.59
2020-11-25,0,0,0,0.00012,0,67178.63
2020-11-24,0,0,0,0.000151,0,82454.55
2020-11-23,0,0,0,0.000151,0,81714.7
2020-11-22,0,0,0,0.000185,0,99371.33
2020-11-21,0,0,0,0.000811,0,431176.0
2020-11-20,0,0,0,0.000184,0,97130.83
2020-11-19,0,0,0,0.000199,0,104257.0
2020-11-18,0,0,0,0.000194,0,99519.7
2020-11-17,0,0,0,0.001804,0,916447.0
2020-11-16,0,0,0,0.000201,0,100960.0
2020-11-15,0,0,0,0.000193,0,96034.52
2020-11-14,0,0,0,0.000221,0,108275.0
2020-11-13,0,0,0,0.000962,0,462608.0
2020-11-12,0,0,0,0.000556,0,265408.0
2020-11-11,0,0,0,0.000958,0,450650.0
2020-11-10,0,0,0,0.000899,0,417090.0
2020-11-09,0,0,0,0.000749,0,342684.0
2020-11-08,0,0,0,0.001034,0,466261.0
2020-11-07,0,0,0,0.001715,0,764246.0
2020-11-06,0,0,0,0.001112,0,490158.0
2020-11-05,0,0,0,0.000608,0,262080.0
2020-11-04,0,0,0,0.000429,0,183348.0
2020-11-03,0,0,0,0.000472,0,198630.0
2020-11-02,0,0,0,0.000519,0,215135.0
2020-11-01,0,0,0,0.000538,0,220106.0
2020-10-31,0,0,0,0.000398,0,160030.0
2020-10-30,0,0,0,0.000716,0,280935.0
2020-10-29,0,0,0,0.000587,0,227964.0
2020-10-28,0,0,0,0.000893,0,341820.0
2020-10-27,0,0,0,0.001405,0,527103.0
2020-10-26,0,0,0,0.001076,0,398097.0
2020-10-25,0,0,0,0.000805,0,292171.0
2020-10-24,0,0,0,0.000745,0,266460.0
2020-10-23,0,0,0,0.001156,0,406395.0
2020-10-22,0,0,0,0.001162,0,9761.6
2020-10-21,0,0,0,0.001887,0,15859.99
2020-10-20,0,0,0,0.001807,0,15180.22
2020-10-19,0,0,0,0.001431,0,12026.67
2020-10-18,0,0,0,0.001543,0,12962.51
2020-10-17,0,0,0,0.000863,0,7252.48
2020-10-16,0,0,0,0.001212,0,10182.72
2020-10-15,0,0,0,0.001361,0,11437.84
2020-10-14,0,0,0,0.001164,0,9776.9
2020-10-13,0,0,0,0.001332,0,11190.53
2020-10-12,0,0,0,0.001597,0,13415.82
2020-10-11,0,0,0,0.001816,0,15261.75
2020-10-10,0,0,0,0.002272,0,19093.57
2020-10-09,0,0,0,0.001963,0,16496.68
2020-10-08,0,0,0,0.00172,0,14448.96
2020-10-07,0,0,0,0.002105,0,17686.78
2020-10-06,0,0,0,0.001817,0,15271.6
2020-10-05,0,0,0,0.001899,0,15953.91
2020-10-04,0,0,0,0.001568,0,13172.77
2020-10-03,0,0,0,0.002738,0,23003.12
2020-10-02,0,0,0,0.002134,0,17934.31
2020-10-01,0,0,0,0.002916,0,24502.42
2020-09-30,0,0,0,0.003414,0,28687.85
2020-09-29,0,0,0,0.00489,0,41091.99
2020-09-28,0,0,0,0.003176,0,26688.44
2020-09-27,0,0,0,0.003678,0,30906.16
2020-09-26,0,0,0,0.004612,0,38749.02
2020-09-25,0,0,0,0.00536,0,45036.88
2020-09-24,0,0,0,0.003712,0,31191.56
2020-09-23,0,0,0,0.004627,0,38877.11
2020-09-22,0,0,0,0.007976,0,67019.61
2020-09-21,0,0,0,0.012591,0,105796.0
2020-09-20,0,0,0,0.024856,0,208855.0
2020-09-19,0,0,0,0.013014,0,109351.0
2020-09-18,0,0,0,0.023405,0,196669.0
2020-09-17,0,0,0,0.020546,0,172639.0
2020-09-16,0,0,0,0.017327,0,145597.0
2020-09-15,0,0,0,0.04588,0,385513.0
2020-09-14,0,0,0,0.034158,0,287022.0
2020-09-13,0,0,0,0.046722,0,392590.0
2020-09-12,0,0,0,0.06198,0,520800.0
2020-09-11,0,0,0,0.089319,0,750524.0
2020-09-10,0,0,0,0.10566,0,887825.0
2020-09-09,0,0,0,0.109311,0,918510.0
2020-09-08,0,0,0,0.107168,0,900503.0
2020-09-07,0,0,0,0.218473,0,1835764.0
2020-09-06,0,0,0,0.270962,0,2276810.0
2020-09-05,0,0,0,0.22869,0,1921612.0
2020-09-04,0,0,0,0.288773,0,2426471.0
2020-09-03,0,0,0,0.744205,0,6253332.0
2020-09-02,0,0,0,1.42,0,11963934.0
2020-09-01,0,0,0,8.12,0,11963934.0
