date,open,high,low,close,volumeUSD,marketCapUSD
2020-12-14,0,0,0,0.14723,0,4359688.0
2020-12-13,0,0,0,0.144704,0,4341188.0
2020-12-12,0,0,0,0.139257,0,4177771.0
2020-12-11,0,0,0,0.135945,0,4078413.0
2020-12-10,0,0,0,0.13478,0,4043471.0
2020-12-09,0,0,0,0.140647,0,4219465.0
2020-12-08,0,0,0,0.133871,0,4016200.0
2020-12-07,0,0,0,0.141725,0,4251799.0
2020-12-06,0,0,0,0.148001,0,4440100.0
2020-12-05,0,0,0,0.146165,0,4385009.0
2020-12-04,0,0,0,0.141163,0,4234958.0
2020-12-03,0,0,0,0.149636,0,4489140.0
2020-12-02,0,0,0,0.147214,0,4416477.0
2020-12-01,0,0,0,0.142793,0,4283857.0
2020-11-30,0,0,0,0.149287,0,4478664.0
2020-11-29,0,0,0,0.14206,0,4261876.0
2020-11-28,0,0,0,0.137249,0,4117540.0
2020-11-27,0,0,0,0.131309,0,3939343.0
2020-11-26,0,0,0,0.12966,0,3889872.0
2020-11-25,0,0,0,0.140652,0,4219615.0
2020-11-24,0,0,0,0.144718,0,4341610.0
2020-11-23,0,0,0,0.143532,0,4306030.0
2020-11-22,0,0,0,0.138115,0,4143505.0
2020-11-21,0,0,0,0.138176,0,4145343.0
2020-11-20,0,0,0,0.136797,0,4103969.0
2020-11-19,0,0,0,0.132396,0,3971935.0
2020-11-18,0,0,0,0.129971,0,3899174.0
2020-11-17,0,0,0,0.129202,0,3876129.0
2020-11-16,0,0,0,0.126421,0,3792683.0
2020-11-15,0,0,0,0.127037,0,3811163.0
2020-11-14,0,0,0,0.119974,0,3599277.0
2020-11-13,0,0,0,0.11505,0,3451538.0
2020-11-12,0,0,0,0.112937,0,3388167.0
2020-11-11,0,0,0,0.108556,0,3256728.0
2020-11-10,0,0,0,0.107722,0,3231696.0
2020-11-09,0,0,0,0.111064,0,3331965.0
2020-11-08,0,0,0,0.110759,0,3322831.0
2020-11-07,0,0,0,0.105386,0,3161614.0
2020-11-06,0,0,0,0.113812,0,3414412.0
2020-11-05,0,0,0,0.106637,0,3199159.0
2020-11-04,0,0,0,0.098736,0,2962130.0
2020-11-03,0,0,0,0.099599,0,2988024.0
2020-11-02,0,0,0,0.096761,0,2902874.0
2020-11-01,0,0,0,0.10776,0,3232862.0
2020-10-31,0,0,0,0.105391,0,3161790.0
2020-10-30,0,0,0,0.107657,0,3229747.0
2020-10-29,0,0,0,0.107996,0,3239917.0
2020-10-28,0,0,0,0.106698,0,3201001.0
2020-10-27,0,0,0,0.110348,0,3310501.0
2020-10-26,0,0,0,0.104423,0,3132732.0
2020-10-25,0,0,0,0.108629,0,3258909.0
2020-10-24,0,0,0,0.109644,0,3289382.0
2020-10-23,0,0,0,0.106116,0,3183530.0
2020-10-22,0,0,0,0.111956,0,3358732.0
2020-10-21,0,0,0,0.107187,0,3215656.0
2020-10-20,0,0,0,0.100403,0,3012123.0
2020-10-19,0,0,0,0.100442,0,3013315.0
2020-10-18,0,0,0,0.099707,0,2991242.0
2020-10-17,0,0,0,0.097851,0,2935577.0
2020-10-16,0,0,0,0.096531,0,2895980.0
2020-10-15,0,0,0,0.102548,0,3076476.0
2020-10-14,0,0,0,0.101563,0,3046931.0
2020-10-13,0,0,0,0.102083,0,3062543.0
2020-10-12,0,0,0,0.10264,0,3079246.0
2020-10-11,0,0,0,0.105384,0,3161576.0
2020-10-10,0,0,0,0.103214,0,3096477.0
2020-10-09,0,0,0,0.102407,0,3072254.0
2020-10-08,0,0,0,0.092972,0,2789189.0
2020-10-07,0,0,0,0.098558,0,2956781.0
2020-10-06,0,0,0,0.097483,0,2924545.0
2020-10-05,0,0,0,0.097788,0,2933694.0
2020-10-04,0,0,0,0.095235,0,2857092.0
2020-10-03,0,0,0,0.095299,0,2858998.0
2020-10-02,0,0,0,0.096392,0,2891810.0
2020-10-01,0,0,0,0.097889,0,2936726.0
2020-09-30,0,0,0,0.106425,0,3192804.0
2020-09-29,0,0,0,0.101173,0,3035223.0
2020-09-28,0,0,0,0.103874,0,3116272.0
2020-09-27,0,0,0,0.107981,0,3239472.0
2020-09-26,0,0,0,0.108344,0,3250357.0
2020-09-25,0,0,0,0.108035,0,3241089.0
2020-09-24,0,0,0,0.11873,0,3561950.0
2020-09-23,0,0,0,0.108877,0,3266360.0
2020-09-22,0,0,0,0.115,0,3450039.0
2020-09-21,0,0,0,0.114488,0,3434698.0
2020-09-20,0,0,0,0.122378,0,3671401.0
2020-09-19,0,0,0,0.125663,0,3769954.0
2020-09-18,0,0,0,0.123767,0,3713071.0
2020-09-17,0,0,0,0.11924,0,3577257.0
2020-09-16,0,0,0,0.117508,0,3525293.0
2020-09-15,0,0,0,0.114191,0,3425774.0
2020-09-14,0,0,0,0.115577,0,3467366.0
2020-09-13,0,0,0,0.109693,0,3290833.0
2020-09-12,0,0,0,0.11503,0,3450960.0
2020-09-11,0,0,0,0.118537,0,3556148.0
2020-09-10,0,0,0,0.111172,0,3335211.0
2020-09-09,0,0,0,0.112159,0,3364830.0
2020-09-08,0,0,0,0.107661,0,3229887.0
2020-09-07,0,0,0,0.106557,0,3196760.0
2020-09-06,0,0,0,0.106019,0,3180606.0
2020-09-05,0,0,0,0.104453,0,3133626.0
2020-09-04,0,0,0,0.113798,0,3414002.0
2020-09-03,0,0,0,0.107047,0,3211465.0
2020-09-02,0,0,0,0.117303,0,3519135.0
2020-09-01,0,0,0,0.123565,0,3707015.0
2020-08-31,0,0,0,0.135305,0,4059221.0
2020-08-30,0,0,0,0.116543,0,3496333.0
2020-08-29,0,0,0,0.109353,0,3280652.0
2020-08-28,0,0,0,0.107554,0,3226660.0
2020-08-27,0,0,0,0.105089,0,3152730.0
2020-08-26,0,0,0,0.104512,0,3135415.0
2020-08-25,0,0,0,0.102533,0,3076026.0
2020-08-24,0,0,0,0.106826,0,3204837.0
2020-08-23,0,0,0,0.101868,0,3056091.0
2020-08-22,0,0,0,0.090496,0,2624418.0
2020-08-21,0,0,0,0.08936,0,2591494.0
2020-08-20,0,0,0,0.144075,0,4178243.0
2020-08-19,0,0,0,0.145734,0,4226339.0
2020-08-18,0,0,0,0.143193,0,4152662.0
2020-08-17,0,0,0,0.154428,0,4478481.0
2020-08-16,0,0,0,0.146964,0,4262023.0
2020-08-15,0,0,0,0.148135,0,4295968.0
2020-08-14,0,0,0,0.160067,0,4642011.0
2020-08-13,0,0,0,0.156149,0,4528388.0
2020-08-12,0,0,0,0.147846,0,4287606.0
2020-08-11,0,0,0,0.145058,0,4206749.0
2020-08-10,0,0,0,0.155006,0,4495240.0
2020-08-09,0,0,0,0.150224,0,4356562.0
2020-08-08,0,0,0,0.13969,0,4051058.0
2020-08-07,0,0,0,0.13715,0,3977404.0
2020-08-06,0,0,0,0.132783,0,3850778.0
2020-08-05,0,0,0,0.142011,0,4118373.0
2020-08-04,0,0,0,0.130488,0,3784209.0
2020-08-03,0,0,0,0.133122,0,3860601.0
2020-08-02,0,0,0,0.135706,0,3935534.0
2020-08-01,0,0,0,0.135013,0,3915429.0
2020-07-31,0,0,0,0.123978,0,3595406.0
2020-07-30,0,0,0,0.120982,0,3508543.0
2020-07-29,0,0,0,0.11547,0,3348680.0
2020-07-28,0,0,0,0.113066,0,3278965.0
2020-07-27,0,0,0,0.116374,0,3374906.0
2020-07-26,0,0,0,0.112923,0,3274827.0
2020-07-25,0,0,0,0.109815,0,3184680.0
2020-07-24,0,0,0,0.105417,0,3057132.0
2020-07-23,0,0,0,0.104912,0,3042493.0
2020-07-22,0,0,0,0.10312,0,2990520.0
2020-07-21,0,0,0,0.103403,0,2998747.0
2020-07-20,0,0,0,0.102552,0,2974068.0
